user_id	history_length	target_frequency	hit_g50	hit_u50	hit_primary	primary_union_size	adaptive_slots	hit_adaptive	adaptive_union_size
AQW172A5SG5OC	5	10	1	1	1	77	25	1	75
A3E9UK6ANIX73Q	3	38	0	0	0	90	25	0	75
A38N7SFDOB3MR3	8	5	0	0	0	87	30	0	80
A1BR7B2D7QXL83	6	12	0	0	0	90	30	0	80
A3JLBL62FPGY98	6	14	0	0	0	90	30	0	80
A3VNB1W7N079T2	7	5	0	0	0	80	30	0	80
A1P9UMP1XSE6MI	12	52	1	1	1	82	40	1	82
A18AO94P2ZIEF3	3	3	0	0	0	90	25	0	75
A2BRAVOAYRHDVR	13	6	0	0	0	90	40	0	90
A2F0AYUD1X0AMV	3	119	1	1	1	90	25	1	75
A2B8O4VOUC1Y5B	3	16	0	0	0	85	25	0	75
A1LG1DKUZXGJ6J	20	26	0	0	0	84	40	0	84
A18CF71GKLDS48	5	5	0	0	0	90	25	0	75
A2BFEMPHZAZE80	3	27	1	1	1	90	25	1	75
A2UAQ83AY3C3CY	3	3	0	0	0	90	25	0	75
A7EJERNB7IK3Z	20	22	0	0	0	90	40	0	90
A3MKKQT9ECS0S6	3	42	1	1	1	90	25	1	75
A279XQT50MB44R	3	4	0	0	0	82	25	0	75
A2B0KZ54I63XNX	3	32	0	0	0	90	25	0	75
A1D8KV88A3D7IZ	3	139	1	1	1	90	25	1	75
A1CYKFUPE5ZGBA	4	12	1	1	1	89	25	1	75
A2X6FC7OXFB61U	3	8	0	0	0	90	25	0	75
A37XBQWYQ1N1FF	12	3	1	1	1	90	40	1	90
A3FGWQHVQGOAGL	10	19	0	0	0	90	30	0	80
A17LDNW8GIFID1	3	3	0	0	0	90	25	0	75
AK9N3O4FT8DNQ	5	50	0	0	0	90	25	0	75
A198M311Q3VRYF	3	12	0	0	0	90	25	0	75
AN05GBGE65X9J	4	23	1	1	1	90	25	1	75
A35NGY49ZY896M	4	12	0	0	0	90	25	0	75
A1BP92HYW0HQST	6	4	0	0	0	87	30	0	80
A144U5041CFKQR	6	4	0	0	0	90	30	0	80
A3VAGT9TQUS9WE	4	3	0	0	0	90	25	0	75
A2RXOQQCU6Z2X8	8	23	0	0	0	90	30	0	80
A2OETFZ7IA6XSQ	3	3	0	0	0	90	25	0	75
A1N03V52IRZ5PR	3	26	0	0	0	86	25	0	75
A17B2QIN8RVRBJ	6	2	0	0	0	90	30	0	80
AO9XKAUG5XH22	4	10	0	0	0	90	25	0	75
A3G7BEJJCPD6DS	17	25	0	0	0	83	40	0	83
A1V23RXLRBR73T	15	14	0	0	0	90	40	0	90
A3N9DRV2RSEU6Y	6	11	0	0	0	90	30	0	80
A25OJH02IZ86EP	7	3	0	0	0	82	30	0	80
A2OD23539QMZS5	4	27	0	0	0	90	25	0	75
A2M87ULJS7K5TQ	3	12	0	0	0	90	25	0	75
A2R9PCIR3X3CAC	3	17	1	1	1	66	25	1	66
A1CM9DM8R7ODFX	3	12	1	1	1	82	25	1	75
A2CBPT24N2SQDJ	3	8	0	0	0	90	25	0	75
A9RTRKZM3IEOY	4	29	0	0	0	90	25	0	75
A3BRSKXH5657SJ	5	9	0	0	0	90	25	0	75
A2NN8PP67SRX44	3	83	0	0	0	84	25	0	75
A2J8P71K1DWF6J	6	24	1	1	1	74	30	1	74
A3SU0OXYEQXLEK	6	94	1	1	1	87	30	1	80
A316PEISP38C8O	7	7	0	0	0	90	30	0	80
A3ARXE2KRSM0VF	8	23	0	0	0	90	30	0	80
AQ1XM9TPJZ5MR	3	127	0	0	0	90	25	0	75
AW9BJULSBM5Q	3	2	0	0	0	90	25	0	75
A3UKTZTJRBF719	9	9	0	0	0	90	30	0	80
A2WP8B9T3X61P0	3	21	0	1	1	89	25	1	75
A2AVTJPQVX4OWG	8	51	0	0	0	81	30	0	80
A5V4PMU0M4ILG	6	36	1	1	1	90	30	1	80
A3M450F1MI9G5X	3	12	0	0	0	90	25	0	75
A1AGUB4IUV7MFU	3	9	0	0	0	90	25	0	75
ARIDN94LOCQFD	20	13	0	0	0	90	40	0	90
A38K7SSI5890AP	5	7	0	0	0	90	25	0	75
A1KHLGSQO7G7J0	4	6	0	0	0	90	25	0	75
AEXG2O420LTLY	3	18	0	0	0	90	25	0	75
A1O9TQSCKSLG9J	5	6	0	0	0	90	25	0	75
APB9ABGPIWISR	5	1	0	0	0	90	25	0	75
ARJ30AM9A4VPS	5	10	0	0	0	90	25	0	75
A3MJ6KO3BG5PSX	3	130	0	0	0	89	25	0	75
A2ILF5254TTZ98	3	7	0	0	0	90	25	0	75
ADLYO655RWJUI	4	49	0	0	0	90	25	0	75
A1VSD1TTO9LTA6	3	55	0	0	0	90	25	0	75
A4PPZNQF1X2IY	3	8	0	0	0	79	25	0	75
A2XOGLJ3V3X7DR	4	31	0	0	0	90	25	0	75
A2H2W4UV8OHUDI	4	38	1	1	1	85	25	1	75
A7YLDDB1MZP8H	4	51	0	0	0	90	25	0	75
A1KU2VHK8BECRW	4	20	1	1	1	90	25	1	75
AK9QPADLB9CV0	6	1	1	1	1	90	30	1	80
A2I1B7GHNP1JTA	4	3	0	0	0	90	25	0	75
A234HXDATOAYEY	20	14	0	0	0	86	40	0	86
A2IJZWRR8GJ9A	4	71	0	1	1	90	25	0	75
A4ONPTKOHKXPB	3	132	1	1	1	85	25	1	75
ALYO802XSAPL7	20	4	0	0	0	90	40	0	90
ASSJWXLNP773X	3	4	0	0	0	90	25	0	75
A31ORAA66G2I2P	3	2	1	1	1	90	25	1	75
AUMB4GTLYFGY9	7	13	0	0	0	90	30	0	80
A139KRFZTCSJE6	3	11	0	0	0	90	25	0	75
A3S2TOPDUII9K0	3	4	0	0	0	90	25	0	75
ASB4QQBKZD6W2	5	17	0	0	0	90	25	0	75
A241UDYWOGCAGX	7	9	0	0	0	90	30	0	80
A1JTTI1KH3DOCY	20	3	0	0	0	90	40	0	90
A1BOJE4E44MYW6	4	6	1	1	1	90	25	1	75
A1PVOHZGN3G8VN	3	9	0	0	0	81	25	0	75
A238ZSESNZ0OPF	13	15	0	0	0	90	40	0	90
A2KB9VJBOMIC4Y	4	17	0	0	0	90	25	0	75
A102DV5B0MSC68	3	74	1	1	1	90	25	1	75
A1VLDIHYXRTMAH	3	24	0	0	0	90	25	0	75
A3RRHT01JBVE5N	3	14	0	0	0	90	25	0	75
A2B8V5HGXLYIDV	5	6	0	0	0	90	25	0	75
A3A2AVD40MO6QT	7	5	0	0	0	81	30	0	80
A2OW5HR1083Q0G	3	7	0	0	0	90	25	0	75
A2380HQZW3LHP	3	5	1	1	1	88	25	1	75
A1II2ZRPKZAQQD	20	7	1	1	1	73	40	1	73
A1IDAKX7OM3QIE	16	32	1	1	1	90	40	1	90
A16QWJNSAWFCQ4	3	12	0	0	0	90	25	0	75
A1ZR54GWZM4QYK	7	17	1	1	1	69	30	1	69
A1A4QTASZGJL3W	6	1	0	0	0	90	30	0	80
A3R4GFCDXI93C1	15	34	0	0	0	90	40	0	90
A14UOOROH3XRQ9	18	11	0	1	1	88	40	1	88
A265B1IZE5RVG6	20	4	0	0	0	90	40	0	90
A2L6QS8SVHT9RG	3	38	1	1	1	82	25	1	75
A6879F1Z2OQVX	4	3	1	1	1	88	25	1	75
A3UOJ4RLVUUDMI	3	11	0	0	0	81	25	0	75
APDPA11IZPYLN	20	25	0	0	0	88	40	0	88
A45B33GH6R0FJ	3	7	1	1	1	90	25	1	75
A2OXB18PCWKLX1	3	11	1	1	1	85	25	1	75
A1FJ5KR8PK0QF1	4	4	0	0	0	90	25	0	75
A3UBR469X3HQF9	5	11	1	1	1	90	25	1	75
A31JC6RV4951A0	5	7	0	0	0	89	25	0	75
A1D0PIT85H5VO9	5	5	0	0	0	90	25	0	75
A23TGI02RB7JC	20	22	0	1	1	84	40	1	84
A2PFI4YA2DW1RF	7	51	1	1	1	89	30	1	80
A3DTP68HT6DBJL	5	72	0	1	1	90	25	0	75
A3N27L13CWJ9HY	9	36	0	0	0	90	30	0	80
A1AK05CHLZX3GF	16	72	1	1	1	77	40	1	77
A3TOH9LAG3SVDJ	3	41	0	0	0	90	25	0	75
A26AYSYQM0TBNI	3	4	0	0	0	90	25	0	75
A2C1R5BBL1WXTB	5	3	0	0	0	90	25	0	75
