user_id	history_length	target_frequency	hit_g50	hit_c10	hit_c20	hit_c50	hit_u10	hit_u20	hit_u50	union_size	intersection_size	cf_only_size	jaccard	filtered_union_size
AQW172A5SG5OC	5	10	1	0	0	0	1	1	1	77	23	27	0.29870130	75
A3E9UK6ANIX73Q	3	38	0	0	0	0	0	0	0	97	3	47	0.03092784	96
A38N7SFDOB3MR3	8	5	0	0	0	0	0	0	0	87	13	37	0.14942529	80
A1BR7B2D7QXL83	6	12	0	0	0	0	0	0	0	92	8	42	0.08695652	90
A3JLBL62FPGY98	6	14	0	0	0	0	0	0	0	95	5	45	0.05263158	94
A3VNB1W7N079T2	7	5	0	0	0	0	0	0	0	80	20	30	0.25000000	74
A1P9UMP1XSE6MI	12	52	1	1	1	1	1	1	1	82	18	32	0.21951220	77
A18AO94P2ZIEF3	3	3	0	0	0	0	0	0	0	90	10	40	0.11111111	88
A2BRAVOAYRHDVR	13	6	0	0	0	0	0	0	0	96	4	46	0.04166667	89
A2F0AYUD1X0AMV	3	119	1	1	1	1	1	1	1	93	7	43	0.07526882	92
A2B8O4VOUC1Y5B	3	16	0	0	0	0	0	0	0	85	15	35	0.17647059	83
A1LG1DKUZXGJ6J	20	26	0	0	0	0	0	0	0	84	16	34	0.19047619	80
A18CF71GKLDS48	5	5	0	0	0	0	0	0	0	90	10	40	0.11111111	86
A2BFEMPHZAZE80	3	27	1	1	1	1	1	1	1	93	7	43	0.07526882	92
A2UAQ83AY3C3CY	3	3	0	0	0	0	0	0	0	99	1	49	0.01010101	97
A7EJERNB7IK3Z	20	22	0	0	0	0	0	0	0	93	7	43	0.07526882	88
A3MKKQT9ECS0S6	3	42	1	0	0	0	1	1	1	90	10	40	0.11111111	87
A279XQT50MB44R	3	4	0	0	0	0	0	0	0	82	18	32	0.21951220	79
A2B0KZ54I63XNX	3	32	0	0	0	0	0	0	0	93	7	43	0.07526882	91
A1D8KV88A3D7IZ	3	139	1	0	0	0	1	1	1	94	6	44	0.06382979	92
A1CYKFUPE5ZGBA	4	12	1	0	0	0	1	1	1	89	11	39	0.12359551	87
A2X6FC7OXFB61U	3	8	0	0	0	0	0	0	0	96	4	46	0.04166667	94
A37XBQWYQ1N1FF	12	3	1	0	0	0	1	1	1	92	8	42	0.08695652	87
A3FGWQHVQGOAGL	10	19	0	0	0	0	0	0	0	95	5	45	0.05263158	89
A17LDNW8GIFID1	3	3	0	0	0	0	0	0	0	97	3	47	0.03092784	95
AK9N3O4FT8DNQ	5	50	0	0	0	0	0	0	0	96	4	46	0.04166667	92
A198M311Q3VRYF	3	12	0	0	0	0	0	0	0	95	5	45	0.05263158	94
AN05GBGE65X9J	4	23	1	1	1	1	1	1	1	96	4	46	0.04166667	95
A35NGY49ZY896M	4	12	0	0	0	0	0	0	0	90	10	40	0.11111111	87
A1BP92HYW0HQST	6	4	0	0	0	0	0	0	0	87	13	37	0.14942529	82
A144U5041CFKQR	6	4	0	0	0	0	0	0	0	91	9	41	0.09890110	89
A3VAGT9TQUS9WE	4	3	0	0	0	0	0	0	0	92	8	42	0.08695652	90
A2RXOQQCU6Z2X8	8	23	0	0	0	0	0	0	0	97	3	47	0.03092784	95
