user_id	fold	history_group	target_popularity	target_source	baseline_rank	oof_rank	hit10_transition	oof_top10_new_gram_only	oof_top10_new_both	oof_top10_new_cf_only
ASZ8W38C6GQPK	1	1-5	middle	union_miss	51	91	stable_miss	0	2	0
A369R4MUZCUI3D	0	1-5	head	union_miss	51	91	stable_miss	0	2	0
A27AEZG2GO6OK2	2	1-5	tail	union_miss	51	91	stable_miss	0	0	0
A3N61N91YEIZ47	0	6-10	middle	union_miss	51	91	stable_miss	0	1	0
A3N5NRW1GQ8RXL	2	1-5	middle	union_miss	51	91	stable_miss	1	0	2
A3CQ5980OVK9GQ	0	6-10	tail	union_miss	51	91	stable_miss	0	2	0
A24F60FH23CSWL	0	1-5	middle	union_miss	51	91	stable_miss	0	1	0
A339D0QQYH0ZRG	3	6-10	middle	gram_only	2	3	stable_hit	1	0	1
A2G9P49SWMNJ5V	0	1-5	middle	union_miss	51	91	stable_miss	0	0	3
AW0IOR4AEEK46	1	1-5	middle	gram_only	8	10	stable_hit	0	0	0
A2Y71CUI7ILZSH	3	1-5	tail	union_miss	51	91	stable_miss	2	0	1
ANPTHLKNDONR5	0	6-10	tail	union_miss	51	91	stable_miss	0	1	0
A1954JA0H5WBJQ	0	1-5	head	union_miss	51	91	stable_miss	0	1	0
A3UTB0QKXNY8CB	1	1-5	head	union_miss	51	91	stable_miss	1	0	1
A2ZX3CGI6PM4X1	1	1-5	middle	union_miss	51	91	stable_miss	0	3	1
A35PNMSE7JVPK7	0	1-5	middle	union_miss	51	91	stable_miss	0	2	0
AOPWIKGDPRMX8	2	1-5	middle	both	1	1	stable_hit	0	1	0
A3OOS2B1ZZBCHI	2	1-5	middle	union_miss	51	91	stable_miss	0	0	1
A9SUD7U1I40PB	4	1-5	middle	union_miss	51	91	stable_miss	0	1	0
A2R4NM7XJDHX13	4	1-5	middle	union_miss	51	91	stable_miss	0	2	0
A9TCBI8KIFJ0M	0	6-10	head	union_miss	51	91	stable_miss	0	0	0
A24YTF4DFAMFXP	0	1-5	middle	union_miss	51	91	stable_miss	0	4	0
A2Q9B9WLL51Z70	2	1-5	middle	union_miss	51	91	stable_miss	0	1	2
A27144YLL9MNQS	2	1-5	head	union_miss	51	91	stable_miss	1	0	0
A1RDIBJ0EPOIXF	1	1-5	tail	union_miss	51	91	stable_miss	1	0	0
A2MX85R9XJXO9I	1	1-5	tail	union_miss	51	91	stable_miss	0	3	0
A36LQ698RFJRYP	2	1-5	middle	union_miss	51	91	stable_miss	0	2	0
A1VH028NKF3A8	3	1-5	tail	union_miss	51	91	stable_miss	0	1	1
A29FYU0NWVEMMQ	4	1-5	head	union_miss	51	91	stable_miss	0	1	2
A24N79JNVNFSBV	4	1-5	head	union_miss	51	91	stable_miss	0	2	1
A3GTI284ZE3B6W	3	6-10	tail	gram_only	12	12	stable_miss	1	1	1
A1D1TYFB50XPJ2	1	1-5	middle	union_miss	51	91	stable_miss	0	0	1
A28JZ1ZMM80FXP	0	1-5	middle	both	2	2	stable_hit	0	2	0
A2Y96MUF4VWAOW	0	1-5	head	both	14	13	stable_miss	0	2	0
A3W3ZIJ1XSW8SW	1	1-5	head	union_miss	51	91	stable_miss	0	2	0
A2DRO0SFQ5C0UU	0	1-5	middle	union_miss	51	91	stable_miss	0	1	0
A3F1UYG3P3DGJS	1	1-5	middle	union_miss	51	91	stable_miss	0	1	0
A1EUT9DYQVQJ48	4	6-10	middle	union_miss	51	91	stable_miss	1	1	0
A2VG3TH6IMOVKM	4	1-5	head	union_miss	51	91	stable_miss	0	2	0
ACPSENP0EQE49	4	1-5	middle	union_miss	51	91	stable_miss	0	0	1
A3VPZFFS8IO08A	4	1-5	tail	union_miss	51	91	stable_miss	1	1	0
