user_id	fold	target_source	baseline_rank	oof_rank	hit10_transition
ASZ8W38C6GQPK	1	union_miss	51	91	stable_miss
A369R4MUZCUI3D	0	union_miss	51	91	stable_miss
A27AEZG2GO6OK2	2	union_miss	51	91	stable_miss
A3N61N91YEIZ47	0	union_miss	51	91	stable_miss
A3N5NRW1GQ8RXL	2	union_miss	51	91	stable_miss
A3CQ5980OVK9GQ	0	union_miss	51	91	stable_miss
A24F60FH23CSWL	0	union_miss	51	91	stable_miss
A339D0QQYH0ZRG	3	gram_only	2	2	stable_hit
A2G9P49SWMNJ5V	0	union_miss	51	91	stable_miss
AW0IOR4AEEK46	1	gram_only	8	6	stable_hit
A2Y71CUI7ILZSH	3	union_miss	51	91	stable_miss
ANPTHLKNDONR5	0	union_miss	51	91	stable_miss
A1954JA0H5WBJQ	0	union_miss	51	91	stable_miss
A3UTB0QKXNY8CB	1	union_miss	51	91	stable_miss
A2ZX3CGI6PM4X1	1	union_miss	51	91	stable_miss
A35PNMSE7JVPK7	0	union_miss	51	91	stable_miss
AOPWIKGDPRMX8	2	both	1	1	stable_hit
A3OOS2B1ZZBCHI	2	union_miss	51	91	stable_miss
A9SUD7U1I40PB	4	union_miss	51	91	stable_miss
A2R4NM7XJDHX13	4	union_miss	51	91	stable_miss
A9TCBI8KIFJ0M	0	union_miss	51	91	stable_miss
A24YTF4DFAMFXP	0	union_miss	51	91	stable_miss
A2Q9B9WLL51Z70	2	union_miss	51	91	stable_miss
A27144YLL9MNQS	2	union_miss	51	91	stable_miss
A1RDIBJ0EPOIXF	1	union_miss	51	91	stable_miss
A2MX85R9XJXO9I	1	union_miss	51	91	stable_miss
A36LQ698RFJRYP	2	union_miss	51	91	stable_miss
A1VH028NKF3A8	3	union_miss	51	91	stable_miss
A29FYU0NWVEMMQ	4	union_miss	51	91	stable_miss
A24N79JNVNFSBV	4	union_miss	51	91	stable_miss
A3GTI284ZE3B6W	3	gram_only	12	11	stable_miss
A1D1TYFB50XPJ2	1	union_miss	51	91	stable_miss
A28JZ1ZMM80FXP	0	both	2	2	stable_hit
A2Y96MUF4VWAOW	0	both	14	16	stable_miss
A3W3ZIJ1XSW8SW	1	union_miss	51	91	stable_miss
A2DRO0SFQ5C0UU	0	union_miss	51	91	stable_miss
A3F1UYG3P3DGJS	1	union_miss	51	91	stable_miss
A1EUT9DYQVQJ48	4	union_miss	51	91	stable_miss
A2VG3TH6IMOVKM	4	union_miss	51	91	stable_miss
ACPSENP0EQE49	4	union_miss	51	91	stable_miss
A3VPZFFS8IO08A	4	union_miss	51	91	stable_miss
A301SYVALW58GF	0	union_miss	51	91	stable_miss
A1N7HHTP02O4VU	3	union_miss	51	91	stable_miss
A3MPWZNB1K8J1G	3	union_miss	51	91	stable_miss
ACPYT9KCCKX6X	2	union_miss	51	91	stable_miss
A1MXJVANURX26J	1	union_miss	51	91	stable_miss
AZQOGNBVDKWR0	2	union_miss	51	91	stable_miss
A21R8JYHVCJOV5	0	union_miss	51	91	stable_miss
A1BMET3MONQ1WE	0	union_miss	51	91	stable_miss
A2UAQ83AY3C3CY	4	union_miss	51	91	stable_miss
AEMV9IMH665B9	4	both	32	38	stable_miss
A24HD3TRDRTNM9	4	both	1	1	stable_hit
A3AZIU63WQK6R	3	union_miss	51	91	stable_miss
A3P2D0B50DXXDS	2	union_miss	51	91	stable_miss
A1JU5OELW8PPWF	4	gram_only	24	25	stable_miss
A15R8O74AEX1R5	2	union_miss	51	91	stable_miss
AB38XEH4DLN66	0	union_miss	51	91	stable_miss
A1IAEIOZQ2M03F	3	union_miss	51	91	stable_miss
A13X4VIMZPP4OP	3	union_miss	51	91	stable_miss
A17ZPLHRUPPEG5	3	union_miss	51	91	stable_miss
A1I5JB80670KFG	2	union_miss	51	91	stable_miss
A2Y87U9VKGRAAW	1	gram_only	1	1	stable_hit
A3GVW21TD5PQAA	3	union_miss	51	91	stable_miss
A39MKEAYS0XQA5	2	gram_only	11	11	stable_miss
A23UF0YQDHL2LG	3	union_miss	51	91	stable_miss
A1F1HEIAW7X3H	3	union_miss	51	91	stable_miss
A2KQT4D0OZR569	1	union_miss	51	91	stable_miss
APWXTMMNYNX4F	3	union_miss	51	91	stable_miss
AF0EGN9J6610M	3	union_miss	51	91	stable_miss
A25XU1RT0DJI3	4	union_miss	51	91	stable_miss
A35I95L7BG74AN	3	union_miss	51	91	stable_miss
A2D6LG91QQC29B	3	union_miss	51	91	stable_miss
A379O5JZOPENK2	4	union_miss	51	91	stable_miss
AIOB3K2PE2E3R	2	union_miss	51	91	stable_miss
A153JKH35P5N2I	1	union_miss	51	91	stable_miss
A13TUDSG4QK0P0	0	union_miss	51	91	stable_miss
A33PBU9EHZ28PC	1	union_miss	51	91	stable_miss
A3S801EXW1YK1	3	union_miss	51	91	stable_miss
AG1JZXJ1VZ1HW	1	union_miss	51	91	stable_miss
A3CW94YYFXEBSI	4	union_miss	51	91	stable_miss
A2XX2A4OJCDNLZ	2	both	41	56	stable_miss
A3AE2LAXSIML73	3	cf_only	51	53	stable_miss
A2RJ4DUC9IUDY0	1	union_miss	51	91	stable_miss
A3GSGBKCIXB45A	3	cf_only	51	58	stable_miss
A3DVO4RN4WA7A5	3	gram_only	10	10	stable_hit
A2YGB747HQLREO	3	union_miss	51	91	stable_miss
A3VISL7I6DN4K9	1	union_miss	51	91	stable_miss
A1GQ1JGK9YM6BU	4	union_miss	51	91	stable_miss
A2A4HGFGKO6BKP	3	union_miss	51	91	stable_miss
A3AA5MUGG09CDS	2	union_miss	51	91	stable_miss
A1E38ETRELK0OU	4	union_miss	51	91	stable_miss
A2YHBS040TSI3B	3	union_miss	51	91	stable_miss
