user_id	fold	history_length	target_frequency	target_in_union	baseline_rank	oof_rank
ASZ8W38C6GQPK	1	3	10	0	51	91
A369R4MUZCUI3D	0	3	36	0	51	91
A27AEZG2GO6OK2	2	3	3	0	51	91
A3N61N91YEIZ47	0	9	12	0	51	91
A3N5NRW1GQ8RXL	2	5	8	0	51	91
A3CQ5980OVK9GQ	0	10	2	0	51	91
A24F60FH23CSWL	0	4	11	0	51	91
A339D0QQYH0ZRG	3	6	18	1	2	2
A2G9P49SWMNJ5V	0	3	7	0	51	91
AW0IOR4AEEK46	1	4	11	1	8	6
A2Y71CUI7ILZSH	3	5	2	0	51	91
ANPTHLKNDONR5	0	7	3	0	51	91
A1954JA0H5WBJQ	0	5	27	0	51	91
A3UTB0QKXNY8CB	1	3	30	0	51	91
A2ZX3CGI6PM4X1	1	3	9	0	51	91
A35PNMSE7JVPK7	0	3	6	0	51	91
AOPWIKGDPRMX8	2	3	12	1	1	1
A3OOS2B1ZZBCHI	2	3	6	0	51	91
A9SUD7U1I40PB	4	3	21	0	51	91
A2R4NM7XJDHX13	4	3	10	0	51	91
A9TCBI8KIFJ0M	0	9	42	0	51	91
A24YTF4DFAMFXP	0	4	11	0	51	91
A2Q9B9WLL51Z70	2	5	8	0	51	91
A27144YLL9MNQS	2	3	30	0	51	91
A1RDIBJ0EPOIXF	1	4	5	0	51	91
A2MX85R9XJXO9I	1	4	4	0	51	91
A36LQ698RFJRYP	2	5	16	0	51	91
A1VH028NKF3A8	3	5	2	0	51	91
A29FYU0NWVEMMQ	4	3	31	0	51	91
A24N79JNVNFSBV	4	3	47	0	51	91
A3GTI284ZE3B6W	3	10	4	1	12	11
A1D1TYFB50XPJ2	1	3	6	0	51	91
A28JZ1ZMM80FXP	0	4	8	1	2	2
A2Y96MUF4VWAOW	0	4	58	1	14	16
A3W3ZIJ1XSW8SW	1	4	41	0	51	91
A2DRO0SFQ5C0UU	0	3	8	0	51	91
A3F1UYG3P3DGJS	1	5	13	0	51	91
A1EUT9DYQVQJ48	4	9	6	0	51	91
A2VG3TH6IMOVKM	4	4	27	0	51	91
ACPSENP0EQE49	4	4	20	0	51	91
A3VPZFFS8IO08A	4	4	2	0	51	91
A301SYVALW58GF	0	9	10	0	51	91
A1N7HHTP02O4VU	3	10	9	0	51	91
A3MPWZNB1K8J1G	3	6	45	0	51	91
ACPYT9KCCKX6X	2	5	52	0	51	91
A1MXJVANURX26J	1	8	82	0	51	91
AZQOGNBVDKWR0	2	3	8	0	51	91
A21R8JYHVCJOV5	0	11	3	0	51	91
A1BMET3MONQ1WE	0	3	86	0	51	91
A2UAQ83AY3C3CY	4	3	3	0	51	91
AEMV9IMH665B9	4	20	25	1	32	38
A24HD3TRDRTNM9	4	5	68	1	1	1
A3AZIU63WQK6R	3	6	7	0	51	91
A3P2D0B50DXXDS	2	3	4	0	51	91
A1JU5OELW8PPWF	4	5	82	1	24	25
A15R8O74AEX1R5	2	3	43	0	51	91
AB38XEH4DLN66	0	5	4	0	51	91
A1IAEIOZQ2M03F	3	9	6	0	51	91
A13X4VIMZPP4OP	3	7	113	0	51	91
A17ZPLHRUPPEG5	3	5	105	0	51	91
A1I5JB80670KFG	2	6	9	0	51	91
A2Y87U9VKGRAAW	1	8	3	1	1	1
A3GVW21TD5PQAA	3	4	8	0	51	91
A39MKEAYS0XQA5	2	12	8	1	11	11
A23UF0YQDHL2LG	3	18	11	0	51	91
A1F1HEIAW7X3H	3	6	7	0	51	91
A2KQT4D0OZR569	1	13	21	0	51	91
APWXTMMNYNX4F	3	4	3	0	51	91
AF0EGN9J6610M	3	4	14	0	51	91
A25XU1RT0DJI3	4	4	6	0	51	91
A35I95L7BG74AN	3	4	27	0	51	91
A2D6LG91QQC29B	3	4	21	0	51	91
A379O5JZOPENK2	4	4	11	0	51	91
AIOB3K2PE2E3R	2	3	33	0	51	91
A153JKH35P5N2I	1	4	14	0	51	91
A13TUDSG4QK0P0	0	3	3	0	51	91
A33PBU9EHZ28PC	1	20	23	0	51	91
A3S801EXW1YK1	3	4	6	0	51	91
AG1JZXJ1VZ1HW	1	3	8	0	51	91
A3CW94YYFXEBSI	4	4	13	0	51	91
A2XX2A4OJCDNLZ	2	14	63	1	41	56
A3AE2LAXSIML73	3	5	9	1	51	53
A2RJ4DUC9IUDY0	1	4	6	0	51	91
A3GSGBKCIXB45A	3	3	17	1	51	58
A3DVO4RN4WA7A5	3	3	27	1	10	10
A2YGB747HQLREO	3	5	9	0	51	91
A3VISL7I6DN4K9	1	11	2	0	51	91
A1GQ1JGK9YM6BU	4	3	12	0	51	91
A2A4HGFGKO6BKP	3	16	1	0	51	91
A3AA5MUGG09CDS	2	4	11	0	51	91
A1E38ETRELK0OU	4	3	47	0	51	91
A2YHBS040TSI3B	3	3	2	0	51	91
A3DML7MESO9P8J	0	4	6	1	2	2
A3PVM083UFTZQJ	4	6	5	0	51	91
A3MFCKCUSW5OGE	0	3	3	0	51	91
A2BYTAC87S23BA	3	4	3	0	51	91
A3KC0CRGLO5LXJ	0	3	4	0	51	91
A3FG51WL7BP7LN	3	3	7	0	51	91
A7HUMX97N6J2R	1	5	11	1	51	53
A1OAQLHCVKKNC5	0	3	19	0	51	91
A3R5GTYQ50QVMD	2	20	22	1	51	42
A21S0K5PU4YO9L	4	11	7	0	51	91
A187FKQNMXSS8L	0	3	16	1	51	47
A2E3XN7ZGK8G6S	0	4	33	1	1	1
A1N5Z9WQ7G6B45	3	4	88	1	47	85
A309CYRJJNFMDG	0	4	22	0	51	91
ACH40GDEWZRJS	4	5	5	0	51	91
A26I6E533K6XZ8	1	3	4	0	51	91
A3OFAMMKK080ES	2	4	51	0	51	91
A2G7932FZ1GIXH	2	3	12	1	1	1
A1R27Q9GNRUGQQ	3	3	7	0	51	91
A3GU48VNT4BCFR	0	5	11	0	51	91
ANCQKZHPGDKS2	2	5	98	1	51	50
A22OVVLMT0025M	0	16	17	1	1	1
ASDXGRHJ1G0MG	2	4	11	0	51	91
A345BXR9RAZPQL	2	3	46	1	51	71
A2PXVMF9DH8NDZ	3	16	3	0	51	91
AJ7EXZ3ON0BVR	1	8	18	1	7	8
A3GV11WCN6B6OL	0	6	26	0	51	91
A3S3GGVSMN1BDM	0	5	6	0	51	91
A7JEWP1ITKQVJ	4	8	6	0	51	91
A2DF9FLWF98ZKP	2	3	15	0	51	91
A1KLPS6P7UR631	4	16	31	1	3	3
A1TKM36EYEQNSM	2	5	29	0	51	91
AFO678EAGH4Y9	4	15	2	0	51	91
A3G3J1K769O5EF	1	3	8	0	51	91
AYBESUR7FVD97	3	3	12	0	51	91
A2V8O6PWFD24V1	0	3	24	1	1	1
A2XMR57G65YL	4	4	3	0	51	91
AMRMK86X3PKXD	2	3	31	0	51	91
A35MGJOE55YM0I	4	4	8	0	51	91
A3PR7RM3L8TORU	1	3	11	0	51	91
ASRIOCTQPKK1B	1	3	12	0	51	91
A3HUC8541SJ6UT	2	16	29	1	14	16
A3BTL4FV6ODKAT	0	20	8	1	51	71
AZ9ZEQ5Y6QBDK	4	4	17	1	18	20
A2ADF3PBL46KW3	1	4	48	1	51	68
A2F74QFHK9EWPK	2	3	12	0	51	91
A23KACXOE9O9TX	2	20	3	1	2	2
AW9FZO9WF88CV	3	5	98	0	51	91
AYFGIZUMHUKCT	4	3	88	0	51	91
AJ91FXLL2VBN7	4	3	19	0	51	91
A22F6WEVKDYJ0O	0	3	51	0	51	91
AAEVGE52KL0DJ	3	10	3	0	51	91
A32WY3RGFMW9O1	0	9	11	1	4	4
A141WC0TY1PB6L	1	3	10	0	51	91
AXSP7X8A1YK41	1	3	63	0	51	91
ATZDGPMWR6N5D	2	7	9	0	51	91
A13H2ZRENPV9E	2	8	13	0	51	91
A3GZ0E8B9Z60J8	0	4	145	1	16	22
A2J2SK3BXBVXTE	1	4	20	1	51	38
A131IPB482MK2C	3	3	4	0	51	91
A2MSJ2NV99JXQC	3	6	7	0	51	91
A1OZEX6BNJEDBM	1	4	13	0	51	91
A325LPLXVP6F15	0	5	4	0	51	91
A1QIKQIBBIKGLD	0	3	17	0	51	91
ARMVD78URIPLF	4	4	5	0	51	91
A8757LV5QW9VX	3	16	10	0	51	91
A2YTL3NDH6JAHA	3	3	92	1	1	1
A3UTIIXWLL904I	4	4	9	0	51	91
A35C2IVVQR1HTK	2	10	3	0	51	91
A19LLI6RU662B8	4	4	25	0	51	91
A27W2GQI41K0W	3	3	6	0	51	91
ANUJTB160A13Z	4	3	78	0	51	91
A2K9VXMD7453LW	2	4	16	0	51	91
A1N5RY5DFBHT2Q	2	4	78	0	51	91
A1TFCGAYYXEVLA	1	3	5	0	51	91
A2TGH4VRQCS10Z	4	5	10	0	51	91
A3UOS7EC0NN88A	1	4	6	0	51	91
A2HID0OOMDK420	0	3	31	0	51	91
A2XHAL5LZM1PPC	2	5	14	1	24	17
A3OEGVSXY0Y07W	3	3	3	0	51	91
A3D4NL89UHIJ87	2	3	56	1	36	69
A3208DCETJQYDD	1	3	58	1	4	6
ASQKG1JENWA2M	1	4	3	0	51	91
A2945GC97CSCM8	1	4	42	1	2	1
A31C7L5241640T	3	5	25	0	51	91
A1QFGT1O6SZIHS	0	5	4	0	51	91
A1TQZ4RSHEKQ45	0	5	18	0	51	91
A1TDYS6Z6N1L9B	4	4	39	0	51	91
ACRS2XC8L3S2K	3	4	51	0	51	91
A2TWJ40S9HFUOB	2	3	19	0	51	91
A2SVJ25T8F8BTW	1	3	4	0	51	91
A3VGAP2KLCBNBB	2	20	4	1	51	59
A2RVSAIPOK5Z3H	1	6	126	1	51	51
A31RLBPR9AI8HE	3	4	58	0	51	91
A14H68GI0P8Q8N	3	3	19	0	51	91
A3AJQQEABBCYLX	4	5	19	0	51	91
AV19W38S18KEF	3	3	17	0	51	91
A2HB6YOYJPWNAL	4	8	13	0	51	91
A2G8TQFLNX5MKQ	0	3	21	0	51	91
A1YK31V8N02IFS	1	4	5	0	51	91
A3Q0M13QFMD84D	0	11	10	0	51	91
A3Q1GBD7C0999T	1	6	10	0	51	91
A19NP8YYADOOSF	1	4	5	0	51	91
AV0C12IXS9HYP	2	3	4	1	38	40
A2X4478R0TCQSF	1	5	7	0	51	91
A2B47LOX30XJ0G	1	4	27	1	1	1
A3J70SWLLQAFAT	1	6	11	0	51	91
A1OKSDRSOBXEZE	1	7	96	1	22	25
ALUUFD1P2VZEQ	1	4	27	0	51	91
A1THY8LHOAST5O	0	5	3	0	51	91
A3UEGI971RCXUU	4	4	16	0	51	91
A3BVHEIVQF5R0G	3	3	41	1	21	22
AOMKUI325W2TJ	2	5	10	0	51	91
A3W1ZA5JQVT33G	3	3	52	1	34	35
A15NFAT4JJBOO	3	4	4	0	51	91
A137V8GCRFOY74	4	10	12	0	51	91
ACIHXKMZIHV7W	1	6	1	0	51	91
A1J6SUXLMJMLLR	0	3	4	0	51	91
A2A1XYSB692L6J	2	5	7	0	51	91
AXW32H306JBP	3	6	34	1	28	31
A25369P9FFDF46	4	4	8	1	28	24
A2FI9CP6R2K9OC	2	4	5	0	51	91
A3EAUXPIL65GX5	4	5	3	0	51	91
A28GUBWX9630QJ	2	6	8	0	51	91
A1MOICOJEL4GRW	1	13	3	0	51	91
A29KEMZEV5BL2S	4	4	10	1	2	2
A2TJLZPKD1MW24	0	3	3	0	51	91
A25FWP777WLEHO	3	4	6	0	51	91
A1LACH6MLQWZ	2	8	13	1	21	18
AYCME2VJ64TAC	1	4	5	1	19	20
ASA6MO9JQS628	2	4	7	0	51	91
A1LIV3VUYJG926	4	5	5	0	51	91
A2S6QCNNN8AK91	0	20	9	0	51	91
A3N03K23S2ZEIG	4	3	3	0	51	91
A1K3BCUBHOCQMB	3	8	3	0	51	91
A37RS6K0AP1DQJ	1	3	176	0	51	91
A2LEZE5UVHFALD	4	4	39	0	51	91
A1T909MRTTF9Y	2	4	41	0	51	91
A14RYRR7ETV3UY	0	20	29	0	51	91
A3PK2QEYSBTWYI	1	3	4	1	2	2
AVX7RB9XQ29Q5	0	7	33	0	51	91
A1XBMV24O4XUTO	2	7	12	1	5	7
A2JBUYZCQAQF10	2	12	7	0	51	91
A28UMA3GW9L124	4	12	13	0	51	91
A3Q8JHRXVW2P8B	3	3	25	1	51	51
AYIVP2Q1XP3H8	4	4	25	0	51	91
A1X92E9FLWRU3H	3	3	13	0	51	91
AXN72SDUK0KQT	4	5	6	0	51	91
A2X5KTI8RDB0JH	1	4	2	1	3	3
A23P5YQ8YAHF6L	4	4	15	1	51	55
A11B61QBGHLQDN	4	15	24	0	51	91
A27S42MP4XMHV5	1	5	99	1	33	43
A62R496DI8W34	2	6	36	1	20	21
AJ48OJORP4NE4	1	5	35	0	51	91
A2TJJCSCF7YKB3	1	3	40	0	51	91
A1354C4W99WQUB	4	5	21	1	1	1
AV5980KJFVGCG	0	3	37	0	51	91
A1TSMUYO1K4L67	3	7	99	0	51	91
A5UKTFW7RTC01	1	3	10	1	51	62
A1GTFKOAZT8GQL	1	14	10	1	20	20
A35HCDS9EPCLLK	0	3	11	0	51	91
AIK0G28AWIL17	4	7	12	0	51	91
A1JWCNSL6W622O	2	3	31	1	9	10
A1VBDMNT6I8RE5	1	6	27	0	51	91
A3VGTW5DM6GH67	1	6	11	1	3	3
AS1FPHXL6YLOW	2	3	165	0	51	91
A1F7IP6EJ5DOR1	4	8	4	0	51	91
AX88IRRCYGW1S	1	6	41	0	51	91
A2XMO247S0NBJ0	0	4	8	1	2	2
