user_id	width	target_in_candidates	baseline_rank	pcrf_rank
A12VIA1V32XSZW	50	False	51	51
A2RNCAO9WTEZBF	50	False	51	51
A3N61N91YEIZ47	50	False	51	51
A33DUVUIC7G553	50	False	51	51
A2QZF4BEP2B8V0	50	False	51	51
A1NS5E60FH2H87	50	False	51	51
A1S55B77MMNXIT	50	False	51	51
AM1RY9QMBR9BJ	50	True	34	30
A2SPAROS5PSI8X	50	False	51	51
A9BLJJM9Y6R2M	50	False	51	51
A2M9PZ77KD1X1B	50	False	51	51
A2IHBYQAW5MAJN	50	False	51	51
A34HX7JHOK80XT	50	False	51	51
A1TMF8NWIY9ZLQ	50	False	51	51
A3AIHGUT2T7C22	50	False	51	51
A1JNPCJEOA7F0J	50	False	51	51
A1NSP1Y5SQRMZD	50	False	51	51
A1WM4SKXV48OML	50	False	51	51
A17APETXI65FPR	50	False	51	51
A3NJE4PPFR17UV	50	False	51	51
A2N1DTPC1Q2CD3	50	True	6	6
A3612HMUR3TDHX	50	False	51	51
A3NM1MT3Q2FHXV	50	True	12	16
A3BXZSW2LBOVIE	50	False	51	51
A3KF8OP0I238YQ	50	False	51	51
AE2MKYLMTYF21	50	False	51	51
A2HSKLKTQKKO7X	50	True	30	24
ATT0WWCICZUWD	50	True	18	15
A5VJIYS1L9YNR	50	False	51	51
A1ZNCMFIECPTVT	50	False	51	51
A2DZWQ588FQ7S7	50	False	51	51
A2CN3SLHAQOP38	50	False	51	51
A1ZJWONETIB2FB	50	False	51	51
A1HOEKWICASKWF	50	False	51	51
A3H7ADUP07D93H	50	False	51	51
A2XCK8I0OHCVYE	50	False	51	51
A37TNRVP54I09T	50	False	51	51
AUJ6L5MSMGXHB	50	False	51	51
A28621TSIR5EOG	50	False	51	51
A1ZBG67FX95ZSE	50	False	51	51
A1890IGZTB9CS5	50	False	51	51
A1GXUILQS1SKQ9	50	False	51	51
AMGM73M3JHWEA	50	False	51	51
AUOKZGW7ZSFDQ	50	False	51	51
A3T5WC8DTXRTJ5	50	True	6	11
A1ZRLMCXTTIY93	50	False	51	51
A1ZIVMC1K6LAK0	50	False	51	51
A13HXODVTD4U0V	50	False	51	51
A2A52EATFDQJ1P	50	False	51	51
A2YO7Q1ABS2533	50	False	51	51
A1RQJED4T1WLBB	50	False	51	51
A24YA4ZYCDUIKP	50	False	51	51
AC1NHNNTZURTH	50	False	51	51
AEMV9IMH665B9	50	False	51	51
A1ACH77RG6C8MN	50	False	51	51
A18FGK5F4VZPHO	50	False	51	51
A13G2RXDAJT9CE	50	False	51	51
ADJAF7ZFZ25EG	50	False	51	51
A3H3L1XNS4IN8C	50	False	51	51
A38ZYYY2V1PSQV	50	True	20	24
A3EO6O6276MKM9	50	True	2	3
A3AZIU63WQK6R	50	False	51	51
A1L91NLNUQSOEW	50	False	51	51
A5A2URQBFARLT	50	False	51	51
A2YZERYQTLB8NG	50	False	51	51
A2WQYVZMXMAQ43	50	True	33	45
AFQPCQKEICC1Z	50	True	22	35
AJE7GM46DC82Q	50	False	51	51
A3RGVDWKSIAX7E	50	False	51	51
A13X4VIMZPP4OP	50	False	51	51
A1LHYZSQ2NV0NQ	50	False	51	51
A1BCHGU0TCQ2P1	50	True	1	1
A37YUFBI23UPB8	50	False	51	51
A1LW6JG5E50L8E	50	False	51	51
A3N1ANJVA54KNP	50	True	9	7
A2KQT4D0OZR569	50	False	51	51
A1NX9IN9U4TFD8	50	False	51	51
A2XNJJ9TF70P4J	50	False	51	51
A17I90HQZKOFT5	50	False	51	51
A1I1MR6ZF3FB25	50	True	12	6
A2B2HOVV6WZGEJ	50	True	1	2
A24ZV048V7J0MT	50	False	51	51
A1CLZXR0B7YHA0	50	False	51	51
AVZVX51EXLABO	50	False	51	51
A33PBU9EHZ28PC	50	True	38	31
A13K940O9R7HSK	50	False	51	51
A1EUTHXG9Q0M3F	50	False	51	51
ADKAZSI0W1HVZ	50	False	51	51
