dataset	user_id	top50_overlap	beam50_pcrf_rank	anchored_beam200_rank	expansion_in_top10
Toys	A10332THSGIOC1	0.78	51	201	0
Toys	A108CA8X6ZYE9W	1.0	51	201	0
Toys	A10ZOXRR0QMZ9Z	0.94	51	201	0
Toys	A112JF58KKB8LP	0.84	51	201	0
Toys	A11B61QBGHLQDN	0.9	51	201	0
Toys	A11QM8IY2QS1F5	0.98	51	201	0
Toys	A12E0Y0J6584RT	1.0	2	2	0
Toys	A12H774IJ9EWZI	0.9	51	28	0
Toys	A131IPB482MK2C	0.84	51	201	1
Toys	A1354C4W99WQUB	0.8	1	1	0
Toys	A137V8GCRFOY74	0.98	51	201	0
Toys	A13H2ZRENPV9E	0.98	51	201	0
Toys	A13TUDSG4QK0P0	0.88	51	201	0
Toys	A13X4VIMZPP4OP	0.92	51	201	0
Toys	A141WC0TY1PB6L	0.88	51	201	1
Toys	A14C65X2PJPQMT	0.94	2	2	0
Toys	A14H68GI0P8Q8N	0.92	51	201	1
Toys	A14RYRR7ETV3UY	1.0	51	201	0
Toys	A14V45OKTF6U6Q	0.98	51	201	0
Toys	A153JKH35P5N2I	0.86	51	201	0
Toys	A15NFAT4JJBOO	1.0	51	201	0
Toys	A15R8O74AEX1R5	0.82	51	201	0
Toys	A16UYT4DEUXBA5	0.88	51	201	0
Toys	A17HMM1M7T9PJ1	0.9	21	22	0
Toys	A17T1ADLB2YWZR	0.8	51	201	0
Toys	A17ZPLHRUPPEG5	0.96	51	186	0
Toys	A187FKQNMXSS8L	0.98	51	26	0
Toys	A18MG1GPSEAPE9	0.82	51	201	0
Toys	A18RR55RLK90PP	0.9	51	201	0
Toys	A1954JA0H5WBJQ	0.96	51	121	0
Toys	A19LLI6RU662B8	0.76	51	116	0
Toys	A19NP8YYADOOSF	0.96	51	201	1
Toys	A19SYRKLL6PD4R	0.9	51	201	1
Toys	A19VQ5NIFBUJSV	0.86	2	2	0
Toys	A19ZCPGGWOV4UQ	0.98	2	2	0
Toys	A1AOG5U92RH6GC	0.92	51	201	0
Toys	A1BK60GZ4QME6I	0.98	51	132	0
Toys	A1BMET3MONQ1WE	0.9	51	201	1
Toys	A1BQTYVTL2W9RN	0.96	51	201	0
Toys	A1C157FRUD6JXH	1.0	51	201	0
Toys	A1C3V69D1U45HQ	0.82	51	201	0
Toys	A1C8BEFG26LC3V	0.72	51	201	0
Toys	A1CB5WCS1KQTOZ	0.96	51	201	1
Toys	A1CQ2LJA3XU7UM	0.88	51	201	0
Toys	A1CS9QXHP8LJB0	0.92	51	201	0
Toys	A1CY5WN9WX3X4	0.78	51	201	0
Toys	A1D1TYFB50XPJ2	0.92	51	201	0
Toys	A1DSCPT3MY8NSX	0.88	3	4	0
Toys	A1E38ETRELK0OU	0.86	51	201	0
Toys	A1EN4XAKX9LK4A	0.96	1	1	0
Toys	A1ESSN3AWYWUTL	0.88	51	201	0
Toys	A1EUT9DYQVQJ48	0.9	51	201	0
Toys	A1F1HEIAW7X3H	0.94	51	201	0
Toys	A1F7IP6EJ5DOR1	0.98	51	201	0
Toys	A1FII6B4HLS8XR	0.96	50	187	0
Toys	A1GN7ZHUL5R03A	0.8	51	201	0
Toys	A1GQ1JGK9YM6BU	0.96	51	201	0
Toys	A1GTFKOAZT8GQL	1.0	20	20	0
Toys	A1H70WK52G194F	0.76	2	2	1
Toys	A1HJ9P95IRZ32O	0.96	51	201	0
