user	target_item_id	action_category	base_rank	target_in_beam50	target_in_beam200	expansion_pool_size	admitted_item_ids	admitted_logits	admission_count	final_rank	promotion	regression	fallback	target_frequency	target_group
A0508779FEO1DUNOSQNX	8199	outside_union	201	0	0	150			0	201	0	0	1	11	non_tail
A0908131Z7BWYSMRQ16T	8583	expansion_only	201	0	1	150			0	201	0	0	1	63	non_tail
A106YK8JBW1JBP	8030	base_top10	2	1	1	150			0	2	0	0	1	40	non_tail
A109STTUEOR3EC	7477	outside_union	201	0	0	150			0	201	0	0	1	11	non_tail
A10AUL6XCCDWA0	5697	outside_union	201	0	0	150			0	201	0	0	1	8	non_tail
A10F0D8JQU9WBB	1027	outside_union	201	0	0	150			0	201	0	0	1	10	non_tail
A10OTOBL3K2BHE	2003	base_top10	2	1	1	150			0	2	0	0	1	103	non_tail
A12HMEFOXS3XJZ	5309	base_top10	3	1	1	150			0	3	0	0	1	11	non_tail
A134FBZA7Z64CX	6727	base_top10	9	1	1	150			0	9	0	0	1	256	non_tail
A13TQTAD4T8823	688	base_top10	7	1	1	150			0	7	0	0	1	85	non_tail
A13TUGAAI1Y63A	8646	expansion_only	201	0	1	150			0	201	0	0	1	34	non_tail
A13WN40LHLGBXP	5837	outside_union	201	0	0	150			0	201	0	0	1	6	non_tail
A13XQPWNCS2CHP	10753	base_top10	1	1	1	150			0	1	0	0	1	163	non_tail
A14SPSO3JNIBB0	1178	expansion_only	201	0	1	150			0	201	0	0	1	13	non_tail
A14WZ6G7PG67LP	6748	base_top10	1	1	1	150			0	1	0	0	1	4	tail
A14Z6D3IRJ23F7	9951	base_top10	1	1	1	150			0	1	0	0	1	7	non_tail
A152E3LL0P4C4T	4209	base_11_50	11	1	1	150			0	201	0	0	1	56	non_tail
A15COO4M0DUCZX	9341	outside_union	201	0	0	150			0	201	0	0	1	15	non_tail
A15R00LN8L815Z	11769	base_top10	6	1	1	150			0	6	0	0	1	35	non_tail
A15TL2CG1T0VOW	4393	base_top10	1	1	1	150			0	1	0	0	1	2	tail
A160VWZVLL6O8G	8812	outside_union	201	0	0	150			0	201	0	0	1	5	tail
A16EIVIBBXFAQ0	10571	base_top10	1	1	1	150			0	1	0	0	1	122	non_tail
A16KNJPLDWSPCP	10418	base_top10	1	1	1	150			0	1	0	0	1	0	tail
A16W9X9A32Z0U5	7312	base_top10	1	1	1	150			0	1	0	0	1	13	non_tail
A173581I2AGT94	12065	base_top10	1	1	1	150			0	1	0	0	1	79	non_tail
A174HNP78HTXWK	7047	base_top10	1	1	1	150			0	1	0	0	1	8	non_tail
A17SZZO9LM3WYC	6235	expansion_only	201	0	1	150			0	201	0	0	1	30	non_tail
