user	target_item_id	action_category	base_rank	target_in_beam50	target_in_beam200	expansion_pool_size	admitted_item_ids	admitted_logits	admission_count	final_rank	promotion	regression	fallback	target_frequency	target_group
A10BAU1962PTFU	2034	outside_union	201	0	0	150			0	201	0	0	1	15	non_tail
A10F0D8JQU9WBB	6606	expansion_only	201	0	1	150			0	201	0	0	1	13	non_tail
A10TF6TUAV0XZP	8051	base_top10	2	1	1	150			0	2	0	0	1	13	non_tail
A10YWQ4AAAE29O	10671	base_11_50	21	1	1	150			0	201	0	0	1	22	non_tail
A119NOJLISZUGP	2296	outside_union	201	0	0	150			0	201	0	0	1	67	non_tail
A11AW1AVGA058V	3629	base_top10	1	1	1	150			0	1	0	0	1	19	non_tail
A11JS5RTL6YD76	3465	base_top10	3	1	1	150			0	3	0	0	1	2	tail
A11YV8Y3CIA8L7	10297	base_top10	1	1	1	150			0	1	0	0	1	2	tail
A12CGWEDV5M90H	9160	base_11_50	15	1	1	150			0	201	0	0	1	3	tail
A12G3MCCXFSA91	4832	base_top10	4	1	1	150			0	4	0	0	1	31	non_tail
A12J5O4DG80I56	10636	base_top10	2	1	1	150			0	2	0	0	1	2	tail
A12Q1DFSKXYC8A	3974	outside_union	201	0	0	150			0	201	0	0	1	8	non_tail
A13NSQQSABDB8A	11833	base_top10	1	1	1	150			0	1	0	0	1	10	non_tail
A13WBUX01Q4D35	4599	outside_union	201	0	0	150			0	201	0	0	1	22	non_tail
A14D004DHSPWI1	916	base_top10	7	1	1	150			0	7	0	0	1	32	non_tail
A14JU74UUGJ8GZ	6792	outside_union	201	0	0	150			0	201	0	0	1	14	non_tail
A14MSHFCXPARFS	11311	base_top10	1	1	1	150			0	1	0	0	1	14	non_tail
A14Z6D3IRJ23F7	5063	expansion_only	201	0	1	150	5063	1.89360295	1	10	1	0	0	15	non_tail
A152XSHQSE5ZYX	302	outside_union	201	0	0	150			0	201	0	0	1	23	non_tail
A15CL28ALB7MTZ	10400	base_top10	1	1	1	150			0	1	0	0	1	14	non_tail
A15SQKU2FU3Q9J	3863	outside_union	201	0	0	150			0	201	0	0	1	13	non_tail
A161551RD9VLFO	3559	outside_union	201	0	0	150			0	201	0	0	1	4	tail
A161A1G6A65GT3	8155	base_top10	1	1	1	150	2179	0.272390449	1	1	0	0	0	5	non_tail
A168HSVFKAT2I7	4707	base_top10	5	1	1	150			0	5	0	0	1	140	non_tail
A16EIVIBBXFAQ0	11536	base_top10	1	1	1	150			0	1	0	0	1	6	non_tail
A16IQIEFLGEQCB	6918	base_top10	2	1	1	150			0	2	0	0	1	14	non_tail
A16RFQ983KGU3P	6012	base_top10	1	1	1	150			0	1	0	0	1	4	tail
A16YH0N8OTI0Y8	4272	base_top10	1	1	1	150			0	1	0	0	1	20	non_tail
A171MWA0DTRG0U	8578	base_top10	2	1	1	150			0	2	0	0	1	18	non_tail
A174HNP78HTXWK	1124	base_top10	3	1	1	150			0	3	0	0	1	4	tail
A17J1191W4F8MI	9524	expansion_only	201	0	1	150			0	201	0	0	1	30	non_tail
A17SZZO9LM3WYC	11249	base_top10	1	1	1	150			0	1	0	0	1	12	non_tail
A17ZTM5OXAPRH0	6393	base_top10	1	1	1	150			0	1	0	0	1	75	non_tail
A183M0APB0QYD3	7261	base_top10	5	1	1	150			0	5	0	0	1	27	non_tail
A183VX9JGPARDF	1538	base_top10	3	1	1	150			0	3	0	0	1	52	non_tail
A185GVCGMWD2Y3	3457	outside_union	201	0	0	150			0	201	0	0	1	3	tail
A18Q78Q3MLU4CM	8125	expansion_only	201	0	1	150			0	201	0	0	1	11	non_tail
A18TZWC6E47R4P	3784	base_top10	1	1	1	150			0	1	0	0	1	4	tail
A18W7078NJ56LL	8380	outside_union	201	0	0	150	5159	1.59973763	1	201	0	0	0	10	non_tail
A19D3N662QS9WD	11099	base_11_50	13	1	1	150			0	201	0	0	1	29	non_tail
A19DC5DBKRZ7JS	5990	expansion_only	201	0	1	150			0	201	0	0	1	29	non_tail
A19I5EON4RHOUM	6061	outside_union	201	0	0	150			0	201	0	0	1	5	non_tail
A19SYRKLL6PD4R	5904	base_top10	1	1	1	150			0	1	0	0	1	4	tail
A1AF4TSD5TIGBH	427	outside_union	201	0	0	150			0	201	0	0	1	3	tail
A1AF71HM3SORDF	6168	base_top10	1	1	1	150			0	1	0	0	1	1	tail
A1ANUPOZODV01D	1655	base_top10	1	1	1	150			0	1	0	0	1	77	non_tail
A1B1NRB23SZLJA	9660	base_top10	1	1	1	150			0	1	0	0	1	40	non_tail
A1BRSH22638NPR	8635	outside_union	201	0	0	150			0	201	0	0	1	3	tail
A1BSKN1R7N6282	10800	base_top10	1	1	1	150			0	1	0	0	1	2	tail
A1BZN88T4GSZG0	4959	outside_union	201	0	0	150			0	201	0	0	1	14	non_tail
A1C19MMLBEY1DC	3300	outside_union	201	0	0	150			0	201	0	0	1	7	non_tail
A1C5TCCR2IGKBU	9158	base_11_50	23	1	1	150			0	201	0	0	1	29	non_tail
A1CFHQS6KRXYVD	8930	base_top10	2	1	1	150			0	2	0	0	1	39	non_tail
A1DOG75V4DP366	8403	expansion_only	201	0	1	150			0	201	0	0	1	27	non_tail
A1DRERP9IF63WI	9722	base_top10	3	1	1	150			0	3	0	0	1	5	non_tail
A1DU9PPNW1DLQU	8099	outside_union	201	0	0	150			0	201	0	0	1	4	tail
A1DUTLBEGOL9R3	7591	outside_union	201	0	0	150			0	201	0	0	1	3	tail
A1EMN4T3ROJDOO	2211	expansion_only	201	0	1	150			0	201	0	0	1	4	tail
A1F5OY7EX54U7M	7492	expansion_only	201	0	1	150			0	201	0	0	1	13	non_tail
A1FB8H2AN6UAJY	10332	base_top10	1	1	1	150			0	1	0	0	1	2	tail
A1FPVTPIJF9IIQ	8766	base_top10	2	1	1	150			0	2	0	0	1	9	non_tail
A1FT3F8GLYQRW4	1950	outside_union	201	0	0	150			0	201	0	0	1	6	non_tail
A1G3F434972YRL	8095	base_top10	3	1	1	150			0	3	0	0	1	17	non_tail
A1GCFTFXELCHRP	6083	base_top10	1	1	1	150			0	1	0	0	1	9	non_tail
A1GJ7C1BO1Z7IM	3229	base_top10	1	1	1	150			0	1	0	0	1	37	non_tail
A1GSSN23YNSNTN	2358	base_top10	2	1	1	150			0	2	0	0	1	11	non_tail
A1GUB4F7K6C5SQ	9079	base_top10	1	1	1	150			0	1	0	0	1	14	non_tail
A1HAG8TEP2KMMC	3465	base_top10	3	1	1	150			0	3	0	0	1	2	tail
A1HDOWX4PJBFMP	6618	expansion_only	201	0	1	150			0	201	0	0	1	14	non_tail
A1HKWPX0S5FSZ0	1507	base_top10	3	1	1	150			0	3	0	0	1	25	non_tail
A1I9M7250WA3O9	2672	outside_union	201	0	0	150			0	201	0	0	1	15	non_tail
A1ICTBVZZ523H0	9835	expansion_only	201	0	1	150			0	201	0	0	1	5	non_tail
A1IF3VUAXBTX00	9717	base_top10	1	1	1	150			0	1	0	0	1	6	non_tail
A1IH0SOQAJKLDK	5364	base_top10	2	1	1	150			0	2	0	0	1	52	non_tail
A1IHK8GL1ESOND	7376	base_top10	1	1	1	150			0	1	0	0	1	30	non_tail
A1IKU3OV2ZG87I	9599	outside_union	201	0	0	150			0	201	0	0	1	3	tail
A1IULYKSTVM6YQ	7349	base_top10	5	1	1	150			0	5	0	0	1	33	non_tail
A1IVOX9DLBZFYH	3210	base_top10	1	1	1	150			0	1	0	0	1	7	non_tail
A1J1GB9BFJXIVW	9532	base_top10	1	1	1	150			0	1	0	0	1	13	non_tail
A1JE7ZFZ71MR13	3629	outside_union	201	0	0	150			0	201	0	0	1	19	non_tail
A1JWJPYSVWV9C1	10380	base_top10	9	1	1	150			0	9	0	0	1	39	non_tail
A1KM83BPOVAC4Q	7145	expansion_only	201	0	1	150			0	201	0	0	1	12	non_tail
A1LW0G97AIJ0PV	3958	base_top10	4	1	1	150			0	4	0	0	1	2	tail
A1MF49W2L3JYJA	8886	outside_union	201	0	0	150			0	201	0	0	1	11	non_tail
A1MG8VXQJ22RY9	10290	base_11_50	16	1	1	150			0	201	0	0	1	4	tail
A1MGBXKRVU3HE3	712	base_top10	1	1	1	150			0	1	0	0	1	6	non_tail
A1MLWBXIANIF15	1934	base_11_50	16	1	1	150			0	201	0	0	1	16	non_tail
A1NW4WH9I2BK7I	10186	base_top10	1	1	1	150			0	1	0	0	1	13	non_tail
A1O4WUUBSIBSUQ	997	outside_union	201	0	0	150			0	201	0	0	1	4	tail
A1OKNIKI54VQ1K	5585	base_top10	3	1	1	150			0	3	0	0	1	4	tail
A1OMGQEEHGWBSQ	3696	base_top10	2	1	1	150			0	2	0	0	1	68	non_tail
A1ORGY041O4KB2	5532	outside_union	201	0	0	150			0	201	0	0	1	2	tail
A1P49TW6DHKUOA	782	outside_union	201	0	0	150			0	201	0	0	1	111	non_tail
A1PKRO48Z2QTFV	5107	base_top10	2	1	1	150			0	2	0	0	1	22	non_tail
A1Q9UVHD2PGCVU	11877	base_top10	1	1	1	150			0	1	0	0	1	1	tail
A1QAOZV4ZAGDN6	8181	base_top10	2	1	1	150			0	2	0	0	1	15	non_tail
A1QF02NKAIQQG9	7708	base_top10	3	1	1	150			0	3	0	0	1	20	non_tail
A1QIG4GA2JATX3	10965	base_top10	4	1	1	150			0	4	0	0	1	0	tail
A1R0GLUZPX5YHG	9690	outside_union	201	0	0	150			0	201	0	0	1	16	non_tail
A1RK5GJ4M1OWAF	7910	expansion_only	201	0	1	150	7910||6067	1.35119651||0.0770605911	2	9	1	0	0	4	tail
A1RLGLP70NMFYC	3502	outside_union	201	0	0	150			0	201	0	0	1	2	tail
A1RN05IH519MPJ	2511	base_top10	2	1	1	150			0	2	0	0	1	47	non_tail
A1S5K0O8Z8UMIF	5583	expansion_only	201	0	1	150	5583	2.99024858	1	10	1	0	0	2	tail
A1S70O1A0WL6OH	5079	outside_union	201	0	0	150			0	201	0	0	1	4	tail
A1S78V0MOUYFUA	916	base_top10	6	1	1	150			0	6	0	0	1	32	non_tail
A1S8S97EK3Q09O	1449	base_11_50	18	1	1	150			0	201	0	0	1	1	tail
A1SC5GK8V38DAS	10880	base_top10	2	1	1	150			0	2	0	0	1	10	non_tail
A1SE6TN4EGB7W6	10836	base_top10	8	1	1	150			0	8	0	0	1	7	non_tail
A1SH2M6JRZH6QW	4169	expansion_only	201	0	1	150			0	201	0	0	1	11	non_tail
A1TAGNV4NJHJXX	147	base_top10	4	1	1	150			0	4	0	0	1	2	tail
A1TLR4ZUJG33Q	8804	base_top10	3	1	1	150			0	3	0	0	1	2	tail
A1U0OF3A6LBN2U	1352	outside_union	201	0	0	150			0	201	0	0	1	5	non_tail
A1UH051MWYC0E0	3134	base_top10	1	1	1	150			0	1	0	0	1	8	non_tail
A1UQ6TU13BPOWG	5505	base_top10	1	1	1	150			0	1	0	0	1	107	non_tail
A1UW9VL3RKIW6K	10896	base_top10	1	1	1	150			0	1	0	0	1	33	non_tail
A1VLYYD1QODB21	6296	expansion_only	201	0	1	150	6296	2.81588507	1	10	1	0	0	29	non_tail
A1W53UA42M6OLX	7220	outside_union	201	0	0	150			0	201	0	0	1	33	non_tail
A1W84YXJ54KG02	3157	base_top10	7	1	1	150			0	7	0	0	1	8	non_tail
A1W8I22GCOX63A	6949	expansion_only	201	0	1	150	6949	0.548780349	1	10	1	0	0	48	non_tail
A1W9DJJ666BCW4	9761	outside_union	201	0	0	150			0	201	0	0	1	17	non_tail
A1WLE5121F7M00	11370	base_top10	1	1	1	150			0	1	0	0	1	1	tail
A1X0JVM9QJAF7I	8746	outside_union	201	0	0	150			0	201	0	0	1	2	tail
A1X425K3AYOEEY	7834	base_top10	1	1	1	150			0	1	0	0	1	64	non_tail
A1XHN0YDMZGWQW	8278	base_top10	2	1	1	150			0	2	0	0	1	27	non_tail
A1XNGAZP0EZ4KA	4107	outside_union	201	0	0	150			0	201	0	0	1	4	tail
A1XVZHZ8LLIPN	6586	base_top10	2	1	1	150			0	2	0	0	1	29	non_tail
A1XY24RHJ0KT5W	1420	outside_union	201	0	0	150			0	201	0	0	1	9	non_tail
A1Y1IE41K2NDT1	11344	base_top10	5	1	1	150			0	5	0	0	1	5	non_tail
A1Y45O5RRPWTEJ	4921	base_top10	2	1	1	150			0	2	0	0	1	11	non_tail
A1Y9GIN3KAO24L	906	base_top10	10	1	1	150			0	10	0	0	1	17	non_tail
A1YDLICMQW2DPT	3338	outside_union	201	0	0	150			0	201	0	0	1	3	tail
A1YJZ8IQCIC4JH	920	base_top10	4	1	1	150			0	4	0	0	1	13	non_tail
A1YOCT982DFTKQ	2124	expansion_only	201	0	1	150			0	201	0	0	1	34	non_tail
A1YQ43VPX0LKBC	7563	expansion_only	201	0	1	150			0	201	0	0	1	6	non_tail
A1ZH5ULI4SBO48	10595	base_top10	1	1	1	150			0	1	0	0	1	6	non_tail
A20ESD3SE5HLVC	11404	base_top10	2	1	1	150			0	2	0	0	1	19	non_tail
A20J0NBT6FWXXM	8282	base_top10	2	1	1	150			0	2	0	0	1	23	non_tail
A218NB41IQE8B4	6691	expansion_only	201	0	1	150			0	201	0	0	1	29	non_tail
A21AT5SEXJWD1C	10987	outside_union	201	0	0	150			0	201	0	0	1	1	tail
A21CFA4TPG7E5V	9511	base_top10	1	1	1	150			0	1	0	0	1	26	non_tail
A21M2FMZVA3ZT7	5045	base_top10	10	1	1	150			0	10	0	0	1	5	non_tail
A21QC2AASBR09L	9342	expansion_only	201	0	1	150	9342	1.01765228	1	10	1	0	0	19	non_tail
A21VMME3RYDJZ5	2605	expansion_only	201	0	1	150			0	201	0	0	1	24	non_tail
A226GFM0Q9L37H	11588	base_top10	1	1	1	150			0	1	0	0	1	24	non_tail
A22S4C01D1O01K	4773	outside_union	201	0	0	150			0	201	0	0	1	3	tail
A234QAB7HNXNGC	2288	outside_union	201	0	0	150			0	201	0	0	1	37	non_tail
A23TQ1COUTL5AN	6101	base_top10	1	1	1	150			0	1	0	0	1	6	non_tail
A23Y8K41CDVA7N	176	base_top10	1	1	1	150			0	1	0	0	1	42	non_tail
A24GGAR2UUL06M	10670	base_top10	4	1	1	150			0	4	0	0	1	33	non_tail
A24RR8LLPYVVAU	4619	expansion_only	201	0	1	150	4619	2.83403988	1	10	1	0	0	2	tail
A24S9OK74AFS38	989	base_top10	4	1	1	150			0	4	0	0	1	21	non_tail
A25GXPS2BAR2C5	7722	expansion_only	201	0	1	150	7722	0.406118442	1	10	1	0	0	2	tail
A25XX0BX2APM8Q	784	base_top10	8	1	1	150			0	8	0	0	1	13	non_tail
A265BJFAETXP41	3964	base_top10	3	1	1	150			0	3	0	0	1	26	non_tail
A269T79S8V4OCX	490	outside_union	201	0	0	150			0	201	0	0	1	14	non_tail
A26XIJUJK1KRL0	5380	outside_union	201	0	0	150			0	201	0	0	1	18	non_tail
A277TO3PKKNYDH	8795	base_top10	7	1	1	150			0	7	0	0	1	8	non_tail
A27LVAO4K9VJVM	8930	base_top10	1	1	1	150			0	1	0	0	1	39	non_tail
A28QKOPBDPSHE5	1754	base_top10	1	1	1	150			0	1	0	0	1	9	non_tail
A28X0LT2100RL1	10178	base_top10	1	1	1	150			0	1	0	0	1	17	non_tail
A29M09QBG9TZLP	3052	base_11_50	12	1	1	150			0	201	0	0	1	11	non_tail
A29TIA5LX5QTRN	8549	base_top10	1	1	1	150			0	1	0	0	1	29	non_tail
A29UNXK7F3S93L	11049	base_top10	1	1	1	150			0	1	0	0	1	0	tail
A29XMCU3LHV9NB	8126	base_top10	2	1	1	150			0	2	0	0	1	68	non_tail
A2A3NZPXIMD620	5518	outside_union	201	0	0	150			0	201	0	0	1	2	tail
A2AFRV0A0B48VP	5353	expansion_only	201	0	1	150			0	201	0	0	1	5	non_tail
A2AHGR1EMFXB1E	10331	base_top10	1	1	1	150			0	1	0	0	1	2	tail
A2ASW9U4YQ0H22	11066	base_top10	5	1	1	150			0	5	0	0	1	44	non_tail
A2B6ZD5AYVIF5U	10293	expansion_only	201	0	1	150			0	201	0	0	1	3	tail
A2BKJFQ3W2IWFO	2071	outside_union	201	0	0	150			0	201	0	0	1	16	non_tail
A2BSB3STRK5PNX	8055	base_top10	2	1	1	150			0	2	0	0	1	13	non_tail
A2CEUUD4H3JV8D	10005	base_top10	1	1	1	150			0	1	0	0	1	5	non_tail
A2CV9RK6P9IY0	6596	expansion_only	201	0	1	150			0	201	0	0	1	3	tail
A2D31YEWK7OI83	7811	base_top10	5	1	1	150			0	5	0	0	1	3	tail
A2DB720I9XRX7K	8905	base_top10	1	1	1	150			0	1	0	0	1	7	non_tail
A2E2PA6UNK1E05	8462	base_top10	3	1	1	150			0	3	0	0	1	30	non_tail
A2E8FKPFV98B8T	4169	base_top10	2	1	1	150			0	2	0	0	1	11	non_tail
A2EDRI3WWKLJQR	6117	base_top10	1	1	1	150			0	1	0	0	1	13	non_tail
