dataset	split	user	target_item_id	target_logit	target_rank_in_expansion	target_passes_margin	target_selected_top3	passing_candidates	max_nontarget_logit
Beauty	calibration_t_minus_3	A0908131Z7BWYSMRQ16T	8583	-1.7303860418161534	1	0	0	0	-2.9893131344346147
Beauty	calibration_t_minus_3	A13TUGAAI1Y63A	8646	-0.07194266053913001	1	0	0	0	-2.9108938729106573
Beauty	calibration_t_minus_3	A14SPSO3JNIBB0	1178	-0.8436616048796228	1	0	0	0	-3.576974065836752
Beauty	calibration_t_minus_3	A17SZZO9LM3WYC	6235	-0.03580133656461015	1	0	0	0	-1.4982479542656328
Beauty	calibration_t_minus_3	A181T1U7WRODR9	8535	-2.6918653613699774	7	0	0	0	-2.073000578776883
Beauty	calibration_t_minus_3	A19H26P1506RY7	6922	-3.342933019976554	4	0	0	0	-3.077327027891089
Beauty	calibration_t_minus_3	A1EMN4T3ROJDOO	11926	-0.8907354756809003	1	0	0	0	-1.7319930251175606
Beauty	calibration_t_minus_3	A1FAB16HNAOHUY	4217	1.6098795715335328	1	1	1	1	-2.3370012801496562
Beauty	calibration_t_minus_3	A1H4X14Y3GUA1X	7817	-1.0666823201927906	2	0	0	0	-0.6342238818747479
Beauty	calibration_t_minus_3	A1KVIG0J3ZQL4P	11788	0.062257143452610464	1	1	1	1	-2.3232337022847984
Beauty	calibration_t_minus_3	A1PDG1XIQRWJPV	5516	1.3897004471366152	1	1	1	1	-2.1071789261580385
Beauty	calibration_t_minus_3	A1PT8N9C5YZKV4	4911	-5.063398241177106	20	0	0	0	-3.19848099468146
Beauty	calibration_t_minus_3	A1QK42BCY45IW4	10009	-1.2967181934327172	1	0	0	0	-1.624527499666172
Beauty	calibration_t_minus_3	A1RK5GJ4M1OWAF	338	-2.6070280239415897	2	0	0	0	-2.0226379156560945
Beauty	calibration_t_minus_3	A1TZV66U1F739	8136	-1.3071563747750643	1	0	0	0	-3.1312319162094524
Beauty	calibration_t_minus_3	A1U230LLZNZA02	10034	-0.9505894651932483	1	0	0	0	-2.3448994585496976
Beauty	calibration_t_minus_3	A1U4A5YKJ6JCH5	9119	0.5856009640365638	1	1	1	1	-1.9173029577035763
Beauty	calibration_t_minus_3	A1VOCYS5FD7UFG	10287	1.5374464029226793	1	1	1	1	-1.6037910744719124
Beauty	calibration_t_minus_3	A1WS149YCMVWHD	3894	-1.469821873038434	1	0	0	0	-3.658905249346393
Beauty	calibration_t_minus_3	A1Y5V1ZOY5WVA	8462	-3.9111947125088067	2	0	0	0	-3.8020048789406573
Beauty	calibration_t_minus_3	A1YSVN7EBQZ5XT	7597	0.473130796279726	1	1	1	1	-3.7442404621398495
Beauty	calibration_t_minus_3	A217EPPTRKOTI	6613	-5.482340563197237	11	0	0	0	-3.7626658129227035
Beauty	calibration_t_minus_3	A21IMS76KY1VPC	5192	-2.051559937476469	1	0	0	0	-2.5097378658270877
Beauty	calibration_t_minus_3	A226GFM0Q9L37H	10698	-3.660892330087046	36	0	0	0	-0.21958201788599574
Beauty	calibration_t_minus_3	A24VASNAOK0TY	2175	1.9983268595762649	1	1	1	1	-1.7743205177591648
Beauty	calibration_t_minus_3	A25D1NBIOZJ7M2	3313	2.477343901368947	1	1	1	1	-2.567155025877141
Beauty	calibration_t_minus_3	A25O3WEZ0CA34T	4355	-2.631884177024668	1	0	0	0	-3.4302143621071686
