dataset	split	user	target_item_id	target_logit	target_rank_in_expansion	target_passes_margin	target_selected_top3	passing_candidates	max_nontarget_logit
Toys	calibration_t_minus_3	A10F0D8JQU9WBB	6606	-1.1467260368577818	1	0	0	0	-1.3149029187913737
Toys	calibration_t_minus_3	A14Z6D3IRJ23F7	5063	1.8936029513358985	1	1	1	1	-0.6095809399446583
Toys	calibration_t_minus_3	A17J1191W4F8MI	9524	-2.4164734253421347	1	0	0	0	-3.6414636261040343
Toys	calibration_t_minus_3	A18Q78Q3MLU4CM	8125	-3.3543442827126837	3	0	0	0	-2.0594389952800123
Toys	calibration_t_minus_3	A19DC5DBKRZ7JS	5990	-1.5328255702253761	1	0	0	0	-3.566319688240495
Toys	calibration_t_minus_3	A1DOG75V4DP366	8403	-4.5415300264943985	16	0	0	0	-2.551893959908284
Toys	calibration_t_minus_3	A1EMN4T3ROJDOO	2211	-3.7237848613477125	7	0	0	0	-3.1060396441377645
Toys	calibration_t_minus_3	A1F5OY7EX54U7M	7492	-0.03704035422720686	1	0	0	0	-2.210112522477732
Toys	calibration_t_minus_3	A1HDOWX4PJBFMP	6618	-3.402389821307712	1	0	0	0	-4.503155359400477
Toys	calibration_t_minus_3	A1ICTBVZZ523H0	9835	-1.5894537151375578	1	0	0	0	-2.7829542803606646
Toys	calibration_t_minus_3	A1KM83BPOVAC4Q	7145	-0.4250486411263097	1	0	0	0	-2.1809198027316867
Toys	calibration_t_minus_3	A1RK5GJ4M1OWAF	7910	1.3511965123830372	1	1	1	2	0.0770605911303388
Toys	calibration_t_minus_3	A1S5K0O8Z8UMIF	5583	2.990248577613107	1	1	1	1	-2.2702665320446895
Toys	calibration_t_minus_3	A1SH2M6JRZH6QW	4169	-2.2469690434835092	3	0	0	0	-1.7717326287507955
Toys	calibration_t_minus_3	A1VLYYD1QODB21	6296	2.8158850748851556	1	1	1	1	-1.5070620234467729
Toys	calibration_t_minus_3	A1W8I22GCOX63A	6949	0.5487803488172194	1	1	1	1	-1.9314441817699297
Toys	calibration_t_minus_3	A1YOCT982DFTKQ	2124	-1.8861124354051828	1	0	0	0	-2.8785108914392277
Toys	calibration_t_minus_3	A1YQ43VPX0LKBC	7563	-5.150682666947633	20	0	0	0	-2.9531733476664686
Toys	calibration_t_minus_3	A218NB41IQE8B4	6691	-3.4585293179621823	2	0	0	0	-1.3100929526950118
