user,stratum,target,history_length,full_hit50,target_tail,selection_hash,newest_item,oldest_item
A1022QCIW8Z720,head_hit,B005FJQQMC,11,1,0,002410273681b0ce37c9e4b924fe351460631fc4a27dcb3d588779f0964f2a1d,B004DK0UDA,B000AADEP8
A2E9QY9G6O20BQ,head_hit,B00A51LI1O,9,1,0,0033b53156f16d94bfea017e1bd52f1e2e2ea19918854e5af2a8d03526f77c45,B00853EYZQ,B002S8RWYY
A2BMZRO0H7TFCS,head_hit,B00A0J09G6,5,1,0,0044eb18a6afea5ce1c4a05ce1a919d192310b336fc92ad8d1137dd9c078f22d,B009YSSLAU,B003BJZ1M4
A1B57QL7VO83GH,head_hit,B002MSN3QQ,3,1,0,0049cfae2517ecc7be2b98e6ab531f2e1a0388360b4ad0723d29de934ffd863c,B00C8FVY3M,B0012XO2W6
ARVRHICSF1HJ,head_hit,B0061YRVOC,14,1,0,00586579949e365f2259d0ccb87d75d63660394851ce025c53ad2f597e4482cf,B0061KQEVW,B000O3OZD6
A1W7BPELKI494R,head_hit,B00KCTER3U,13,1,0,005c0792614301d559113132069dd347d0fa9215b763d33f87f41dea35c7fc09,B00KCFAZTE,B00CNOUZE2
A1PDILN0SG4OI6,head_hit,B006ENQHLS,13,1,0,007d6f5ea84b8ffc8886e20e3a25a936bf5b78c811f03048a7a38dbf4ade7b4b,B0061YRVMO,B001JKTTVQ
A1E8L3PG4Q1G7A,head_hit,B00699IIW8,4,1,0,0088aaed7862bf381c9f7e0d68d487f56c5e35e3b3f3f8e15f40ee471b1cda30,B005XRZO0G,B000142C1A
A1235VEPYG7KG9,head_hit,B007XA49O8,4,1,0,0088cff729cd1e5d0336785fb1ef6e8453b4fb00f53cd8442de8c4fdb44b5d12,B003K9KZHG,B000ZMBSPE
A9KLAL1CXZ0W5,head_hit,B00GLS593S,16,1,0,00a0f991fbed5858cf3de39092174e2ce0e448422075207ac64cb71b30ea1f9d,B00HNKRWII,B0054MSBZA
AW5JSQCHC2ZJO,head_hit,B00GTBZN4C,20,1,0,00a58c4fd716ddd969ffc14aa98923340953651cb02ee486822537e267135899,B00CBD0M8Y,B001GIOW3G
A2N8FJ7TG8YW7R,head_hit,B000Q7XDR4,3,1,0,00aae73fb9b95ef4e69f44356c7ac602338524c82e03f06641c4c6006db1c8aa,B002WJOOIQ,B002UU9Q6W
A2KYFJPCOJY35Q,head_hit,B004K3D0FK,3,1,0,00ca354b8ceb72abc8dab730ab5b85c349f599b7416b2efbe2d850b1227b929f,B002DVHTFI,B002G392OE
