user,stratum,history_length,lp_full,lp_coarse_only,lp_minus_oldest,lp_minus_newest,g_all,g_old,g_new
A1022QCIW8Z720,head_hit,11,-0.7351198792457581,-0.8236322402954102,-0.7781967520713806,-0.8330553770065308,-0.0885123610496521,-0.04307687282562256,-0.0979354977607727
A2E9QY9G6O20BQ,head_hit,9,-0.6263378858566284,-0.802681028842926,-0.6147444844245911,-0.5349999666213989,-0.1763431429862976,0.011593401432037354,0.09133791923522949
A2BMZRO0H7TFCS,head_hit,5,-0.34051743149757385,-1.1867903470993042,-0.33244067430496216,-0.498524010181427,-0.8462729156017303,0.008076757192611694,-0.15800657868385315
A1B57QL7VO83GH,head_hit,3,-0.5001861453056335,-1.0605814456939697,-0.5167988538742065,-0.7632859945297241,-0.5603953003883362,-0.016612708568572998,-0.2630998492240906
ARVRHICSF1HJ,head_hit,14,-0.1461317241191864,-1.6291126012802124,-0.16123366355895996,-0.7151328325271606,-1.482980877161026,-0.01510193943977356,-0.5690011084079742
A1W7BPELKI494R,head_hit,13,-0.12642887234687805,-2.18685245513916,-0.11968578398227692,-0.7696266174316406,-2.060423582792282,0.006743088364601135,-0.6431977450847626
A1PDILN0SG4OI6,head_hit,13,-0.07950029522180557,-1.2452800273895264,-0.06068325787782669,-0.9923287034034729,-1.1657797321677208,0.018817037343978882,-0.9128284081816673
A1E8L3PG4Q1G7A,head_hit,4,-0.7960638403892517,-0.555885374546051,-0.8285946846008301,-0.2897188067436218,0.24017846584320068,-0.03253084421157837,0.5063450336456299
A1235VEPYG7KG9,head_hit,4,-0.8046911358833313,-1.2931478023529053,-0.78252774477005,-0.7540999054908752,-0.488456666469574,0.02216339111328125,0.050591230392456055
A9KLAL1CXZ0W5,head_hit,16,-0.6490453481674194,-1.5700738430023193,-0.6122066974639893,-0.9092912673950195,-0.9210284948348999,0.036838650703430176,-0.2602459192276001
