user,stratum,target,history_length,full_hit50,target_tail,selection_hash,newest_item,oldest_item
A3D5B2CBFNJB0K,head_hit,B00B28IQ50,20,1,0,001f98699df731c1f05481933f7bf863eb4f9f89af65b3011d5a12aa0c819249,B00ATWUE1O,B00421AGOS
A17ROMTUTETSF0,head_hit,B005AW85YG,5,1,0,003a30b158793a54dcb31c31bf148987c0fe48b9696d6650b728d5729655c4c4,B003DW92G0,B003DS19B0
A2TFXQ90NMNWTZ,head_hit,B0038ANO3O,4,1,0,0071052a4de6f874fcdb9339c7a4340b21f28bc7f93c99a69a682220c152f9a1,B000FGCY8K,B0038APBDA
A2WXLLCQWH48D9,head_hit,B00005BHK3,4,1,0,00ae6350751247ea4eb3ae55d6d55a37c52f0195f75ea08447b8e1ab9c9da55e,B00005YXV2,B00004R8VT
A26SRIXZMVHKS4,head_hit,B00A8UT562,3,1,0,00b38727b7fe892dcbb0bf0301b6f6a5faf44207942ea21b5c335c4535c51d81,B00A8UT558,B0015AM26E
A15UIL7ETZEAYU,head_hit,B0009ICKBU,3,1,0,00f09d0e70e8037bea34f1c5eb685ce362bb2dfda16e0e161efe849d223ed144,B004P4TG2A,B0043RSSHS
AX2FWBYYFEVCS,head_hit,B0002YDPY2,3,1,0,00fd74a29890d007d57e9ea3f2a223aa5e6f7d756675c4eb4ee64cd8ae2a95e5,B0001J2NKK,B00000ISR7
AZ09VU36EIHDT,head_hit,B0083TXY08,5,1,0,014882dd3620729a8bb8623031392b55fa6b81830c8fb3afaf610b02b24c2060,B0083TXX9U,B003H9MTJ6
A11IFBSF8AMW9M,head_hit,B005ZCY36K,7,1,0,0157075186e747cd52814717b2f199a80cda42747c0f06ada1bdbb654bb35e80,B0050QJTBA,B000038A8G
A2F7QC6Q9KP5SV,head_hit,B001C7617Q,4,1,0,015ed5fcffcb53e8deb9fa27634459733d91175a593fab118e9be131e021f8a9,B0043KJW5M,B0043T4C6C
A2WHXX3Y3GDHXU,head_hit,B0039S7NO6,3,1,0,0179ab3fcb13df9b3cf88001132992066ff65a9635ef00c387cfbb2875860306,B001TH8KIW,B0006N8X3M
A1P8TYY40A4FE8,head_hit,B00B3YT030,3,1,0,01bca008ba9babf8a3ae911832e6a62affacb23e3a1c9b28ada7b2f3846f190a,B008JNPBYK,B004S8F7QM
A1JAM10N2I0X4O,head_hit,B004U5R5BI,3,1,0,01bcb9e4d2e666a71bceee27012466e1e8c30f78b64db74d006372bae2ba07b9,1616611626,B001DQY9WA
