item,popularity_train,popularity_stratum,top_k_similar_item,current_link_raw,current_link_visible,current_cf_raw,current_cf_visible,current_cf_lost,current_metadata_raw,current_metadata_visible,current_metadata_lost,metadata_first_cf_raw,metadata_first_cf_visible,metadata_first_cf_lost,metadata_first_metadata_raw,metadata_first_metadata_visible,metadata_first_metadata_lost,recoverable_metadata_tokens,displaced_cf_tokens,current_metadata_retention,current_title_raw,current_title_visible,metadata_first_title_visible,current_brand_raw,current_brand_visible,metadata_first_brand_visible,current_categories_raw,current_categories_visible,metadata_first_categories_visible,current_description_raw,current_description_visible,metadata_first_description_visible,current_price_raw,current_price_visible,metadata_first_price_visible,current_salesrank_raw,current_salesrank_visible,metadata_first_salesrank_visible,current_other_metadata_raw,current_other_metadata_visible,metadata_first_other_metadata_visible
7806397051,3,nonzero_bottom50,10,7,7,79,79,0,264,34,230,79,0,79,264,117,147,83,79,0.12878787878787878,21,21,21,4,4,4,13,7,13,209,0,76,4,0,0,8,0,0,0,0,0
9759091062,9,top50,10,7,7,79,79,0,102,34,68,79,11,68,102,102,0,68,68,0.3333333333333333,17,17,17,9,9,9,17,6,17,42,0,42,4,0,4,8,0,8,0,0,0
9788072216,4,nonzero_bottom50,10,7,7,79,79,0,242,34,208,79,0,79,242,117,125,83,79,0.14049586776859505,22,22,22,5,5,5,13,5,13,184,0,74,5,0,0,8,0,0,0,0,0
9790790961,5,nonzero_bottom50,10,7,7,79,79,0,207,34,173,79,0,79,207,117,90,83,79,0.1642512077294686,17,17,17,4,4,4,13,11,13,156,0,80,5,0,0,7,0,0,0,0,0
9790794231,5,nonzero_bottom50,10,7,7,79,79,0,81,34,47,79,32,47,81,81,0,47,47,0.41975308641975306,16,16,16,5,5,5,13,11,13,29,0,29,5,0,5,8,0,8,0,0,0
B00004TMFE,19,top50,10,7,7,79,79,0,219,34,185,79,0,79,219,117,102,83,79,0.1552511415525114,21,21,21,8,8,8,9,3,9,163,0,76,4,0,0,9,0,0,0,0,0
B00004TUBL,17,top50,10,7,7,79,79,0,190,34,156,79,0,79,190,117,73,83,79,0.17894736842105263,10,10,10,3,3,3,14,14,14,143,4,87,4,0,0,5,0,0,5,0,0
B00004TUBV,4,nonzero_bottom50,10,7,7,79,79,0,285,34,251,79,0,79,285,117,168,83,79,0.11929824561403508,7,7,7,4,4,4,14,14,14,240,6,89,4,0,0,5,0,0,5,0,0
B00004U9UY,12,top50,10,7,7,79,79,0,254,34,220,79,0,79,254,117,137,83,79,0.13385826771653545,6,6,6,6,6,6,15,0,15,184,0,60,4,0,0,7,0,0,25,20,25
B00004U9V2,4,nonzero_bottom50,10,7,7,79,79,0,122,34,88,79,0,79,122,117,5,83,79,0.2786885245901639,6,6,6,5,5,5,15,2,15,59,0,59,5,0,5,8,0,3,18,18,18
B000050B6U,45,top50,10,7,7,79,79,0,285,34,251,79,0,79,285,117,168,83,79,0.11929824561403508,10,10,10,4,4,4,17,17,17,238,0,83,4,0,0,7,0,0,0,0,0
B000052WY7,4,nonzero_bottom50,10,7,7,79,79,0,88,34,54,79,25,54,88,88,0,54,54,0.38636363636363635,12,12,12,5,0,5,11,0,11,22,0,22,4,0,4,8,0,8,20,20,20
B000052WYD,45,top50,10,7,7,81,81,0,132,32,100,81,0,81,132,117,15,85,81,0.24242424242424243,20,20,20,5,5,5,13,5,13,77,0,76,4,0,0,8,0,0,0,0,0
B000052WYL,21,top50,10,7,7,79,79,0,79,34,45,79,34,45,79,79,0,45,45,0.43037974683544306,27,27,27,5,5,5,9,0,9,22,0,22,4,0,4,7,0,7,0,0,0
