item,popularity_train,popularity_stratum,top_k_similar_item,current_link_raw,current_link_visible,current_cf_raw,current_cf_visible,current_cf_lost,current_metadata_raw,current_metadata_visible,current_metadata_lost,metadata_first_cf_raw,metadata_first_cf_visible,metadata_first_cf_lost,metadata_first_metadata_raw,metadata_first_metadata_visible,metadata_first_metadata_lost,recoverable_metadata_tokens,displaced_cf_tokens,current_metadata_retention,current_title_raw,current_title_visible,metadata_first_title_visible,current_brand_raw,current_brand_visible,metadata_first_brand_visible,current_categories_raw,current_categories_visible,metadata_first_categories_visible,current_description_raw,current_description_visible,metadata_first_description_visible,current_price_raw,current_price_visible,metadata_first_price_visible,current_salesrank_raw,current_salesrank_visible,metadata_first_salesrank_visible,current_other_metadata_raw,current_other_metadata_visible,metadata_first_other_metadata_visible
0439893577,15,top50,5,5,5,29,29,0,143,86,57,29,0,29,143,119,24,33,29,0.6013986013986014,13,13,13,5,5,5,18,18,18,24,24,24,4,0,0,6,0,0,67,22,55
048645195X,9,top50,5,5,5,29,29,0,52,52,0,29,29,0,52,52,0,0,0,1.0,8,8,8,5,5,5,15,15,15,5,5,5,4,4,4,10,10,10,0,0,0
0545496470,5,nonzero_bottom50,5,5,5,29,29,0,61,61,0,29,29,0,61,61,0,0,0,1.0,18,18,18,5,5,5,12,12,12,5,5,5,4,4,4,10,10,10,1,1,1
0615444172,5,nonzero_bottom50,5,5,5,29,29,0,148,86,62,29,0,29,148,119,29,33,29,0.581081081081081,16,16,16,5,5,5,14,14,14,95,48,81,4,0,0,9,0,0,0,0,0
0670010936,7,top50,5,5,5,29,29,0,128,86,42,29,0,29,128,119,9,33,29,0.671875,12,12,12,5,5,5,13,13,13,79,53,79,5,0,5,9,0,0,0,0,0
0735308365,8,top50,5,5,5,29,29,0,167,86,81,29,0,29,167,119,48,33,29,0.5149700598802395,10,10,10,5,5,5,10,10,10,124,58,91,4,0,0,9,0,0,0,0,0
0735321396,6,nonzero_bottom50,5,5,5,29,29,0,105,86,19,29,10,19,105,105,0,19,19,0.819047619047619,10,10,10,5,5,5,18,18,18,54,50,54,4,0,4,9,0,9,0,0,0
073533305X,6,nonzero_bottom50,5,5,5,29,29,0,100,86,14,29,15,14,100,100,0,14,14,0.86,7,7,7,5,5,5,11,11,11,60,60,60,4,0,4,8,0,8,0,0,0
0735333483,5,nonzero_bottom50,5,5,5,28,28,0,99,87,12,28,16,12,99,99,0,12,12,0.8787878787878788,14,14,14,5,5,5,14,14,14,46,46,46,4,2,4,9,0,9,1,1,1
073533417X,70,top50,5,5,5,29,29,0,50,50,0,29,29,0,50,50,0,0,0,1.0,12,12,12,5,5,5,11,11,11,5,5,5,4,4,4,8,8,8,0,0,0
074242720X,5,nonzero_bottom50,5,5,5,29,29,0,91,86,5,29,24,5,91,91,0,5,5,0.945054945054945,8,8,8,5,5,5,12,12,12,49,49,49,4,4,4,8,3,8,0,0,0
0786950072,11,top50,5,5,5,29,29,0,84,84,0,29,29,0,84,84,0,0,0,1.0,3,3,3,5,5,5,9,9,9,48,48,48,5,5,5,9,9,9,0,0,0
0786955570,17,top50,5,5,5,29,29,0,163,86,77,29,0,29,163,119,44,33,29,0.5276073619631901,19,19,19,5,5,5,9,9,9,7,7,7,5,0,0,8,0,0,104,42,75
0786955708,8,top50,5,5,5,29,29,0,179,86,93,29,0,29,179,119,60,33,29,0.48044692737430167,19,19,19,5,5,5,9,9,9,127,50,83,5,0,0,9,0,0,0,0,0
0786958731,14,top50,5,5,5,29,29,0,137,86,51,29,0,29,137,119,18,33,29,0.6277372262773723,27,27,27,5,5,5,9,9,9,78,42,75,5,0,0,8,0,0,0,0,0
0786959916,33,top50,5,5,5,29,29,0,262,86,176,29,0,29,262,119,143,33,29,0.3282442748091603,18,18,18,5,5,5,9,9,9,207,46,79,5,0,0,8,0,0,4,4,4
0786962984,8,top50,5,5,5,29,29,0,151,86,65,29,0,29,151,119,32,33,29,0.5695364238410596,8,8,8,5,5,5,9,9,9,111,61,94,4,0,0,9,0,0,0,0,0
0786964502,8,top50,5,5,5,29,29,0,180,86,94,29,0,29,180,119,61,33,29,0.4777777777777778,22,22,22,5,5,5,4,4,4,131,52,85,4,0,0,9,0,0,0,0,0
0867343125,3,nonzero_bottom50,5,5,5,28,28,0,204,87,117,28,0,28,204,119,85,32,28,0.4264705882352941,6,6,6,5,5,5,11,11,11,165,62,94,4,0,0,8,0,0,0,0,0
0911121013,9,top50,5,5,5,29,29,0,159,86,73,29,0,29,159,119,40,33,29,0.5408805031446541,9,9,9,5,5,5,11,11,11,115,58,91,5,0,0,9,0,0,0,0,0
0913866687,8,top50,5,5,5,29,29,0,102,86,16,29,13,16,102,102,0,16,16,0.8431372549019608,7,7,7,5,5,5,4,4,4,69,67,69,4,0,4,8,0,8,0,0,0
0963679600,23,top50,5,5,5,29,29,0,111,86,25,29,4,25,111,111,0,25,25,0.7747747747747747,10,10,10,5,5,5,7,7,7,71,61,71,5,0,5,8,0,8,0,0,0
096625757X,3,nonzero_bottom50,5,5,5,29,29,0,53,53,0,29,29,0,53,53,0,0,0,1.0,8,8,8,5,5,5,9,9,9,14,14,14,4,4,4,8,8,8,0,0,0
0974665207,6,nonzero_bottom50,5,5,5,29,29,0,162,86,76,29,0,29,162,119,43,33,29,0.5308641975308642,22,22,22,5,5,5,11,11,11,101,39,72,4,0,0,8,0,0,5,5,5
0975277324,144,top50,5,5,5,29,29,0,288,86,202,29,0,29,288,119,169,33,29,0.2986111111111111,5,5,5,5,5,5,9,9,9,252,64,97,4,0,0,8,0,0,0,0,0
0975277383,25,top50,5,5,5,29,29,0,337,86,251,29,0,29,337,119,218,33,29,0.2551928783382789,7,7,7,5,5,5,9,9,9,45,45,45,5,0,0,8,0,0,250,15,47
0975855603,7,top50,5,5,5,29,29,0,181,86,95,29,0,29,181,119,62,33,29,0.47513812154696133,6,6,6,5,5,5,9,9,9,142,63,96,5,0,0,9,0,0,0,0,0
0976142503,18,top50,5,5,5,29,29,0,91,86,5,29,24,5,91,91,0,5,5,0.945054945054945,9,9,9,5,5,5,17,17,17,42,42,42,4,4,4,9,4,9,0,0,0
0976990709,98,top50,5,5,5,29,29,0,244,86,158,29,0,29,244,119,125,33,29,0.3524590163934426,18,18,18,5,5,5,12,12,12,191,48,81,5,0,0,8,0,0,0,0,0
0976990768,10,top50,5,5,5,29,29,0,171,86,85,29,0,29,171,119,52,33,29,0.5029239766081871,30,30,30,5,5,5,10,10,10,109,38,71,4,0,0,8,0,0,0,0,0
0979658500,15,top50,5,5,5,29,29,0,174,86,88,29,0,29,174,119,55,33,29,0.4942528735632184,9,9,9,5,5,5,9,9,9,132,60,93,5,0,0,9,0,0,0,0,0
0979658527,5,nonzero_bottom50,5,5,5,29,29,0,226,86,140,29,0,29,226,119,107,33,29,0.3805309734513274,10,10,10,5,5,5,9,9,9,183,59,92,5,0,0,9,0,0,0,0,0
0979712386,5,nonzero_bottom50,5,5,5,29,29,0,159,86,73,29,0,29,159,119,40,33,29,0.5408805031446541,12,12,12,5,5,5,9,9,9,115,57,90,4,0,0,9,0,0,0,0,0
0979959330,37,top50,5,5,5,29,29,0,248,86,162,29,0,29,248,119,129,33,29,0.3467741935483871,4,4,4,5,5,5,9,9,9,212,65,98,4,0,0,9,0,0,0,0,0
0980223644,10,top50,5,5,5,29,29,0,155,86,69,29,0,29,155,119,36,33,29,0.5548387096774193,5,5,5,5,5,5,9,9,9,81,64,81,4,0,0,9,0,0,35,0,15
0981924840,9,top50,5,5,5,29,29,0,587,86,501,29,0,29,587,119,468,33,29,0.1465076660988075,18,18,18,5,5,5,9,9,9,169,51,84,4,0,0,9,0,0,365,0,0
0984155848,6,nonzero_bottom50,5,5,5,29,29,0,228,86,142,29,0,29,228,119,109,33,29,0.37719298245614036,6,6,6,5,5,5,9,9,9,191,63,96,4,0,0,8,0,0,0,0,0
0984155856,8,top50,5,5,5,29,29,0,225,86,139,29,0,29,225,119,106,33,29,0.38222222222222224,7,7,7,5,5,5,9,9,9,186,62,95,5,0,0,8,0,0,0,0,0
0984155872,6,nonzero_bottom50,5,5,5,29,29,0,162,86,76,29,0,29,162,119,43,33,29,0.5308641975308642,6,6,6,5,5,5,10,10,10,123,62,95,4,0,0,9,0,0,0,0,0
0984608028,4,nonzero_bottom50,5,5,5,29,29,0,509,86,423,29,0,29,509,119,390,33,29,0.16895874263261296,5,5,5,5,5,5,9,9,9,472,64,97,5,0,0,8,0,0,0,0,0
0992251656,7,top50,5,5,5,29,29,0,214,86,128,29,0,29,214,119,95,33,29,0.40186915887850466,8,8,8,5,5,5,9,9,9,174,61,94,5,0,0,8,0,0,0,0,0
1223062341,17,top50,5,5,5,29,29,0,59,59,0,29,29,0,59,59,0,0,0,1.0,8,8,8,5,5,5,17,17,17,5,5,5,4,4,4,6,6,6,8,8,8
1223063097,11,top50,5,5,5,29,29,0,135,86,49,29,0,29,135,119,16,33,29,0.6370370370370371,4,4,4,5,5,5,14,14,14,96,60,93,4,0,0,7,0,0,0,0,0
1223063119,7,top50,5,5,5,29,29,0,160,86,74,29,0,29,160,119,41,33,29,0.5375,6,6,6,5,5,5,9,9,9,124,63,96,4,0,0,7,0,0,0,0,0
1223063151,5,nonzero_bottom50,5,5,5,29,29,0,131,86,45,29,0,29,131,119,12,33,29,0.6564885496183206,7,7,7,5,5,5,6,6,6,96,65,96,4,0,1,8,0,0,0,0,0
1223069192,18,top50,5,5,5,29,29,0,129,86,43,29,0,29,129,119,10,33,29,0.6666666666666666,16,16,16,5,5,5,13,13,13,77,49,77,4,0,4,9,0,0,0,0,0
1556344732,33,top50,5,5,5,29,29,0,218,86,132,29,0,29,218,119,99,33,29,0.3944954128440367,5,5,5,5,5,5,9,9,9,182,64,97,4,0,0,8,0,0,0,0,0
1556345542,5,nonzero_bottom50,5,5,5,29,29,0,160,86,74,29,0,29,160,119,41,33,29,0.5375,10,10,10,5,5,5,9,9,9,118,59,92,4,0,0,9,0,0,0,0,0
1556346638,9,top50,5,5,5,30,30,0,67,67,0,30,30,0,67,67,0,0,0,1.0,8,8,8,5,5,5,9,9,9,12,12,12,4,4,4,9,9,9,14,14,14
1556347677,4,nonzero_bottom50,5,5,5,29,29,0,241,86,155,29,0,29,241,119,122,33,29,0.35684647302904565,6,6,6,5,5,5,9,9,9,15,15,15,4,0,0,9,0,0,176,44,75
155634774X,6,nonzero_bottom50,5,5,5,29,29,0,185,86,99,29,0,29,185,119,66,33,29,0.4648648648648649,6,6,6,5,5,5,9,9,9,147,63,96,4,0,0,9,0,0,0,0,0
1556347782,4,nonzero_bottom50,5,6,6,29,29,0,281,85,196,29,0,29,281,118,163,33,29,0.302491103202847,21,21,21,5,5,5,9,9,9,228,47,80,4,0,0,9,0,0,0,0,0
1564518531,11,top50,5,5,5,29,29,0,78,78,0,29,29,0,78,78,0,0,0,1.0,14,14,14,5,5,5,9,9,9,32,32,32,4,4,4,9,9,9,0,0,0
1570545340,7,top50,5,5,5,29,29,0,47,47,0,29,29,0,47,47,0,0,0,1.0,5,5,5,5,5,5,13,13,13,5,5,5,4,4,4,10,10,10,0,0,0
1579822460,6,nonzero_bottom50,5,5,5,29,29,0,149,86,63,29,0,29,149,119,30,33,29,0.5771812080536913,19,19,19,5,5,5,8,8,8,100,51,84,4,0,0,8,0,0,0,0,0
1579822630,5,nonzero_bottom50,5,5,5,29,29,0,151,86,65,29,0,29,151,119,32,33,29,0.5695364238410596,5,5,5,5,5,5,13,13,13,110,60,93,4,0,0,9,0,0,0,0,0
157982269X,8,top50,5,5,5,29,29,0,177,86,91,29,0,29,177,119,58,33,29,0.4858757062146893,6,6,6,5,5,5,13,13,13,136,59,92,4,0,0,8,0,0,0,0,0
1579823084,5,nonzero_bottom50,5,5,5,29,29,0,180,86,94,29,0,29,180,119,61,33,29,0.4777777777777778,18,18,18,5,5,5,13,13,13,126,47,80,4,0,0,9,0,0,0,0,0
1581170769,10,top50,5,5,5,29,29,0,114,86,28,29,1,28,114,114,0,28,28,0.7543859649122807,13,13,13,5,5,5,12,12,12,66,53,66,4,0,4,9,0,9,0,0,0
1581171862,4,nonzero_bottom50,5,5,5,29,29,0,195,86,109,29,0,29,195,119,76,33,29,0.441025641025641,6,6,6,5,5,5,12,12,12,154,60,93,4,0,0,9,0,0,0,0,0
1581174837,7,top50,5,5,5,29,29,0,156,86,70,29,0,29,156,119,37,33,29,0.5512820512820513,15,15,15,5,5,5,12,12,12,106,51,84,5,0,0,8,0,0,0,0,0
1581178816,13,top50,5,5,5,29,29,0,165,86,79,29,0,29,165,119,46,33,29,0.5212121212121212,17,17,17,5,5,5,12,12,12,113,49,82,4,0,0,9,0,0,0,0,0
1589473221,4,nonzero_bottom50,5,5,5,29,29,0,110,86,24,29,5,24,110,110,0,24,24,0.7818181818181819,11,11,11,5,5,5,10,10,10,64,57,64,4,0,4,11,0,11,0,0,0
158978068X,25,top50,5,5,5,29,29,0,39,39,0,29,29,0,39,39,0,0,0,1.0,5,5,5,5,5,5,9,9,9,5,5,5,4,4,4,6,6,6,0,0,0
1589780817,5,nonzero_bottom50,5,5,5,29,29,0,365,86,279,29,0,29,365,119,246,33,29,0.2356164383561644,7,7,7,5,5,5,9,9,9,326,62,95,4,0,0,9,0,0,0,0,0
1589781066,6,nonzero_bottom50,5,5,5,29,29,0,330,86,244,29,0,29,330,119,211,33,29,0.2606060606060606,8,8,8,5,5,5,9,9,9,290,61,94,4,0,0,9,0,0,0,0,0
1589781244,6,nonzero_bottom50,5,5,5,29,29,0,243,86,157,29,0,29,243,119,124,33,29,0.35390946502057613,11,11,11,5,5,5,9,9,9,200,58,91,4,0,0,9,0,0,0,0,0
1589781317,5,nonzero_bottom50,5,5,5,29,29,0,262,86,176,29,0,29,262,119,143,33,29,0.3282442748091603,12,12,12,5,5,5,9,9,9,193,57,90,4,0,0,9,0,0,24,0,0
158994030X,19,top50,5,5,5,29,29,0,136,86,50,29,0,29,136,119,17,33,29,0.6323529411764706,5,5,5,5,5,5,9,9,9,100,64,97,4,0,0,8,0,0,0,0,0
158994206X,6,nonzero_bottom50,5,5,5,29,29,0,348,86,262,29,0,29,348,119,229,33,29,0.2471264367816092,13,13,13,5,5,5,9,9,9,301,56,89,6,0,0,9,0,0,0,0,0
1589942108,22,top50,5,5,5,29,29,0,316,86,230,29,0,29,316,119,197,33,29,0.2721518987341772,6,6,6,5,5,5,9,9,9,48,48,48,5,0,0,8,0,0,229,14,47
158994223X,11,top50,5,5,5,29,29,0,145,86,59,29,0,29,145,119,26,33,29,0.593103448275862,5,5,5,5,5,5,9,9,9,107,64,97,5,0,0,9,0,0,0,0,0
1589942841,4,nonzero_bottom50,5,5,5,29,29,0,329,86,243,29,0,29,329,119,210,33,29,0.2613981762917933,13,13,13,5,5,5,9,9,9,97,56,89,4,0,0,9,0,0,186,0,0
1589942981,13,top50,5,5,5,29,29,0,205,86,119,29,0,29,205,119,86,33,29,0.4195121951219512,5,5,5,5,5,5,9,9,9,168,64,97,5,0,0,8,0,0,0,0,0
1589944208,2,nonzero_bottom50,5,5,5,29,29,0,359,86,273,29,0,29,359,119,240,33,29,0.2395543175487465,13,13,13,5,5,5,9,9,9,313,56,89,5,0,0,9,0,0,0,0,0
1589944348,6,nonzero_bottom50,5,5,5,29,29,0,158,86,72,29,0,29,158,119,39,33,29,0.5443037974683544,6,6,6,5,5,5,9,9,9,119,63,96,5,0,0,9,0,0,0,0,0
1589944607,4,nonzero_bottom50,5,5,5,29,29,0,501,86,415,29,0,29,501,119,382,33,29,0.17165668662674652,7,7,7,5,5,5,14,14,14,129,57,90,4,0,0,9,0,0,309,0,0
1589944623,6,nonzero_bottom50,5,5,5,30,30,0,187,85,102,30,0,30,187,119,68,34,30,0.45454545454545453,15,15,15,5,5,5,9,9,9,140,53,87,4,0,0,9,0,0,0,0,0
1589944968,5,nonzero_bottom50,5,5,5,29,29,0,375,86,289,29,0,29,375,119,256,33,29,0.22933333333333333,4,4,4,5,5,5,9,9,9,339,65,98,5,0,0,8,0,0,0,0,0
1589945158,1,nonzero_bottom50,5,5,5,29,29,0,327,86,241,29,0,29,327,119,208,33,29,0.26299694189602446,11,11,11,5,5,5,9,9,9,190,58,91,4,0,0,9,0,0,90,0,0
1589946464,5,nonzero_bottom50,5,5,5,29,29,0,153,86,67,29,0,29,153,119,34,33,29,0.5620915032679739,13,13,13,5,5,5,9,9,9,107,56,89,5,0,0,9,0,0,0,0,0
1589946634,7,top50,5,5,5,29,29,0,161,86,75,29,0,29,161,119,42,33,29,0.5341614906832298,4,4,4,5,5,5,9,9,9,125,65,98,4,0,0,9,0,0,0,0,0
158994691X,4,nonzero_bottom50,5,5,5,29,29,0,198,86,112,29,0,29,198,119,79,33,29,0.43434343434343436,13,13,13,5,5,5,9,9,9,153,56,89,4,0,0,9,0,0,0,0,0
1589947061,5,nonzero_bottom50,5,5,5,29,29,0,219,86,133,29,0,29,219,119,100,33,29,0.3926940639269406,12,12,12,5,5,5,9,9,9,174,57,90,5,0,0,9,0,0,0,0,0
1589947207,9,top50,5,5,5,29,29,0,49,49,0,29,29,0,49,49,0,0,0,1.0,22,22,22,5,5,5,0,0,0,5,5,5,5,5,5,8,8,8,0,0,0
1589949811,11,top50,5,5,5,29,29,0,248,86,162,29,0,29,248,119,129,33,29,0.3467741935483871,12,12,12,5,5,5,9,9,9,203,57,90,5,0,0,9,0,0,0,0,0
1591747775,7,top50,5,5,5,29,29,0,101,86,15,29,14,15,101,101,0,15,15,0.8514851485148515,15,15,15,5,5,5,10,10,10,19,19,19,4,0,4,9,0,9,33,33,33
1592923356,6,nonzero_bottom50,5,5,5,29,29,0,128,86,42,29,0,29,128,119,9,33,29,0.671875,10,10,10,5,5,5,18,18,18,77,50,77,4,0,4,9,0,0,0,0,0
1593953534,5,nonzero_bottom50,5,5,5,29,29,0,300,86,214,29,0,29,300,119,181,33,29,0.2866666666666667,7,7,7,5,5,5,17,17,17,251,51,84,4,0,0,8,0,0,2,2,2
1594721270,5,nonzero_bottom50,5,5,5,29,29,0,200,86,114,29,0,29,200,119,81,33,29,0.43,4,4,4,5,5,5,9,9,9,163,65,98,5,0,0,9,0,0,0,0,0
1601252455,6,nonzero_bottom50,5,5,5,29,29,0,378,86,292,29,0,29,378,119,259,33,29,0.2275132275132275,6,6,6,5,5,5,9,9,9,339,63,96,5,0,0,9,0,0,0,0,0
1601253729,8,top50,5,5,5,29,29,0,235,86,149,29,0,29,235,119,116,33,29,0.3659574468085106,10,10,10,5,5,5,14,14,14,187,54,87,5,0,0,9,0,0,0,0,0
1601255624,5,nonzero_bottom50,5,5,5,29,29,0,159,86,73,29,0,29,159,119,40,33,29,0.5408805031446541,24,24,24,5,5,5,10,10,10,102,44,77,4,0,0,9,0,0,0,0,0
1603800689,4,nonzero_bottom50,5,5,5,29,29,0,88,86,2,29,27,2,88,88,0,2,2,0.9772727272727273,6,6,6,5,5,5,9,9,9,50,50,50,4,4,4,9,7,9,0,0,0
1603800859,24,top50,5,5,5,29,29,0,51,51,0,29,29,0,51,51,0,0,0,1.0,14,14,14,5,5,5,9,9,9,5,5,5,5,5,5,8,8,8,0,0,0
1603801286,4,nonzero_bottom50,5,5,5,30,30,0,214,85,129,30,0,30,214,119,95,34,30,0.397196261682243,8,8,8,5,5,5,7,7,7,108,62,96,4,0,0,9,0,0,63,0,0
1604189681,12,top50,5,5,5,29,29,0,80,80,0,29,29,0,80,80,0,0,0,1.0,8,8,8,5,5,5,9,9,9,43,43,43,4,4,4,6,6,6,0,0,0
1604189738,9,top50,5,5,5,29,29,0,88,86,2,29,27,2,88,88,0,2,2,0.9772727272727273,16,16,16,5,5,5,9,9,9,43,43,43,4,4,4,6,4,6,0,0,0
1616610158,15,top50,5,5,5,29,29,0,374,86,288,29,0,29,374,119,255,33,29,0.22994652406417113,8,8,8,5,5,5,9,9,9,333,61,94,6,0,0,8,0,0,0,0,0
1616611359,23,top50,5,5,5,29,29,0,365,86,279,29,0,29,365,119,246,33,29,0.2356164383561644,4,4,4,5,5,5,9,9,9,112,65,98,5,0,0,8,0,0,216,0,0
1616611626,4,nonzero_bottom50,5,5,5,29,29,0,339,86,253,29,0,29,339,119,220,33,29,0.2536873156342183,11,11,11,5,5,5,9,9,9,296,58,91,4,0,0,9,0,0,0,0,0
1616611715,14,top50,5,5,5,29,29,0,311,86,225,29,0,29,311,119,192,33,29,0.2765273311897106,8,8,8,5,5,5,9,9,9,270,61,94,5,0,0,9,0,0,0,0,0
1616611898,13,top50,5,5,5,29,29,0,192,86,106,29,0,29,192,119,73,33,29,0.4479166666666667,11,11,11,5,5,5,9,9,9,148,58,91,6,0,0,8,0,0,0,0,0
1616613769,28,top50,5,5,5,30,30,0,169,85,84,30,0,30,169,119,50,34,30,0.5029585798816568,13,13,13,5,5,5,14,14,14,119,50,84,5,0,0,8,0,0,0,0,0
1616613777,17,top50,5,5,5,30,30,0,156,85,71,30,0,30,156,119,37,34,30,0.5448717948717948,14,14,14,5,5,5,6,6,6,114,57,91,4,0,0,8,0,0,0,0,0
1616613785,13,top50,5,6,6,29,29,0,163,85,78,29,0,29,163,118,45,33,29,0.5214723926380368,13,13,13,5,5,5,14,14,14,114,50,83,4,0,0,8,0,0,0,0,0
1616613793,13,top50,5,5,5,30,30,0,167,85,82,30,0,30,167,119,48,34,30,0.5089820359281437,14,14,14,5,5,5,14,14,14,116,49,83,4,0,0,9,0,0,0,0,0
1616613807,15,top50,5,5,5,29,29,0,157,86,71,29,0,29,157,119,38,33,29,0.5477707006369427,13,13,13,5,5,5,14,14,14,108,51,84,4,0,0,8,0,0,0,0,0
