user,stratum,target,history_length,full_hit50,target_tail,selection_hash,newest_item,oldest_item
AIB5B9WTNVEKC,tail_hit,B00B83G0OS,5,1,1,0004f4325877a8c1b53b38d29ffa7c8b964fc59dc39b9055142a150420977a1d,B005JYP96W,B007NXZ0T8
A08409921GVN7C8RD97CV,tail_hit,B004X9BSIC,3,1,1,0006a92000d846ed9325dc2e586750309ef5e3d267541b26a29a5f1a1b6f2a87,B002KFR628,B000GHF3JA
A17S9Q2RZW4NVJ,tail_hit,B004W24LQ6,3,1,1,003f08aca7f560b6ff53a93bf11b669ba16f3c9b56b631a0717bd6c5e698ea32,B004VMGTY4,B0043TUSME
A1CBCTJ0VF4RI1,tail_hit,B00469CIMO,3,1,1,017b68a7304412bf29ee5f18590067cde74c5a2a3a7c11ad289d4b9d081cdba4,B003VMXYLG,B003VMU63K
A2A5DGNAJRHSH,tail_hit,B00ELN94GS,5,1,1,018ee4c268f1bce6008715f597a5d705e76341474a4add44ae9d9004ba59a780,B0092V5BGG,B00GM3G6WK
A23RZIU0N8K2KR,tail_hit,B00EOP3O3C,20,1,1,01b97345a133c8a4dbd1dbd28789a04b74d9fa522a3358e4106d07bdeb4f5b3d,B004BYSOYK,B007JT7AIK
A2UXV0M5RRYT0L,tail_hit,B009HBDK2S,3,1,1,01c9af3ca7fb8d89aef14c3eba8c19e40edf654d1dc20f2aa71bca4b8257ccf5,B006Z9ACMG,B002RXK1UC
A2900PFIZYAJ0H,tail_hit,B00CIX1SLW,3,1,1,01cd54bea301ac0200e308d987a3f5d1f54874cdafe69a7cd4378d03d048df5c,B00CHFRIDS,B00480GXTK
A1RLP0R1N8H8C4,tail_hit,B006X1INQI,11,1,1,01e0eb8815727b4beed5134bd39b915c87f8a682ca1ad66cea9f00b389e6817d,B003CW9VCG,B000F6UJ32
A3G3UIABN8BEFH,tail_hit,B001FORJXQ,3,1,1,01e6d5e21ec04546a6db6d505af62d7e0e95612075942b63c7e4ef4b5abbe03f,B0012RYDWG,B0009OAHVO
AZKN9KO2ECFFZ,tail_hit,B008QMWVP6,5,1,1,021bad72b2149c5d33b49e72127554c13bbd683f5bc1e419d45f11fa49cac3d3,B008QMWUMK,B000C1UFM0
AQNNNYLDZEY2H,tail_hit,B001PHDT4Q,4,1,1,0230cb163b00d25fcfc45f1b8e25041dd0eb7f98cc85d0761afcb565632f42bb,B000QE6U54,B000TK99NU
ASYVI9TLV4WPI,tail_hit,B000H74SE0,3,1,1,026258886df0ca813de3b50ce7af45694c65cb875252136bdaf992f55113e83b,B000X1LOJM,B000JG1QDA
A3AHOSISKNBLZ6,tail_hit,B00L3LB0IG,14,1,1,02853b4840fdb3122303de1f57d6b373dbbbd26b5523f976bfe51c341e3a70f2,B00L3K91OW,B00DLRNSSK
A1R75AU7A2K4VR,tail_hit,B0039OQ0FI,3,1,1,02abae207e8615d5d2e3ded27468beffd5df3598b83832b0da721a3b0787b8e6,B002X0WLEI,B000T9ZCL4
A1HFSY6W8LJNJM,tail_hit,B00ES2EZTS,9,1,1,033059e7439260397e7a5f550a29422c2bb3b022216bd3b5f5984fdb95ceb90c,B00ES0Z206,B0017T398S
ADJGWYUDUXXB7,tail_hit,B00G0EJYFW,3,1,1,03b6905e18708a41adf165852c6401fad3fad93f99b4adb7337c365181173116,B00HI6FN3S,B00FXH7YZ4
AEDW02H5TT0LJ,tail_hit,B00543733U,5,1,1,03bcd261de702447c8f3482dd34a5de63015bf6eedca9be6e43987ccce8af2cd,B004LUZ956,B0007W1R58
A4R79I9TIZDPR,tail_hit,B001V9LUWQ,4,1,1,03cdc522593cdb094559de31b4f24823dc1ef1b9ad0b93ebb93fbb2343e0fbb8,B001V9LUO4,B003KWMSPU
A2JO2R4FX91KD2,tail_hit,B00KPKIV8I,6,1,1,0404c1e644c91cf383c7d9622091f4ac3a6eb761edc52ca2597ef0078b45e1a3,B00ILH0IE2,B00KHH2VOY
A25FX5SH169PWQ,tail_hit,B00655DP1K,3,1,1,041cfcd4e5653a7ff9c5ab130b84ee15f4433cfb58c0b8e017b59ec3e6183bf5,B0019QHUTI,B0049VQGL8
A3FNDWADUT516X,tail_hit,B0015XWQLW,4,1,1,04dee610a26158262dd93af4b1855f17c28a6d4624bddaa11778e5be9e7e06eb,B000QSDHPG,B000HIYE0M
A2K4HN6EECBNR3,tail_hit,B00EYZY6SY,20,1,1,058ce7b9b42c790cf7292d13ae8a73da0f60d1f6f6d990383a9753a537554698,B00GMWMMOW,B00GTBZXTC
A3BE0FXM74OHSK,tail_hit,B0054Y0PMK,4,1,1,05cec95e4d2f43a98593d185d9f1cce1dba4f619c1b36490cd54df66ddf2e961,B002O0D8P8,B0026RR9KO
A3VEY6S5325K20,tail_hit,B003GDDGQI,4,1,1,05dd5fd11842adc7583cde981854317f3f704b1c99c83283d6c01845e828b56a,B001KYQ3DS,B003BMNE4I
A3B8498BJESEGB,tail_hit,B005MIFIQG,3,1,1,05f0a1a3b5da1aeeeec1d8c9c84789f5fa61216114360f68d4afa77e9d8cb35b,B005MIFI3E,B0050OAHY0
A2KZ88FJPSBU8E,tail_hit,B001EWET96,5,1,1,06189d7519830ad5671ec37506baaec7cc97438536c12e2f25e3425375c3a697,B0017SWIU4,B0009P4PZC
AVELT2UOALKEM,tail_hit,B00EP2P3ME,4,1,1,065ed19a8cc9909fc9b73841b3d29cef57e1c36f9031daa75dd235839ac29619,B00ELN94GS,B00DQ2I0G0
A6LD1EKWZB49M,tail_hit,B000MASTM4,3,1,1,06b271a64c7864ee47b40748add7507ac65f57334710578ac3cece14b571f692,B000MAOWP2,B000MASTMO
A3NQHL0D2ODQQL,tail_hit,B006YFRE90,6,1,1,06caf44e3732ce78e4de332aff5b4443802c9a776328f3b0d66935a12c60f0d8,B00644YNAO,B000O3OZD6
A2LBR5V8W5JCHD,tail_hit,B006448CW4,9,1,1,06cf789b709fde5a08ef9c9517f4bb17542b549218300b1576cd1966b4f43fde,B006QFCDDK,B0028SVO98
