item,top_k_similar_item,current_tensor_width,ffnf_cf_tensor_width,ffnf_metadata_tensor_width,ffnf_tensor_width_sum,current_active_tokens,ffnf_cf_active_tokens,ffnf_metadata_active_tokens,ffnf_active_tokens,current_link_visible,ffnf_link_visible,current_cf_visible,ffnf_cf_visible,current_metadata_visible,ffnf_metadata_visible,metadata_visible_gain,link_duplication_count,current_title_visible,ffnf_title_visible,current_brand_visible,ffnf_brand_visible,current_categories_visible,ffnf_categories_visible,current_description_visible,ffnf_description_visible,current_price_visible,ffnf_price_visible,current_salesrank_visible,ffnf_salesrank_visible,current_other_metadata_visible,ffnf_other_metadata_visible
7806397051,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,21,21,4,4,7,13,0,22,0,0,0,0,0,0
9759091062,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,17,17,9,9,6,17,0,17,0,0,0,0,0,0
9788072216,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,22,22,5,5,5,13,0,20,0,0,0,0,0,0
9790790961,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,17,17,4,4,11,13,0,26,0,0,0,0,0,0
9790794231,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,16,16,5,5,11,13,0,26,0,0,0,0,0,0
B00004TMFE,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,21,21,8,8,3,9,0,22,0,0,0,0,0,0
B00004TUBL,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,10,10,3,3,14,14,4,33,0,0,0,0,0,0
B00004TUBV,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,7,7,4,4,14,14,6,35,0,0,0,0,0,0
B00004U9UY,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,6,6,6,6,0,15,0,6,0,0,0,0,20,25
B00004U9V2,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,6,6,5,5,2,15,0,15,0,0,0,0,18,18
B000050B6U,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,10,10,4,4,17,17,0,29,0,0,0,0,0,0
B000052WY7,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,12,12,0,5,0,11,0,11,0,0,0,0,20,20
B000052WYD,10,128,64,64,128,128,64,64,128,7,7,81,50,32,63,31,0,20,20,5,5,5,13,0,22,0,0,0,0,0,0
B000052WYL,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,27,27,5,5,0,9,0,19,0,0,0,0,0,0
B000052WYN,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,34,37,0,5,0,11,0,7,0,0,0,0,0,0
B000052X9G,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,18,18,5,5,9,14,0,23,0,0,0,0,0,0
B000052XIA,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,17,17,6,6,9,14,0,14,0,0,0,0,0,8
B000052XW5,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,5,5,5,5,10,12,0,26,0,0,0,0,10,10
B000052XYQ,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,15,15,4,4,9,9,0,28,0,0,0,0,3,3
B000052XZP,10,128,64,64,128,128,64,55,119,7,7,79,50,34,54,20,0,19,19,5,5,8,9,0,5,0,4,0,7,0,0
B000052XZX,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,24,24,5,5,3,9,0,22,0,0,0,0,0,0
B000052Y25,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,21,21,6,6,5,9,0,24,0,0,0,0,0,0
B000052Y33,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,26,26,7,8,0,10,0,16,0,0,0,0,0,0
B000052Y5F,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,18,18,2,2,11,15,0,24,0,0,0,0,0,0
B000052Y6Z,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,27,27,6,8,0,14,0,7,0,3,0,0,0,0
B000052YJC,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,14,14,6,6,12,22,0,18,0,0,0,0,0,0
B000052YJD,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,18,18,6,6,8,12,0,24,0,0,0,0,0,0
B000052YJH,10,128,64,64,128,128,64,64,128,7,7,79,50,34,63,29,0,13,13,6,6,12,12,0,29,0,0,0,0,0,0
