item,top_k_similar_item,current_tensor_width,ffnf_cf_tensor_width,ffnf_metadata_tensor_width,ffnf_tensor_width_sum,current_active_tokens,ffnf_cf_active_tokens,ffnf_metadata_active_tokens,ffnf_active_tokens,current_link_visible,ffnf_link_visible,current_cf_visible,ffnf_cf_visible,current_metadata_visible,ffnf_metadata_visible,metadata_visible_gain,link_duplication_count,current_title_visible,ffnf_title_visible,current_brand_visible,ffnf_brand_visible,current_categories_visible,ffnf_categories_visible,current_description_visible,ffnf_description_visible,current_price_visible,ffnf_price_visible,current_salesrank_visible,ffnf_salesrank_visible,current_other_metadata_visible,ffnf_other_metadata_visible
0439893577,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,13,13,5,5,18,18,24,24,0,0,0,0,22,0
048645195X,5,128,64,64,128,94,41,53,94,5,5,29,29,52,52,0,0,8,8,5,5,15,15,5,5,4,4,10,10,0,0
0545496470,5,128,64,64,128,103,41,62,103,5,5,29,29,61,61,0,0,18,18,5,5,12,12,5,5,4,4,10,10,1,1
0615444172,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,16,16,5,5,14,14,48,25,0,0,0,0,0,0
0670010936,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,12,12,5,5,13,13,53,30,0,0,0,0,0,0
0735308365,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,10,10,5,5,10,10,58,35,0,0,0,0,0,0
0735321396,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,10,10,5,5,18,18,50,27,0,0,0,0,0,0
073533305X,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,11,11,60,37,0,0,0,0,0,0
0735333483,5,128,64,64,128,128,40,64,104,5,5,28,28,87,63,-24,0,14,14,5,5,14,14,46,25,2,0,0,0,1,1
073533417X,5,128,64,64,128,92,41,51,92,5,5,29,29,50,50,0,0,12,12,5,5,11,11,5,5,4,4,8,8,0,0
074242720X,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,8,8,5,5,12,12,49,35,4,0,3,0,0,0
0786950072,5,128,64,64,128,126,41,64,105,5,5,29,29,84,63,-21,0,3,3,5,5,9,9,48,43,5,0,9,0,0,0
0786955570,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,19,19,5,5,9,9,7,7,0,0,0,0,42,19
0786955708,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,19,19,5,5,9,9,50,27,0,0,0,0,0,0
0786958731,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,27,27,5,5,9,9,42,19,0,0,0,0,0,0
0786959916,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,18,18,5,5,9,9,46,23,0,0,0,0,4,4
0786962984,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,8,8,5,5,9,9,61,38,0,0,0,0,0,0
0786964502,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,22,22,5,5,4,4,52,29,0,0,0,0,0,0
0867343125,5,128,64,64,128,128,40,64,104,5,5,28,28,87,63,-24,0,6,6,5,5,11,11,62,38,0,0,0,0,0,0
0911121013,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,9,9,5,5,11,11,58,35,0,0,0,0,0,0
0913866687,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,4,4,67,44,0,0,0,0,0,0
0963679600,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,10,10,5,5,7,7,61,38,0,0,0,0,0,0
096625757X,5,128,64,64,128,95,41,54,95,5,5,29,29,53,53,0,0,8,8,5,5,9,9,14,14,4,4,8,8,0,0
0974665207,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,22,22,5,5,11,11,39,16,0,0,0,0,5,5
0975277324,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,5,5,5,5,9,9,64,41,0,0,0,0,0,0
0975277383,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,7,7,5,5,9,9,45,39,0,0,0,0,15,0
0975855603,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,6,6,5,5,9,9,63,40,0,0,0,0,0,0
0976142503,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,9,9,5,5,17,17,42,29,4,0,4,0,0,0
0976990709,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,18,18,5,5,12,12,48,25,0,0,0,0,0,0
0976990768,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,30,30,5,5,10,10,38,15,0,0,0,0,0,0
0979658500,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,9,9,5,5,9,9,60,37,0,0,0,0,0,0
0979658527,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,10,10,5,5,9,9,59,36,0,0,0,0,0,0
0979712386,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,12,12,5,5,9,9,57,34,0,0,0,0,0,0
0979959330,5,128,64,64,128,128,41,64,105,5,5,29,29,86,63,-23,0,4,4,5,5,9,9,65,42,0,0,0,0,0,0
