timestamp,index,memory.used,memory.free,utilization.gpu
2026-07-22T17:48:16+08:00,3, 7, 48564, 0
2026-07-22T17:48:21+08:00,3, 646, 47924, 6
2026-07-22T17:48:26+08:00,3, 1872, 46698, 6
2026-07-22T17:48:31+08:00,3, 16782, 31788, 41
2026-07-22T17:48:36+08:00,3, 16784, 31786, 51
2026-07-22T17:48:41+08:00,3, 16784, 31786, 35
2026-07-22T17:48:46+08:00,3, 16996, 31574, 0
2026-07-22T17:48:52+08:00,3, 7, 48564, 0
2026-07-22T17:48:57+08:00,3, 1344, 47226, 6
2026-07-22T17:49:02+08:00,3, 7098, 41472, 45
2026-07-22T17:49:07+08:00,3, 13138, 35432, 45
2026-07-22T17:49:12+08:00,3, 15250, 33320, 35
2026-07-22T17:49:17+08:00,3, 19738, 28832, 41
2026-07-22T17:49:22+08:00,3, 20046, 28524, 0
