dataset,control,group,Recall@5,NDCG@5,Recall@10,NDCG@10,n
Toys,C0,overall,0.091796875,0.06931661906673962,0.123046875,0.07937159466456696,2048
Toys,C0,head,0.09977064220183486,0.07548361306346706,0.1341743119266055,0.08632181268472651,872
Toys,C0,tail,0.0858843537414966,0.06474381399433637,0.11479591836734694,0.0742180316428161,1176
Toys,C0,history_1-5,0.09587020648967552,0.07508501885180476,0.1275811209439528,0.08539785424991853,1356
Toys,C0,history_6-10,0.07390300230946882,0.05246790618878667,0.10392609699769054,0.061838699519767365,433
Toys,C0,history_11-20,0.0989010989010989,0.0667738532495707,0.12637362637362637,0.07571563103461634,182
Toys,C0,history_21+,0.1038961038961039,0.06848968330479328,0.14285714285714285,0.08048225675044526,77
Toys,C1,overall,0.0908203125,0.06904582470137104,0.12451171875,0.07987090078210152,2048
Toys,C1,head,0.10091743119266056,0.07615752074887726,0.13646788990825687,0.08730381748518126,872
Toys,C1,tail,0.08333333333333333,0.06377252627158764,0.11564625850340136,0.07435941832879751,1176
Toys,C1,history_1-5,0.0943952802359882,0.07467603149172004,0.1290560471976401,0.08594501728461303,1356
Toys,C1,history_6-10,0.07390300230946882,0.05262800651656174,0.10623556581986143,0.06264689650727671,433
Toys,C1,history_11-20,0.0989010989010989,0.0667738532495707,0.12637362637362637,0.07571563103461634,182
Toys,C1,history_21+,0.1038961038961039,0.067589378864188,0.14285714285714285,0.07958195230983997,77
Toys,C2,overall,0.0908203125,0.06904582470137104,0.12451171875,0.07987090078210152,2048
Toys,C2,head,0.10091743119266056,0.07615752074887726,0.13646788990825687,0.08730381748518126,872
Toys,C2,tail,0.08333333333333333,0.06377252627158764,0.11564625850340136,0.07435941832879751,1176
Toys,C2,history_1-5,0.0943952802359882,0.07467603149172004,0.1290560471976401,0.08594501728461303,1356
Toys,C2,history_6-10,0.07390300230946882,0.05262800651656174,0.10623556581986143,0.06264689650727671,433
Toys,C2,history_11-20,0.0989010989010989,0.0667738532495707,0.12637362637362637,0.07571563103461634,182
Toys,C2,history_21+,0.1038961038961039,0.067589378864188,0.14285714285714285,0.07958195230983997,77
