dataset,baseline,candidate,group,n,rank_changed,rank_improved,rank_worsened,promoted_to_top10,demoted_from_top10,net_top10_promotions,mean_ndcg10_difference,mean_recall10_difference
Toys,C0,C1,head,872,91,52,39,2,0,2,0.0009820048004547661,0.0022935779816513763
Toys,C0,C1,history_1-5,1356,87,40,47,2,0,2,0.000547163034694543,0.0014749262536873156
Toys,C0,C1,history_11-20,182,18,7,11,0,0,0,0.0,0.0
Toys,C0,C1,history_21+,77,14,9,5,0,0,0,-0.000900304440605285,0.0
Toys,C0,C1,history_6-10,433,29,14,15,1,0,1,0.0008081969875093615,0.0023094688221709007
Toys,C0,C1,overall,2048,148,70,78,3,0,3,0.0004993061175345443,0.00146484375
Toys,C0,C1,tail,1176,57,18,39,1,0,1,0.0001413866859814547,0.0008503401360544217
Toys,C0,C4,head,872,88,50,38,2,0,2,0.0009820048004547661,0.0022935779816513763
Toys,C0,C4,history_1-5,1356,83,39,44,2,0,2,0.0005640316584221896,0.0014749262536873156
Toys,C0,C4,history_11-20,182,17,6,11,0,0,0,0.0,0.0
Toys,C0,C4,history_21+,77,14,9,5,0,0,0,-0.000900304440605285,0.0
Toys,C0,C4,history_6-10,433,29,14,15,1,0,1,0.0008081969875093615,0.0023094688221709007
Toys,C0,C4,overall,2048,143,68,75,3,0,3,0.0005104749914479666,0.00146484375
Toys,C0,C4,tail,1176,55,18,37,1,0,1,0.00016083724191231257,0.0008503401360544217
Toys,C1,C4,head,872,5,2,3,0,0,0,0.0,0.0
Toys,C1,C4,history_1-5,1356,6,4,2,0,0,0,1.6868623727646658e-05,0.0
Toys,C1,C4,history_11-20,182,1,0,1,0,0,0,0.0,0.0
Toys,C1,C4,history_21+,77,1,0,1,0,0,0,0.0,0.0
Toys,C1,C4,history_6-10,433,0,0,0,0,0,0,0.0,0.0
Toys,C1,C4,overall,2048,8,4,4,0,0,0,1.1168873913422299e-05,0.0
Toys,C1,C4,tail,1176,3,2,1,0,0,0,1.9450555930857882e-05,0.0
Beauty,C0,C1,head,1019,110,71,39,3,3,0,0.00038031604916173887,0.0
Beauty,C0,C1,history_1-5,1278,71,53,18,2,1,1,0.0003940470816658277,0.000782472613458529
Beauty,C0,C1,history_11-20,189,17,6,11,0,1,-1,-0.003482196152097515,-0.005291005291005291
Beauty,C0,C1,history_21+,89,7,4,3,0,1,-1,-0.003247919396830201,-0.011235955056179775
Beauty,C0,C1,history_6-10,492,39,21,18,1,1,0,0.0007310980030952326,0.0
Beauty,C0,C1,overall,2048,134,84,50,3,4,-1,-4.097046443971483e-05,-0.00048828125
Beauty,C0,C1,tail,1029,24,13,11,0,1,-1,-0.0004581628428263827,-0.0009718172983479105
Beauty,C0,C4,head,1019,110,71,39,3,3,0,0.00038031604916173887,0.0
Beauty,C0,C4,history_1-5,1278,72,54,18,2,1,1,0.0003940470816658277,0.000782472613458529
Beauty,C0,C4,history_11-20,189,16,5,11,0,1,-1,-0.003482196152097515,-0.005291005291005291
Beauty,C0,C4,history_21+,89,7,4,3,0,1,-1,-0.003247919396830201,-0.011235955056179775
Beauty,C0,C4,history_6-10,492,39,21,18,1,1,0,0.0007310980030952326,0.0
Beauty,C0,C4,overall,2048,134,84,50,3,4,-1,-4.097046443971483e-05,-0.00048828125
Beauty,C0,C4,tail,1029,24,13,11,0,1,-1,-0.0004581628428263827,-0.0009718172983479105
Beauty,C1,C4,head,1019,6,3,3,0,0,0,0.0,0.0
Beauty,C1,C4,history_1-5,1278,4,2,2,0,0,0,0.0,0.0
Beauty,C1,C4,history_11-20,189,1,0,1,0,0,0,0.0,0.0
Beauty,C1,C4,history_21+,89,0,0,0,0,0,0,0.0,0.0
Beauty,C1,C4,history_6-10,492,1,1,0,0,0,0,0.0,0.0
Beauty,C1,C4,overall,2048,6,3,3,0,0,0,0.0,0.0
Beauty,C1,C4,tail,1029,0,0,0,0,0,0,0.0,0.0
