user,stratum,history_length,lp_full,lp_coarse_only,lp_minus_link_ids,lp_minus_cf_ids,lp_minus_all_fine_ids,lp_matched_0,lp_matched_1,lp_matched_2,lp_matched_3,lp_matched_4,lp_matched_5,lp_matched_6,lp_matched_7,raw_link_harm,matched_control_effect,adjusted_link_echo,metadata_benefit,raw_cf_harm,raw_all_id_harm
AIB5B9WTNVEKC,tail_hit,5,-0.7961300015449524,-1.4148163795471191,-0.7788987159729004,-0.9516662359237671,-0.9690009951591492,-0.8326485753059387,-0.7898658514022827,-0.8024961948394775,-0.8099242448806763,-0.80528724193573,-0.7963079214096069,-0.8088379502296448,-0.8346649408340454,0.017231285572052002,-0.0138741135597229,0.031105399131774902,0.44581538438796997,-0.1555362343788147,-0.17287099361419678
A08409921GVN7C8RD97CV,tail_hit,3,-0.5785069465637207,-3.6905457973480225,-0.5670996308326721,-1.8428305387496948,-1.7715009450912476,-0.604311466217041,-0.6030679941177368,-0.5996065735816956,-0.6220799684524536,-0.6134455800056458,-0.5955700278282166,-0.6011861562728882,-0.5913205146789551,0.011407315731048584,-0.025316588580608368,0.03672390431165695,1.919044852256775,-1.2643235921859741,-1.1929939985275269
A17S9Q2RZW4NVJ,tail_hit,3,-0.6913447976112366,-1.5784248113632202,-0.6735334396362305,-1.3282731771469116,-1.325603723526001,-0.6052331328392029,-0.55656898021698,-0.6178311705589294,-0.6658210754394531,-0.6335373520851135,-0.5893135666847229,-0.6073043942451477,-0.6835274696350098,0.017811357975006104,0.07145265489816666,-0.05364129692316055,0.25282108783721924,-0.636928379535675,-0.6342589259147644
A1CBCTJ0VF4RI1,tail_hit,3,-0.765282154083252,-0.7882786393165588,-0.7840556502342224,-0.7766031622886658,-0.7721313834190369,-0.7888745069503784,-0.772212564945221,-0.7711238265037537,-0.7795799374580383,-0.7622894644737244,-0.7977067232131958,-0.7999227643013,-0.772466778755188,-0.01877349615097046,-0.015239916741847992,-0.003533579409122467,0.016147255897521973,-0.011321008205413818,-0.006849229335784912
A2A5DGNAJRHSH,tail_hit,5,-0.28772348165512085,-2.571385145187378,-0.24142047762870789,-2.515707015991211,-2.4903414249420166,-0.27430322766304016,-0.2798977792263031,-0.2783583402633667,-0.28064414858818054,-0.2609427571296692,-0.2881764769554138,-0.2747606635093689,-0.27048829197883606,0.046303004026412964,0.011777020990848541,0.03452598303556442,0.08104372024536133,-2.22798353433609,-2.2026179432868958
A23RZIU0N8K2KR,tail_hit,20,-0.7567293643951416,-1.87721848487854,-0.743500828742981,-0.9987847208976746,-1.0442396402359009,-0.7400325536727905,-0.7542722225189209,-0.7334799766540527,-0.7565582990646362,-0.7355810403823853,-0.7392908930778503,-0.7365935444831848,-0.7241191267967224,0.013228535652160645,0.0167384073138237,-0.0035098716616630554,0.8329788446426392,-0.24205535650253296,-0.2875102758407593
A2UXV0M5RRYT0L,tail_hit,3,-0.8186981081962585,-1.1976314783096313,-0.8511475324630737,-0.8900775909423828,-0.9126575589179993,-0.7838412523269653,-0.8208683729171753,-0.8064695596694946,-0.7996880412101746,-0.8013488054275513,-0.79893958568573,-0.8143082857131958,-0.8083584904670715,-0.032449424266815186,0.014470309019088745,-0.04691973328590393,0.2849739193916321,-0.07137948274612427,-0.09395945072174072
A2900PFIZYAJ0H,tail_hit,3,-0.11720112711191177,-2.4883100986480713,-0.09137614071369171,-2.2281746864318848,-2.2288317680358887,-0.11775437742471695,-0.11371686309576035,-0.11738850176334381,-0.116510309278965,-0.1090364083647728,-0.12153590470552444,-0.12033052742481232,-0.11343424767255783,0.025824986398220062,0.0009877346456050873,0.024837251752614975,0.2594783306121826,-2.110973559319973,-2.111630640923977
A1RLP0R1N8H8C4,tail_hit,11,-0.8494237065315247,-2.1845927238464355,-1.0152844190597534,-2.1832361221313477,-2.1713931560516357,-0.8400083184242249,-0.8613020777702332,-0.813011109828949,-0.8884719014167786,-0.8431714177131653,-0.8830145001411438,-0.8743916153907776,-0.8599650263786316,-0.16586071252822876,-0.008493289351463318,-0.15736742317676544,0.013199567794799805,-1.333812415599823,-1.321969449520111
A3G3UIABN8BEFH,tail_hit,3,-0.074092797935009,-4.219339847564697,-0.4609360694885254,-2.362511157989502,-2.3871285915374756,-0.06852757185697556,-0.06748524308204651,-0.06683070212602615,-0.0706978514790535,-0.0767999067902565,-0.0784410908818245,-0.07072249799966812,-0.07194726169109344,-0.3868432715535164,0.0026612821966409683,-0.38950455375015736,1.8322112560272217,-2.288418360054493,-2.3130357936024666
AZKN9KO2ECFFZ,tail_hit,5,-0.1315697431564331,-1.59451162815094,-0.16241438686847687,-1.5242938995361328,-1.5558115243911743,-0.13176050782203674,-0.1250334233045578,-0.12618738412857056,-0.1276675909757614,-0.12981584668159485,-0.1232830360531807,-0.12777844071388245,-0.1255163997411728,-0.030844643712043762,0.004439414478838444,-0.035284058190882206,0.038700103759765625,-1.3927241563796997,-1.4242417812347412
AQNNNYLDZEY2H,tail_hit,4,-0.7904810905456543,-1.7833796739578247,-0.8140631318092346,-1.3779653310775757,-1.4019359350204468,-0.805876612663269,-0.801224410533905,-0.822236955165863,-0.8150830268859863,-0.8112644553184509,-0.8134872317314148,-0.8045699000358582,-0.8012166619300842,-0.023582041263580322,-0.018888816237449646,-0.004693225026130676,0.38144373893737793,-0.5874842405319214,-0.6114548444747925
ASYVI9TLV4WPI,tail_hit,3,-0.5753403306007385,-0.9299042820930481,-0.5487827658653259,-0.7826989889144897,-0.7522702813148499,-0.5717328786849976,-0.5873163938522339,-0.5705759525299072,-0.5773301124572754,-0.5691173076629639,-0.5727590322494507,-0.5708498358726501,-0.573403000831604,0.026557564735412598,0.00120476633310318,0.025352798402309418,0.17763400077819824,-0.20735865831375122,-0.17692995071411133
A3AHOSISKNBLZ6,tail_hit,14,-0.033861346542835236,-4.113593578338623,-0.07876132428646088,-5.438411235809326,-5.3157196044921875,-0.040831323713064194,-0.04049339517951012,-0.03992543742060661,-0.03612161800265312,-0.03511277586221695,-0.040612660348415375,-0.035527437925338745,-0.03421337902545929,-0.04489997774362564,-0.003993406891822815,-0.040906570851802826,-1.2021260261535645,-5.404549889266491,-5.281858257949352
A1R75AU7A2K4VR,tail_hit,3,-0.7474482655525208,-1.0715749263763428,-0.7136440873146057,-1.0208667516708374,-1.016806721687317,-0.7373360395431519,-0.7293044328689575,-0.7380861639976501,-0.7284241914749146,-0.7339039444923401,-0.7579359412193298,-0.7405725717544556,-0.7324099540710449,0.03380417823791504,0.010201610624790192,0.023602567613124847,0.05476820468902588,-0.27341848611831665,-0.26935845613479614
A1HFSY6W8LJNJM,tail_hit,9,-0.30396077036857605,-12.733682632446289,-0.30430254340171814,-16.99333381652832,-17.094635009765625,-0.30056294798851013,-0.2961125373840332,-0.2924893796443939,-0.30068880319595337,-0.2965836524963379,-0.3050694465637207,-0.3062118887901306,-0.2933167517185211,-0.00034177303314208984,0.005081344395875931,-0.005423117429018021,-4.360952377319336,-16.689373046159744,-16.79067423939705
ADJGWYUDUXXB7,tail_hit,3,-0.20495903491973877,-4.837538242340088,-0.12746666371822357,-3.15842604637146,-3.0698935985565186,-0.23823213577270508,-0.24233214557170868,-0.18871186673641205,-0.19854238629341125,-0.2210817039012909,-0.17938971519470215,-0.1918771117925644,-0.22219596803188324,0.0774923712015152,-0.005336344242095947,0.08282871544361115,1.7676446437835693,-2.953467011451721,-2.86493456363678
AEDW02H5TT0LJ,tail_hit,5,-0.9015401601791382,-1.142970085144043,-0.9269700646400452,-1.0601650476455688,-1.0558898448944092,-0.8769033551216125,-0.8966283798217773,-0.9005154967308044,-0.8897363543510437,-0.9072984457015991,-0.9039638638496399,-0.8836963772773743,-0.8711670637130737,-0.025429904460906982,0.010301493108272552,-0.035731397569179535,0.08708024024963379,-0.15862488746643066,-0.154349684715271
