user,stratum,target,history_length,full_hit50,target_tail,selection_hash,newest_item,oldest_item
A25TXSIR8Y3UVP,tail_hit,B000BGT6CG,4,1,1,000d6efdeca9d4f6a3f11551fc59a1fe5f5d88f0ad5dfd2a9e9455e561345dfd,B000BGT5YK,B0001NE4VC
AHCB4316MB6UM,tail_hit,B00AE9RJ6A,6,1,1,0017388fa7b834ac8dd94e4f856c28d0ecc4bd548a857e71fbf269c3499f433a,B00934IV9G,B006RQ8ULC
A1C0W201MKSOZY,tail_hit,B00CFELUXU,4,1,1,007d1239bfd466bee4b6bdf258ef1afa99013fefe5086dd01f42c356836af3ec,B00CFELU30,B005VH2NG6
AMGW8SB0S2B72,tail_hit,B00D10ELFG,6,1,1,008b7f24f3d9cb7aa439f70d00ade0534000da0f8c1de5b207076c29e95ea34c,B004P971KE,B00873ESI2
ARE1X8Z9127UW,tail_hit,B008697B54,5,1,1,009ff2e24a09821b60a2e1a0189b70cf91704e386ac3d82b7f29c361af5e4215,B007HE310I,B00515GYJ0
A2XMO247S0NBJ0,tail_hit,B00FMA36BS,4,1,1,00bfbb80cd8c0842b2b3559d88bb649f171882bd43eb077f4969d9abf463bbc5,B00CKH9WOQ,B004RAHBTW
A33VUWZDC1Z0I5,tail_hit,B004KGTM90,3,1,1,00e45d6fa903564bf3c38e532dacb064556a39a5bbb8e67d05a324d2eccb2cec,B004FEHKMS,B004A8ZRBA
A2AWNEMZO6BZX7,tail_hit,B006RQ8TFO,3,1,1,00f5e0c130f79f8edc6bdc70ecd172eb11edddfcc8f8859d953da17e62d7c784,B0035EQDTU,B000068E3J
A14AJAMALII28Q,tail_hit,B00EQ7QLSI,3,1,1,0105428fa1cf22c2312c24095e7e261e6dcaf0355fcdc32106da0804485d938f,B00DUF0VE2,B0092GHPSI
A2Y87U9VKGRAAW,tail_hit,B00404ZUMU,8,1,1,01249c85458a1d14a8043ab432423acafe9139d405910523ca0405b7c98e3bf8,B003ED7N6E,B000NNNLQO
A2PIGZCDGM4NJ7,tail_hit,B00H64YYWS,3,1,1,013d332e198c02ef0cc3804912097db2b954d3ac6535373d72392befe1d1454d,B00H64U77Y,B009MDU3CG
A1ZIDT0XJA10IR,tail_hit,B00BV2V8A2,3,1,1,0172ab2389cbaa95f07e243dc408556c544d7c724f8fd2da22adcf93d92c93d8,B00BOZBK04,B00BOZ4C36
A3U0S17XYK8XMJ,tail_hit,B00G69QG66,14,1,1,019f5a290e4784add7f6cb12f1be71abdc116d5c653878b1d6abc72b8cd2c823,B005N57CNU,B0014411SG
A36SJGHQRKW92R,tail_hit,B00297OCZ6,3,1,1,01c79f2dddf870f8f5ca89f0650fd2a495b07faa2ea272ea016d688abcd0240d,B00297OCWO,B000N5T8KA
A19OB162NGPFV4,tail_hit,B004M8ROHS,3,1,1,0266461cd6c83434d5e7ba0fb9f348e308b51eb97fc4a4d9682eb0334f1a5efa,B006DR6LXY,0911121013
A1P5KXK4E68DBI,tail_hit,1616615362,3,1,1,0288ec1ef64ac16c5e42b3aad8000ee1aad5766918d2490aac0537ba56ad1bdc,1616615354,B0083TXYTE
A1LYDMJ55BBQJB,tail_hit,B00B0FV4FE,3,1,1,02a5952483aeaec6109e8d75b2af3dced1ad28c720571302115bd7a651528e92,B00B0FT1CW,B0006JGFNQ
