user,stratum,history_length,lp_full,lp_coarse_only,lp_minus_link_ids,lp_minus_cf_ids,lp_minus_all_fine_ids,lp_matched_0,lp_matched_1,lp_matched_2,lp_matched_3,lp_matched_4,lp_matched_5,lp_matched_6,lp_matched_7,raw_link_harm,matched_control_effect,adjusted_link_echo,metadata_benefit,raw_cf_harm,raw_all_id_harm
A25TXSIR8Y3UVP,tail_hit,4,-0.31407368183135986,-2.6275835037231445,-0.2880593240261078,-1.4409852027893066,-1.2676656246185303,-0.2652013599872589,-0.30692002177238464,-0.2907055914402008,-0.32532113790512085,-0.2991328537464142,-0.29220542311668396,-0.2795432209968567,-0.3011478781700134,0.026014357805252075,0.01905149593949318,0.006962861865758896,1.3599178791046143,-1.1269115209579468,-0.9535919427871704
AHCB4316MB6UM,tail_hit,6,-0.9338075518608093,-2.341203212738037,-0.9908912777900696,-1.327654480934143,-1.2603563070297241,-1.0164076089859009,-0.9493746757507324,-0.888512134552002,-0.8425202369689941,-1.0003674030303955,-0.93168705701828,-0.9351571798324585,-0.9572685956954956,-0.057083725929260254,-0.006354309618473053,-0.0507294163107872,1.080846905708313,-0.39384692907333374,-0.3265487551689148
A1C0W201MKSOZY,tail_hit,4,-0.7375912666320801,-1.9730873107910156,-0.7202523946762085,-1.9426530599594116,-2.081296920776367,-0.7538332939147949,-0.7500817179679871,-0.702083945274353,-0.7143200039863586,-0.7061777710914612,-0.7293437719345093,-0.7716603875160217,-0.711353600025177,0.017338871955871582,0.007734455168247223,0.009604416787624359,-0.10820960998535156,-1.2050617933273315,-1.343705654144287
AMGW8SB0S2B72,tail_hit,6,-1.5179100036621094,-5.4032440185546875,-1.517072081565857,-3.377345323562622,-3.5084762573242188,-1.4970556497573853,-1.5712487697601318,-1.51325261592865,-1.4719847440719604,-1.472191572189331,-1.6112356185913086,-1.5138587951660156,-1.507155179977417,0.0008379220962524414,-0.0018378645181655884,0.00267578661441803,1.8947677612304688,-1.8594353199005127,-1.9905662536621094
ARE1X8Z9127UW,tail_hit,5,-0.2434488832950592,-0.45354825258255005,-0.2568485140800476,-0.2368810623884201,-0.4178541302680969,-0.2305683195590973,-0.24145588278770447,-0.25580886006355286,-0.25347790122032166,-0.23589739203453064,-0.25017744302749634,-0.2425502985715866,-0.22367806732654572,-0.013399630784988403,0.0017471127212047577,-0.015146743506193161,0.035694122314453125,0.006567820906639099,-0.17440524697303772
A2XMO247S0NBJ0,tail_hit,4,-0.3849300146102905,-1.327105164527893,-0.40544557571411133,-1.14151132106781,-1.176770567893982,-0.35171669721603394,-0.38393068313598633,-0.38461315631866455,-0.38221389055252075,-0.36504048109054565,-0.40643030405044556,-0.3869749903678894,-0.37036800384521484,-0.0205155611038208,0.006018988788127899,-0.0265345498919487,0.15033459663391113,-0.7565813064575195,-0.7918405532836914
A33VUWZDC1Z0I5,tail_hit,3,-1.26436448097229,-2.259495735168457,-1.2512708902359009,-2.0204949378967285,-2.089174747467041,-1.2216131687164307,-1.2383091449737549,-1.3037548065185547,-1.2716015577316284,-1.28098464012146,-1.24950110912323,-1.2623159885406494,-1.2195508480072021,0.01309359073638916,0.00841057300567627,0.004683017730712891,0.17032098770141602,-0.7561304569244385,-0.824810266494751
A2AWNEMZO6BZX7,tail_hit,3,-1.0073750019073486,-3.313314914703369,-1.0557950735092163,-0.946398138999939,-0.9625219106674194,-0.9874786138534546,-1.0045650005340576,-1.029563546180725,-1.0287421941757202,-1.0658133029937744,-1.5374219417572021,-1.0446674823760986,-1.518286108970642,-0.048420071601867676,-0.14469227194786072,0.09627220034599304,2.35079288482666,0.06097686290740967,0.0448530912399292
A14AJAMALII28Q,tail_hit,3,-1.059966802597046,-1.5939384698867798,-1.9133676290512085,-1.4076193571090698,-1.8819351196289062,-1.0263851881027222,-1.0166692733764648,-1.1227104663848877,-0.9980131387710571,-1.0266624689102173,-1.046125054359436,-1.0451072454452515,-1.1390140056610107,-0.8534008264541626,0.007380947470664978,-0.8607817739248276,-0.28799664974212646,-0.3476525545120239,-0.8219683170318604
A2Y87U9VKGRAAW,tail_hit,8,-0.07096727192401886,-6.749762058258057,-0.14123502373695374,-4.923004150390625,-4.775422096252441,-0.06690162420272827,-0.06565378606319427,-0.07122813165187836,-0.06339701265096664,-0.07108936458826065,-0.07432788610458374,-0.0738949328660965,-0.07937997579574585,-0.07026775181293488,0.00023318268358707428,-0.07050093449652195,1.9743399620056152,-4.852036878466606,-4.7044548243284225
