dataset,user,split,sample_hash,depth,child_count,history_length,metadata_tokens_mean,metadata_tokens_min,metadata_missing_fraction,unique_neighbors_mean,semantic_entropy,semantic_margin,semantic_max_probability,collaborative_entropy,collaborative_margin,collaborative_max_probability,full_entropy,full_margin,full_max_probability,semantic_collaborative_js,semantic_collaborative_top1_agree,lp_semantic,lp_collaborative,lp_full_source,lp_full5,lp_full10,lp_full20,u_semantic,u_collaborative,u_k5,u_k10,u_k20
Beauty,A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,0,108,5.0,262.0,61.0,0.0,20.0,3.939093589782715,0.014968059957027435,0.07246369868516922,1.8341045379638672,0.08344385027885437,0.3535577356815338,1.855262041091919,0.10711908340454102,0.36252549290657043,0.4288182258605957,0.0,-4.7858405113220215,-1.938550353050232,-2.0235981941223145,-2.054807186126709,-2.0235981941223145,-2.202312707901001,-0.08504784107208252,2.762242317199707,2.7310333251953125,0.03120899200439453,-0.17871451377868652
Beauty,A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,1,104,5.0,262.0,61.0,0.0,20.0,2.897733688354492,0.15328790247440338,0.2726193070411682,8.167156011040788e-06,0.9999992797560253,0.9999996423721313,1.6009533283067867e-05,0.9999984456850939,0.9999991655349731,0.628701388835907,0.0,-3.5717735290527344,-3.576278118089249e-07,-8.344646857949556e-07,-4.529942543740617e-06,-8.344646857949556e-07,-4.768370445162873e-07,-4.768368739860307e-07,3.5717726945880486,3.5717689991101906,3.6954778579456615e-06,3.576276412786683e-07
Beauty,A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,2,1,5.0,262.0,61.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,3,1,5.0,262.0,61.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,4,1,5.0,262.0,61.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,5,1,5.0,262.0,61.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,6,1,5.0,262.0,61.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,A3LMILRM9OC3SA,audit,001d2c8c98e0eaf8879ecf5ec55e30035f9fe9b8b29e4416c240860fce42ff88,0,108,20.0,216.35,65.0,0.0,20.0,3.5696396827697754,0.023700349032878876,0.12899531424045563,3.394390106201172,0.06114320456981659,0.1677512228488922,3.5651021003723145,0.02601107954978943,0.13273929059505463,0.0584571398794651,0.0,-5.538610458374023,-5.523722171783447,-5.5380144119262695,-5.6273512840271,-5.5380144119262695,-5.551059722900391,-0.014292240142822266,0.0005960464477539062,-0.08874082565307617,0.08933687210083008,-0.013045310974121094
Beauty,A3LMILRM9OC3SA,audit,001d2c8c98e0eaf8879ecf5ec55e30035f9fe9b8b29e4416c240860fce42ff88,1,49,20.0,216.35,65.0,0.0,20.0,2.4199845790863037,0.0033767223358154297,0.23227040469646454,2.2500312328338623,0.09230455756187439,0.32095426321029663,2.4094226360321045,0.029380202293395996,0.2284160852432251,0.13275207579135895,0.0,-3.5002431869506836,-1.1364567279815674,-2.06612491607666,-2.715695381164551,-2.06612491607666,-1.504995346069336,-0.9296681880950928,1.4341182708740234,0.7845478057861328,0.6495704650878906,0.5611295700073242
Beauty,A3LMILRM9OC3SA,audit,001d2c8c98e0eaf8879ecf5ec55e30035f9fe9b8b29e4416c240860fce42ff88,2,3,20.0,216.35,65.0,0.0,20.0,0.8357731103897095,0.5067671686410904,0.686509907245636,0.7644733786582947,0.5007657110691071,0.7128755450248718,0.6539025902748108,0.643470972776413,0.7865201830863953,0.015690524131059647,1.0,-0.37613463401794434,-0.3384484648704529,-0.24013692140579224,-0.23834730684757233,-0.24013692140579224,-0.2494647353887558,0.09831154346466064,0.1359977126121521,0.137787327170372,-0.0017896145582199097,-0.009327813982963562
