user,split,target,history_length,sample_hash
AXNOIG99M4JF5,audit,B002RL7WCE,2,0066d26cedbfd28be9e626bf082d57cdb0d3dc960dacefceff403471b47e8bb6
A3JVYKAWHZK4QX,audit,B00005KBVD,17,0086c34506eb29fb570b3051348365d72124bb0a069604a630f8ce46d975b360
A2SP41NNR0KMV2,audit,B003K16ZQE,2,00cbd76b98a05a14dd6d649e3ba0a120ac111154d4c8074cab6e9cdb3852be2a
AZSK4N4ZCZ16H,audit,B004Z3MLLY,3,00dc4ed54a994196c52472a2be1512bff1044ff3f7a3c03d7d6a59b809a24133
A1Z9Y3MXTQVSCV,audit,B00134RPIC,2,00ed8d78918178b2434d39c63971269933751ae6ad3dd3fdc75ee8ba993c3775
A1AE8V6Y8T4KGL,audit,B00A9K5JXO,3,00f2e3b083225ca461fde254178dc64f721300c5efa2bd38477351d6ada327c7
A1C157FRUD6JXH,audit,B002WDKA6W,4,00f755e3120727586b9790ca5f00b8226978f6be7afa5fa7d6b65076b340cae8
A11Y88M90AQ2ZO,audit,B00BU3ZLJQ,3,00f7b713eea5460a932e274d96b1f21f8774ef5240f09c691dd2f9bc97469495
A27H0T39U3FZB5,audit,B002VBXPO4,2,011ba62ef501fbb35716feb921ad84c8763c5d19c833f3aca7c24ab766a676df
AY5UM0DV5T3YW,audit,B001IEYXAA,2,012865f6ea884408c0de1247983d568567a8a711aa53acb11990d46683542732
A2G00U3NCCUOGL,audit,B0015KVXW8,3,012fa8afbadc6715ff5395eeecbf3178e64a3ce10c32974fc0aad03db168be20
A1IAQIZSXONWVU,audit,B009F7OUPK,16,013802e405df328945da16bec3c54cebe44c11833b50f714155f5d71e15a2a42
A9XZYM1OPW780,audit,B00DGQP44C,4,014cf3cc361373b15d553cd50c5fa22e04915f920221a26b56d8aebb005f4a59
A3057ZJL1OX1W0,audit,B0090BZBSQ,18,0150e673ca7d424bb8eed3d5abac9b79dcf83beee1340b4e44275b5601ec3a97
ALO0F99ZHATEU,audit,B009SE5DRO,2,015fb72894dee775312d213224b53ca2226f6797da91a2b7a87c8d9513939f5b
A3MRYKKPAD40RP,audit,B007U7M0KY,10,016e0c961d858d9a27c290cb10cc2e8f1e19c860dc71bc7888e036bd532d50c8
A2KMV056844YV2,audit,B00GTCKNYQ,4,017ba389bb6981d95a857d3da373d8f19c8eb7b37fa431ed357d683b3486ec83
A3AVVMEI28N2UJ,audit,B00BG4P5N6,4,0188212a5864aa563567a21cd37435cfcc77d1126a09f587636ee135719760e8
A3GLWFCP5JIMNN,audit,B007QR95QU,3,0191a94d7b1a68cb39536fd474a795d97f5a5fdc902d72481c4d82cb6ac34d0e
AZE16AY05PUZ0,audit,B001T3F0J8,2,01a233a04fbbb5384fa755b90c93ed7c09425c51c09536bedcf9cf6a4b6728ae
A1KDCEBDE9BF2A,audit,B00A88E8NE,5,01a433452c3f39beca5eba40f51bb700ec8b9cffde62d601dc9dbdc587734c58
A354BXXZVZN1DD,audit,B000J3ZVMK,3,01a757ceb751be4f93c61a2e2ec5e0d3b9ef7b977110a52c3e09144241a6d5c9
A2UDY2FIZCVTTN,audit,B001PIJEBW,4,01bc899e5f0cf96737b1de6ff19086ccf6d62fde80a25b4a723ac51382710e50
A2SJTRA46IB0IH,audit,B006ZJHKA8,4,01c05293bc94afa7cb4545235d453091c2bd332c68727771c5c5e559e76c2934
A1OX93IPAKL23R,audit,B000F8XF8Q,2,01c6635041d17d0c0b933a08b21d2b59a6a3fc8320c3ca214e17e935e308f797
A27FYNIJC7T58I,audit,B00A8UT58K,4,01da5063458a04926bf00f970de08121207ea48fc406f308151c72040ef0cc6d
A3GBRY8W4MIZAM,audit,B0083TXUZM,2,01e35a21e788aab703af66555e3fa9300c2b6a95338d926f61921bfcc146c22e
A351EURUGWPUUA,audit,B0002BSTY6,3,01f2048e61e36ce46179d2f805985b063283bfe595f1a7cab9bdf3b51d72b506
A6U5RO3NVNJ8E,audit,B002M28AOW,7,01ff8aea253cdfe9ed35f1491e8fe86cb26fa2f25317f0ef799cd837c35c122a
A2F9I7CI9GWANO,audit,B006X9KUL6,11,0205c9dd8a029d34fc3e4a0ec29634bff2299f642907bff53d599f10f6339bd5
A3339OATDLL33V,audit,B008IZH2M8,3,0211c3edf6905f2f5bc668c8312dd5d59b2513265c7d2d76d5487571ad0d12ed
A1SHME7L3P78X3,audit,B000067QC0,2,0253f104e201940629e283d56bf13d43f2e23151589509c3497b2653dfcc4a1b
A3BA4F1E2PGRCC,audit,B0080IX4NO,3,0255e7c073fc733a2d6d458cefdd6875159048eb42891a8756265bf633a50cea
A26Y0SMLXSNVG7,audit,B002APFT8G,3,02853727b9b3dc3ea2998d9497706e40736a63f65366b30704065a8ee8181b16
A1CANGVKCCXCHG,audit,B0037KL7SE,3,029dc1ba4849174f8afcf39d904be423ff727e4421e154edabfcb05683b2bb8d
A39UYY0LJ6IO6Z,audit,B0027CS7OK,6,02c210c209f93875c35e2b5393f95fd2c86fd77a7caf0fbeb202bb2d896904ee
A1XJ9EVMRATYBN,audit,B0050OTMAA,9,02d5083f9160ec6341d63f98698b7f33c8b319da8d8e03519ba0692753a23bca
A29XK5H3AA5S01,audit,B003U4A12U,14,02e1d16526de195a18053381276be0b46f7444af0d1fd93ff44af779b520ff21
A3DURFM75XV494,audit,B00C74HY88,3,02e50d643fb5a2b5b0ff48adca4cb195e9238ec224ff8f7c92aa953c04c42373
A1LAV7SV0BD6DS,audit,B0023TEEU8,2,02f319d77d37bf9eaaf4b86183ec8dc92b7e1c817a32398e7e194c022488191c
A1LFGOMRDJ79O3,audit,B000ETRENS,5,02f3e697e8d48d87b19ebb859ebe9e70ab8893c0abe140ddd2c0f0435c661523
AJA8ABXYA9B5O,audit,B0038AI0PQ,3,02fa9e9193ae477105ad99c96dd3cd265af235895dc9658a8fddfd072ea690e3
A2QNXW1P4GWB6,audit,B00160240M,2,0300a8417707b974af2cedfe8740a9a39988d068324bff7cf0dcb383fb20bd07
A2O4ZBYGBJJL2E,audit,B0013JPVN8,2,0321fd70aba28fbba085221381b7c868c2afdc33c292ce8840b46cd55eb8e47e
A31EHS1DUV3Y4C,audit,B00000K3BR,3,033cafd95dfc16ac9f5763de86b76ec1d3b1c85b00ba8343584eaa469b0b18cd
A3N752EG18MMZW,audit,B00CN8AGE2,7,0348744754b0058ac9d35e78ad6e1bf2181a1a6e4b678c45b51cb284e779ce84
A1I3SPGTEDK430,audit,B007XPLI56,3,035759b9b4961d68f7cf98491fbac2e65ad31f4dd1e58136d577b5113065dcf7
A2I6O3SYDQO39E,audit,B00284C4FA,8,035c8b6a0af644b16bcdbc4fdacdbb97a8d5ce1e0718fb0f461db94a5dc1b193
A2EDYS9VSSEZV4,audit,B004PBLXP6,2,0362b591d1cbf13199c07f9695989b951f9189985409659964a5896e493bed6b
A1UGPIBPZGWJKF,audit,B000GKW73C,2,0369a634e746d2e735eda2d0502fa03757972b4bd75f0363850ca088d6cee099
AN9AZNETN79IK,audit,B0045H0OWS,2,0370011147604eed62fff4ed2d63ffc739217181672e929908a503fb1733738e
A12CC0H8AWM9YC,audit,B00020V59S,3,0375b447f8163fc40cd858caa77046636060c2552719e3b0e5e1f96a8734746d
A2ZR42FLIFQNV6,audit,B00875JE0C,2,0375df3efca354151c6b41235481a7ced3aa8f0450f1838d4335eba4308b7ec1
A2PU94CPVXMHPW,audit,B00030EP4E,2,03788c55d76d75727ec881564535373c76ec2eac7dd1491ddcfbccd6853af60d
A2ZORIZD5JTN7H,audit,B00435NYYW,6,037d88348b7c2d45b8fa6a8aef6c3c8e749cd486a6b1d023929a47dc85197fa7
A29JZ68RPB0GI5,audit,B003WMC6U0,2,03a6fecf2b82c09a8d01be22c286476d2233e55a043f9fc49c7f617cefc9e905
A3TYMCIQN8ZM0Q,audit,B001RNC1EM,2,03af7d79a63b34565b845b7de4de014c46f8cb57b9441079f138c0003a3c7f87
A2WMLRWN5GB72K,audit,B005IGU9IE,3,03dd34afcb0ccc38b42f712b6f37e433554930da7e6024f8d8dbcb5c3467167c
A1J34B2935KBLV,audit,B0051GQVSI,2,04064afb73620ea8066b87055f5262b14d611814d6943fe5dc35ee60d69b4719
AZ4XFZ5198FFR,audit,B002X3VIDU,2,04069ef5c778d5fd927dfe68c09da1f21fd30d56faebbfe1390b398c20a1999f
A3BTDFZI3FT6I7,audit,B0024FY8BG,6,045522214ba86a8c229d8a30cc66b90b139328fe3151d6738e9006d2420cb635
A18761YJV6HI3H,audit,B0007YDBLE,3,0456c156edeeab49671ff27cc2160328fbbcbaabf5ff26e4ec0572298175a5ee
A26QX1SAM87SX9,audit,B0051GTQVW,3,0461d85ca1cc0bcbcecf9fc81c67081a3bd117747bbf6855349c1787e3dabe9c
A1TUE7NMV5XH3N,audit,B006CD32IG,2,0464171959d60e7d45d81061958765e3723b0f23a322149e0e1d1f9e85c513aa
A3QSNF3WWPQJJZ,audit,B000QE02RG,10,0466bce76539b22eae533890a37cea54472b9110ea80ab898f9157175b105e33
ANU41GDKJ1EW,audit,B005E7A21Q,2,046ab9c2cc9196e20b34428843af270cf2db93d94a16c3dad65d98003251faeb
AGALSGEQVJYQO,audit,B00D10ELFG,12,048eb4d2cea434d87caea4c8609811053dced63913cbb7eb1896c89c7e05b746
A3V4OD9WI97PEX,audit,B00AHAJ8TC,2,04902ee0390f35f87a1182221ced242cf3808246e2c40201e0d3fda07e80b552
AO1HIVTUCQZQ2,audit,B0027CS7D6,2,04a3891787a20f9f7c6d87ab66e5af0ebe3c2fc7a6b6149d828771573b261a29
A160G57GQ4WNUX,audit,B0038LYVVM,2,04b5a6e4ab1f9fc2abb70556d7a3527fd8c8f25adeb834e65d32e9ffd8f76843
AP8ZD9MU4UP9C,audit,B00BJ90LC8,9,04bc11ce411c3eec8f307895a1759ad8c520f87378cd38fdb150b685fe41672c
A2SD1Z4OROY538,audit,B006WREUQU,13,04c7ddaa911b30a090b1172fe05031d3f5fad25529c45442bc342297628163bb
A1MK0UA8UDSMRW,audit,B007EA6PKS,3,04c9c08a6151b404af65b9309f1ff3ba5c8fa0fb7ebdadc30f6b70eaf98f80dc
A3JYVCG5G0B8LT,audit,B0001YNLLK,6,04cdb8ae56b762a4b595ed3ecab68cadb4a3c1edc821623bc582408ab546c1eb
A7J06XNT3BOUD,audit,B000GYWXR8,5,04d1507b39e8990a0f3a908516e72cf9c4f67fc8a4cb0bfd3a436efaf16cadde
A3P0VX9YFUXO33,audit,B00C58ZQFO,2,04d35a252aaebd733ed4e23a9ee8bc95c72256627d7b90082788253cc00d648f
ASOVV3N5061BE,audit,B000W3XEQM,3,04d57ac4a50d83302cdf18f79c27256887c1800fcd393b1062dbaf512ea0895c
A2WJH1QD0M9X51,audit,B006NJZ0SY,20,04e046aee49f79fc49c3c35b9bbbb51b9d71ee69a875dd8c4ad640610e30933b
A1ZM4RXUG1JJVJ,audit,B0013EP1CO,2,04e06729699361114dde90a0dc6294b32de6a0968f4b218bfcc1fed8d5fd2c49
A2S7E70C15YD5W,audit,B007U7M0WM,2,0511d078c1e4bfdc8f4dc126fec1e966b39a6cb121445a659486e96c48bb50c3
A1FUC0J2RGHTQ1,audit,B008B68IV8,2,05230a12d7b0d7e1d80765caf1a2ae7e4636726db06396eab1be4d631169a485
AJ37PDNCS0X7A,audit,B00A88EPCI,4,0560e48bb4d05592213fd4629b6ebec8707c7ec1b06f72a5dc1ef2f67109064f
AHCL2WVP0FIY9,audit,B005A29Z5Y,11,056e4b657bd06c29672e10875389b8a7e8cd62149f6da3c0fc94a1f5d126d5f4
A1P8X706LK71KS,audit,B0038AT564,2,057074aebf3bc410693ee25183107dda0b1e31a642279ea4b198182f0141e114
A3FGWBYH2TQMS8,audit,B0085WX4OO,15,059e9d6b0895bc1f65bf2f147f948ecc2fdba59290dd0604d0cd721dff6d58b6
A1E11XUBLN0IBQ,audit,B00104MFRG,2,05a46817985904b861fd09f9fa4749aabbd57799f8850c8010c766ba9db78da6
AYOND4ODQI2VQ,audit,B005N548KK,2,05c0c30d36ea0faaa29c680b01e64b8eab62431310367fe6eb0d7f2c1ec69d75
A2VFTRVR4M7WOP,audit,B003H9MSQ0,7,05c49b157c8020bd265e74c5311a059c4fcb3a095427281b3546fb18cfb4a026
AOJA1LC8PN7K1,audit,B00ANLNU4Y,4,05f8b4fa9a2696cf9ebe298502cf7e9359c1d56e56869ef06e95bd1beb64c5bd
