dataset,user,split,sample_hash,depth,child_count,history_length,metadata_tokens_mean,metadata_tokens_min,metadata_missing_fraction,unique_neighbors_mean,semantic_entropy,semantic_margin,semantic_max_probability,collaborative_entropy,collaborative_margin,collaborative_max_probability,full_entropy,full_margin,full_max_probability,semantic_collaborative_js,semantic_collaborative_top1_agree,lp_semantic,lp_collaborative,lp_full_source,lp_full5,lp_full10,lp_full20,u_semantic,u_collaborative,u_k5,u_k10,u_k20
Toys,AXNOIG99M4JF5,audit,0066d26cedbfd28be9e626bf082d57cdb0d3dc960dacefceff403471b47e8bb6,0,30,2.0,348.0,323.0,0.0,20.0,2.122589349746704,0.44979336857795715,0.5230801105499268,0.8527829647064209,0.8279568385332823,0.8527552485466003,1.7282514572143555,0.586919765919447,0.6406654119491577,0.07076726853847504,1.0,-0.6480206251144409,-0.15928269922733307,-0.4452478885650635,-0.4452478885650635,-0.4310888946056366,-0.43829673528671265,-0.2859651893377304,0.20277273654937744,0.20277273654937744,0.01415899395942688,-0.00720784068107605
Toys,AXNOIG99M4JF5,audit,0066d26cedbfd28be9e626bf082d57cdb0d3dc960dacefceff403471b47e8bb6,1,53,2.0,348.0,323.0,0.0,20.0,2.705385684967041,0.0032303333282470703,0.19818677008152008,2.809060573577881,0.10738350450992584,0.21786758303642273,2.5475423336029053,0.1768464297056198,0.3101111948490143,0.04568621516227722,1.0,-1.618545413017273,-1.5238678455352783,-1.170824408531189,-1.170824408531189,-2.106851100921631,-2.6947154998779297,0.35304343700408936,0.447721004486084,0.447721004486084,-0.9360266923904419,-0.5878643989562988
Toys,AXNOIG99M4JF5,audit,0066d26cedbfd28be9e626bf082d57cdb0d3dc960dacefceff403471b47e8bb6,2,24,2.0,348.0,323.0,0.0,20.0,1.792546033859253,0.11534933745861053,0.36152276396751404,2.240985155105591,0.19678102433681488,0.32510536909103394,2.170414447784424,0.21512548625469208,0.36366647481918335,0.3753582537174225,0.0,-5.005414009094238,-2.406160593032837,-2.6538214683532715,-2.6538214683532715,-2.468276262283325,-4.129120826721191,-0.24766087532043457,2.351592540740967,2.351592540740967,0.1855452060699463,-1.6608445644378662
Toys,AXNOIG99M4JF5,audit,0066d26cedbfd28be9e626bf082d57cdb0d3dc960dacefceff403471b47e8bb6,3,1,2.0,348.0,323.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toys,AXNOIG99M4JF5,audit,0066d26cedbfd28be9e626bf082d57cdb0d3dc960dacefceff403471b47e8bb6,4,1,2.0,348.0,323.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toys,A3JVYKAWHZK4QX,audit,0086c34506eb29fb570b3051348365d72124bb0a069604a630f8ce46d975b360,0,30,17.0,136.64705882352942,35.0,0.0,20.0,2.511223077774048,0.008790403604507446,0.1762581616640091,2.1128690242767334,0.1883777230978012,0.3770768940448761,2.532849073410034,0.03443719446659088,0.20817486941814423,0.037479110062122345,0.0,-4.398288726806641,-4.748045444488525,-4.568537712097168,-4.568537712097168,-5.030729293823242,-5.108060836791992,0.17950773239135742,-0.17024898529052734,-0.17024898529052734,-0.4621915817260742,-0.07733154296875
Toys,A3JVYKAWHZK4QX,audit,0086c34506eb29fb570b3051348365d72124bb0a069604a630f8ce46d975b360,1,27,17.0,136.64705882352942,35.0,0.0,20.0,2.2377021312713623,0.02166697382926941,0.29588326811790466,2.2856311798095703,0.05524393916130066,0.29096221923828125,2.471261978149414,0.10689200460910797,0.26783257722854614,0.04452378302812576,1.0,-3.2240920066833496,-4.290475845336914,-2.8792238235473633,-2.8792238235473633,-3.931596279144287,-5.138562202453613,1.4112520217895508,0.34486818313598633,0.34486818313598633,-1.0523724555969238,-1.2069659233093262
Toys,A3JVYKAWHZK4QX,audit,0086c34506eb29fb570b3051348365d72124bb0a069604a630f8ce46d975b360,2,8,17.0,136.64705882352942,35.0,0.0,20.0,0.19813668727874756,0.9414315428584814,0.9618499279022217,0.03196820616722107,0.9933219566009939,0.9957975149154663,0.04615622013807297,0.9890079726465046,0.9933450222015381,0.009791801683604717,1.0,-0.03889681026339531,-0.004211367107927799,-0.006677219644188881,-0.006677219644188881,-0.010846232064068317,-0.1849614828824997,-0.0024658525362610817,0.03221959061920643,0.03221959061920643,-0.0041690124198794365,-0.17411525081843138
Toys,A3JVYKAWHZK4QX,audit,0086c34506eb29fb570b3051348365d72124bb0a069604a630f8ce46d975b360,3,2,17.0,136.64705882352942,35.0,0.0,20.0,0.18750199675559998,0.9073809683322906,0.9536904692649841,0.024819621816277504,0.9924537432380021,0.9962269067764282,0.38030117750167847,0.7463552951812744,0.8731776475906372,0.010897441767156124,1.0,-0.04741610959172249,-0.0037802441511303186,-0.1356162577867508,-0.1356162577867508,-0.06744666397571564,-0.00605012895539403,-0.13183601363562047,-0.0882001481950283,-0.0882001481950283,0.06816959381103516,0.06139653502032161
Toys,A3JVYKAWHZK4QX,audit,0086c34506eb29fb570b3051348365d72124bb0a069604a630f8ce46d975b360,4,1,17.0,136.64705882352942,35.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
