dataset,user,split,sample_hash,depth,child_count,history_length,metadata_tokens_mean,metadata_tokens_min,metadata_missing_fraction,unique_neighbors_mean,semantic_entropy,semantic_margin,semantic_max_probability,collaborative_entropy,collaborative_margin,collaborative_max_probability,full_entropy,full_margin,full_max_probability,semantic_collaborative_js,semantic_collaborative_top1_agree,lp_semantic,lp_collaborative20,lp_full5,lp_full10,lp_full20,u_semantic,u_collaborative,u_k5,u_k10,u_k20
Beauty,A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,0,108,5.0,262.0,61.0,0.0,20.0,3.939093589782715,0.014968059957027435,0.07246369868516922,1.8409501314163208,0.04619064927101135,0.3507919907569885,1.8409501314163208,0.04619064927101135,0.3507919907569885,0.42143452167510986,0.0,-4.7858405113220215,-2.202312707901001,-2.054807186126709,-2.0235981941223145,-2.202312707901001,0.0,2.5835278034210205,2.7310333251953125,0.03120899200439453,-0.17871451377868652
Beauty,A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,1,104,5.0,262.0,61.0,0.0,20.0,2.897733688354492,0.15328790247440338,0.2726193070411682,9.554532880429178e-06,0.9999992094893173,0.9999995231628418,9.554532880429178e-06,0.9999992094893173,0.9999995231628418,0.628700852394104,0.0,-3.5717735290527344,-4.768370445162873e-07,-4.529942543740617e-06,-8.344646857949556e-07,-4.768370445162873e-07,0.0,3.57177305221569,3.5717689991101906,3.6954778579456615e-06,3.576276412786683e-07
Beauty,A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,2,1,5.0,262.0,61.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,3,1,5.0,262.0,61.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,4,1,5.0,262.0,61.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,5,1,5.0,262.0,61.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,6,1,5.0,262.0,61.0,0.0,20.0,-0.0,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,A3LMILRM9OC3SA,audit,001d2c8c98e0eaf8879ecf5ec55e30035f9fe9b8b29e4416c240860fce42ff88,0,108,20.0,216.35,65.0,0.0,20.0,3.5696396827697754,0.023700349032878876,0.12899531424045563,3.415260076522827,0.022160939872264862,0.13136771321296692,3.415260076522827,0.022160939872264862,0.13136771321296692,0.047955453395843506,0.0,-5.538610458374023,-5.551059722900391,-5.6273512840271,-5.5380144119262695,-5.551059722900391,0.0,-0.012449264526367188,-0.08874082565307617,0.08933687210083008,-0.013045310974121094
Beauty,A3LMILRM9OC3SA,audit,001d2c8c98e0eaf8879ecf5ec55e30035f9fe9b8b29e4416c240860fce42ff88,1,49,20.0,216.35,65.0,0.0,20.0,2.4199845790863037,0.0033767223358154297,0.23227040469646454,2.414081573486328,0.026056259870529175,0.24807460606098175,2.414081573486328,0.026056259870529175,0.24807460606098175,0.09764858335256577,1.0,-3.5002431869506836,-1.504995346069336,-2.715695381164551,-2.06612491607666,-1.504995346069336,0.0,1.9952478408813477,0.7845478057861328,0.6495704650878906,0.5611295700073242
Beauty,A3LMILRM9OC3SA,audit,001d2c8c98e0eaf8879ecf5ec55e30035f9fe9b8b29e4416c240860fce42ff88,2,3,20.0,216.35,65.0,0.0,20.0,0.8357731103897095,0.5067671686410904,0.686509907245636,0.6714712381362915,0.6367450058460236,0.7792177796363831,0.6714712381362915,0.6367450058460236,0.7792177796363831,0.011777527630329132,1.0,-0.37613463401794434,-0.2494647353887558,-0.23834730684757233,-0.24013692140579224,-0.2494647353887558,0.0,0.12666989862918854,0.137787327170372,-0.0017896145582199097,-0.009327813982963562
