item,path,parent,train_freq,beam_count,lp0,lp_last,lp_last_parent_centered,exposure_amplification
7806397051,8552 1063 4855 6945 13923 3243 5511,8552 1063 4855 6945 13923 3243,3,0,-20.4553279876709,-15.28296184539795,0.0,-3.896648692510025
9759091062,2164 5730 929 526 3442 2756 7568,2164 5730 929 526 3442 2756,9,12,-18.828014373779297,-17.268173217773438,0.7240867614746094,-1.676301697752951
9788072216,887 14842 11617 24093 7003 27180 12149,887 14842 11617 24093 7003 27180,4,10,-23.658313751220703,-27.5290584564209,0.0,-1.1034406830675092
9790790961,887 2676 6884 3302 27290 13213 24888,887 2676 6884 3302 27290 13213,5,21,-23.358814239501953,-23.795969009399414,0.0,-0.5874337005595205
9790794231,887 6714 3186 1720 11434 12149 18596,887 6714 3186 1720 11434 12149,5,1,-23.938915252685547,-25.309606552124023,0.0,-3.2500215275849715
B00004TMFE,16087 2165 15387 21603 11402 13645 12365,16087 2165 15387 21603 11402 13645,19,93,-22.83866310119629,-24.65949249267578,0.0,-0.3831915727297712
B00004TUBL,10758 10751 28042 3543 2062 2431 5013,10758 10751 28042 3543 2062 2431,17,5,-23.651168823242188,-22.618459701538086,0.0,-3.108191332145754
B00004TUBV,5432 28042 23835 840 23762 11855 5699,5432 28042 23835 840 23762 11855,4,0,-21.305526733398438,-14.801737785339355,0.0,-4.147963120790932
B00004U9UY,643 21189 2004 7533 929 1851 15432,643 21189 2004 7533 929 1851,12,3,-21.68535041809082,-23.32785415649414,0.0,-3.2237042192675993
B00004U9V2,643 21189 4147 13245 5013 6770 3918,643 21189 4147 13245 5013 6770,4,7,-22.869951248168945,-15.636226654052734,0.0,-1.4399129196887213
B000050B6U,2256 3575 18322 213 15443 4976 3803,2256 3575 18322 213 15443 4976,45,184,-19.321252822875977,-12.73119831085205,0.0,-0.5508014059310344
B000052WY7,747 14853 26578 5453 2087 19947 16123,747 14853 26578 5453 2087 19947,4,0,-22.75471305847168,-26.482221603393555,0.0,-4.147963120790932
B000052WYD,2087 2024 23808 15162 3547 29539 19765,2087 2024 23808 15162 3547 29539,45,69,-21.58968162536621,-19.09038543701172,0.0,-1.52712411684087
B000052WYL,2036 2087 18561 24636 30551 747 2205,2036 2087 18561 24636 30551 747,21,58,-21.085315704345703,-16.071168899536133,0.0,-0.9497647243505174
B000052WYN,747 27914 15136 2087 5210 5341 4400,747 27914 15136 2087 5210 5341,27,24,-21.330860137939453,-19.58937644958496,0.0,-2.066251430576555
B000052X9G,7512 7677 206 25735 195 6768 4070,7512 7677 206 25735 195 6768,3,7,-22.39680290222168,-13.618399620056152,0.0,-1.1885984914078147
B000052XIA,25097 7059 28101 409 21546 12445 6159,25097 7059 28101 409 21546 12445,7,21,-22.448488235473633,-17.027618408203125,0.0,-0.8975886288633603
B000052XW5,16802 1134 1922 8867 24530 8678 1780,16802 1134 1922 8867 24530 8678,11,4,-19.58353614807129,-16.578813552856445,0.0,-2.8890081820476414
B000052XYQ,16875 568 31727 4373 228 964 576,16875 568 31727 4373 228 964,5,6,-21.653932571411133,-16.460857391357422,0.0,-1.7836844587915461
B000052XZP,16875 22883 5255 7059 23444 1803 26629,16875 22883 5255 7059 23444 1803,31,237,-25.543323516845703,-32.303951263427734,0.0,0.06944153418839605
B000052XZX,16875 22883 5255 15247 6693 6658 918,16875 22883 5255 15247 6693 6658,14,28,-24.06294822692871,-15.050582885742188,0.0,-1.2749831056066352
B000052Y25,16087 20996 10760 6373 1950 14491 26156,16087 20996 10760 6373 1950 14491,5,12,-20.11214256286621,-17.407424926757812,0.0,-1.1297579913848814
B000052Y33,1268 7046 1621 7267 353 2762 14718,1268 7046 1621 7267 353 2762,5,20,-22.37354850769043,-30.24427032470703,0.0,-0.6350617495487736
B000052Y5F,643 19819 11608 5317 2656 2552 7942,643 19819 11608 5317 2656 2552,7,4,-20.37810707092285,-13.763931274414062,0.0,-2.4615641672207023
B000052Y6Z,17236 7965 3437 2806 26828 2234 554,17236 7965 3437 2806 26828 2234,3,7,-19.630512237548828,-11.316953659057617,0.0,-1.1885984914078147
B000052YJC,23216 8524 4987 17389 14242 16056 28071,23216 8524 4987 17389 14242 16056,8,20,-23.517452239990234,-20.89188003540039,0.0,-1.0703798208066182
B000052YJD,23216 8524 16001 4987 13422 13245 1305,23216 8524 16001 4987 13422 13245,7,9,-22.067432403564453,-19.780717849731445,0.0,-1.714349765390482
B000052YJH,23216 8524 16001 4987 1305 13422 5560,23216 8524 16001 4987 1305 13422,24,223,-21.454553604125977,-19.79242515563965,0.0,0.25999975304823053
B000052YJM,15496 17686 5394 7757 3866 11954 9208,15496 17686 5394 7757 3866 11954,39,97,-20.73526954650879,-22.080371856689453,0.0,-1.0471868373579873
B000052YJX,15496 3013 2140 22883 5255 9525 16658,15496 3013 2140 22883 5255 9525,16,17,-22.42549705505371,-21.152576446533203,0.0,-1.8918980434317767
B000052YKI,25597 1730 5415 7013 10607 627 1772,25597 1730 5415 7013 10607 627,6,10,-20.132061004638672,-18.040334701538086,0.0,-1.4711654631928255
B000052YKM,15496 5765 9208 2816 17484 1599 2225,15496 5765 9208 2816 17484 1599,9,0,-20.513395309448242,-16.840673446655273,0.0,-4.895177522621152
B000052YKS,19831 1873 3133 914 6910 16446 9404,19831 1873 3133 914 6910 16446,6,0,-19.24489402770996,-17.85360336303711,0.0,-4.515687900916248
B000052YKY,19831 1207 17359 18118 5160 21935 429,19831 1207 17359 18118 5160 21935,7,7,-21.558155059814453,-8.252944946289062,0.0,-1.9507385434547118
B000052YL1,10758 2414 24512 5133 25151 17359 30868,10758 2414 24512 5133 25151 17359,5,2,-25.03252601623535,-27.466781616210938,0.0,-2.739195903818981
B000052YLX,19831 1207 1730 6448 2152 751 10950 536,19831 1207 1730 6448 2152 751 10950,5,19,-20.996631622314453,-12.476347923278809,-0.652104377746582,-0.6850721701234352
B000052YM0,643 3596 2728 548 5983 9243 2807 632,643 3596 2728 548 5983 9243 2807,5,20,-19.275836944580078,-11.260848045349121,-0.048635005950927734,-0.6350617495487736
B000052YM3,27170 1024 15808 6977 7668 3578 13676,27170 1024 15808 6977 7668 3578,17,89,-22.232959747314453,-23.550518035888672,0.0,-0.3187007991033699
B000052YM4,19831 6977 7668 8411 2971 6910 21908,19831 6977 7668 8411 2971 6910,40,290,-23.076828002929688,-17.796855926513672,0.0,0.019563058724761717
B000052YM7,27170 6977 23172 7668 2961 491 1093,27170 6977 23172 7668 2961 491,77,1136,-23.172897338867188,-22.313129425048828,0.0,0.7346921634785852
B000052YM8,27170 6977 7668 491 14958 5768 1525,27170 6977 7668 491 14958 5768,18,52,-21.34388542175293,-14.152816772460938,0.0,-0.9076961059414117
B000052YMG,19831 19311 173 30868 31727 2886 12369,19831 19311 173 30868 31727 2886,5,28,-23.378108978271484,-20.145185470581055,0.0,-0.3055825484185313
B000052YMQ,25097 18118 5160 20215 6658 6476 23630,25097 18118 5160 20215 6658 6476,11,44,-21.49740982055664,-18.213247299194336,0.0,-0.5975963896517218
B000052YMR,25097 18118 5160 6658 8610 1725 2905,25097 18118 5160 6658 8610 1725,49,1866,-23.566957473754883,-23.09177589416504,1.2381830215454102,1.6791090853252815
B000052YMS,25097 18118 5160 9491 6658 29189 1725,25097 18118 5160 9491 6658 29189,7,4,-19.616350173950195,-4.086686134338379,0.0,-2.4615641672207023
B000052YMT,19831 18118 5160 529 9770 7365 15021,19831 18118 5160 529 9770 7365,6,9,-23.885786056518555,-25.452783584594727,1.888392448425293,-1.5712489217498078
B000052YMV,19831 18118 5160 529 9770 7365 20853,19831 18118 5160 529 9770 7365,5,71,-24.425325393676758,-29.229568481445312,-1.888392448425293,0.6142108140068245
B000052YMX,3022 19787 25125 19437 12206 8610 1561,3022 19787 25125 19437 12206 8610,7,15,-26.107852935791016,-24.703319549560547,0.6611871719360352,-1.224801540071775
B000052YN5,3022 1997 17979 5685 5217 19738 13208,3022 1997 17979 5685 5217 19738,7,2,-21.82997703552246,-18.18450927734375,0.0,-3.049350832122821
B000052YN7,25097 11584 6897 7365 11030 4613 2688,25097 11584 6897 7365 11030 4613,6,20,-24.629709243774414,-16.817502975463867,0.0,-0.8021158342119392
B000052YOL,22883 5255 14912 10725 13419 4448 7806,22883 5255 14912 10725 13419 4448,49,213,-25.049516677856445,-17.588781356811523,0.0,-0.48907438036067674
B000052YOR,1043 1394 22883 5255 265 24070 4049,1043 1394 22883 5255 265 24070,33,116,-21.906856536865234,-12.694805145263672,0.0,-0.7043927092799773
B000052YOX,25097 22883 5255 4928 5477 6280 2113,25097 22883 5255 4928 5477 6280,30,91,-23.224620819091797,-19.680402755737305,0.0,-0.8521262547866026
B000052YP4,3022 22883 5255 706 1682 2128 1828,3022 22883 5255 706 1682 2128,8,5,-21.811609268188477,-14.035208702087402,0.0,-2.3860566147125564
B000052YP6,25097 22883 5255 22898 3701 1780 609,25097 22883 5255 22898 3701 1780,44,669,-22.954593658447266,-22.07556915283203,0.0,0.7603034325043216
B000052YQ0,5595 25597 1389 4358 2019 8699 743,5595 25597 1389 4358 2019 8699,4,7,-22.22130012512207,-18.25607681274414,0.0,-1.4399129196887213
B000052YQ2,5595 25597 4358 10328 6280 743 5628,5595 25597 4358 10328 6280 743,25,93,-22.487268447875977,-20.335569381713867,0.0,-0.6514555593244502
B000052YQN,19831 7290 24719 2107 9285 3436 3390,19831 7290 24719 2107 9285 3436,14,18,-22.015869140625,-18.09194564819336,0.0,-1.7071164607969624
B000052YQU,25097 7290 28640 6745 5215 4433 10203,25097 7290 28640 6745 5215 4433,7,9,-24.09337043762207,-22.04022216796875,0.0,-1.714349765390482
B000052Z5B,4926 6225 30810 4310 10668 15348 18561,4926 6225 30810 4310 10668 15348,6,18,-23.120830535888672,-18.453311920166016,0.0,-0.9047699882720242
B000052Z8D,3361 9858 4414 2131 6291 791 13931,3361 9858 4414 2131 6291 791,8,23,-22.003215789794922,-16.83247184753418,0.0,-0.9338042858008677
B000052ZB1,3022 1997 9608 3676 18787 8699 10725,3022 1997 9608 3676 18787 8699,5,1,-20.14048957824707,-20.009239196777344,0.0,-3.2500215275849715
B000052ZB2,19831 22883 5255 7569 10578 996 7618,19831 22883 5255 7569 10578 996,14,141,-23.392980575561523,-23.474042892456055,0.0,0.32741252420205136
B000052ZB4,19831 22883 5255 6065 9517 1659 12578,19831 22883 5255 6065 9517 1659,37,470,-24.150976181030273,-18.945571899414062,0.0,0.5787164825943583
B000052ZBD,643 3697 6559 22883 5255 20164 3412,643 3697 6559 22883 5255 20164,7,17,-23.066953659057617,-19.168569564819336,0.0,-1.1034406830675074
B000052ZBH,30551 13726 22188 10562 23439 6001 1486,30551 13726 22188 10562 23439 6001,7,3,-24.408395767211914,-17.2449951171875,0.0,-2.712878595501609
B000052ZBP,2036 13726 7258 5612 28803 15136 23064,2036 13726 7258 5612 28803 15136,7,28,-24.79856300354004,-20.041513442993164,0.0,-0.6157374767223711
B000052ZTY,5949 18233 7930 7273 24888 13606 16435,5949 18233 7930 7273 24888 13606,8,8,-23.11183738708496,-27.05228614807129,0.0,-1.95073854345471
B00005302B,10758 12488 729 6764 7731 9298 1995,10758 12488 729 6764 7731 9298,5,9,-21.47439956665039,-20.032812118530273,0.0,-1.4041948370866422
B00005304H,7282 14623 11537 4372 2226 3706 1666,7282 14623 11537 4372 2226 3706,18,19,-25.403278350830078,-19.472360610961914,0.0,-1.8980948099692885
B0000530ED,945 3243 15665 28842 8060 4824 24814,945 3243 15665 28842 8060 4824,83,494,-21.235736846923828,-22.27106475830078,0.0,-0.1720380242487547
B0000530EZ,16087 1292 958 15021 1175 4153 505,16087 1292 958 15021 1175 4153,34,470,-19.275728225708008,-15.157720565795898,0.0,0.6620980915334096
B0000530G6,2629 22724 4884 3672 2481 162 4165,2629 22724 4884 3672 2481 162,7,29,-23.34836196899414,-21.07518196105957,-1.5702323913574219,-0.5812513006512017
B0000530LO,2629 20885 15967 17741 162 18311 4433,2629 20885 15967 17741 162 18311,9,11,-21.337583541870117,-19.970552444458008,0.0,-1.7596833066920023
B0000530LP,2629 16312 17741 162 18311 3166 4357,2629 16312 17741 162 18311 3166,12,12,-21.26498794555664,-17.149803161621094,0.0,-1.9507385434547118
B0000530LV,2629 4180 25256 25661 5100 5082 6174,2629 4180 25256 25661 5100 5082,7,11,-21.604053497314453,-21.609987258911133,0.0,-1.5232945286277726
