parent,left_item,right_item,left_train_freq,right_train_freq,delta_lp_last,delta_amplification,non_tie,concordant
260 1081 18497 4192 20468 173 3798,B008BS9YNC,B008BS9Z8G,10,14,0.3982276916503906,0.009666580830222316,1,1
260 9253 19784 12411 322 8102,B008CT12G2,B00AYOHWQW,44,37,-1.8367729187011719,-0.41071747789626567,1,1
643 2165 21603 11402 12365 5678 20086,B0011DJICG,B001RVFUMY,4,5,-1.773625373840332,-0.7966541275684484,1,1
643 7046 12878 14761 30187 15393 6203,B00028F0NM,B00143UYPS,10,6,-1.320347785949707,-0.12120078016704383,1,1
643 12993 12415 348 212 2110 6195,B000127UUA,B000127UVY,11,6,0.6521720886230469,0.40112670650956694,1,1
643 14913 11963 17158 3362 3339 15878,B001MJT6IA,B005VZA0KO,8,4,-0.7646894454956055,4.606280680272118,1,0
643 16997 7316 17224 12547 10133 7500,B0027CT5TG,B0027CT5VO,71,70,-0.7194595336914062,-0.09647550387065706,1,1
643 20243 11457 24787 6330 11127,B004C26RNQ,B004CEJTOS,4,2,3.2637481689453125,-1.3164507877526255,1,0
664 19234 3791 10607 2311 23306 260,B001P1ZEL8,B001P1ZELS,11,20,1.8801288604736328,0.13859982719498198,1,1
664 19234 3791 10607 2311 23306 260,B001P1ZEL8,B001P1ZEMC,11,7,0.37748146057128906,-0.38860130205615917,1,0
664 19234 3791 10607 2311 23306 260,B001P1ZEL8,B001P24STG,11,16,-0.9408607482910156,0.6573672531265284,1,0
664 19234 3791 10607 2311 23306 260,B001P1ZEL8,B001P24STQ,11,9,2.596363067626953,-0.3334692313614429,1,0
664 19234 3791 10607 2311 23306 260,B001P1ZEL8,B001P24VHK,11,7,0.7525997161865234,-0.03038907879854058,1,0
664 19234 3791 10607 2311 23306 260,B001P1ZELS,B001P24STG,20,16,-2.8209896087646484,0.5187674259315465,1,0
664 19234 3791 10607 2311 23306 260,B001P1ZEMC,B001P24STQ,7,9,2.218881607055664,0.05513207069471626,1,1
664 19234 3791 10607 2311 23306 260,B001P1ZEMC,B001P24VHK,7,7,0.3751182556152344,0.3582122232576186,1,1
664 19234 3791 10607 2311 23306 260,B001P24STG,B001P24STQ,16,9,3.5372238159179688,-0.9908364844879713,1,0
664 19234 3791 10607 2311 23306 260,B001P24STQ,B001P24VHK,9,7,-1.8437633514404297,0.3030801525629023,1,0
664 25866 4921 83 29814 13505 25425,B002PBC9Y2,B002PBJL8O,10,5,-0.028167724609375,0.7382943534508772,1,0
664 25866 19987 4921 1101 29435 4613,B002PBEDT6,B002PBJLMU,4,3,0.03213977813720703,0.06559728248581287,1,1
687 12687 22583 11008 4650 1996 4244,B000PIMUR8,B001DJDP7C,7,10,0.8586463928222656,0.6100148944839585,1,1
687 12687 22583 11008 4650 1996 4244,B001BR97A0,B001DJDP7C,18,10,-0.7307357788085938,-0.3298659750777819,1,1
768 11604 12927 8277 18459 3009 19255,B0034RLFGE,B0034RNC7E,12,17,0.1176156997680664,0.2367611568708714,1,1
768 11604 12927 8277 18459 3009 19255,B0034RLFGE,B0034RSNCS,12,6,-0.9146137237548828,-1.1534339422638702,1,1
768 17737 5094 3009 11649 1408,B0067VFWIQ,B006CD3FWO,5,3,-3.4102439880371094,-1.5927708599488888,1,1
768 18110 7854 18647 4294 13861 6177,B009A0VT1K,B009A0VXT8,5,5,1.3390288352966309,0.4080064055368382,1,1
768 19239 6102 16752 5295 361,B0065FE488,B006CCNDYA,9,13,-4.856182098388672,1.4815573388284324,1,0
887 20485 6111 392 15932 10228 407,B005TT8Q4O,B005TT8RA2,8,5,-0.4703664779663086,-0.2113090936672073,1,1
887 20485 6111 392 15932 10228 407,B005TT8Q4O,B005TT8RPM,8,15,0.14485836029052734,-0.6330347226471531,1,0
1043 9018 6482 16097 2710 4970 6108,B001DKEW6O,B001DKF08S,6,10,-0.5651435852050781,-0.6125487629526862,1,1
1043 9018 6482 16097 2710 4970 6108,B001DKF08S,B001DKGJQU,10,16,1.599802017211914,1.0346572112111145,1,1
1043 9018 6482 16097 2710 4970 6108,B001DKGJQU,B001DKK7Y0,16,29,0.7334527969360352,-0.28708604876348165,1,0
1043 9028 9568 3017 10391 4963 23407,B004VQ7CSM,B009EF9NFU,7,4,0.8066158294677734,1.7004096906398285,1,1
1043 27433 7069 21675 12327 8845 9568,B007JLU57G,B007JLUL1G,4,7,0.034379005432128906,-1.1298648321722151,1,0
1268 1675 1657 22552 5679 10848,B0013KYRIM,B0017J22V8,11,7,-7.192093849182129,-2.235143812198512,1,1
1268 14684 8609 509 16864 7578 1494,B005K09UV0,B005K0DO8A,4,5,0.5443220138549805,-0.6802437757240369,1,0
1453 3844 12990 3245 18543 14038 16274,B000FVHS4U,B0018DCINU,4,4,0.8065500259399414,0.4086961286896109,1,1
1453 7043 3822 24690 15963 904 887,B00013TQRE,B0009RF9OG,15,10,-0.12648773193359375,0.2099448928090073,1,0
1453 7306 5260 1590 24212 2870 8632,B008DUCG7E,B008DUCH4Q,4,4,-0.6354808807373047,0.4911205526866578,1,0
1453 8142 18413 3519 24690 5483 6778,B000FQ73O0,B000ZOHOQO,4,7,1.0680389404296875,-0.35048297369081105,1,0
2036 16167 15580 22883 5255 26210,B001E96NYS,B004V6BIZU,9,10,-0.2785835266113281,0.7347142390659887,1,0
2087 2461 21880 19557 8757 4926,B001ADSI3C,B001ADU3B2,8,8,-3.021137237548828,-1.3240520522426689,1,1
2087 4179 3361 8584 2591 579 7590,B001KYNZM0,B001KYQ4VO,7,9,-0.7033615112304688,-0.0955313453476343,1,1
2087 4179 3361 8584 2591 579 7590,B001KYNZM0,B001KYVPGI,7,4,-0.14479923248291016,-0.12516314295400655,1,1
2087 11298 4076 2461 27323 20302,B006UETC18,B006UETDR6,4,2,1.1778697967529297,2.2491843162669323,1,1
2164 5461 12972 23808 2437 170 3879,B009Z3LOTE,B009Z3MG0K,3,3,-0.6567440032958984,0.48285177172358473,1,0
2195 10530 5731 3781 920 16827 1405,B001E6P6MQ,B001E6R61U,8,6,0.2620830535888672,0.268263986594679,1,1
2565 11219 5404 8240 1584 13377,B000GS8T0Y,B007SIG5HY,10,8,-3.4897022247314453,-1.0879738904630525,1,1
