item,path,parent,train_freq,beam_count,lp0,lp_last,lp_last_parent_centered,exposure_amplification
0439893577,740 10224 4226 2916 953,740 10224 4226 2916,15,19,-21.554279327392578,-22.77593994140625,0.0,-1.7511539123814828
048645195X,5364 484 6428 15308 624,5364 484 6428 15308,9,30,-19.10977554321289,-13.733407974243164,0.0,-0.8142934690191108
0545496470,11109 5449 9791 4586 15308,11109 5449 9791 4586,5,0,-22.345882415771484,-18.623266220092773,0.0,-4.3786236268243535
0615444172,11109 19239 22385 3797 28956,11109 19239 22385 3797,5,15,-23.908266067504883,-23.292264938354492,0.0,-0.9446364223392063
0670010936,3127 303 265 195 2576,3127 303 265 195,7,0,-19.19474983215332,-17.889421463012695,0.0,-4.688778555128193
0735308365,740 4923 703 8057 2190,740 4923 703 8057,8,6,-20.682741165161133,-21.551910400390625,0.0,-2.2489923406206636
0735321396,740 10224 9632 7567 21468,740 10224 9632 7567,6,1,-21.69144630432129,-27.57550621032715,0.0,-3.4470654228194118
073533305X,9062 1501 17401 20158 6310,9062 1501 17401 20158,6,46,-22.91689682006836,-18.830902099609375,0.0,-0.01307821833426459
0735333483,740 10224 13754 3797 12010,740 10224 13754 3797,5,3,-20.934032440185547,-23.709943771362305,0.0,-2.43271347776904
073533417X,9062 1501 25174 6310 10630,9062 1501 25174 6310,70,347,-23.16679573059082,-19.98651123046875,0.0,-0.38557639883935924
074242720X,740 5487 6701 2769 28358,740 5487 6701 2769,5,0,-20.93463134765625,-22.70586395263672,0.0,-4.3786236268243535
0786950072,467 1476 6715 18917 29077,467 1476 6715 18917,11,67,-24.437992095947266,-24.719356536865234,0.0,-0.21094779151670373
0786955570,467 1476 8646 25226 858,467 1476 8646 25226,17,101,-25.286026000976562,-18.030183792114258,0.0,-0.2228704364736096
0786955708,467 1476 8646 5651 13101,467 1476 8646 5651,8,14,-24.766143798828125,-19.587491989135742,0.0,-1.4466458680957253
0786958731,467 1476 8646 13266 18770,467 1476 8646 13266,14,130,-28.53363037109375,-32.583560943603516,0.0,0.21649622331023544
0786959916,467 1476 3119 25221 4596,467 1476 3119 25221,33,368,-23.08176040649414,-15.64358139038086,0.0,0.417166918772387
0786962984,467 1476 8646 25512 30008,467 1476 8646 25512,8,34,-24.98491859436035,-21.607210159301758,0.0,-0.5798351934849411
0786964502,467 1476 8646 25221 1493,467 1476 8646 25221,8,39,-25.320636749267578,-21.061676025390625,0.0,-0.44449384561517746
0867343125,9062 1501 6079 7507 381,9062 1501 6079 7507,3,3,-22.869861602783203,-18.604551315307617,0.0,-1.9807283540259828
0911121013,740 10224 22734 15979 1810,740 10224 22734 15979,9,6,-20.433345794677734,-15.541292190551758,0.0,-2.3602179757308868
0913866687,467 895 2190 25027 2666,467 895 2190 25027,8,10,-21.616600036621094,-18.750322341918945,0.0,-1.7694192603587773
0963679600,11109 484 1092 13029 5921,11109 484 1092 13029,23,60,-21.726852416992188,-20.040393829345703,0.0,-1.0350854101393008
096625757X,467 895 2190 1066 133,467 895 2190 1066,3,0,-18.51128578186035,-10.026046752929688,0.0,-3.9266385030812962
0974665207,11109 8511 2248 26960 11064,11109 8511 2248 26960,6,1,-22.566936492919922,-18.67852210998535,0.0,-3.4470654228194118
0975277324,467 4142 20735 4230 4307,467 4142 20735 4230,144,1026,-21.656574249267578,-18.737998962402344,0.0,-0.02009762511948132
0975277383,467 1476 3171 31576 11904,467 1476 3171 31576,25,257,-24.810476303100586,-20.891387939453125,0.0,0.3316129139134265
0975855603,467 2634 28514 12287 29099,467 2634 28514 12287,7,0,-25.8470516204834,-30.17818832397461,0.0,-4.688778555128193
0976142503,2100 1073 8948 22197 25965,2100 1073 8948 22197,18,146,-22.132455825805664,-23.300430297851562,0.0,0.0885263423468583
0976990709,2100 1088 10386 23997 4387,2100 1088 10386 23997,98,1779,-20.579448699951172,-17.43354034423828,0.0,0.9133028027462204
0976990768,14295 10386 29670 11028 4651,14295 10386 29670 11028,10,37,-23.214658737182617,-19.918710708618164,0.0,-0.707762678213097
0979658500,467 20480 24173 706 3596,467 20480 24173 706,15,73,-22.77349853515625,-19.839784622192383,0.0,-0.42428297173239393
0979658527,467 20480 18560 11304 1710,467 20480 18560 11304,5,22,-23.698041915893555,-17.612878799438477,0.0,-0.5719611370540338
0979712386,467 1476 5875 21365 176,467 1476 5875 21365,5,7,-22.577503204345703,-18.06464958190918,0.0,-1.670573425722143
0979959330,467 1476 22377 14951 20781,467 1476 22377 14951,37,150,-24.949636459350586,-23.81222152709961,0.0,-0.5911062028134175
0980223644,467 1476 959 497 8479,467 1476 959 497,10,1,-23.050098419189453,-21.897951126098633,2.3819150924682617,-3.926638503081298
0981924840,467 1476 1355 11971 929,467 1476 1355 11971,9,14,-20.421955108642578,-13.422663688659668,0.0,-1.5578715032059485
0984155848,467 1476 6715 8391 2687,467 1476 6715 8391,6,27,-21.289846420288086,-14.93800163269043,0.0,-0.5383445262550506
0984155856,467 1476 6715 21039 3303,467 1476 6715 21039,8,80,-22.276752471923828,-16.711118698120117,0.0,0.2674626669022633
0984155872,467 20225 1865 11683 12572,467 20225 1865 11683,6,21,-21.790645599365234,-22.426982879638672,0.0,-0.7844775957939589
0984608028,467 1476 19910 28577 31090,467 1476 19910 28577,4,3,-25.96018409729004,-27.524194717407227,0.0,-2.2320427823068894
0992251656,467 1476 19910 7713 15620,467 1476 19910 7713,7,51,-25.907760620117188,-24.91983985900879,0.0,-0.054049566898557444
1223062341,2341 10224 5168 10807 1111,2341 10224 5168 10807,17,25,-22.984365463256836,-18.5589656829834,0.0,-1.6042507827910715
1223063097,467 895 7782 27324 6145,467 895 7782 27324,11,37,-26.302349090576172,-24.413604736328125,0.0,-0.7987344564188223
1223063119,467 1448 12247 1962 24989,467 1448 12247 1962,7,9,-25.18552589416504,-24.013259887695312,0.0,-1.744339575961753
1223063151,467 1448 14667 7310 6428,467 1448 14667 7310,5,2,-22.190820693969727,-12.201862335205078,3.3797607421875,-2.769185714390252
1223069192,3127 1394 703 969 26314,3127 1394 703 969,18,17,-23.256175994873047,-21.222909927368164,0.0,-2.0362982051807954
1556344732,467 13844 27892 13721 12066,467 13844 27892 13721,33,246,-24.005985260009766,-21.837194442749023,0.0,0.015088200625740456
1556345542,467 13844 14884 11579 17548,467 13844 14884 11579,5,7,-22.13388442993164,-17.842363357543945,0.0,-1.670573425722143
1556346638,467 13844 2917 15760 524,467 13844 2917 15760,9,37,-21.24266242980957,-19.11220359802246,0.0,-0.6076792196561129
1556347677,467 13844 15759 2917 13118,467 13844 15759 2917,4,0,-22.00042152404785,-20.939992904663086,0.0,-4.177952931362203
155634774X,467 1476 20791 4182 31666,467 1476 20791 4182,6,32,-24.702375411987305,-24.29267692565918,0.0,-0.3712904415918832
1556347782,467 13844 8646 20138 2917 536,467 13844 8646 20138 2917,4,37,-20.25470542907715,-10.991026878356934,-0.08134031295776367,0.13953518217410732
1564518531,740 459 6310 158 2047,740 459 6310 158,11,30,-23.11691665649414,-28.072431564331055,0.0,-1.0053487057818202
1570545340,11109 5449 22464 1040 15308,11109 5449 22464 1040,7,1,-22.314241409301758,-18.235864639282227,0.0,-3.590166266460084
1579822460,740 2056 15294 21622 26141,740 2056 15294 21622,6,0,-21.137041091918945,-19.306825637817383,0.0,-4.545677711487521
1579822630,3127 303 4024 3971 15886,3127 303 4024 3971,5,4,-21.39676284790039,-22.977462768554688,0.0,-2.1813990494881335
157982269X,3127 18458 1712 3947 16501,3127 18458 1712 3947,8,25,-22.57187271118164,-24.329431533813477,0.0,-0.8821160653578737
1579823084,3127 303 7602 353 11370,3127 303 7602 353,5,2,-20.768966674804688,-26.551782608032227,0.0,-2.769185714390252
1581170769,740 10224 13356 21567 543,740 10224 13356 21567,10,5,-18.13669776916504,-9.950054168701172,0.0,-2.6273555189510365
1581171862,1871 3827 21622 7701 17056,1871 3827 21622 7701,4,0,-19.768756866455078,-23.982141494750977,0.0,-4.177952931362203
1581174837,1871 11607 17810 18892 473,1871 11607 17810 18892,7,2,-19.025325775146484,-14.228052139282227,0.0,-3.079340642694092
1581178816,1871 11607 9002 29334 5103,1871 11607 9002 29334,13,1,-21.398536682128906,-15.96057415008545,0.0,-4.177952931362203
1589473221,740 7270 25929 27757 2567,740 7270 25929 27757,4,3,-24.18058967590332,-23.59464454650879,0.0,-2.2320427823068894
158978068X,467 1476 2577 8032 14351,467 1476 2577 8032,25,332,-24.469568252563477,-25.535816192626953,-3.1246153513590507,0.5872330539055453
1589780817,467 12082 14351 22013 20538,467 12082 14351 22013,5,11,-23.239696502685547,-21.602754592895508,0.0,-1.2431294108952038
1589781066,467 12082 14351 20538 20343,467 12082 14351 20538,6,12,-22.34051513671875,-19.020355224609375,0.0,-1.3268018866193199
1589781244,467 12082 2857 14351 83,467 12082 2857 14351,6,40,-20.923349380493164,-15.41390323638916,0.0,-0.15122855681508263
1589781317,467 895 22377 13069 1286,467 895 22377 13069,5,33,-22.55204200744629,-18.277362823486328,0.0,-0.17393100743338685
158994030X,467 1476 3119 15311 6895,467 1476 3119 15311,19,147,-24.624393463134766,-23.27899742126465,0.0,0.042685356184190226
158994206X,467 1476 4182 3173 19896,467 1476 4182 3173,6,14,-23.554637908935547,-23.370941162109375,0.0,-1.1783818815010463
1589942108,467 12082 19987 4626 8325,467 12082 19987 4626,22,139,-23.049558639526367,-25.18321990966797,0.0,-0.15617906197493703
158994223X,467 1476 729 2936 9838,467 1476 729 2936,11,1,-23.357988357543945,-19.626419067382812,0.0,-4.017610281287023
1589942841,467 12082 6604 25595 362,467 12082 6604 25595,4,5,-23.081209182739258,-16.07891082763672,0.0,-1.7800576585638321
1589942981,467 1476 7985 20951 2151,467 1476 7985 20951,13,289,-23.976398468017578,-16.740577697753906,0.0,1.0847372575426828
1589944208,467 895 8514 1496 2110,467 895 8514 1496,2,0,-19.129009246826172,-14.888252258300781,0.0,-3.590166266460084
1589944348,467 1476 5673 5326 18247,467 1476 5673 5326,6,31,-23.63357925415039,-18.30223274230957,0.0,-0.4025429850959874
1589944607,467 3392 25016 12540 9990,467 3392 25016 12540,4,24,-23.349626541137695,-21.67134666442871,0.0,-0.2861326332515759
1589944623,467 1476 6835 15085 11866,467 1476 6835 15085,6,41,-25.592912673950195,-24.56866455078125,0.0,-0.1268371036909226
1589944968,467 1476 4182 10879 12430,467 1476 4182 10879,5,6,-23.37508773803711,-20.794397354125977,0.0,-1.8136742693628172
1589945158,467 895 19472 24706 26391,467 895 19472 24706,1,0,-23.923418045043945,-24.078338623046875,0.0,-3.0793406426940937
1589946464,467 1476 7985 15854 13062,467 1476 7985 15854,5,9,-24.83945083618164,-25.08159065246582,0.0,-1.4341846476579132
1589946634,467 895 11831 1687 3990,467 895 11831 1687,7,7,-21.779664993286133,-20.401742935180664,0.0,-1.9807283540259828
158994691X,467 1476 6835 7064 3481,467 1476 6835 7064,4,15,-23.782115936279297,-17.76469612121582,0.0,-0.7439657268770556
1589947061,467 1476 3119 10631 322,467 1476 3119 10631,5,26,-24.217449188232422,-21.51911735534668,0.0,-0.40833171327223106
1589947207,467 1476 2577 8032 8514,467 1476 2577 8032,9,60,-23.342056274414062,-19.898252487182617,2.5129483540852853,-0.12937678759568172
1589949811,467 895 10702 2214 10631,467 895 10702 2214,11,70,-23.530792236328125,-24.08098793029785,0.0,-0.16746267957696404
1591747775,740 90 9282 27693 27904,740 90 9282 27693,7,3,-18.878660202026367,-19.104612350463867,0.0,-2.74286840607288
1592923356,2244 23693 10696 16443 23550,2244 23693 10696 16443,6,2,-26.767406463623047,-26.219501495361328,0.0,-2.9362397990534195
1593953534,11109 25933 5414 1227 14740,11109 25933 5414 1227,5,0,-21.04165267944336,-18.483036041259766,0.0,-4.3786236268243535
1594721270,467 895 26783 3009 8646,467 895 26783 3009,5,81,-21.12635612487793,-18.763761520385742,0.0,0.7151265739824098
1601252455,467 1476 6715 5781 2472,467 1476 6715 5781,6,7,-24.598316192626953,-25.121936798095703,0.0,-1.8376275103853104
1601253729,467 1476 28397 19417 19529,467 1476 28397 19417,8,131,-24.264673233032227,-21.585956573486328,0.0,0.7582123340955658
1601255624,467 895 1209 19417 7738,467 895 1209 19417,5,3,-23.115753173828125,-22.698047637939453,0.0,-2.43271347776904
1603800689,740 2056 9339 2592 29063,740 2056 9339 2592,4,0,-22.40716552734375,-24.582765579223633,0.0,-4.177952931362203
1603800859,2100 1073 8376 22471 18695,2100 1073 8376 22471,24,81,-22.769733428955078,-23.697843551635742,0.0,-0.7787984513298465
1603801286,2948 4672 18671 19458 1653,2948 4672 18671 19458,4,6,-22.16543960571289,-13.119524955749512,0.0,-1.6130035739006665
1604189681,11109 19239 2825 3562 2113,11109 19239 2825 3562,12,29,-21.789487838745117,-18.152626037597656,0.0,-1.122066734988465
