parent,left_item,right_item,left_train_freq,right_train_freq,delta_lp_last,delta_amplification,non_tie,concordant
387 2608 28793 1996,B003MB6224,B0041EXNN2,4,5,5.682832717895508,-0.2776317365982788,1,0
387 14956 14205 4418,B00004NKJ0,B002AJ8S9O,12,16,-3.823202133178711,1.8195093821809571,1,0
467 895 13618 833 31803,2914849850,B005N57CNU,6,12,-0.560821533203125,-0.24241904484253674,1,1
467 1448 14667 8703,B00000IWDB,B00000IWH9,16,13,-1.9370193481445312,-2.2709907275758283,1,1
467 1448 24713 2593,B001RNC0VG,B003WQRIR2,10,5,-0.1622180938720703,-2.326115590404239,1,1
467 1476 346 123,B006HVMK8Q,B009ZNJZV8,5,5,-1.7299613952636719,1.1924310438857635,1,0
467 1476 1939 491 1483,B000VYYOF2,B002E06D46,7,6,0.2665729522705078,0.07536662556091756,1,1
467 1476 2577 2140,B0039S7NO6,B003D7F4YY,155,85,-4.398654937744141,-0.5757764749410095,1,1
467 1476 2577 2140,B004U53A7Q,B004UC4RVM,30,36,-0.04182243347167969,0.23969572216942936,1,0
467 1476 2577 2140,B004U53A7Q,B00BY8095I,30,29,1.2707653045654297,0.19627262496441045,1,1
467 1476 2577 2140,B004UC4RVM,B00BY8095I,36,29,1.3125877380371094,-0.04342309720501891,1,0
467 1476 2577 8032,158978068X,B00000DMBF,25,23,0.012996673583984375,0.47250011050557905,1,1
467 1476 2577 8032,158978068X,B004Z3MLLY,25,50,1.138376235961914,0.24525126941801823,1,1
467 1476 2577 8032,158978068X,B00B28IQ50,25,49,6.016992568969727,0.015464225697581213,1,1
467 1476 2577 8032,1589947207,B003N2Q5JC,9,7,2.889699935913086,-0.35470914814154497,1,0
467 1476 2577 8032,1589947207,B00AZZFT6A,9,12,-2.356649398803711,0.6695655208807327,1,0
467 1476 2577 8032,1589947207,B00CXEXNL4,9,7,-3.09027099609375,0.5822617889701487,1,0
467 1476 2577 8032,B00000DMBF,B00AZZFT6A,23,12,3.2679176330566406,-0.5195444311260733,1,0
467 1476 2577 8032,B003N2Q5JC,B00AZZFT6A,7,12,-5.246349334716797,1.0242746690222777,1,0
467 1476 2577 8032,B003N2Q5JC,B00CXEXNL4,7,7,-5.979970932006836,0.9369709371116937,1,0
467 1476 2577 8032,B004Z3MLLY,B00B28IQ50,50,49,4.8786163330078125,-0.229787043720437,1,0
467 1476 2577 8032,B00AZZFT6A,B00CXEXNL4,12,7,-0.7336215972900391,-0.08730373191058405,1,1
467 1476 2577 22645,B000GAYMDA,B004UKNJCM,10,15,1.932962417602539,2.829411058106478,1,1
467 1476 2729 709 4672,B001P06GZM,B002TI6XAM,7,4,-1.5028924942016602,0.16362942378180279,1,0
467 1476 2781 20068,B000ETTFTE,B001TM0SYG,4,3,-4.960710525512695,1.7773707317759548,1,0
467 1476 3382 1395 4059,B004ASC5QK,B0057UCWQI,8,4,-1.1988415718078613,0.03299268315434922,1,0
467 1476 3808 14552 31919,B00000DMBJ,B00005UKIZ,7,7,-0.8402919769287109,-0.19290366612449183,1,1
467 1476 5673 789,B0043T4C6C,B008A2BA8G,12,18,0.08292198181152344,0.4104964708040555,1,1
467 1476 6716 10620 8089,B0013OBXG2,B00A2HD40E,44,23,-0.5902767181396484,0.7155934460444087,1,0
467 1476 7081 10875 27307,B00D8VHIOO,B00D8VHJH0,3,4,-0.2747220993041992,1.5732348637701392,1,0
467 1476 7081 27307 10875,B00D7OAOYI,B00D8STBHY,4,5,2.662515640258789,-0.4613969579254036,1,0
467 1476 7081 27307 10875,B00D7OAOYI,B00D8VHIKI,4,4,0.9925851821899414,-0.14058195062118983,1,0
467 1476 7081 27307 10875,B00D7OAOYI,B00D8VHIMG,4,5,2.1827049255371094,-0.4756829151728805,1,0
