user,stratum,history_length,lp_current,lp_equal_fine_norm,lp_zero_all_position,norm_only_gain,zero_position_delta
AIB5B9WTNVEKC,tail_hit,5,-0.7961300015449524,-1.041340947151184,-0.9946277141571045,-0.2452109456062317,-0.1984977126121521
A08409921GVN7C8RD97CV,tail_hit,3,-0.5785069465637207,-3.3465919494628906,-0.6063836216926575,-2.76808500289917,-0.027876675128936768
A17S9Q2RZW4NVJ,tail_hit,3,-0.6913447976112366,-0.4536217749118805,-0.8117157220840454,0.23772302269935608,-0.12037092447280884
A1CBCTJ0VF4RI1,tail_hit,3,-0.765282154083252,-1.4340897798538208,-0.7202312350273132,-0.6688076257705688,0.04505091905593872
A2A5DGNAJRHSH,tail_hit,5,-0.28772348165512085,-0.3896586000919342,-0.4122040271759033,-0.10193511843681335,-0.12448054552078247
A23RZIU0N8K2KR,tail_hit,20,-0.7567293643951416,-0.9809499382972717,-0.7965167164802551,-0.22422057390213013,-0.039787352085113525
A2UXV0M5RRYT0L,tail_hit,3,-0.8186981081962585,-1.7229118347167969,-0.8914405107498169,-0.9042137265205383,-0.07274240255355835
A2900PFIZYAJ0H,tail_hit,3,-0.11720112711191177,-0.06360847502946854,-0.22173187136650085,0.05359265208244324,-0.10453074425458908
A1RLP0R1N8H8C4,tail_hit,11,-0.8494237065315247,-0.793050229549408,-0.8548455238342285,0.0563734769821167,-0.005421817302703857
A3G3UIABN8BEFH,tail_hit,3,-0.074092797935009,-0.05239350348711014,-0.8081012964248657,0.021699294447898865,-0.7340084984898567
AZKN9KO2ECFFZ,tail_hit,5,-0.1315697431564331,-0.03475571423768997,-0.3024918735027313,0.09681402891874313,-0.17092213034629822
AQNNNYLDZEY2H,tail_hit,4,-0.7904810905456543,-1.614613652229309,-0.7055245637893677,-0.8241325616836548,0.08495652675628662
ASYVI9TLV4WPI,tail_hit,3,-0.5753403306007385,-0.6167868375778198,-0.547117292881012,-0.0414465069770813,0.028223037719726562
A3AHOSISKNBLZ6,tail_hit,14,-0.033861346542835236,-0.012150817550718784,-0.2542394697666168,0.02171052899211645,-0.22037812322378159
A1R75AU7A2K4VR,tail_hit,3,-0.7474482655525208,-1.7807284593582153,-0.9656475782394409,-1.0332801938056946,-0.21819931268692017
A1HFSY6W8LJNJM,tail_hit,9,-0.30396077036857605,-0.050261788070201874,-0.5501100420951843,0.2536989822983742,-0.24614927172660828
ADJGWYUDUXXB7,tail_hit,3,-0.20495903491973877,-0.1396060734987259,-0.2595372498035431,0.06535296142101288,-0.05457821488380432
AEDW02H5TT0LJ,tail_hit,5,-0.9015401601791382,-1.4157030582427979,-1.1821491718292236,-0.5141628980636597,-0.28060901165008545
A4R79I9TIZDPR,tail_hit,4,-0.4767313003540039,-0.9611080884933472,-0.6331959962844849,-0.48437678813934326,-0.15646469593048096
A2JO2R4FX91KD2,tail_hit,6,-0.6039398908615112,-0.5620786547660828,-1.0176243782043457,0.04186123609542847,-0.4136844873428345
A25FX5SH169PWQ,tail_hit,3,-0.8885330557823181,-1.8257789611816406,-0.30619996786117554,-0.9372459053993225,0.5823330879211426
A3FNDWADUT516X,tail_hit,4,-0.8790567517280579,-1.1446421146392822,-0.8868411779403687,-0.26558536291122437,-0.007784426212310791
A2K4HN6EECBNR3,tail_hit,20,-0.8269520401954651,-0.8657738566398621,-1.960595965385437,-0.03882181644439697,-1.133643925189972
A3BE0FXM74OHSK,tail_hit,4,-0.41551724076271057,-0.4939323365688324,-0.9775853753089905,-0.07841509580612183,-0.5620681345462799
A3VEY6S5325K20,tail_hit,4,-0.8713321089744568,-1.0104156732559204,-0.8639948964118958,-0.13908356428146362,0.007337212562561035
A3B8498BJESEGB,tail_hit,3,-0.06709475070238113,-0.12903332710266113,-0.12509311735630035,-0.06193857640028,-0.05799836665391922
A2KZ88FJPSBU8E,tail_hit,5,-0.8030425906181335,-2.7340900897979736,-0.538398027420044,-1.93104749917984,0.2646445631980896
AVELT2UOALKEM,tail_hit,4,-0.46584048867225647,-0.5100563168525696,-0.39190563559532166,-0.04421582818031311,0.07393485307693481
A6LD1EKWZB49M,tail_hit,3,-0.16049699485301971,-0.20906229317188263,-0.21983031928539276,-0.048565298318862915,-0.05933332443237305
A3NQHL0D2ODQQL,tail_hit,6,-0.001393940532580018,-0.0005261617479845881,-0.06967546790838242,0.0008677787845954299,-0.0682815273758024
A2LBR5V8W5JCHD,tail_hit,9,-0.8731130361557007,-1.316457986831665,-0.6987005472183228,-0.44334495067596436,0.17441248893737793
A1I1PLTN223ERB,tail_hit,3,-0.34258177876472473,-1.8741388320922852,-0.3745301067829132,-1.5315570533275604,-0.03194832801818848
A2CQCK7SRD2J02,tail_hit,4,-0.5862621665000916,-2.93658447265625,-0.3447495400905609,-2.3503223061561584,0.24151262640953064
A1BVALMLWA8IW3,tail_hit,3,-0.5849550366401672,-0.4986128807067871,-0.7764269709587097,0.08634215593338013,-0.19147193431854248
A2RWR4QOMFFO63,tail_hit,4,-0.9157703518867493,-1.783003807067871,-0.8022798299789429,-0.8672334551811218,0.1134905219078064
A13NR8NV9C8VVZ,tail_hit,8,-0.33597785234451294,-0.3112194538116455,-0.588771402835846,0.02475839853286743,-0.252793550491333
A32TCWAILP09A2,tail_hit,6,-0.6088709235191345,-1.1330968141555786,-0.7849334478378296,-0.5242258906364441,-0.17606252431869507
A2T7QV5SLJXBN8,tail_hit,3,-0.6896587014198303,-0.4426872134208679,-0.6462971568107605,0.2469714879989624,0.043361544609069824
AOAOARIH72UWI,tail_hit,20,-0.7076719999313354,-0.4397673010826111,-1.1338642835617065,0.26790469884872437,-0.4261922836303711
A6JSPMY3YH1K,tail_hit,14,-0.07176058739423752,-0.030362969264388084,-1.0745704174041748,0.041397618129849434,-1.0028098300099373
AEZD6FM4V0BZL,tail_hit,3,-0.689867377281189,-1.4589961767196655,-0.7310875654220581,-0.7691287994384766,-0.04122018814086914
AZ2UU2UYXECYX,tail_hit,6,-0.7553308606147766,-0.5799899101257324,-0.6693835258483887,0.1753409504890442,0.08594733476638794
A2DQQUEPK53ORW,tail_hit,7,-0.5325320959091187,-0.45209985971450806,-0.6620116233825684,0.0804322361946106,-0.1294795274734497
A2C0SBRSJNEDPW,tail_hit,4,-0.5726613402366638,-0.8368218541145325,-0.4434923827648163,-0.26416051387786865,0.12916895747184753
A2ZY49IDE6TY5I,tail_hit,20,-0.1550038903951645,-0.06557159870862961,-1.2960176467895508,0.08943229168653488,-1.1410137563943863
A2GAR1ZPZFO28,tail_hit,8,-0.3945653438568115,-0.47275790572166443,-0.5441614985466003,-0.0781925618648529,-0.14959615468978882
A4ZGDN3SEMB7T,tail_hit,7,-0.3931385576725006,-0.6764059066772461,-0.5172876715660095,-0.2832673490047455,-0.12414911389350891
A2RJTIE73NPN3C,tail_hit,3,-0.6285828948020935,-0.8899973034858704,-0.6077942252159119,-0.26141440868377686,0.02078866958618164
A1BZHQ8C4F0M3T,tail_hit,5,-1.1275880336761475,-2.549673080444336,-1.1175016164779663,-1.4220850467681885,0.010086417198181152
A1UXNOX03UE9F4,tail_hit,5,-0.36913731694221497,-0.47725847363471985,-0.3045356571674347,-0.10812115669250488,0.06460165977478027
AU1QS79HSMNFV,tail_hit,3,-0.5306318998336792,-3.7249693870544434,-0.5991260409355164,-3.194337487220764,-0.06849414110183716
A1SAHMB8L5XG2D,tail_hit,15,-0.8137955665588379,-0.6765674352645874,-0.8260745406150818,0.1372281312942505,-0.012278974056243896
A33H01BTWQ1H7X,tail_hit,4,-0.37062835693359375,-0.18751153349876404,-0.7055023908615112,0.1831168234348297,-0.3348740339279175
A1KQJNUMPXAQWQ,tail_hit,5,-0.4932219386100769,-0.33445316553115845,-1.0080602169036865,0.15876877307891846,-0.5148382782936096
A8BI1AL5ITVDO,tail_hit,3,-0.4782586097717285,-1.1528347730636597,-0.7002262473106384,-0.6745761632919312,-0.2219676375389099
A265KF0CQ058RZ,tail_hit,5,-0.8502799272537231,-5.124547481536865,-0.6899819374084473,-4.274267554283142,0.16029798984527588
A1S4J5EF987DZV,tail_hit,3,-0.03115011379122734,-0.02274991385638714,-0.375449001789093,0.008400199934840202,-0.3442988879978657
A2AIRFEAWEQC91,tail_hit,13,-0.6683789491653442,-0.7487996816635132,-0.7142972946166992,-0.08042073249816895,-0.04591834545135498
A3LOGP4VA9DX46,tail_hit,20,-0.6434138417243958,-0.9897331595420837,-1.1991519927978516,-0.346319317817688,-0.5557381510734558
A3IAU6ZPVF2R5K,tail_hit,18,-0.7587742209434509,-2.4710936546325684,-1.0719211101531982,-1.7123194336891174,-0.3131468892097473
