position,training_prefix_exposure,l2_norm
0,131413,0.8828485608100891
1,131413,0.38214007019996643
2,109050,0.5169042348861694
3,86687,0.6083999276161194
4,71486,0.7935215830802917
5,60506,0.9700847268104553
6,52206,1.0888557434082031
7,45717,1.206945538520813
8,40594,1.328829288482666
9,36352,1.469277262687683
10,32805,1.610762596130371
11,29816,1.551979422569275
12,27266,1.6119359731674194
13,25077,1.7336980104446411
14,23150,1.9553358554840088
15,21430,1.5524709224700928
16,19923,1.9485782384872437
17,18557,1.8103971481323242
18,17309,1.8068904876708984
19,16173,1.7803658246994019
20,15154,2.0601160526275635
