user,stratum,history_length,lp_current,lp_equal_fine_norm,lp_zero_all_position,norm_only_gain,zero_position_delta
A25TXSIR8Y3UVP,tail_hit,4,-0.31407368183135986,-0.5802304744720459,-0.5585644245147705,-0.26615679264068604,-0.24449074268341064
AHCB4316MB6UM,tail_hit,6,-0.9338075518608093,-1.188658356666565,-0.8742395639419556,-0.2548508048057556,0.05956798791885376
A1C0W201MKSOZY,tail_hit,4,-0.7375912666320801,-0.7321516275405884,-0.9730352163314819,0.005439639091491699,-0.23544394969940186
AMGW8SB0S2B72,tail_hit,6,-1.5179100036621094,-2.0472521781921387,-1.1088265180587769,-0.5293421745300293,0.4090834856033325
ARE1X8Z9127UW,tail_hit,5,-0.2434488832950592,-0.48703163862228394,-0.6100130677223206,-0.24358275532722473,-0.36656418442726135
A2XMO247S0NBJ0,tail_hit,4,-0.3849300146102905,-0.5412527322769165,-0.4407881200313568,-0.15632271766662598,-0.055858105421066284
A33VUWZDC1Z0I5,tail_hit,3,-1.26436448097229,-2.1096763610839844,-1.5330568552017212,-0.8453118801116943,-0.26869237422943115
A2AWNEMZO6BZX7,tail_hit,3,-1.0073750019073486,-0.6965696215629578,-1.099982500076294,0.31080538034439087,-0.09260749816894531
A14AJAMALII28Q,tail_hit,3,-1.059966802597046,-1.9336093664169312,-1.0450583696365356,-0.8736425638198853,0.014908432960510254
A2Y87U9VKGRAAW,tail_hit,8,-0.07096727192401886,-0.2625282406806946,-0.3996009826660156,-0.19156096875667572,-0.32863371074199677
A2PIGZCDGM4NJ7,tail_hit,3,-0.003828073386102915,-0.007923832163214684,-0.012318016961216927,-0.004095758777111769,-0.008489943575114012
A1ZIDT0XJA10IR,tail_hit,3,-0.27754807472229004,-0.42123228311538696,-1.9101715087890625,-0.14368420839309692,-1.6326234340667725
A3U0S17XYK8XMJ,tail_hit,14,-1.2083699703216553,-3.6527340412139893,-2.041581630706787,-2.444364070892334,-0.8332116603851318
A36SJGHQRKW92R,tail_hit,3,-0.28649666905403137,-0.07277081906795502,-0.5613062381744385,0.21372584998607635,-0.2748095691204071
A19OB162NGPFV4,tail_hit,3,-0.9023737907409668,-1.093874454498291,-0.7533620595932007,-0.19150066375732422,0.1490117311477661
A1P5KXK4E68DBI,tail_hit,3,-0.16989412903785706,-0.23742565512657166,-0.4132855534553528,-0.0675315260887146,-0.24339142441749573
A1LYDMJ55BBQJB,tail_hit,3,-1.0216872692108154,-1.1299766302108765,-1.0156829357147217,-0.10828936100006104,0.00600433349609375
A37XBQWYQ1N1FF,tail_hit,12,-1.0341147184371948,-2.417191743850708,-1.206571102142334,-1.3830770254135132,-0.17245638370513916
A2NYHXSYSAKGI9,tail_hit,4,-1.3085064888000488,-1.1425648927688599,-1.3538917303085327,0.16594159603118896,-0.04538524150848389
A1Y6T2Y0G307A8,tail_hit,3,-0.26329880952835083,-0.2764872908592224,-0.47007113695144653,-0.013188481330871582,-0.2067723274230957
A3EOR8KDVSEIPC,tail_hit,3,-0.7120044231414795,-1.9554262161254883,-0.5564001798629761,-1.2434217929840088,0.15560424327850342
A2M1863O652DNZ,tail_hit,3,-1.1751872301101685,-1.3540141582489014,-1.3261291980743408,-0.1788269281387329,-0.15094196796417236
A3J0Q0HXJ24NHE,tail_hit,6,-0.5090042352676392,-0.34622377157211304,-0.9471419453620911,0.16278046369552612,-0.4381377100944519
A6879F1Z2OQVX,tail_hit,4,-0.9700934886932373,-0.9583401083946228,-1.173132061958313,0.011753380298614502,-0.20303857326507568
AECUU0SL4L6TH,tail_hit,3,-1.367405891418457,-1.8806488513946533,-1.3139312267303467,-0.5132429599761963,0.05347466468811035
A1J496W6UVEYB2,tail_hit,4,-0.5247522592544556,-1.229645848274231,-0.47773581743240356,-0.7048935890197754,0.047016441822052
A3U9LCXD8K2036,tail_hit,3,-0.7440112829208374,-1.3467382192611694,-0.8048251271247864,-0.602726936340332,-0.060813844203948975
A1IQ2BN84E9QA1,tail_hit,5,-0.5751146078109741,-0.692600667476654,-0.6218551993370056,-0.11748605966567993,-0.046740591526031494
AV3PSI43UN140,tail_hit,5,-0.18544864654541016,-0.03785937279462814,-0.4310378134250641,0.147589273750782,-0.24558916687965393
A1OT5EB0PKZVDU,tail_hit,3,-0.003828073386102915,-0.007925586774945259,-0.012318626046180725,-0.004097513388842344,-0.00849055266007781
A1XBMV24O4XUTO,tail_hit,7,-0.5913593173027039,-1.532537817955017,-0.5388343334197998,-0.9411785006523132,0.05252498388290405
AEB8O1VX9TE5J,tail_hit,3,-0.6951901912689209,-1.515669584274292,-0.6820093393325806,-0.8204793930053711,0.013180851936340332
ATJ029FA4QER1,tail_hit,3,-1.1657353639602661,-1.4552587270736694,-1.279762864112854,-0.2895233631134033,-0.11402750015258789
A1T8N18XKDLJO4,tail_hit,19,-0.8773126602172852,-1.2710723876953125,-1.5735629796981812,-0.39375972747802734,-0.696250319480896
A3QD7VWBD470D2,tail_hit,18,-0.41797739267349243,-0.3420674204826355,-0.8230234384536743,0.07590997219085693,-0.4050460457801819
A2T6UCE94P1BSZ,tail_hit,4,-0.8964681625366211,-0.7891721725463867,-0.3364393413066864,0.10729598999023438,0.5600288212299347
A1P07F0FW7U9OO,tail_hit,4,-0.6943377256393433,-0.6058297753334045,-0.9747694134712219,0.08850795030593872,-0.28043168783187866
A1SE6TN4EGB7W6,tail_hit,4,-0.498015820980072,-0.3752254247665405,-0.7477083206176758,0.1227903962135315,-0.24969249963760376
A37T48TM9WA9X0,tail_hit,4,-1.2026348114013672,-2.2968459129333496,-1.2673543691635132,-1.0942111015319824,-0.064719557762146
A1PDL4Q6X3CVHO,tail_hit,4,-0.9525464773178101,-3.146319627761841,-0.8368298411369324,-2.1937731504440308,0.11571663618087769
A13TQCPGBIZHGQ,tail_hit,3,-0.48146677017211914,-0.8327921032905579,-0.385299414396286,-0.3513253331184387,0.09616735577583313
A33851IQ5SZMG4,tail_hit,5,-0.03586427494883537,-0.07616652548313141,-0.10028763860464096,-0.040302250534296036,-0.06442336365580559
A1RWKNH4Z3W1ID,tail_hit,6,-0.6461402177810669,-0.44315820932388306,-0.5284580588340759,0.20298200845718384,0.11768215894699097
A2WA94ESPYZF0J,tail_hit,6,-0.7794984579086304,-0.7169762849807739,-0.9143643379211426,0.06252217292785645,-0.1348658800125122
A2EXJQRLIUU4UJ,tail_hit,4,-0.004884918220341206,-0.014307564124464989,-0.04775579273700714,-0.009422645904123783,-0.042870874516665936
