position,training_prefix_exposure,l2_norm
0,109361,0.9003206491470337
1,109361,0.45391497015953064
2,89949,0.6410128474235535
3,70537,0.8547108173370361
4,57704,1.0637900829315186
5,48693,1.2351957559585571
6,41954,1.4240959882736206
7,36731,1.5388377904891968
8,32543,1.5719351768493652
9,29153,1.663023829460144
10,26311,1.7132596969604492
11,23891,1.8115289211273193
12,21794,1.8680148124694824
13,20006,1.9950096607208252
14,18451,1.9809679985046387
15,17067,2.0329673290252686
16,15840,2.0059309005737305
17,14753,2.244420289993286
18,13779,2.226008653640747
19,12902,2.1006970405578613
20,12094,2.288766622543335
