config_id,beta,lambda,tau,min_support,active_rate,n,recall@5,recall@10,recall@50,ndcg@5,ndcg@10,ndcg@50,ndcg@10_relative_delta,recall@10_absolute_delta,tail_ndcg@10_relative_delta,uncovered_recall@10_relative_delta,uncovered_ndcg@10_relative_delta,dataset_pass,dataset
b0_l0.05_t0.5_s1,0.0,0.05,0.5,1,0.9545641871007624,19412,0.09138677106944158,0.12038944982485061,0.21193076447558212,0.06730791796760299,0.0766318780427313,0.09670496162396001,0.0046852318392067716,0.0009787760148361885,0.01519379245503849,-0.018115942028985588,-0.0336701755300437,False,Toys
b0_l0.05_t0.5_s2,0.0,0.05,0.5,2,0.9545641871007624,19412,0.09123222748815166,0.11992581908098084,0.21193076447558212,0.06722139384412976,0.07642865428290853,0.09657655840145282,0.002020858794102187,0.0005151452709664106,0.006733877636976526,-0.0036231884057971175,-0.009782553295434426,False,Toys
b0_l0.05_t0.75_s1,0.0,0.05,0.75,1,0.8359777457242943,19412,0.09138677106944158,0.12023490624356069,0.21193076447558212,0.0672705311508615,0.07654723353625302,0.09665846873512898,0.0035754967291310447,0.0008242324335462625,0.012855337131491673,-0.01570048309178751,-0.031125430774237572,False,Toys
b0_l0.05_t0.75_s2,0.0,0.05,0.75,2,0.8359777457242943,19412,0.09123222748815166,0.11992581908098084,0.21193076447558212,0.06724040632333997,0.07644569516730385,0.0965918481888496,0.0022442739749217733,0.0005151452709664106,0.006230653903626093,-0.0024154589371980784,-0.008902021366575141,False,Toys
b0_l0.2_t0.5_s1,0.0,0.2,0.5,1,0.9545641871007624,19412,0.09107768390686173,0.12260457449000618,0.21193076447558212,0.06731702381167287,0.07745942601990229,0.09704902752573072,0.015534831934332471,0.003193900679991757,0.05863786259474568,-0.0905797101449275,-0.14915873259018775,False,Toys
b0_l0.2_t0.5_s2,0.0,0.2,0.5,2,0.9545641871007624,19412,0.09205645992169792,0.12085308056872038,0.21193076447558212,0.06775124244248058,0.07699462427523739,0.09694257615586184,0.009441030496535108,0.0014424067587059525,0.026540809639246987,-0.01449275362318836,-0.030852971507180027,False,Toys
b0_l0.2_t0.75_s1,0.0,0.2,0.75,1,0.8359777457242943,19412,0.0910261693797651,0.1221409437461364,0.21193076447558212,0.06725851447676866,0.07727563137917419,0.09697688651538844,0.013125185114405413,0.002730269936121979,0.05127375480417484,-0.08091787439613529,-0.13567528828464737,False,Toys
b0_l0.2_t0.75_s2,0.0,0.2,0.75,2,0.8359777457242943,19412,0.09195343086750464,0.12090459509581702,0.21193076447558212,0.06770525082591791,0.07699287104247345,0.09692015427268909,0.009418044669867287,0.001493921285802599,0.025687197621030444,-0.012077294685990392,-0.028805111738261724,False,Toys
b0.25_l0.05_t0.5_s1,0.25,0.05,0.5,1,0.9624974242736452,19412,0.09159282917782814,0.12069853698743045,0.21193076447558212,0.06738283908715408,0.07672789885414794,0.09672543951637969,0.0059441164397604496,0.0012878631774160265,0.018150302282021524,-0.019323671497584516,-0.038317889067892574,False,Toys
b0.25_l0.05_t0.5_s2,0.25,0.05,0.5,2,0.9624974242736452,19412,0.09123222748815166,0.11997733360807748,0.21193076447558212,0.06726557985476307,0.07648996077685587,0.09662709034116171,0.002824619978845533,0.0005666597980630572,0.008269767299074804,-0.0036231884057971175,-0.0114513044100083,False,Toys
