config_id,beta,lambda,tau,min_support,macro_ndcg@10_relative_delta,toys_pass,beauty_pass,joint_pass
b0.25_l0.05_t0.5_s1,0.25,0.05,0.5,1,0.004336568173196276,False,False,False
b0.25_l0.05_t0.5_s2,0.25,0.05,0.5,2,0.002629870109735366,False,False,False
b0.25_l0.05_t0.75_s1,0.25,0.05,0.75,1,0.004054215259670091,False,False,False
b0.25_l0.05_t0.75_s2,0.25,0.05,0.75,2,0.002758738543465311,False,False,False
b0.25_l0.2_t0.5_s1,0.25,0.2,0.5,1,0.004436222517899824,False,False,False
b0.25_l0.2_t0.5_s2,0.25,0.2,0.5,2,0.00398693756271723,False,False,False
b0.25_l0.2_t0.75_s1,0.25,0.2,0.75,1,0.004124573680581334,False,False,False
b0.25_l0.2_t0.75_s2,0.25,0.2,0.75,2,0.004399732650990529,False,False,False
b0_l0.05_t0.5_s1,0.0,0.05,0.5,1,0.004527369558520289,False,False,False
b0_l0.05_t0.5_s2,0.0,0.05,0.5,2,0.002434788232047791,False,False,False
b0_l0.05_t0.75_s1,0.0,0.05,0.75,1,0.004241108036375119,False,False,False
b0_l0.05_t0.75_s2,0.0,0.05,0.75,2,0.002685806190729778,False,False,False
b0_l0.2_t0.5_s1,0.0,0.2,0.5,1,0.004016610700409151,False,False,False
b0_l0.2_t0.5_s2,0.0,0.2,0.5,2,0.004697119529242788,False,False,False
b0_l0.2_t0.75_s1,0.0,0.2,0.75,1,0.002943567808365799,False,False,False
b0_l0.2_t0.75_s2,0.0,0.2,0.75,2,0.005043974033856147,False,False,False
