user,split,target,newest_item,oldest_item,sample_hash,history_length,recoverable_sum,recoverable_mean,recoverable_max,recoverable_positive_fraction,recoverable_ge8_fraction,displaced_cf_sum,displaced_cf_mean,metadata_lost_sum,metadata_lost_mean,metadata_retention_mean,metadata_retention_min,current_metadata_visible_sum,current_cf_visible_sum,log1p_popularity_mean,log1p_popularity_min,tail_item_fraction,top_k_similar_item_mean
A2VLNM3MDQCL32,audit,B00KAL5JAU,B00C8YCFU4,B00G75X158,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,5.0,359.0,71.8,83.0,1.0,1.0,343.0,68.6,1140.0,228.0,0.20827541602402713,0.07068607068607069,170.0,395.0,4.489921788769407,4.143134726391533,0.0,10.0
A3LMILRM9OC3SA,audit,B00011QTZI,B001ET7A4K,B0047ETODO,001d2c8c98e0eaf8879ecf5ec55e30035f9fe9b8b29e4416c240860fce42ff88,20.0,1592.0,79.6,84.0,1.0,1.0,1524.0,76.2,3649.0,182.45,0.20741171619469276,0.05704697986577181,678.0,1582.0,2.548587777688767,1.6094379124341003,0.35,10.0
A6YIRBOI13F1K,audit,B007SZCG0C,B001DJ15KG,B002G7J0LU,0029c8af6d7ac1cc8a59d085a50785a6c223793d4980211671f82ba898d0657f,2.0,166.0,83.0,83.0,1.0,1.0,158.0,79.0,405.0,202.5,0.14226412375961245,0.13654618473895583,67.0,158.0,1.9033312448851598,1.6094379124341003,0.5,10.0
AZ7QF60OCTLQR,audit,B0030HAE2Y,B0000531SW,B000V58ANS,002b705d2a5e1f5e580119d83b4322d635421877a47fa685c0da8fa532905964,5.0,318.0,63.6,83.0,1.0,1.0,306.0,61.2,446.0,89.2,0.3318165858165858,0.1837837837837838,170.0,395.0,2.957711924731407,2.3025850929940455,0.0,10.0
AZ1R9RT8UA9C4,audit,B002BFPDCC,B0012C6PD6,B000OFB5QO,003b95c013962e479911eda0dbbceebd38e56c6646230491577aefeae9996cf7,2.0,166.0,83.0,83.0,1.0,1.0,158.0,79.0,492.0,246.0,0.14606827771384734,0.08607594936708861,68.0,158.0,2.34106561356211,1.791759469228055,0.5,10.0
A2QJCQSBKEZ7F,audit,B002FCH4B4,B004WPGXSW,B000UVZU1S,005bf8c86136a3bfb43cb32b104e1ea655aaa63978f7fd19a37991808cf35e7a,6.0,303.0,50.5,84.0,1.0,1.0,295.0,49.166666666666664,506.0,84.33333333333333,0.3995526073287701,0.10714285714285714,202.0,476.0,4.266666188415692,3.295836866004329,0.0,10.0
AEGKGMBOG4R1Y,audit,B009D9O6YA,B0092KGYEA,B00521MSJS,00680ea8ac56518b0ed50a574e67ccbe5210fd45ba53ab1dfab5a3a2d0018267,2.0,167.0,83.5,84.0,1.0,1.0,159.0,79.5,395.0,197.5,0.14507422402159242,0.14102564102564102,67.0,159.0,2.4260151319598084,2.0794415416798357,0.5,10.0
A20173T9HDB759,audit,B004DIXYUI,B0046VGPHQ,B0043TRC28,006beaa9cbc0aafb650b97d006abbca199d29e43283b7e1156557ec403cc855e,13.0,913.0,70.23076923076923,84.0,1.0,1.0,881.0,67.76923076923077,1621.0,124.6923076923077,0.28673040682075035,0.07981220657276995,439.0,1029.0,2.89937171857824,1.6094379124341003,0.3076923076923077,10.0
A2PAC9IAV4RLWV,audit,B009LOJ5MA,B00HSNWXZM,B007PAD71M,007f4f0179f6fe2b4be66438c4954b243ae39e13a951d15c46a260e83b07a3ec,2.0,116.0,58.0,82.0,1.0,1.0,112.0,56.0,116.0,58.0,0.3995726495726496,0.29914529914529914,69.0,157.0,3.8019489842609406,3.526360524616161,0.0,10.0
A3D4WBC9QRF1B,audit,B000X8H61U,B000OY3WNO,B000ORV3NC,008525e799cd24e9b2a1ed5bc9030c9edb9af879e7e397e48f194d4ae5437800,2.0,166.0,83.0,83.0,1.0,1.0,158.0,79.0,201.0,100.5,0.25499052079848333,0.23129251700680273,68.0,158.0,2.524928003624768,1.791759469228055,0.5,10.0
