user,split,sample_hash,history_length,recoverable_sum,recoverable_mean,recoverable_max,recoverable_positive_fraction,recoverable_ge8_fraction,displaced_cf_sum,displaced_cf_mean,metadata_lost_sum,metadata_lost_mean,metadata_retention_mean,metadata_retention_min,current_metadata_visible_sum,current_cf_visible_sum,log1p_popularity_mean,log1p_popularity_min,tail_item_fraction,top_k_similar_item_mean,lp_current,lp_recover,benefit,positive_label,predicted_probability
A2VLNM3MDQCL32,audit,000499663be9d363f4e0353b9fb9c7823978edafd5b36bbe4367e61ad633348e,5.0,359.0,71.8,83.0,1.0,1.0,343.0,68.6,1140.0,228.0,0.20827541602402713,0.07068607068607069,170.0,395.0,4.489921788769407,4.143134726391533,0.0,10.0,-0.28965166211128235,-0.6667336821556091,-0.3770820200443268,0,0.1720147670321762
A3LMILRM9OC3SA,audit,001d2c8c98e0eaf8879ecf5ec55e30035f9fe9b8b29e4416c240860fce42ff88,20.0,1592.0,79.6,84.0,1.0,1.0,1524.0,76.2,3649.0,182.45,0.20741171619469276,0.05704697986577181,678.0,1582.0,2.548587777688767,1.6094379124341003,0.35,10.0,-1.1402016878128052,-1.3128745555877686,-0.17267286777496338,0,0.1815938673667343
A6YIRBOI13F1K,audit,0029c8af6d7ac1cc8a59d085a50785a6c223793d4980211671f82ba898d0657f,2.0,166.0,83.0,83.0,1.0,1.0,158.0,79.0,405.0,202.5,0.14226412375961245,0.13654618473895583,67.0,158.0,1.9033312448851598,1.6094379124341003,0.5,10.0,-1.5414459705352783,-1.8284410238265991,-0.2869950532913208,0,0.13401689731916003
AZ7QF60OCTLQR,audit,002b705d2a5e1f5e580119d83b4322d635421877a47fa685c0da8fa532905964,5.0,318.0,63.6,83.0,1.0,1.0,306.0,61.2,446.0,89.2,0.3318165858165858,0.1837837837837838,170.0,395.0,2.957711924731407,2.3025850929940455,0.0,10.0,-0.7289820909500122,-0.8333468437194824,-0.10436475276947021,0,0.2006600886883055
AZ1R9RT8UA9C4,audit,003b95c013962e479911eda0dbbceebd38e56c6646230491577aefeae9996cf7,2.0,166.0,83.0,83.0,1.0,1.0,158.0,79.0,492.0,246.0,0.14606827771384734,0.08607594936708861,68.0,158.0,2.34106561356211,1.791759469228055,0.5,10.0,-1.600438117980957,-1.908848762512207,-0.30841064453125,0,0.12198009701384961
A2QJCQSBKEZ7F,audit,005bf8c86136a3bfb43cb32b104e1ea655aaa63978f7fd19a37991808cf35e7a,6.0,303.0,50.5,84.0,1.0,1.0,295.0,49.166666666666664,506.0,84.33333333333333,0.3995526073287701,0.10714285714285714,202.0,476.0,4.266666188415692,3.295836866004329,0.0,10.0,-1.5920161008834839,-1.7996970415115356,-0.20768094062805176,0,0.2172886520161679
AEGKGMBOG4R1Y,audit,00680ea8ac56518b0ed50a574e67ccbe5210fd45ba53ab1dfab5a3a2d0018267,2.0,167.0,83.5,84.0,1.0,1.0,159.0,79.5,395.0,197.5,0.14507422402159242,0.14102564102564102,67.0,159.0,2.4260151319598084,2.0794415416798357,0.5,10.0,-1.475893259048462,-1.6641613245010376,-0.18826806545257568,0,0.14096125820676744
A20173T9HDB759,audit,006beaa9cbc0aafb650b97d006abbca199d29e43283b7e1156557ec403cc855e,13.0,913.0,70.23076923076923,84.0,1.0,1.0,881.0,67.76923076923077,1621.0,124.6923076923077,0.28673040682075035,0.07981220657276995,439.0,1029.0,2.89937171857824,1.6094379124341003,0.3076923076923077,10.0,-0.7276439070701599,-0.8771313428878784,-0.1494874358177185,0,0.1744282947729151
A2PAC9IAV4RLWV,audit,007f4f0179f6fe2b4be66438c4954b243ae39e13a951d15c46a260e83b07a3ec,2.0,116.0,58.0,82.0,1.0,1.0,112.0,56.0,116.0,58.0,0.3995726495726496,0.29914529914529914,69.0,157.0,3.8019489842609406,3.526360524616161,0.0,10.0,-0.4961163401603699,-0.8885806798934937,-0.3924643397331238,0,0.2598231656667923
A3D4WBC9QRF1B,audit,008525e799cd24e9b2a1ed5bc9030c9edb9af879e7e397e48f194d4ae5437800,2.0,166.0,83.0,83.0,1.0,1.0,158.0,79.0,201.0,100.5,0.25499052079848333,0.23129251700680273,68.0,158.0,2.524928003624768,1.791759469228055,0.5,10.0,-0.31180647015571594,-11.924135208129883,-11.61232852935791,0,0.13146440976116497
A13MYTDYDNC2KP,audit,008dde1e7b5cd86013ddbede0969fcc7ae81b83aeb1c4f9952d7f190c02a253f,3.0,203.0,67.66666666666667,83.0,1.0,1.0,199.0,66.33333333333333,229.0,76.33333333333333,0.3206346917687124,0.23776223776223776,102.0,237.0,3.5302055535901697,2.6390573296152584,0.0,10.0,-1.0532691478729248,-1.2291864156723022,-0.17591726779937744,0,0.19766774921985134
A3NGK03GOJ1JDQ,audit,0091b849b38aefc4286921c47da4099399d82781c0699787bc5671e5961eb3a0,6.0,355.0,59.166666666666664,85.0,1.0,1.0,343.0,57.166666666666664,493.0,82.16666666666667,0.3810403347506995,0.17894736842105263,202.0,476.0,2.4259744368877794,1.3862943611198906,0.6666666666666666,10.0,-0.9993529915809631,-1.1400474309921265,-0.14069443941116333,0,0.1994753306471435
AY1LZ41VDDSPL,audit,009ee0ec5e951ab42412e5fa587cffece4cea3406d27f16bf413cac3dec25541,6.0,324.0,54.0,83.0,1.0,1.0,316.0,52.666666666666664,368.0,61.333333333333336,0.4098580062541002,0.22818791946308725,203.0,475.0,3.554204913646935,2.6390573296152584,0.0,10.0,-0.37557369470596313,-0.6426210999488831,-0.2670474052429199,0,0.2520364587487242
A3R7LRPLE5APGE,audit,009fd740fa54f0443648de86ac485f23c0e4acca2c73f46195710c507bbe436f,10.0,702.0,70.2,84.0,1.0,1.0,674.0,67.4,1217.0,121.7,0.2821663246236702,0.10819672131147541,334.0,794.0,2.147554353547002,1.0986122886681096,0.5,10.0,-0.3920791447162628,-10.030232429504395,-9.638153076171875,0,0.1673687495472752
A1ZC3FAD1EFZJ7,audit,00a5686d0c38037a6224fc44d98c89d3eba00e8fde42903bf20006797fd72755,2.0,165.0,82.5,83.0,1.0,1.0,157.0,78.5,251.0,125.5,0.2205205205205205,0.1891891891891892,69.0,157.0,2.5152189606962176,2.197224577336219,0.0,10.0,-0.6500832438468933,-0.9964192509651184,-0.3463360071182251,0,0.13712080512296002
AAY02CMRRBWYK,audit,00a837c3da573887e7d7e9aae44d390995abfa1e85c4919a9eaf52f0849d7ec7,2.0,166.0,83.0,83.0,1.0,1.0,158.0,79.0,428.0,214.0,0.16308531419840241,0.09798270893371758,68.0,158.0,3.767381328518769,2.4849066497880004,0.0,10.0,-0.7179184556007385,-0.9539313912391663,-0.23601293563842773,0,0.12707112912161583
A3TSM1O8F1JUD5,audit,00bd88b4227c8abaaf468f6ce5c950b7f1613d44b99527be6d2bc29907b52ecf,3.0,170.0,56.666666666666664,83.0,1.0,1.0,166.0,55.333333333333336,364.0,121.33333333333333,0.3446287207837386,0.10932475884244373,102.0,237.0,3.061468996649893,2.772588722239781,0.0,10.0,-0.879952073097229,-1.0903986692428589,-0.21044659614562988,0,0.19030002066198684
A2PD63V0HVP13M,audit,00c2e0f76f038d9a7ed62394c82c25320d5670e27278773f917650985bcdb9bf,2.0,98.0,49.0,74.0,1.0,1.0,98.0,49.0,98.0,49.0,0.45051085568326943,0.3148148148148148,68.0,158.0,2.888826161611328,2.833213344056216,0.0,10.0,-1.9255752563476562,-2.0373880863189697,-0.11181282997131348,0,0.2346629331202048
A3PYTHRFQS5D2R,audit,00e1bb355fad14355333167f559dfca0420816f1fc1feea99bd8a37ec9a04c37,3.0,215.0,71.66666666666667,83.0,1.0,1.0,207.0,69.0,849.0,283.0,0.18878351127534776,0.07727272727272727,102.0,237.0,2.953688847839253,1.3862943611198906,0.3333333333333333,10.0,-1.052931785583496,-1.1731690168380737,-0.12023723125457764,0,0.15012650605267744
A2DZ3HRFT20GXU,audit,00ec77d5819b345375316da1a07b5f62330f82422028e741c93fd6af428cd071,2.0,139.0,69.5,74.0,1.0,1.0,139.0,69.5,139.0,69.5,0.32235586101565483,0.3148148148148148,66.0,160.0,3.4923581600591325,3.1780538303479453,0.0,10.0,-0.8997308015823364,-1.2395637035369873,-0.3398329019546509,0,0.1696270598007602
A396I8WVBF39PH,audit,00ee8a212ef254ce556e341ccc80aab48c5746972e2e17972c80067bd6ebe9b3,2.0,103.0,51.5,83.0,1.0,1.0,99.0,49.5,248.0,124.0,0.37970031099802093,0.1297709923664122,68.0,158.0,2.5375869076169133,1.6094379124341003,0.5,10.0,-0.12290585041046143,-2.294469118118286,-2.171563148498535,0,0.1971004308862601
A3ESTWDBNOUJQ7,audit,00ef1dbce17239c02529970ed86c27a0fb2be492bffab3a65aa9fd5e0f233160,20.0,1174.0,58.7,84.0,1.0,1.0,1144.0,57.2,1621.0,81.05,0.37003835593519013,0.11418685121107267,675.0,1584.0,2.4191718742036876,1.3862943611198906,0.5,10.0,-0.8299366235733032,-1.0849844217300415,-0.2550477981567383,0,0.23896299716535552
ABFBNZPH7Q973,audit,00f6951767a124e1b4394b9240e466b9034aa9f59e3423474040aa1d9a1e6f7c,6.0,384.0,64.0,83.0,1.0,1.0,372.0,62.0,543.0,90.5,0.334185043954653,0.15246636771300448,203.0,474.0,3.180644785953127,2.0794415416798357,0.16666666666666666,10.0,-1.0946038961410522,-0.9873693585395813,0.10723453760147095,1,0.18238723497087933
A4QDZKZLZKXRG,audit,011063c58bb7fd65eb3edce578a9b807ce36a5de8de80d80602258d02dcc0f25,3.0,194.0,64.66666666666667,83.0,1.0,1.0,190.0,63.333333333333336,290.0,96.66666666666667,0.31405671829523346,0.1596244131455399,101.0,238.0,4.286247174167123,2.6390573296152584,0.0,10.0,-1.0316084623336792,-1.2318971157073975,-0.20028865337371826,0,0.17726200982921758
A1STKCDPPKBO3D,audit,012d4be0ef479b9a4f2a3a582b9d05762bbbad776c879f709655558eb1bdf7d5,5.0,399.0,79.8,83.0,1.0,1.0,386.0,77.2,417.0,83.4,0.2926134746987664,0.2537313432835821,171.0,394.0,2.4233958204672437,1.791759469228055,0.4,10.0,-0.755975067615509,-0.7180279493331909,0.037947118282318115,1,0.16761345628516705
A3B8B0JD90E48H,audit,013e531fdf37a2fe322e0f09c8c80c500cf54a423c33f375b44bf09f49b118c5,6.0,488.0,81.33333333333333,85.0,1.0,1.0,468.0,78.0,865.0,144.16666666666666,0.2056957480647611,0.13445378151260504,201.0,477.0,4.011950912599546,2.70805020110221,0.0,10.0,-0.8121045231819153,-0.9177160263061523,-0.10561150312423706,0,0.16427223564517934
A34FESWOQHXKZM,audit,0154bb7ee5f97afbc6f1a540e6060a1989e85559cd1d046332af3beb1a75af5e,4.0,274.0,68.5,83.0,1.0,1.0,270.0,67.5,279.0,69.75,0.3314230707055177,0.2786885245901639,136.0,316.0,2.3124864066421353,1.0986122886681096,0.5,10.0,-0.5715039372444153,-0.7034967541694641,-0.13199281692504883,0,0.19272886125190103
A2C49R3RQXXA0H,audit,0157e221e5dca0ba68f8e4ddd2037a2611b861b228c354dc861dd435b62f7b22,12.0,947.0,78.91666666666667,84.0,1.0,1.0,903.0,75.25,1910.0,159.16666666666666,0.21901204016919765,0.07801418439716312,403.0,952.0,3.4627455971343717,2.197224577336219,0.0,10.0,-0.21176950633525848,-0.9061028361320496,-0.6943333148956299,0,0.16865844842039107
