user,split,target,newest_item,oldest_item,sample_hash,history_length,recoverable_sum,recoverable_mean,recoverable_max,recoverable_positive_fraction,recoverable_ge8_fraction,displaced_cf_sum,displaced_cf_mean,metadata_lost_sum,metadata_lost_mean,metadata_retention_mean,metadata_retention_min,current_metadata_visible_sum,current_cf_visible_sum,log1p_popularity_mean,log1p_popularity_min,tail_item_fraction,top_k_similar_item_mean
AXNOIG99M4JF5,audit,B002RL7WCE,B001H31UOY,B002EEP3NO,0066d26cedbfd28be9e626bf082d57cdb0d3dc960dacefceff403471b47e8bb6,2.0,66.0,33.0,33.0,1.0,1.0,58.0,29.0,524.0,262.0,0.2484084363250027,0.23056300268096513,172.0,58.0,2.484906649788,2.0794415416798357,0.0,5.0
A3JVYKAWHZK4QX,audit,B00005KBVD,B000MRGWRQ,B0001J2NH8,0086c34506eb29fb570b3051348365d72124bb0a069604a630f8ce46d975b360,17.0,432.0,25.41176470588235,34.0,0.7647058823529411,0.7647058823529411,380.0,22.352941176470587,1002.0,58.94117647058823,0.649808728928865,0.40384615384615385,1321.0,497.0,3.193922756409855,1.0986122886681096,0.29411764705882354,5.0
A2SP41NNR0KMV2,audit,B003K16ZQE,B002WBBZYK,B0039H7Y1Y,00cbd76b98a05a14dd6d649e3ba0a120ac111154d4c8074cab6e9cdb3852be2a,2.0,66.0,33.0,33.0,1.0,1.0,58.0,29.0,195.0,97.5,0.5090953386389475,0.3617021276595745,171.0,58.0,2.0715673631957663,1.9459101490553132,0.5,5.0
AZSK4N4ZCZ16H,audit,B004Z3MLLY,B003AJ7PGA,B00000IW3G,00dc4ed54a994196c52472a2be1512bff1044ff3f7a3c03d7d6a59b809a24133,3.0,99.0,33.0,33.0,1.0,1.0,87.0,29.0,261.0,87.0,0.5088276045830004,0.43,258.0,87.0,2.633669017330807,1.791759469228055,0.3333333333333333,5.0
A1Z9Y3MXTQVSCV,audit,B00134RPIC,B000BXKN30,B000062SRP,00ed8d78918178b2434d39c63971269933751ae6ad3dd3fdc75ee8ba993c3775,2.0,59.0,29.5,33.0,1.0,1.0,55.0,27.5,176.0,88.0,0.5661319612590799,0.3644067796610169,172.0,58.0,2.418140953475739,1.9459101490553132,0.5,5.0
A1AE8V6Y8T4KGL,audit,B00A9K5JXO,B003N3RJDW,0976990709,00f2e3b083225ca461fde254178dc64f721300c5efa2bd38477351d6ada327c7,3.0,33.0,11.0,33.0,0.3333333333333333,0.3333333333333333,29.0,9.666666666666666,158.0,52.666666666666664,0.7841530054644809,0.3524590163934426,225.0,87.0,2.992382161602823,1.6094379124341003,0.3333333333333333,5.0
A1C157FRUD6JXH,audit,B002WDKA6W,B002WDERU2,B0024H7OF6,00f755e3120727586b9790ca5f00b8226978f6be7afa5fa7d6b65076b340cae8,4.0,106.0,26.5,33.0,1.0,0.75,94.0,23.5,573.0,143.25,0.47604774682783985,0.2478386167146974,344.0,116.0,2.7441955083049865,2.3025850929940455,0.0,5.0
A11Y88M90AQ2ZO,audit,B00BU3ZLJQ,B00936K09S,B003MAJXJE,00f7b713eea5460a932e274d96b1f21f8774ef5240f09c691dd2f9bc97469495,3.0,53.0,17.666666666666668,33.0,1.0,1.0,49.0,16.333333333333332,139.0,46.333333333333336,0.736445313239298,0.4195121951219512,256.0,89.0,2.013418237092471,1.6094379124341003,0.6666666666666666,5.0
A27H0T39U3FZB5,audit,B002VBXPO4,B003WE8TRC,B002DHC6FA,011ba62ef501fbb35716feb921ad84c8763c5d19c833f3aca7c24ab766a676df,2.0,67.0,33.5,34.0,1.0,1.0,59.0,29.5,408.0,204.0,0.4231103462377317,0.18973214285714285,171.0,59.0,4.264560881140755,3.784189633918261,0.0,5.0
AY5UM0DV5T3YW,audit,B001IEYXAA,B0013A4T1W,B000LSZVKA,012865f6ea884408c0de1247983d568567a8a711aa53acb11990d46683542732,2.0,33.0,16.5,33.0,0.5,0.5,29.0,14.5,152.0,76.0,0.680672268907563,0.36134453781512604,152.0,58.0,3.28122204684686,1.3862943611198906,0.5,5.0
A2G00U3NCCUOGL,audit,B0015KVXW8,B000NV6BZE,B002KE1CBA,012fa8afbadc6715ff5395eeecbf3178e64a3ce10c32974fc0aad03db168be20,3.0,99.0,33.0,33.0,1.0,1.0,87.0,29.0,415.0,138.33333333333334,0.4255776275007044,0.25595238095238093,258.0,87.0,2.5592878335594036,1.791759469228055,0.3333333333333333,5.0
A1IAQIZSXONWVU,audit,B009F7OUPK,B009F7OXCA,B003A6AOOS,013802e405df328945da16bec3c54cebe44c11833b50f714155f5d71e15a2a42,16.0,296.0,18.5,34.0,0.5625,0.5625,262.0,16.375,1057.0,66.0625,0.7374053577003695,0.1371610845295056,1149.0,465.0,3.413988313654361,2.9444389791664403,0.0,5.0
A9XZYM1OPW780,audit,B00DGQP44C,B008B68HVE,B0038AR53E,014cf3cc361373b15d553cd50c5fa22e04915f920221a26b56d8aebb005f4a59,4.0,109.0,27.25,34.0,1.0,1.0,97.0,24.25,263.0,65.75,0.609037399666932,0.4263959390862944,341.0,118.0,2.9202870243461705,2.3025850929940455,0.0,5.0
