user,split,target,history_length,sample_hash,donor_overlap_max
A38ZYYY2V1PSQV,fit,B004IS73O6,3,00002dbad52e81a28a6398e8e2fb70fbe98fa67ff4f96599b9543cbf67781eef,0.0
A2WO1ORBH33R2I,fit,B00KAL5JAU,3,0000ad7a4c51470109f7b7cd1f801b7c78471d96e102a266b1d25dd3b214ea8e,0.0
A3JKZ9V4UUSG24,fit,B0046MPZ4E,2,00021e3798ad916f5079a9ca4f149a98095bc57fa678bbfb70a715531dad0930,0.0
A3SGQSJP17J1JU,fit,B0082XRJ5Q,5,00087c7874a5f14f3c66023db69ced3f6cc8e57ea2a67471f7b8e2c154000bcc,0.05263157894736842
A2WUMZ4XTOYVG2,fit,B008LY3R66,12,0008c1f2b1917160844d165f02ca9aa6f82e4fc4548f1ed07940e5b74eb5c0f6,0.1111111111111111
A36OFDASTEW6EV,fit,B003KWMSPU,2,000fa69667287ea28f65729b2e3b0c56d4224e36b012183cd9e53220b4475af3,0.0
A35JFJJWOUNDQT,fit,B001F51TNQ,6,001dd7005ce7da6290da18a2f751232b0a88a493987ac35c37c7143afb6ba653,0.05263157894736842
A38S2ELFQMNEHP,fit,B00027DMSI,6,0025fe510e0f3b41fa140dfba316a460310d64634bc98a7a5ca69fce4fb0f45b,0.0
A13U975DFXBU44,fit,B00AZSNW3E,2,0029290738b5a9ea2842c9efc8c54a868a72819f86de77213ae5e27b93b26306,0.0
A111RSHNLH2EHN,fit,B00178SOCA,2,002ca95f72cfcea96293c990fcedc3aac0444b35f86e2d035d7332a739736a97,0.05263157894736842
A37D55NJF1DW9R,fit,B003YM5RA4,14,0037a07aabac43a22942f4dfbe8f50f9212d51d775e6b10d27a66686a4f72ec0,0.0
A1X5T0I0AL2608,fit,B0008F6ZDI,9,003ae31a5033b2c71cd9599bb409c802caa08ef9bcc15be04b61e55f3e07e7bd,0.17647058823529413
A18X9ZWXOEAEFY,fit,B002MSN3QQ,3,003ae792312bb2a11b13b6171cdcae55b206287b26f5479499ae03a8bd2ce895,0.0
A1MSLHCISXDB79,fit,B004GFR3GY,2,0043f6d8b3eff98ed4288527dfe4b6b8c5e8a05fb157269ac68fc9c9035b0e00,0.0
A3VZU08ZP7X8LY,fit,B006L1DNWY,5,0059fd6986681e24ffe270eb0a73e80c2540e2df50cb8c26afdd785f708cf613,0.0
A2H667ZUNLNTF1,fit,B00CYDSAO4,9,005acad645dcf3cd0b65d5828fd64f5e2577ddda87757bdd2ffe2ce9a4de355c,0.0
AB80AB1IVEPVK,fit,B00365DABC,11,0068f9fc5d6ad6b7907978dca5c1cf1d8126bf978c63c59d919b9aedea0de896,0.17647058823529413
A1F9PMSJNNEYKI,fit,B00AZBWPSO,4,006968d8cc588d8decf0b2adb07e40f531bf56bdce54b67768603ced70728e96,0.05263157894736842
A3I3UFU02JGQ2T,fit,B005V2LLXC,2,006ca32532754221d31ac5277e88083f0a06a735b97956efcaee7c3d9cc2670b,0.0
A1IZT8R23F819J,fit,B001CT0954,2,006f73f7357740e97262d859f6b84ec4e37b76deb121de56a16fc36555d52154,0.0
AN8SOD4WPVJ25,fit,B0027VCNGO,2,007069c6d53baa93d804cb8fbf9684d55372bd31535982f0495912447a8ce279,0.0
A1LB3NB6L5DT1Y,fit,B00074XC68,4,00761eb5c5a8a879677666487e494bed054d0225af1e2d794f7400c9561710f2,0.1111111111111111
A2VDNJOYCLVHVA,fit,B007XA7ZLM,2,00776c5d39c9fe254e4f0f24b5dc2b7b9a8cfcbfed25f92e2f48adb83f6f2e37,0.0
A3S9Z2Q2PVECBG,fit,B00427WJVK,5,007bcd67e9ba7728a23189ddfcc133246fec100f31f8cb453b476386277c5bae,0.0
