dataset,user,split,sample_hash,depth,child_count,history_length,donor_overlap_max,lp_clean,lp_corrupt,lp_no_cf,cf_utility,cf_margin,helpful,sensitivity_deficit,visible_length_identity,metadata_start_identity
Beauty,A38ZYYY2V1PSQV,fit,00002dbad52e81a28a6398e8e2fb70fbe98fa67ff4f96599b9543cbf67781eef,0,108,3,0.0,-7.703035831451416,-6.140413761138916,-5.816554069519043,-1.886481761932373,-1.5626220703125,False,False,True,True
Beauty,A38ZYYY2V1PSQV,fit,00002dbad52e81a28a6398e8e2fb70fbe98fa67ff4f96599b9543cbf67781eef,1,27,3,0.0,-1.8291397094726562,-4.664979934692383,-3.8742878437042236,2.0451481342315674,2.8358402252197266,True,False,True,True
Beauty,A38ZYYY2V1PSQV,fit,00002dbad52e81a28a6398e8e2fb70fbe98fa67ff4f96599b9543cbf67781eef,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A38ZYYY2V1PSQV,fit,00002dbad52e81a28a6398e8e2fb70fbe98fa67ff4f96599b9543cbf67781eef,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A38ZYYY2V1PSQV,fit,00002dbad52e81a28a6398e8e2fb70fbe98fa67ff4f96599b9543cbf67781eef,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A38ZYYY2V1PSQV,fit,00002dbad52e81a28a6398e8e2fb70fbe98fa67ff4f96599b9543cbf67781eef,5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A38ZYYY2V1PSQV,fit,00002dbad52e81a28a6398e8e2fb70fbe98fa67ff4f96599b9543cbf67781eef,6,1,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A2WO1ORBH33R2I,fit,0000ad7a4c51470109f7b7cd1f801b7c78471d96e102a266b1d25dd3b214ea8e,0,108,3,0.0,-1.5556273460388184,-2.346942901611328,-4.149386405944824,2.593759059906006,0.7913155555725098,True,False,True,True
Beauty,A2WO1ORBH33R2I,fit,0000ad7a4c51470109f7b7cd1f801b7c78471d96e102a266b1d25dd3b214ea8e,1,104,3,0.0,-1.4305104514278355e-06,-13.01879596710205,-1.525949478149414,1.5259480476389626,13.0187945365916,True,False,True,True
Beauty,A2WO1ORBH33R2I,fit,0000ad7a4c51470109f7b7cd1f801b7c78471d96e102a266b1d25dd3b214ea8e,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A2WO1ORBH33R2I,fit,0000ad7a4c51470109f7b7cd1f801b7c78471d96e102a266b1d25dd3b214ea8e,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A2WO1ORBH33R2I,fit,0000ad7a4c51470109f7b7cd1f801b7c78471d96e102a266b1d25dd3b214ea8e,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A2WO1ORBH33R2I,fit,0000ad7a4c51470109f7b7cd1f801b7c78471d96e102a266b1d25dd3b214ea8e,5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A2WO1ORBH33R2I,fit,0000ad7a4c51470109f7b7cd1f801b7c78471d96e102a266b1d25dd3b214ea8e,6,1,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A3JKZ9V4UUSG24,fit,00021e3798ad916f5079a9ca4f149a98095bc57fa678bbfb70a715531dad0930,0,108,2,0.0,-3.0696892738342285,-3.9333548545837402,-3.9577627182006836,0.8880734443664551,0.8636655807495117,True,False,True,True
Beauty,A3JKZ9V4UUSG24,fit,00021e3798ad916f5079a9ca4f149a98095bc57fa678bbfb70a715531dad0930,1,42,2,0.0,-2.83630108833313,-4.297801494598389,-4.793572425842285,1.9572713375091553,1.4615004062652588,True,False,True,True
Beauty,A3JKZ9V4UUSG24,fit,00021e3798ad916f5079a9ca4f149a98095bc57fa678bbfb70a715531dad0930,2,2,2,0.0,-1.4803434610366821,-2.2386350631713867,-1.2642191648483276,-0.2161242961883545,0.7582916021347046,False,False,True,True
Beauty,A3JKZ9V4UUSG24,fit,00021e3798ad916f5079a9ca4f149a98095bc57fa678bbfb70a715531dad0930,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A3JKZ9V4UUSG24,fit,00021e3798ad916f5079a9ca4f149a98095bc57fa678bbfb70a715531dad0930,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A3JKZ9V4UUSG24,fit,00021e3798ad916f5079a9ca4f149a98095bc57fa678bbfb70a715531dad0930,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A3JKZ9V4UUSG24,fit,00021e3798ad916f5079a9ca4f149a98095bc57fa678bbfb70a715531dad0930,6,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A3SGQSJP17J1JU,fit,00087c7874a5f14f3c66023db69ced3f6cc8e57ea2a67471f7b8e2c154000bcc,0,108,5,0.05263157894736842,-0.8342498540878296,-5.770528793334961,-1.8786165714263916,1.044366717338562,4.936278939247131,True,False,True,True
Beauty,A3SGQSJP17J1JU,fit,00087c7874a5f14f3c66023db69ced3f6cc8e57ea2a67471f7b8e2c154000bcc,1,30,5,0.05263157894736842,-0.011243200860917568,-2.0212690830230713,-2.116565465927124,2.1053222650662065,2.0100258821621537,True,False,True,True
Beauty,A3SGQSJP17J1JU,fit,00087c7874a5f14f3c66023db69ced3f6cc8e57ea2a67471f7b8e2c154000bcc,2,2,5,0.05263157894736842,0.0,-1.9927434921264648,-1.5568788051605225,1.5568788051605225,1.9927434921264648,True,False,True,True
Beauty,A3SGQSJP17J1JU,fit,00087c7874a5f14f3c66023db69ced3f6cc8e57ea2a67471f7b8e2c154000bcc,3,1,5,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A3SGQSJP17J1JU,fit,00087c7874a5f14f3c66023db69ced3f6cc8e57ea2a67471f7b8e2c154000bcc,4,1,5,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A3SGQSJP17J1JU,fit,00087c7874a5f14f3c66023db69ced3f6cc8e57ea2a67471f7b8e2c154000bcc,5,1,5,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A3SGQSJP17J1JU,fit,00087c7874a5f14f3c66023db69ced3f6cc8e57ea2a67471f7b8e2c154000bcc,6,1,5,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A2WUMZ4XTOYVG2,fit,0008c1f2b1917160844d165f02ca9aa6f82e4fc4548f1ed07940e5b74eb5c0f6,0,108,12,0.1111111111111111,-1.6280189752578735,-4.214323997497559,-4.524791240692139,2.896772265434265,2.586305022239685,True,False,True,True
Beauty,A2WUMZ4XTOYVG2,fit,0008c1f2b1917160844d165f02ca9aa6f82e4fc4548f1ed07940e5b74eb5c0f6,1,83,12,0.1111111111111111,-0.0011654258705675602,-9.044143676757812,-8.113201141357422,8.112035715486854,9.042978250887245,True,False,True,True
Beauty,A2WUMZ4XTOYVG2,fit,0008c1f2b1917160844d165f02ca9aa6f82e4fc4548f1ed07940e5b74eb5c0f6,2,1,12,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A2WUMZ4XTOYVG2,fit,0008c1f2b1917160844d165f02ca9aa6f82e4fc4548f1ed07940e5b74eb5c0f6,3,1,12,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A2WUMZ4XTOYVG2,fit,0008c1f2b1917160844d165f02ca9aa6f82e4fc4548f1ed07940e5b74eb5c0f6,4,1,12,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A2WUMZ4XTOYVG2,fit,0008c1f2b1917160844d165f02ca9aa6f82e4fc4548f1ed07940e5b74eb5c0f6,5,1,12,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A2WUMZ4XTOYVG2,fit,0008c1f2b1917160844d165f02ca9aa6f82e4fc4548f1ed07940e5b74eb5c0f6,6,1,12,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Beauty,A36OFDASTEW6EV,fit,000fa69667287ea28f65729b2e3b0c56d4224e36b012183cd9e53220b4475af3,0,108,2,0.0,-3.8241937160491943,-4.665167808532715,-4.08574104309082,0.261547327041626,0.8409740924835205,True,False,True,True
Beauty,A36OFDASTEW6EV,fit,000fa69667287ea28f65729b2e3b0c56d4224e36b012183cd9e53220b4475af3,1,54,2,0.0,-0.7822170853614807,-3.099604606628418,-2.549154758453369,1.7669376730918884,2.3173875212669373,True,False,True,True
