user,split,target,history_length,sample_hash,donor_overlap_max
A52X1I4UT56KL,fit,B00CG0CKVE,2,00003169dc245d7a7f6afbe438e7663610b124c2cd1f8757c4b4c2b822f7c1f8,0.0
A21QC2AASBR09L,fit,B0084XZE7E,2,0022ae1ce5c850d8ab17cf3b718c0fe136c7c5050561833d77e452ec52203f6b,0.0
A35IFZGBWOSEKT,fit,B004S6E4TU,5,00265b61faac884fc30e1c055de8910c7f493f9ae51cd65a29e5b72b7bcd81c3,0.0
A1O7GEFRFRG4O2,fit,B00005YVRN,2,002f82db55c31ba2b719971af42d2aa5ea9afaffce6ea4cd92d1e237fb4852a5,0.0
A2VNZL6829HGRI,fit,B00000JVRT,5,003403a5d79eda9e7bad9e28a34434e774a46f303a275c37fb71e7f813a7c58e,0.0
A3BMAGBPEVAUP8,fit,B001W30D2O,2,003759268035a78b33f9d0018181a07b9a09ce03b0faa84b03e9057d4283b0dc,0.0
A3KOWY2QU7YQ96,fit,B0036FFPCY,3,00398d6ecdf987e11d218f6403624d823f3463d2a645bd3b4f3dd277f1779469,0.0
A3G0ARA86SET36,fit,B0026NDRWW,2,00456072c086e6cf07dd2cb77aea1ee200d2ff3b5210dde4cd9ddc5631f7271e,0.0
A10HKS3LFIO8V4,fit,B00EVQI9HK,3,004f52c881aeffd9659a88b1bda027c52ce9ebb9579060e3fb6c05435201513c,0.1111111111111111
A17UZAAXZ3923D,fit,B000AM2K56,3,005bba57efecf613a75a37b3cf9fdcfce6e7028899d7839dff2be3e990077c55,0.0
A20N9RBXNIPZ4I,fit,B000S0TOS6,2,005e1145cf59dec1f748c0484657c3fc247c5fcf502d8b715eeff063a49af1da,0.0
A36N2I7T8KSQEF,fit,B000BUW7EG,6,00640221136f41974c4cf14a87acac8fdffd46fe4ed929ef35ec9a7c7b57f7a5,0.1111111111111111
A9NE9ZFK22BNY,fit,B000UOJZ6Q,2,00660664046c693070b507fb9896a43ecac8c7e4d2f435e296c05cb7790323ac,0.0
A2K0CTIYO0R0H1,fit,B000066SW0,2,0074d7607530a0efba995901d8e21bb578fe21048e81931073f7cd2b7513acfe,0.0
A22321WGRP47QU,fit,B00C58ZQGS,2,00758a87ddc1ae6e46d486aa187b6b4d7ea149bdc49de134c979a0b45fc06231,0.0
A3UHHA7YYFPJ8V,fit,B0002TV2NS,2,00842762d564af36d0f6bd2993c68664600acff09ae714240704f58da1711990,0.0
