dataset,user,split,sample_hash,depth,child_count,history_length,donor_overlap_max,lp_clean,lp_corrupt,lp_no_cf,cf_utility,cf_margin,helpful,sensitivity_deficit,visible_length_identity,metadata_start_identity
Toys,A52X1I4UT56KL,fit,00003169dc245d7a7f6afbe438e7663610b124c2cd1f8757c4b4c2b822f7c1f8,0,30,2,0.0,-2.472398281097412,-2.271221160888672,-2.2079553604125977,-0.26444292068481445,-0.20117712020874023,False,False,True,True
Toys,A52X1I4UT56KL,fit,00003169dc245d7a7f6afbe438e7663610b124c2cd1f8757c4b4c2b822f7c1f8,1,19,2,0.0,-2.079296112060547,-5.693774223327637,-5.602189064025879,3.522892951965332,3.61447811126709,True,False,True,True
Toys,A52X1I4UT56KL,fit,00003169dc245d7a7f6afbe438e7663610b124c2cd1f8757c4b4c2b822f7c1f8,2,7,2,0.0,-0.05550094693899155,-0.569868803024292,-0.2640167474746704,0.20851580053567886,0.5143678560853004,True,False,True,True
Toys,A52X1I4UT56KL,fit,00003169dc245d7a7f6afbe438e7663610b124c2cd1f8757c4b4c2b822f7c1f8,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A52X1I4UT56KL,fit,00003169dc245d7a7f6afbe438e7663610b124c2cd1f8757c4b4c2b822f7c1f8,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A21QC2AASBR09L,fit,0022ae1ce5c850d8ab17cf3b718c0fe136c7c5050561833d77e452ec52203f6b,0,30,2,0.0,-4.1149210929870605,-4.030423641204834,-4.049437046051025,-0.06548404693603516,-0.08449745178222656,False,False,True,True
Toys,A21QC2AASBR09L,fit,0022ae1ce5c850d8ab17cf3b718c0fe136c7c5050561833d77e452ec52203f6b,1,27,2,0.0,-3.48909592628479,-3.4397895336151123,-4.371060848236084,0.881964921951294,-0.049306392669677734,True,True,True,True
Toys,A21QC2AASBR09L,fit,0022ae1ce5c850d8ab17cf3b718c0fe136c7c5050561833d77e452ec52203f6b,2,6,2,0.0,-0.18404269218444824,-0.5731285810470581,-0.46910732984542847,0.2850646376609802,0.38908588886260986,True,False,True,True
Toys,A21QC2AASBR09L,fit,0022ae1ce5c850d8ab17cf3b718c0fe136c7c5050561833d77e452ec52203f6b,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A21QC2AASBR09L,fit,0022ae1ce5c850d8ab17cf3b718c0fe136c7c5050561833d77e452ec52203f6b,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A35IFZGBWOSEKT,fit,00265b61faac884fc30e1c055de8910c7f493f9ae51cd65a29e5b72b7bcd81c3,0,30,5,0.0,-0.35640639066696167,-1.0804191827774048,-0.3478935658931732,-0.008512824773788452,0.7240127921104431,False,False,True,True
Toys,A35IFZGBWOSEKT,fit,00265b61faac884fc30e1c055de8910c7f493f9ae51cd65a29e5b72b7bcd81c3,1,23,5,0.0,-1.2414013147354126,-0.09470974653959274,-0.07958696782588959,-1.161814346909523,-1.1466915681958199,False,False,True,True
Toys,A35IFZGBWOSEKT,fit,00265b61faac884fc30e1c055de8910c7f493f9ae51cd65a29e5b72b7bcd81c3,2,13,5,0.0,-0.0002615109842736274,-0.008619485422968864,-0.0012992521515116096,0.0010377411672379822,0.008357974438695237,True,True,True,True
Toys,A35IFZGBWOSEKT,fit,00265b61faac884fc30e1c055de8910c7f493f9ae51cd65a29e5b72b7bcd81c3,3,3,5,0.0,-0.38696038722991943,-2.6318089962005615,-3.8991575241088867,3.5121971368789673,2.244848608970642,True,False,True,True
Toys,A35IFZGBWOSEKT,fit,00265b61faac884fc30e1c055de8910c7f493f9ae51cd65a29e5b72b7bcd81c3,4,1,5,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A1O7GEFRFRG4O2,fit,002f82db55c31ba2b719971af42d2aa5ea9afaffce6ea4cd92d1e237fb4852a5,0,30,2,0.0,-0.7672652006149292,-0.7937685251235962,-0.6898558735847473,-0.07740932703018188,0.026503324508666992,False,False,True,True
