sample_key,user_id,target_group,valid_negative_count,hard_negative_count,deficit,minimum_margin,gram_rank,gram_hit50,history_gold_exclusion
A112TFLXGBF6NI:20:B001NP5IK8,A112TFLXGBF6NI,tail,97,8,1,-2.2573776245117188,,0,1
A11L85WKR81T06:2:B0053PTTU4,A11L85WKR81T06,head,95,8,1,-1.2882308959960938,5,1,1
A122SFGLAHQLSJ:9:B000YZGOZQ,A122SFGLAHQLSJ,head,98,8,1,-2.9713668823242188,28,1,1
A12DQZKRKTNF5E:13:B004GEV5XM,A12DQZKRKTNF5E,tail,97,8,1,-2.8184890747070312,,0,1
A12PH6L5QSVTYN:16:B002F5WLOQ,A12PH6L5QSVTYN,tail,98,8,1,0.0074920654296875,1,1,1
A138DN1ZOLOSIB:2:B002RJUMRS,A138DN1ZOLOSIB,tail,98,8,1,-7.451442539691925,,0,1
A13D05RAN5ES4O:2:B0000530M0,A13D05RAN5ES4O,tail,95,8,1,-1.4168282747268677,2,1,1
A13HCMMJSCXDTY:2:B000NJE14E,A13HCMMJSCXDTY,tail,99,8,1,-3.1435471773147583,41,1,1
A13LHBUYIK9TMC:4:B00E96XELS,A13LHBUYIK9TMC,tail,95,8,1,-0.600799560546875,9,1,1
A1431HS3V4IVAA:1:B002QFGKUQ,A1431HS3V4IVAA,head,99,8,1,-2.1067428588867188,,0,1
A14C7SY89WXZ54:7:B00BMIY7F8,A14C7SY89WXZ54,tail,97,8,1,-2.9701766967773438,,0,1
A14EPTYN50XSZV:9:B009FKNGRA,A14EPTYN50XSZV,head,95,8,0,0.3022575378417969,2,1,1
A14VEJF020O9D2:3:B000VPPUEA,A14VEJF020O9D2,head,97,8,1,-0.7638931274414062,7,1,1
A14W2WUIW7WFOT:2:B000142FVW,A14W2WUIW7WFOT,head,98,8,1,-1.550241380929947,12,1,1
A14ZQ68ZSCFMQI:2:B0021W0B0O,A14ZQ68ZSCFMQI,tail,98,8,0,0.778579831123352,1,1,1
A15H73KHFVDRCW:4:B000VEN3RW,A15H73KHFVDRCW,head,96,8,1,-1.7842559814453125,12,1,1
A15LHORKR9K4HR:1:B0007WL21M,A15LHORKR9K4HR,head,99,8,1,-4.165412902832031,,0,1
A15R00LN8L815Z:4:B009GEUP6A,A15R00LN8L815Z,head,96,8,1,-0.9356652498245239,1,1,1
A1619SAMLBBVK0:3:B007UUE824,A1619SAMLBBVK0,tail,96,8,0,0.6121519804000854,1,1,1
A163392KHH24BX:8:B00578Y7P4,A163392KHH24BX,tail,97,8,1,-2.916290521621704,,0,1
A1636XD3R40LB6:2:B000PBQ7LK,A1636XD3R40LB6,tail,83,8,1,-3.2283286452293396,,0,1
A16FAFR19T533T:8:B00181WCN8,A16FAFR19T533T,tail,96,8,0,2.0492972135543823,1,1,1
A17BKWISY8YNOY:3:B000GRENPA,A17BKWISY8YNOY,tail,97,8,1,-1.6416740417480469,26,1,1
A17NMEZPGX1MXG:2:B000F63TW0,A17NMEZPGX1MXG,head,99,8,1,-1.8571398258209229,34,1,1
A18IWU41LM4QBU:1:B00005REAT,A18IWU41LM4QBU,head,99,8,1,-3.0233380794525146,,0,1
