sample_key,user_id,target_group,valid_negative_count,hard_negative_count,deficit,minimum_margin,gram_rank,gram_hit50,history_gold_exclusion
A060131923OZAPX4NDRM8:5:B00146G71U,A060131923OZAPX4NDRM8,head,91,8,1,-0.6940117478370667,3,1,1
A10C5CJK1YKGV0:8:B003H9MTJ6,A10C5CJK1YKGV0,tail,97,8,0,0.7116584777832031,34,1,1
A10E3F50DIUJEE:13:B00C81LYH2,A10E3F50DIUJEE,head,97,8,1,0.08587265014648438,2,1,1
A10WZLE7UNWS9S:1:B00006JZCR,A10WZLE7UNWS9S,head,97,8,1,-0.22723400592803955,,0,1
A10Y058K7B96C6:2:B002DHC6FA,A10Y058K7B96C6,head,97,8,1,-3.990753322839737,19,1,1
A111LQTZTF63RL:4:B000MRGWRQ,A111LQTZTF63RL,head,97,8,1,-1.2865294218063354,12,1,1
A113YFEZBA50IM:12:B008A224EA,A113YFEZBA50IM,tail,84,8,1,-1.6246603727340698,6,1,1
A116QZVZDPF8GK:1:B003BLQEFA,A116QZVZDPF8GK,tail,95,8,1,-2.1667709350585938,,0,1
A12H774IJ9EWZI:1:B002WB490C,A12H774IJ9EWZI,tail,97,8,1,-0.4359397888183594,3,1,1
A12Q1DFSKXYC8A:2:B002743856,A12Q1DFSKXYC8A,head,95,8,1,-2.8677625618875027,4,1,1
A131CHPB837LF2:5:B00CXEXNL4,A131CHPB837LF2,tail,96,8,0,0.3162345886230469,2,1,1
A13QFODY9LMFDB:6:B0028AECR2,A13QFODY9LMFDB,tail,99,8,1,-0.7168350219726562,,0,1
A140TGQDREQV7W:3:B00C58ZRSK,A140TGQDREQV7W,tail,94,8,1,-2.296876907348633,9,1,1
A14CSXNBBT2I63:2:B009F7S3A8,A14CSXNBBT2I63,tail,98,8,0,0.4512367248535156,1,1,1
A14D6IRQH3XH4B:5:B001QT44HO,A14D6IRQH3XH4B,tail,92,8,1,-3.666827976703644,,0,1
A14OHJ9ZMITW3O:5:B005VPRCQ4,A14OHJ9ZMITW3O,tail,97,8,1,-4.110870599746704,,0,1
A14X244VGHWPSX:20:B00804BDCM,A14X244VGHWPSX,head,97,8,0,1.2170868217945099,1,1,1
A15JPYV0L19RF:15:B0002HZSQW,A15JPYV0L19RF,tail,88,8,1,-2.922340303659439,,0,1
A167KPMW1NBZJW:9:B006ROJIBA,A167KPMW1NBZJW,head,85,8,1,-2.9599876403808594,14,1,1
A16A49TPIHCKFO:1:B000K8FYAS,A16A49TPIHCKFO,head,96,8,1,-1.1796801090240479,1,1,1
A16RKBCGFDMI8H:1:B0015EPR2Q,A16RKBCGFDMI8H,tail,100,8,1,-1.0191497802734375,,0,1
A16Z8BC0WQB0RD:8:B003551WHC,A16Z8BC0WQB0RD,tail,91,8,1,-1.3448868095874786,7,1,1
