user,target,sasrec_rank,pop_group,history_length
A2YO7Q1ABS2533,B000WYZ9Q4,12,head,3
A9N43A4VL9OET,B00C7DYBX0,2,head,5
A1ZXEVTNNDKJ61,B00121UVU0,36,head,12
A1AR8KZS1JBIKH,B0006GZCVK,47,head,7
A3HUZUFWPH5TGM,B004675EI6,2,head,6
AT1RF4WNPGGLC,B009FKNGGQ,2,head,3
A3U5PAYEQSSVJS,B001Q878WI,10,head,4
A1T7AGRZ0NUKYV,B0020MMCZW,11,head,4
A25K93BZ8GX9ZC,B0002Z8HAI,45,head,4
ABG0U23DSNRNG,B009T47YZ2,35,head,8
A1ZM846Y7AUYD,B002Z7EOOE,42,head,7
A1TF08KT2R83R7,B001U9M2EW,42,head,4
A116ZS3G8HEKQN,B002WTC37A,22,head,11
AGL3ZF38MFQU1,B001V3TVEQ,5,head,4
A1EBZ241OWVIQD,B006L1DNWY,7,head,4
A3Q387RL6ON95F,B000ODNSR0,20,head,3
A1BEKAQQGP8CMF,B008U2Y9BQ,4,head,8
A33BT7ET6RNHES,B000QE6U54,42,head,4
A1TIGHRNWIJN69,B0048KSGZO,36,head,8
AR6SCQAD2XGTZ,B008CEDY5O,33,head,7
A1K1MDRX8D61LF,B00BCX34YI,26,tail,3
A1O8R8XVVEAMFU,B000WYZ9Q4,28,head,7
A2F58ZQXB43H94,B0000530ED,38,head,4
AMDGNMLFVVMVY,B0062MAAAK,35,head,8
A3FG2MLHBMYRU4,B002QI1F8A,33,head,8
A1GUVMG53Z3EX0,B001V3TVEQ,10,head,3
A1VWBKIEV59IY2,B0090UJFYI,14,head,4
AS8SNGQLHL0OE,B0030HKJ8I,25,head,4
AP4D9F6Q79ZQ,B0062MAAAK,26,head,3
A1YRCEF0HM8QVR,B005HO0A1I,11,head,20
A29TNG9LTFP5LB,B00121UVU0,4,head,6
A2L7HKSC01X1G7,B00A76CPUA,19,head,7
A2S7CRFCDO57CR,B00AE078YM,31,head,4
A267FU71Z01CIH,B0072XRJ20,1,head,7
A23Z3YG5I7U67Z,B002WTC37A,21,head,4
ATV9CUAWLIDYZ,B004SSFE8S,16,head,12
A3033MDYLQ2K3G,B001HKR6WM,20,head,4
A7ED6BJO320TG,B00AO4E9E0,34,head,8
A2V6IR3NW1JV4A,B003S516XO,8,head,3
A5KOYP14W2EXF,B003H8180I,14,head,13
A1AGTVC5FQT7VE,B0046VGPHQ,16,head,3
APYBC1RD38ILP,B003I6O5RC,22,head,3
AQCJWSMSURQI2,B009FKNGGQ,8,head,3
A25CGBLRJB6X0S,B00HD7SCLM,50,head,19
ADT6562BB6KUY,B0083QNBCM,16,head,4
AW7BQI7A9IIYD,B00641UCY8,48,head,9
A2V1R790XHOV8N,B000ZMBSPE,22,head,6
A1EVH1EJS59U7F,B00150LT40,1,head,3
A3303LR13XT0N8,B000RYSXWG,30,head,5
A3I58WKBMBOWAQ,B001HKR6WM,36,head,3
A2EJ9KKHRD92O7,B004DIXYWG,5,head,5
A2I56Z0U2309NL,B0062MAAAK,31,head,5
A3ID661BSD9PGZ,B003V265QW,12,head,6
ADAD252GW5NLC,B00373FE76,49,head,4
A1KOYOE8O2F1J4,B00AHF1GK6,10,head,4
A4JXXEE26M80A,B0013TM9UQ,25,head,5
A1XLDDRNS2CJEP,B002WTC37A,11,head,3
A2VHCA21QKNEKE,B00AIQOKDY,49,head,5
A3IV4HTUJQ3QCC,B008PTPSF0,48,head,4
A2A4L5O8BRFG1V,B007BJ3KQ4,28,head,3
A13HXODVTD4U0V,B004D24818,14,head,6
A2S490WOKYMDLX,B003EBNLIA,50,head,5
A2I8IBC8OIACOE,B008TNPX52,40,head,3
A2QLBG8B8ITRM3,B00027D8IC,28,head,3
A31YYUJLB1GRW8,B005R3IPJI,39,head,4
A179WU4RF1JFGL,B004TSFBNK,25,head,12
A2GRFYA2LX8STE,B00188IFHS,43,head,9
A2ZMH05LYXCVT7,B006L1DNWY,4,head,3
AX71GBUUW2PPT,B005Y6F4WO,10,head,4
AKI2YIJV3VHQI,B004YBW5T0,49,head,17
A154STAWWEW84W,B007L5P7YQ,41,tail,5
A1IWZLZJOOD67D,B008U1Q4DI,3,head,5
APD7XINUVG5AL,B009FKNGGQ,4,head,3
AWVYARL78C3WE,B006L16BHS,11,head,5
A39DY78FFQUF0H,B000PQGYOU,37,head,3
A3CPX9XWN4ZAFK,B0030O3VRW,13,head,3
A1DCNXNF0JWB5T,B005BF1M10,2,head,20
A3GAFBOXKGHD68,B006L16BHS,28,head,3
ARAL1EFVG2TG3,B000271KR8,40,head,3
A2NANKCC5MKYUR,B0073P01RC,29,head,3
ACVUZ0WQ3Q5QQ,B000YJ2SKM,31,head,3
A1WT3WVA0IJ5OO,B00AXRBAEA,17,head,6
A39592617HTTA4,B006L16BHS,11,head,12
A1XXDO3KIS2YYZ,B005X2F7KI,15,head,3
A2HUWCHQ6JV9IN,B00A0J09C0,13,head,4
A2TTHN1UMO82VY,B008U2Y9BQ,21,head,7
AIQWMQ4JWKZ3T,B003V265QW,43,head,3
A3O1I9YJR8YWUX,B001ECQ4OY,14,head,3
AQBOAWOPNTLMG,B000VPPUEA,41,head,3
A66HGK43NNWAM,B0013TM9UQ,23,head,3
A1P9UMP1XSE6MI,B000ODNSR0,15,head,6
A3UXZ1AZUS6E02,B002MZ8BK2,4,head,17
A1C7U2JM39BS28,B008SPOKIW,3,head,9
A1P5XI3RGOUQDL,B0038TVH3Y,14,head,4
A1M0UUTQ8EUNMJ,B000NWGCZ2,30,head,3
A1TADEUAY3FR8S,B004DIXYWG,6,head,10
A2VM9646P2W48L,B00A51LI1O,10,head,8
A39H1GO9E3YQIB,B00A0J084Y,16,head,4
A2VS44BTWZ9Q5,B001HKR6WM,12,head,3
A2HSY3NXJTD509,B001AO0WCG,7,head,4
A3KT85K6QPMGSV,B00639DLV2,17,head,10
