user,target,pop_group,history_length,sasrec_rank,exact_rank,rank_improvement,gold_exact_score,pairwise_concordance
A2YO7Q1ABS2533,B000WYZ9Q4,head,3,12,19,-7,-0.9573554992675781,0.6326530612244898
A9N43A4VL9OET,B00C7DYBX0,head,5,2,36,-34,-1.225392929145268,0.2857142857142857
A1ZXEVTNNDKJ61,B00121UVU0,head,12,36,7,29,-0.9304501361080578,0.8775510204081632
A1AR8KZS1JBIKH,B0006GZCVK,head,7,47,41,6,-1.3262370143617903,0.1836734693877551
A3HUZUFWPH5TGM,B004675EI6,head,6,2,38,-36,-1.1934082167489188,0.24489795918367346
AT1RF4WNPGGLC,B009FKNGGQ,head,3,2,16,-14,-0.8507948177201408,0.6938775510204082
A3U5PAYEQSSVJS,B001Q878WI,head,4,10,16,-6,-0.9546891025134495,0.6938775510204082
A1T7AGRZ0NUKYV,B0020MMCZW,head,4,11,25,-14,-1.0219562615966424,0.5102040816326531
A25K93BZ8GX9ZC,B0002Z8HAI,head,4,45,34,11,-1.1783880165645055,0.32653061224489793
ABG0U23DSNRNG,B009T47YZ2,head,8,35,32,3,-1.130596365247454,0.3673469387755102
A1ZM846Y7AUYD,B002Z7EOOE,head,7,42,19,23,-0.9625214168003627,0.6326530612244898
A1TF08KT2R83R7,B001U9M2EW,head,4,42,33,9,-1.1415631771087646,0.3469387755102041
A116ZS3G8HEKQN,B002WTC37A,head,11,22,28,-6,-1.0183469445910305,0.4489795918367347
AGL3ZF38MFQU1,B001V3TVEQ,head,4,5,31,-26,-1.0162096875054496,0.3877551020408163
A1EBZ241OWVIQD,B006L1DNWY,head,4,7,22,-15,-0.8571612238883972,0.5714285714285714
A3Q387RL6ON95F,B000ODNSR0,head,3,20,24,-4,-0.9503597880580595,0.5306122448979592
A1BEKAQQGP8CMF,B008U2Y9BQ,head,8,4,16,-12,-0.7626348393304008,0.6938775510204082
A33BT7ET6RNHES,B000QE6U54,head,4,42,45,-3,-1.6938582488468714,0.10204081632653061
A1TIGHRNWIJN69,B0048KSGZO,head,8,36,35,1,-1.0626633167266846,0.30612244897959184
AR6SCQAD2XGTZ,B008CEDY5O,head,7,33,46,-13,-1.9596360569952853,0.08163265306122448
A1K1MDRX8D61LF,B00BCX34YI,tail,3,26,7,19,-1.0863085985183716,0.8775510204081632
A1O8R8XVVEAMFU,B000WYZ9Q4,head,7,28,9,19,-0.9947374888828823,0.8367346938775511
A2F58ZQXB43H94,B0000530ED,head,4,38,17,21,-0.996652466910226,0.673469387755102
AMDGNMLFVVMVY,B0062MAAAK,head,8,35,19,16,-0.9721925197934199,0.6326530612244898
A3FG2MLHBMYRU4,B002QI1F8A,head,8,33,22,11,-0.9560658591134208,0.5714285714285714
A1GUVMG53Z3EX0,B001V3TVEQ,head,3,10,32,-22,-0.9744495323726109,0.3673469387755102
A1VWBKIEV59IY2,B0090UJFYI,head,4,14,25,-11,-1.1555137974875314,0.5102040816326531
AS8SNGQLHL0OE,B0030HKJ8I,head,4,25,17,8,-0.8497072137626154,0.673469387755102
AP4D9F6Q79ZQ,B0062MAAAK,head,3,26,34,-8,-0.9833144444440093,0.32653061224489793
A1YRCEF0HM8QVR,B005HO0A1I,head,20,11,5,6,-0.9278878484453473,0.9183673469387755
A29TNG9LTFP5LB,B00121UVU0,head,6,4,9,-5,-0.891589202518974,0.8367346938775511
A2L7HKSC01X1G7,B00A76CPUA,head,7,19,24,-5,-0.9814522606951479,0.5306122448979592
A2S7CRFCDO57CR,B00AE078YM,head,4,31,34,-3,-1.0914602279663086,0.32653061224489793
