user,candidate,sasrec_rank,exact_score,is_gold
A3R1I7PBYSH5WD,B00DMC6KAC,1,-1.1663770258426667,0
A3R1I7PBYSH5WD,B00F58N6KI,2,-1.972793745994568,0
A3R1I7PBYSH5WD,B00000ISC5,3,-1.5939235846512019,0
A3R1I7PBYSH5WD,B004U52VPS,4,-2.047352808713913,0
A3R1I7PBYSH5WD,B0053FXGE4,5,-1.9547039151191712,1
A3R1I7PBYSH5WD,B002RL7VNY,6,-1.87946617603302,0
A3R1I7PBYSH5WD,B0037UT3E4,7,-1.6736380398273467,0
A3R1I7PBYSH5WD,B00000JIVS,8,-1.569097065925598,0
A3R1I7PBYSH5WD,B002NPBT50,9,-1.5504693269729615,0
A3R1I7PBYSH5WD,B00004TZY8,10,-2.1781119823455812,0
A3R1I7PBYSH5WD,B008RWVE8A,11,-2.0391724944114684,0
A3R1I7PBYSH5WD,1933054395,12,-1.5311510682106018,0
A3R1I7PBYSH5WD,B00486ZVC4,13,-1.8364617150276898,0
A3R1I7PBYSH5WD,B004083ELK,14,-1.753596291318536,0
A3R1I7PBYSH5WD,B0039PUTZY,15,-1.722024917602539,0
A3R1I7PBYSH5WD,B00EJOCAYW,16,-2.409414291381836,0
A3R1I7PBYSH5WD,B000NO9GT4,17,-1.746657943725586,0
A3R1I7PBYSH5WD,B003U0O3B4,18,-2.4830730229616167,0
A3R1I7PBYSH5WD,B0039S7NO6,19,-1.4368511021137238,0
A3R1I7PBYSH5WD,B0002UP0IA,20,-1.1850802260451019,0
A3R1I7PBYSH5WD,B000GUEXBG,21,-1.6629845172166824,0
A3R1I7PBYSH5WD,B009AD4ZJA,22,-1.7722923129796981,0
A3R1I7PBYSH5WD,B00FADI4X2,23,-2.3757296800613403,0
A3R1I7PBYSH5WD,B005VPRF2K,24,-2.5174574851989746,0
A3R1I7PBYSH5WD,B004H1V5S4,25,-2.0597466945648195,0
A3R1I7PBYSH5WD,B004478GGK,26,-1.781484270095825,0
A3R1I7PBYSH5WD,B001W2WKS0,27,-1.7832433223724364,0
A3R1I7PBYSH5WD,B006EFMSSM,28,-1.9461969971656798,0
A3R1I7PBYSH5WD,B008RU8GC4,29,-1.4074350535869598,0
A3R1I7PBYSH5WD,B00008W72D,30,-2.0141839504241945,0
A3R1I7PBYSH5WD,B000YFSZU8,31,-1.5972718983888625,0
A3R1I7PBYSH5WD,B00A852MNK,32,-1.8082940459251404,0
A3R1I7PBYSH5WD,B000UEL172,33,-1.5962406635284423,0
A3R1I7PBYSH5WD,B009D8ZQ9U,34,-0.9153017113916576,0
A3R1I7PBYSH5WD,B005C3F3SY,35,-1.7185054063796996,0
A3R1I7PBYSH5WD,B002UD8P4S,36,-1.9158890008926392,0
A3R1I7PBYSH5WD,B005VPRETY,37,-1.5930772200226784,0
A3R1I7PBYSH5WD,B00804BCO6,38,-1.6080518960952759,0
A3R1I7PBYSH5WD,B002V3RCE6,39,-1.6391771972179412,0
A3R1I7PBYSH5WD,B008AWFWA8,40,-2.3922726452350616,0
A3R1I7PBYSH5WD,B00000K3BR,41,-1.576345431804657,0
A3R1I7PBYSH5WD,B00008BFZH,42,-1.5921674370765686,0
A3R1I7PBYSH5WD,B00DQC2FPM,43,-1.6320411682128906,0
A3R1I7PBYSH5WD,B0045H0L1W,44,-2.0730571150779724,0
A3R1I7PBYSH5WD,B00000DMCE,45,-1.7346291735768318,0
A3R1I7PBYSH5WD,B0075XNGGK,46,-1.6840303182601928,0
A3R1I7PBYSH5WD,B006G682Y8,47,-2.551467227935791,0
A3R1I7PBYSH5WD,B004PAHZMC,48,-1.8774797201156617,0
A3R1I7PBYSH5WD,B004ZPENP4,49,-2.403656244277954,0
A3R1I7PBYSH5WD,B00F6CIUM2,50,-1.5848059833049775,0
A1KTIP6X9PJMSK,B001W30D2O,1,-1.9661530047655105,0
A1KTIP6X9PJMSK,B000AM2K56,2,-2.1852717638015746,0
A1KTIP6X9PJMSK,B000W3XEQM,3,-1.5690149024128914,0
A1KTIP6X9PJMSK,B000LSZVKA,4,-1.607022463530302,0
A1KTIP6X9PJMSK,B0002AUWKG,5,-1.1584185421466828,0
A1KTIP6X9PJMSK,B000IBPD76,6,-1.041299080848694,0
