user,target,sasrec_rank,pop_group,history_length
A3R1I7PBYSH5WD,B0053FXGE4,5,head,3
A1KTIP6X9PJMSK,B004PBN9BC,41,head,5
A1BTZR7JPFYP5H,B00006408Q,25,head,4
AZ6D2BR47RARU,B004U52VPS,4,head,4
A3U85ZZDUFS47D,B00DMC6KAC,41,head,3
A22XGVAAD5WCNS,B00ERK27SC,50,head,3
A2PTAJTGXOAHU4,B008RU8GC4,11,head,20
AKE6DXEN3GWPC,B00C18BWYW,40,head,5
A3QSL2GMGMFGAS,B0084M8UEE,37,tail,12
A229ID720M6Y7A,B004PBN9BC,15,head,3
A2KLFJ0GHM3NFO,B00CFWWD6U,4,head,20
A1Q1MUK0E5LI1C,B000AM2K56,29,head,8
A1D7CVBB5PG443,B006O6ES02,10,head,12
A13M9XSQ4O6NLY,B000EUHKUE,38,head,6
AAA0TUKS5VBSA,B00CI6J3I4,41,head,19
A3RG17SEXP6600,B001BKX0V4,9,head,3
A3JXJCITB06V21,B004A8ZRBA,16,head,3
A2K6K2DUN6HIB0,B0002AUWKG,5,head,6
A2OY5YNT2040OT,B000AM2K56,10,head,3
A3F5WS98BOWEER,B00CI6J8KW,1,head,3
A95OW3TULIL5S,B007U7M0WM,31,head,10
A3A4QN1AU7GL4E,B004S8F7QM,11,head,4
AAFFA8GVAYJVQ,B00F3TKLRA,35,head,3
A2W7ELGTCQ0UOQ,B002NPBT50,6,head,3
A23QLA3M2OBZGS,B0001X0DR6,12,head,4
A1H3RXPWFOUCHS,B001RPWM7Q,28,head,3
A3QPAXR2XDK5AV,B0015AM26E,20,head,3
A390S5E3GXJIX5,B000BN8Y8G,16,head,12
A2QX8TFZDY42K1,B0037Z8DEK,27,head,11
A1S52XH2CS4Y26,B00804BEB2,28,head,13
A743ELWQ0LUGM,B000LSZVKA,8,head,5
A3H52GVIONVIK7,B0037V0Q62,37,head,5
A18T5F7LY74UH7,B004Z7H2EQ,17,head,5
A1VOCCA9CPGEON,B004560BPY,43,head,6
A16DMD58142HZ2,B001W30D2O,2,head,3
A10ASLX7DTTB6Z,B00BPRLGSW,27,head,11
AWKN9MUVLYW4I,B00CFELUXU,29,tail,3
A3MPWZNB1K8J1G,B001PGTNK6,50,head,6
A3SA41FNSURN2,B0002AUWKG,2,head,3
A1VMMMFNAMF87S,B000FAB7I4,28,head,20
A3K3SE4RK846WO,B00BR3EMSA,2,head,20
A8KJS2P6E5DCB,B009F7OQ54,14,head,20
AM92RGOR1G97F,B004S8F7QM,35,head,5
A3J3CQCCTD1S47,B000K8FYAS,40,head,4
