user,target,pop_group,history_length,sasrec_rank,exact_rank,rank_improvement,gold_exact_score,pairwise_concordance
A3R1I7PBYSH5WD,B0053FXGE4,head,3,5,36,-31,-1.9547039151191712,0.2857142857142857
A1KTIP6X9PJMSK,B004PBN9BC,head,5,41,26,15,-1.6085071086883544,0.4897959183673469
A1BTZR7JPFYP5H,B00006408Q,head,4,25,42,-17,-1.5326561745256186,0.16326530612244897
AZ6D2BR47RARU,B004U52VPS,head,4,4,36,-32,-1.6730599045753478,0.2857142857142857
A3U85ZZDUFS47D,B00DMC6KAC,head,3,41,8,33,-1.4367353677749635,0.8571428571428571
A22XGVAAD5WCNS,B00ERK27SC,head,3,50,31,19,-1.8527618318796157,0.3877551020408163
A2PTAJTGXOAHU4,B008RU8GC4,head,20,11,8,3,-1.4671962440013886,0.8571428571428571
AKE6DXEN3GWPC,B00C18BWYW,head,5,40,4,36,-1.0867428705096245,0.9387755102040817
A3QSL2GMGMFGAS,B0084M8UEE,tail,12,37,19,18,-1.2314434913918375,0.6326530612244898
A229ID720M6Y7A,B004PBN9BC,head,3,15,32,-17,-1.5596737504005431,0.3673469387755102
A2KLFJ0GHM3NFO,B00CFWWD6U,head,20,4,43,-39,-3.681631991267204,0.14285714285714285
A1Q1MUK0E5LI1C,B000AM2K56,head,8,29,33,-4,-1.775935697555542,0.3469387755102041
A1D7CVBB5PG443,B006O6ES02,head,12,10,16,-6,-1.5128362137678777,0.6938775510204082
A13M9XSQ4O6NLY,B000EUHKUE,head,6,38,10,28,-1.4494021344929933,0.8163265306122449
AAA0TUKS5VBSA,B00CI6J3I4,head,19,41,27,14,-1.6792621850967406,0.46938775510204084
A3RG17SEXP6600,B001BKX0V4,head,3,9,10,-1,-1.2383378624916077,0.8163265306122449
A3JXJCITB06V21,B004A8ZRBA,head,3,16,6,10,-1.2156361332163215,0.8979591836734694
A2K6K2DUN6HIB0,B0002AUWKG,head,6,5,42,-37,-1.6861108034849166,0.16326530612244897
A2OY5YNT2040OT,B000AM2K56,head,3,10,30,-20,-1.4192305564880372,0.40816326530612246
A3F5WS98BOWEER,B00CI6J8KW,head,3,1,10,-9,-1.638089156150818,0.8163265306122449
A95OW3TULIL5S,B007U7M0WM,head,10,31,30,1,-1.9241750240325928,0.40816326530612246
A3A4QN1AU7GL4E,B004S8F7QM,head,4,11,22,-11,-1.399620570987463,0.5714285714285714
AAFFA8GVAYJVQ,B00F3TKLRA,head,3,35,10,25,-1.2804870006759301,0.8163265306122449
A2W7ELGTCQ0UOQ,B002NPBT50,head,3,6,6,0,-1.1622126758098603,0.8979591836734694
A23QLA3M2OBZGS,B0001X0DR6,head,4,12,29,-17,-1.5109106302261353,0.42857142857142855
A1H3RXPWFOUCHS,B001RPWM7Q,head,3,28,11,17,-1.1881865257397295,0.7959183673469388
A3QPAXR2XDK5AV,B0015AM26E,head,3,20,10,10,-1.4937887832522392,0.8163265306122449
A390S5E3GXJIX5,B000BN8Y8G,head,12,16,20,-4,-1.5381916515994818,0.6122448979591837
A2QX8TFZDY42K1,B0037Z8DEK,head,11,27,24,3,-1.4408783912658691,0.5306122448979592
A1S52XH2CS4Y26,B00804BEB2,head,13,28,37,-9,-1.7124568939208984,0.2653061224489796
