dataset,sample_key,user_id,item,history_rank_from_recent,coarse_start,fine_passage,fine_start,lexical_token_count,matched_cosine,mean_mismatch_cosine,matched_minus_mean_mismatch,hard_margin,top1_correct,mismatch
Toys,A1BICZPS3Q5B7U:9:B0007ODGTQ,A1BICZPS3Q5B7U,B003GD0IAK,0,5,1,2,5,0.6904776692390442,0.2738781273365021,0.4165995419025421,0.35361549258232117,1,0
Toys,A1BICZPS3Q5B7U:9:B0007ODGTQ,A1BICZPS3Q5B7U,B000NVBE1A,1,12,2,2,5,0.6611273288726807,0.30345970392227173,0.35766762495040894,0.2464669942855835,1,0
Toys,A1BICZPS3Q5B7U:9:B0007ODGTQ,A1BICZPS3Q5B7U,B00020V59S,2,19,3,2,5,0.5937825441360474,0.2953617572784424,0.298420786857605,0.18876808881759644,1,0
Toys,A1BICZPS3Q5B7U:9:B0007ODGTQ,A1BICZPS3Q5B7U,B008OFIHBC,3,26,4,2,5,0.5390644073486328,0.18722745776176453,0.3518369495868683,0.28570833802223206,1,0
Toys,A1BICZPS3Q5B7U:9:B0007ODGTQ,A1BICZPS3Q5B7U,B0043BYOO0,4,33,5,2,5,0.5284011363983154,0.24173617362976074,0.2866649627685547,0.23209363222122192,1,0
Toys,A2TOP3D05WNABA:5:B001613Q8A,A2TOP3D05WNABA,B0000BX8MA,0,5,1,2,5,0.6828681230545044,0.22431960701942444,0.45854851603507996,0.3942681849002838,1,0
Toys,A2TOP3D05WNABA:5:B001613Q8A,A2TOP3D05WNABA,B008H6TA28,1,12,2,2,5,0.6841138601303101,0.3624967634677887,0.32161709666252136,0.19658634066581726,1,0
Toys,A2TOP3D05WNABA:5:B001613Q8A,A2TOP3D05WNABA,B009NFFY90,2,19,3,2,5,0.5883269906044006,0.39585554599761963,0.192471444606781,0.14560338854789734,1,0
Toys,A2TOP3D05WNABA:5:B001613Q8A,A2TOP3D05WNABA,B001QIL5ZY,3,26,4,2,5,0.6210731267929077,0.38466620445251465,0.23640692234039307,0.10573840141296387,1,0
Toys,A2TOP3D05WNABA:5:B001613Q8A,A2TOP3D05WNABA,B00000JHXT,4,33,5,2,5,0.5418906211853027,0.33481425046920776,0.20707637071609497,0.12989932298660278,1,0
Toys,A14SRNQ2JT8WEA:5:B00106CGP0,A14SRNQ2JT8WEA,B000W3XEQW,0,5,1,2,5,0.7083621621131897,0.2955550253391266,0.4128071367740631,0.35195550322532654,1,0
Toys,A14SRNQ2JT8WEA:5:B00106CGP0,A14SRNQ2JT8WEA,B000I00BJC,1,12,2,2,5,0.6843001246452332,0.2588930130004883,0.4254071116447449,0.37951070070266724,1,0
Toys,A14SRNQ2JT8WEA:5:B00106CGP0,A14SRNQ2JT8WEA,B0006OHN7I,2,19,3,2,5,0.5720243453979492,0.16164441406726837,0.41037993133068085,0.3823838531970978,1,0
Toys,A14SRNQ2JT8WEA:5:B00106CGP0,A14SRNQ2JT8WEA,B000LSZVKA,3,26,4,2,5,0.6499419212341309,0.29529836773872375,0.3546435534954071,0.28231480717658997,1,0
Toys,A14SRNQ2JT8WEA:5:B00106CGP0,A14SRNQ2JT8WEA,B00000IZQP,4,33,5,2,5,0.5132713317871094,0.26857882738113403,0.24469250440597534,0.07566633820533752,1,0
Toys,A3UPWMS0VWBI44:7:B000IQC4N2,A3UPWMS0VWBI44,B000809OAO,0,5,1,2,5,0.6546681523323059,0.3318324089050293,0.3228357434272766,0.30211982131004333,1,0
Toys,A3UPWMS0VWBI44:7:B000IQC4N2,A3UPWMS0VWBI44,1589942981,1,12,2,2,5,0.682589054107666,0.47160232067108154,0.21098673343658447,0.19524675607681274,1,0
Toys,A3UPWMS0VWBI44:7:B000IQC4N2,A3UPWMS0VWBI44,B00CF4G7OW,2,19,3,2,5,0.6045106649398804,0.5242427587509155,0.08026790618896484,-7.075071334838867e-05,0,1
Toys,A3UPWMS0VWBI44:7:B000IQC4N2,A3UPWMS0VWBI44,B009XBA390,3,26,4,2,5,0.659031867980957,0.5011959075927734,0.1578359603881836,0.10947996377944946,1,0
Toys,A3UPWMS0VWBI44:7:B000IQC4N2,A3UPWMS0VWBI44,B00008URUT,4,33,5,2,5,0.5820843577384949,0.46295011043548584,0.11913424730300903,0.07352715730667114,1,0
Toys,A1H41IC29WQVA6:9:B003CZA7US,A1H41IC29WQVA6,B00FAQVY5O,0,5,1,2,5,0.6313183307647705,0.22608420252799988,0.40523412823677063,0.32610756158828735,1,0
