sample_key,user_id,target_group,history_length,competitive_steps,full_legal_ce,best_removal_improvement,oldest_removal_improvement,most_recent_removal_improvement,oracle_advantage_over_oldest,has_harmful_passage
A100WO06OQR8BQ:33:B002MO780W,A100WO06OQR8BQ,head,20,3,1.3535235325494643,0.10509030024214394,-0.04905033111568491,-0.18484612305965697,0.15414063135782885,1
A10G136JEISLVR:10:B00154P3QQ,A10G136JEISLVR,tail,10,2,5.669081926345825,0.1162259578704834,-0.025525808334350586,0.05311846733093262,0.14175176620483398,1
A10HZRDNCSKJRS:7:B007ROD2P2,A10HZRDNCSKJRS,tail,7,3,2.878824877271351,0.04168771122931503,-0.23613560852633508,-1.0082976785197388,0.2778233197556501,0
A10UHQH1YL5Q6B:8:B000JL7Z5S,A10UHQH1YL5Q6B,head,8,3,1.8874619674558442,0.128658037322263,0.10774581972509623,0.128658037322263,0.02091221759716677,1
A112TFLXGBF6NI:8:B002L6NZHG,A112TFLXGBF6NI,head,8,2,2.654284119606018,0.24193894863128662,0.13037371635437012,0.24193894863128662,0.1115652322769165,1
A12VPAGE4NL1YP:16:B003VMV7D8,A12VPAGE4NL1YP,head,16,5,0.3564216461032629,0.01392499841749667,-0.6784275446087121,-0.15850034687900916,0.6923525430262087,0
A12ZI9PVPM278F:9:B0094GHKFE,A12ZI9PVPM278F,tail,9,3,3.061283906300863,0.08579039573669434,0.08579039573669434,-0.36206046740214015,0.0,1
A13IIPSGKZZTFP:9:B009RNUH7C,A13IIPSGKZZTFP,tail,9,4,1.8315408905036747,0.01729135331697762,-0.02128214528784156,-0.3914022920653224,0.03857349860481918,0
A13LHBUYIK9TMC:23:B00GP2N66W,A13LHBUYIK9TMC,head,20,2,2.720295786857605,0.657331109046936,0.12001156806945801,0.657331109046936,0.537319540977478,1
A13M9XSQ4O6NLY:8:B0063A432W,A13M9XSQ4O6NLY,head,8,3,0.8035695484383419,0.027323647009325214,0.027323647009325214,-0.6614958461868811,0.0,0
A14MIG0KAPGSSF:8:B007BLN17K,A14MIG0KAPGSSF,head,8,3,1.3956358693540096,0.10213786674042535,-0.030088712771733528,-0.10152016455928492,0.13222657951215888,1
A15T9G38F589KM:15:B00A0IWRU8,A15T9G38F589KM,head,15,4,1.2054668962955404,0.027293413877487183,0.005374550819396973,-0.011908888816797969,0.02191886305809021,0
