sample_key,user_id,target_group,history_length,passage_index,recency_rank,recency_quartile,history_item,full_legal_ce,removed_legal_ce,removal_improvement,harmful,competitive_steps
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,head,6,1,0,0,B004PZXN8C,0.7417846545577049,1.1533312865843375,-0.41154663202663255,0,3
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,head,6,2,1,0,B003WMC6U0,0.7417846545577049,1.0255885819594066,-0.2838039274017017,0,3
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,head,6,3,2,1,B001P06GX4,0.7417846545577049,0.6848533848921458,0.05693126966555917,1,3
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,head,6,4,3,2,B000I8SMZE,0.7417846545577049,0.7181570927302042,0.023627561827500698,0,3
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,head,6,5,4,3,B000G3185M,0.7417846545577049,0.7796452343463898,-0.037860579788684845,0,3
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,head,6,6,5,3,1604189681,0.7417846545577049,0.7610351120432218,-0.019250457485516903,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,1,0,0,B00007GCYO,0.307480829845493,0.38247218152779777,-0.07499135168230475,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,2,1,0,B00012TGK2,0.307480829845493,0.2902155448682606,0.017265284977232398,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,3,2,0,B00009KX0J,0.307480829845493,0.2940042682554728,0.013476561590020197,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,4,3,0,B00009KWYS,0.307480829845493,0.3040197839727625,0.003461045872730495,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,5,4,1,B00004TRD7,0.307480829845493,0.3281032379794245,-0.020622408133931458,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,6,5,1,B0006216Q4,0.307480829845493,0.2954828256624751,0.01199800418301794,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,7,6,1,B000284X58,0.307480829845493,3.3122371435165405,-3.0047563136710473,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,8,7,1,B00012TGL6,0.307480829845493,0.2994840617175214,0.00799676812797162,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,9,8,2,B000BTNQUQ,0.307480829845493,0.31253793170132366,-0.005057101855830637,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,10,9,2,B00009KWZR,0.307480829845493,0.3280424740902769,-0.020561644244783905,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,11,10,2,B00006JIO3,0.307480829845493,0.3294989093459056,-0.02201807950041257,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,12,11,2,B000062TS8,0.307480829845493,0.3032416777180818,0.0042391521274112165,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,13,12,3,B00005BHK9,0.307480829845493,0.2547653197737721,0.05271551007172093,1,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,14,13,3,B00005BHK6,0.307480829845493,0.2745135255972855,0.03296730424820754,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,15,14,3,B000059EHX,0.307480829845493,0.33877607219619676,-0.031295242350703745,0,3
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,16,15,3,B00007A1S2,0.307480829845493,0.3136035406884427,-0.006122710842949686,0,3
A108UJC8MQ0REU:8:B003WFKOSS,A108UJC8MQ0REU,head,8,1,0,0,B0097GKTO0,2.0187179644053685,2.0348844925016842,-0.01616652809631569,0,3
A108UJC8MQ0REU:8:B003WFKOSS,A108UJC8MQ0REU,head,8,2,1,0,B008G0YIL8,2.0187179644053685,2.132309913460631,-0.11359194905526238,0,3
A108UJC8MQ0REU:8:B003WFKOSS,A108UJC8MQ0REU,head,8,3,2,1,B00804BDEU,2.0187179644053685,1.9149014550615295,0.10381650934383901,1,3
A108UJC8MQ0REU:8:B003WFKOSS,A108UJC8MQ0REU,head,8,4,3,1,B0077NCEXE,2.0187179644053685,2.0174984930902915,0.0012194713150770475,0,3
A108UJC8MQ0REU:8:B003WFKOSS,A108UJC8MQ0REU,head,8,5,4,2,B005XUI71G,2.0187179644053685,2.0096284944987324,0.009089469906636172,0,3
A108UJC8MQ0REU:8:B003WFKOSS,A108UJC8MQ0REU,head,8,6,5,2,B004EEGQN8,2.0187179644053685,2.1423507531144423,-0.1236327887090738,0,3
A108UJC8MQ0REU:8:B003WFKOSS,A108UJC8MQ0REU,head,8,7,6,3,B004560BPY,2.0187179644053685,2.136683026918339,-0.11796506251297023,0,3
A108UJC8MQ0REU:8:B003WFKOSS,A108UJC8MQ0REU,head,8,8,7,3,B000GEALZO,2.0187179644053685,1.994120120628698,0.024597843776670514,0,3
A10CGTF3GZ2V65:9:B0043BYOO0,A10CGTF3GZ2V65,head,9,1,0,0,B0040MGYTA,1.5316313030198216,1.8143442524597049,-0.28271294943988323,0,4
A10CGTF3GZ2V65:9:B0043BYOO0,A10CGTF3GZ2V65,head,9,2,1,0,B00388C3TW,1.5316313030198216,1.5397090334445238,-0.008077730424702168,0,4
A10CGTF3GZ2V65:9:B0043BYOO0,A10CGTF3GZ2V65,head,9,3,2,1,B0035RRPU8,1.5316313030198216,1.5582096995785832,-0.026578396558761597,0,4
A10CGTF3GZ2V65:9:B0043BYOO0,A10CGTF3GZ2V65,head,9,4,3,1,B001EB9F3C,1.5316313030198216,1.5983869647607207,-0.06675566174089909,0,4
A10CGTF3GZ2V65:9:B0043BYOO0,A10CGTF3GZ2V65,head,9,5,4,2,B0013H1QNY,1.5316313030198216,1.6205667778849602,-0.08893547486513853,0,4
A10CGTF3GZ2V65:9:B0043BYOO0,A10CGTF3GZ2V65,head,9,6,5,2,B000NVBE1A,1.5316313030198216,1.542832475155592,-0.011201172135770321,0,4
A10CGTF3GZ2V65:9:B0043BYOO0,A10CGTF3GZ2V65,head,9,7,6,3,B000GKXYD4,1.5316313030198216,1.3260703743435442,0.2055609286762774,1,4
A10CGTF3GZ2V65:9:B0043BYOO0,A10CGTF3GZ2V65,head,9,8,7,3,B0007Y4DLG,1.5316313030198216,1.5583056947216392,-0.026674391701817513,0,4
A10CGTF3GZ2V65:9:B0043BYOO0,A10CGTF3GZ2V65,head,9,9,8,3,B00000JS5S,1.5316313030198216,1.5699652098119259,-0.038333906792104244,0,4
A113YFEZBA50IM:6:B006WAJM1A,A113YFEZBA50IM,head,6,1,0,0,B0063NLSAY,1.1363353431224823,1.066447727382183,0.06988761574029922,1,3
A113YFEZBA50IM:6:B006WAJM1A,A113YFEZBA50IM,head,6,2,1,0,B008A20GRM,1.1363353431224823,1.2539543472230434,-0.11761900410056114,0,3
A113YFEZBA50IM:6:B006WAJM1A,A113YFEZBA50IM,head,6,3,2,1,B007L4LIFY,1.1363353431224823,1.1333777209122975,0.002957622210184807,0,3
A113YFEZBA50IM:6:B006WAJM1A,A113YFEZBA50IM,head,6,4,3,2,B004XPIQ7C,1.1363353431224823,1.1907044847806294,-0.0543691416581471,0,3
A113YFEZBA50IM:6:B006WAJM1A,A113YFEZBA50IM,head,6,5,4,3,B007KV17O0,1.1363353431224823,1.1371646001935005,-0.000829257071018219,0,3
A113YFEZBA50IM:6:B006WAJM1A,A113YFEZBA50IM,head,6,6,5,3,B0060S318E,1.1363353431224823,1.066007249057293,0.07032809406518936,1,3
A117PQAH6ZLJ97:10:B004J6MVOE,A117PQAH6ZLJ97,tail,10,1,0,0,B0001NE4VC,1.2382517456367168,1.2624587714349218,-0.024207025798204995,0,4
A117PQAH6ZLJ97:10:B004J6MVOE,A117PQAH6ZLJ97,tail,10,2,1,0,B0015GMFNS,1.2382517456367168,1.2411133050463832,-0.00286155940966637,0,4
A117PQAH6ZLJ97:10:B004J6MVOE,A117PQAH6ZLJ97,tail,10,3,2,0,B000059GWH,1.2382517456367168,1.262269586281036,-0.02401784064431922,0,4
A117PQAH6ZLJ97:10:B004J6MVOE,A117PQAH6ZLJ97,tail,10,4,3,1,B0050QJTMO,1.2382517456367168,1.2253282367896645,0.01292350884705229,0,4
A117PQAH6ZLJ97:10:B004J6MVOE,A117PQAH6ZLJ97,tail,10,5,4,1,B00388IRPG,1.2382517456367168,1.235167264858319,0.0030844807783978467,0,4
A117PQAH6ZLJ97:10:B004J6MVOE,A117PQAH6ZLJ97,tail,10,6,5,2,B00386QEG2,1.2382517456367168,1.2136201858356799,0.02463155980103693,0,4
A117PQAH6ZLJ97:10:B004J6MVOE,A117PQAH6ZLJ97,tail,10,7,6,2,B000GZGE3Q,1.2382517456367168,1.2644046842556236,-0.026152938618906774,0,4
A117PQAH6ZLJ97:10:B004J6MVOE,A117PQAH6ZLJ97,tail,10,8,7,3,B000LT1D56,1.2382517456367168,1.2133186159544493,0.024933129682267463,0,4
A117PQAH6ZLJ97:10:B004J6MVOE,A117PQAH6ZLJ97,tail,10,9,8,3,B004C7QNCQ,1.2382517456367168,2.4085955917835236,-1.1703438461468068,0,4
A117PQAH6ZLJ97:10:B004J6MVOE,A117PQAH6ZLJ97,tail,10,10,9,3,B000SONEQA,1.2382517456367168,1.2606858014364661,-0.02243405579974933,0,4
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,1,0,0,B005XUI5AE,0.3202014435402816,1.131507187214447,-0.8113057436741655,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,2,1,0,B003GRJ3RK,0.3202014435402816,0.2924068246560637,0.027794618884217914,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,3,2,0,B00146G72Y,0.3202014435402816,0.2929475538810948,0.027253889659186847,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,4,3,0,B000Z7NOXI,0.3202014435402816,0.29253475356381387,0.027666689976467762,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,5,4,0,B000067QC0,0.3202014435402816,0.31250047032372097,0.007700973216560658,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,6,5,1,B000REP3CO,0.3202014435402816,0.30120691351476125,0.018994530025520373,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,7,6,1,B00B4EJO1C,0.3202014435402816,0.31101163348648697,0.009189810053794656,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,8,7,1,B003AHG3BU,0.3202014435402816,0.31994273768214043,0.00025870585814119496,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,9,8,1,B004DJ51WQ,0.3202014435402816,0.31583332755835725,0.004368115981924381,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,10,9,1,B002QNM8NQ,0.3202014435402816,0.3203880432760343,-0.0001865997357526905,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,11,10,2,B005DX7UHK,0.3202014435402816,0.3123844482674031,0.007816995272878546,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,12,11,2,B0035LLZ3W,0.3202014435402816,0.3143259261531057,0.005875517387175955,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,13,12,2,B002B555RU,0.3202014435402816,0.3276458153675776,-0.007444371827295959,0,5
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,14,13,2,B0006N8X3M,0.3202014435402816,0.34018166189198384,-0.019980218351702217,0,5
