sample_key,user_id,target_group,competitive_steps,max_illegal_mass,mean_loss_gap
A100WO06OQR8BQ:33:B002MO780W,A100WO06OQR8BQ,head,3,0.014135599136352539,0.008440017700195312
A1084V41BP7RDH:2:B0058P6S2Q,A1084V41BP7RDH,head,3,0.24423623085021973,0.10378766059875488
A10BK26EN1YSZT:1:B000SSG0EE,A10BK26EN1YSZT,head,2,0.22433459758758545,0.1344289779663086
A10G136JEISLVR:4:B0038TYTI4,A10G136JEISLVR,head,3,0.022389590740203857,0.009836355845133463
A112TFLXGBF6NI:8:B002L6NZHG,A112TFLXGBF6NI,head,2,0.10352545976638794,0.061043739318847656
A125CKWJCII7LW:1:B007DGRT3K,A125CKWJCII7LW,head,4,0.29107093811035156,0.09663605690002441
A12UT32YCU0WT0:3:B0050QJ1HM,A12UT32YCU0WT0,tail,4,0.13865286111831665,0.04813027381896973
A12VPAGE4NL1YP:16:B003VMV7D8,A12VPAGE4NL1YP,head,5,0.06163811683654785,0.022271156311035156
A12X7K54734QXE:2:B000AO2NXS,A12X7K54734QXE,head,2,0.09279710054397583,0.05615997314453125
A12ZI9PVPM278F:9:B0094GHKFE,A12ZI9PVPM278F,tail,3,0.19762295484542847,0.08036231994628906
A139G0ERYRIRDZ:4:B00A19WNC8,A139G0ERYRIRDZ,tail,2,0.026241779327392578,0.013315200805664062
A13LHBUYIK9TMC:23:B00GP2N66W,A13LHBUYIK9TMC,head,2,0.0017341971397399902,0.0010724067687988281
A13M9XSQ4O6NLY:8:B0063A432W,A13M9XSQ4O6NLY,head,3,0.011580586433410645,0.0064322153727213545
A13RAVPFO5SIB1:2:B000I82POI,A13RAVPFO5SIB1,head,3,0.13707095384597778,0.05843289693196615
A141AFVMQZYPWV:3:B0057WJ264,A141AFVMQZYPWV,head,2,0.12565243244171143,0.07292366027832031
A1465Y9A9NG36O:2:B007CVGMAC,A1465Y9A9NG36O,tail,2,0.007880449295043945,0.0039691925048828125
A149FSL9QLEN74:1:B00CNOUZE2,A149FSL9QLEN74,head,2,0.01469576358795166,0.012018203735351562
A14EGTIUFVIIS4:2:B000V3RZ04,A14EGTIUFVIIS4,tail,3,0.02801203727722168,0.01791063944498698
A14MIG0KAPGSSF:2:B004KS2OD4,A14MIG0KAPGSSF,tail,3,0.42501235008239746,0.23481464385986328
A15A4RX02DDFER:4:B001CC1VV2,A15A4RX02DDFER,head,3,0.011967003345489502,0.004042307535807292
A15H73KHFVDRCW:3:B004FTH3FM,A15H73KHFVDRCW,tail,3,0.011616408824920654,0.003918965657552083
A15HI1HDAU7SPR:2:B0006BDO5Q,A15HI1HDAU7SPR,tail,3,0.10714811086654663,0.042551676432291664
A15V46DLC5ODBH:7:B009GIOVKC,A15V46DLC5ODBH,head,2,0.20193630456924438,0.11984825134277344
A1744PV0MNU2BL:2:B000C1W6TK,A1744PV0MNU2BL,tail,3,0.16069120168685913,0.06510988871256511
A17CP110C6E9KF:3:B0018S8MZ8,A17CP110C6E9KF,head,3,0.004194915294647217,0.0016841888427734375
A17LAGAS977F2C:3:B00459ZRRS,A17LAGAS977F2C,tail,3,0.09974724054336548,0.03838793436686198
A17S2AT7QG2WX5:3:B0013E9NFU,A17S2AT7QG2WX5,tail,3,0.09112405776977539,0.03836886088053385
A180XKFPQ54OLX:3:B0068Y6CA4,A180XKFPQ54OLX,head,4,0.09533894062042236,0.029389172792434692
A182IOCHPL1U3W:1:B003MJ7Z0O,A182IOCHPL1U3W,head,3,0.13001424074172974,0.05774116516113281
A190J9MAAVHA8D:6:B00683JILU,A190J9MAAVHA8D,head,3,0.18190830945968628,0.07401212056477864
A19685KC5TI7HY:2:B001ET788I,A19685KC5TI7HY,tail,2,0.2839186191558838,0.17392730712890625
A19ACDIQPD3ERF:12:B004Z1L3JC,A19ACDIQPD3ERF,tail,4,0.02995675802230835,0.011722803115844727
A19KLWTEW9KRJ8:5:B007LANY2S,A19KLWTEW9KRJ8,head,2,0.24203550815582275,0.14971160888671875
A19UTUEBWKIZFT:52:B006RFZ81S,A19UTUEBWKIZFT,head,3,0.006842911243438721,0.004324913024902344
A19W2I27LYN1D7:1:B002LL57Z4,A19W2I27LYN1D7,head,3,0.12424713373184204,0.05022974809010824
A19XFJFZ7PRSD2:4:B0091W3622,A19XFJFZ7PRSD2,tail,3,0.006615638732910156,0.0025930404663085938
A19ZYWIWRT7TJF:7:B0006PJSSO,A19ZYWIWRT7TJF,tail,2,0.19990462064743042,0.11780643463134766
A1AA39TTTQPYEH:4:B000GHYSVE,A1AA39TTTQPYEH,head,5,0.16530978679656982,0.039306259155273436
A1AEX2QSFPKQ4H:1:B003N4MIDM,A1AEX2QSFPKQ4H,tail,2,0.017628788948059082,0.014821052551269531
A1AG4U1Z7GQUTV:5:B004DIUWAI,A1AG4U1Z7GQUTV,head,3,0.15061140060424805,0.07158088684082031
A1AHTRLLNVXGLW:5:B00876T3W0,A1AHTRLLNVXGLW,head,2,0.11046963930130005,0.0614471435546875
A1AK356546890Q:6:B005TI7L6O,A1AK356546890Q,head,3,0.01763063669204712,0.009495735168457031
A1AM9Q86191H7D:1:B003WYRNYW,A1AM9Q86191H7D,tail,2,0.05244040489196777,0.033379554748535156
A1B2HEXUQTP8GR:3:B00A6O1BF8,A1B2HEXUQTP8GR,tail,3,0.15860909223556519,0.06142012278238932
A1BIP4C3L1D2H1:1:B004CLPHS8,A1BIP4C3L1D2H1,tail,2,0.27064430713653564,0.16522216796875
A1BVALMLWA8IW3:1:B00912CL5K,A1BVALMLWA8IW3,head,2,0.029394090175628662,0.0223236083984375
A1BYTWGKRF0LGJ:5:B000UO9POI,A1BYTWGKRF0LGJ,tail,2,0.21627283096313477,0.12814903259277344
A1CEESCI5D19MB:1:B0014WKHT2,A1CEESCI5D19MB,tail,2,0.015518605709075928,0.007830619812011719
A1CFB02LQOTYI1:3:B005C1C02S,A1CFB02LQOTYI1,head,3,0.06989014148712158,0.02558279037475586
A1CI63P473W5RJ:5:B0092SVTGA,A1CI63P473W5RJ,head,4,0.030038118362426758,0.011433601379394531
