sample_key,user_id,target_group,competitive_steps,max_illegal_mass,mean_loss_gap
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,head,3,0.03577291965484619,0.014078140258789062
A10MZ1W1M8LIBJ:1:B00386099K,A10MZ1W1M8LIBJ,head,3,0.01520681381225586,0.006594340006510417
A117PQAH6ZLJ97:2:B000LT1D56,A117PQAH6ZLJ97,head,3,0.032713353633880615,0.01902008056640625
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,5,0.0035147666931152344,0.0014322519302368164
A11OTLEDSW8ZXD:4:B006ROJJE6,A11OTLEDSW8ZXD,head,4,0.016023576259613037,0.007070064544677734
A12F1134XZ5V1Q:2:B006O6EOII,A12F1134XZ5V1Q,head,4,0.043431639671325684,0.013216495513916016
A12QYV3ARZX9TA:6:B008C0O4Q6,A12QYV3ARZX9TA,tail,3,0.12011831998825073,0.05711174011230469
A1354C4W99WQUB:3:B000NKH0E6,A1354C4W99WQUB,head,4,0.00751042366027832,0.0030438899993896484
A13CMGPBBA6RED:2:B00141D6BE,A13CMGPBBA6RED,tail,3,0.1447574496269226,0.06058311462402344
A13MM94OD9HMEO:2:B003NZQKQC,A13MM94OD9HMEO,tail,3,0.15252095460891724,0.05693689982096354
A13MZ8L5DC4JHC:7:B004DK6BRE,A13MZ8L5DC4JHC,tail,4,0.0902482271194458,0.03173542022705078
A146L0JWX6KKYJ:1:B004P9591C,A146L0JWX6KKYJ,head,4,0.007596611976623535,0.0030128955841064453
A14MSHFCXPARFS:3:B00D9LWJTC,A14MSHFCXPARFS,head,4,0.022203147411346436,0.01092386245727539
A14TYIA6NMXWSI:2:B0042VJPZO,A14TYIA6NMXWSI,tail,6,0.0811697244644165,0.03198877970377604
A14Z0MULK9Y2HO:1:B007U7M0WM,A14Z0MULK9Y2HO,head,3,0.023312151432037354,0.009289423624674479
A15D71305SUX7J:1:B001US4G9M,A15D71305SUX7J,tail,3,0.020275592803955078,0.01003869374593099
A15DLHUPADSHQH:2:B00AHAJAU4,A15DLHUPADSHQH,tail,3,0.06234842538833618,0.022267659505208332
A15JPYV0L19RF:7:B003R1V90Y,A15JPYV0L19RF,head,4,0.006408989429473877,0.0017547607421875
A15NQIJ8G9LZ4W:3:B005GJDG24,A15NQIJ8G9LZ4W,tail,3,0.06967723369598389,0.042507171630859375
A167KPMW1NBZJW:26:B00CQDGYKO,A167KPMW1NBZJW,tail,4,0.038947463035583496,0.017125844955444336
A16BB04DCCVBO9:1:B0000E39PG,A16BB04DCCVBO9,tail,3,0.17244172096252441,0.07191276550292969
A16EID3ZQJKW09:3:B0002HYD1S,A16EID3ZQJKW09,head,3,0.015428483486175537,0.007632891337076823
A16HQB6GTXWKBD:1:B0042T8GR4,A16HQB6GTXWKBD,head,3,0.012648940086364746,0.005137125651041667
A16L9YZS3W4Z5I:1:1936112191,A16L9YZS3W4Z5I,head,4,0.09849971532821655,0.03095531463623047
