edge_id,token,depth,descendant_items,same_token_node_count,semantic_distance,cohort
"0,1000,3690,28663,6373,3282,19226>11048",11048,6,1,0,,ineligible
"0,1000,3690,28663,6373,3282>19226",19226,5,1,0,,ineligible
"0,1000,3690,28663,6373>3282",3282,4,1,0,,ineligible
"0,1000,3690,28663>6373",6373,3,1,0,,ineligible
"0,1000,3690>28663",28663,2,1,0,,ineligible
"0,1000>3690",3690,1,1,0,,ineligible
"0,1043,10164,548,4657,21064,6141>882",882,6,1,0,,ineligible
"0,1043,10164,548,4657,21064>6141",6141,5,1,0,,ineligible
"0,1043,10164,548,4657>21064",21064,4,1,0,,ineligible
"0,1043,10164,548>4657",4657,3,1,0,,ineligible
"0,1043,10164>548",548,2,1,0,,ineligible
"0,1043,10281,16914,7775,400,2647>706",706,6,1,0,,ineligible
"0,1043,10281,16914,7775,400>2647",2647,5,1,0,,ineligible
"0,1043,10281,16914,7775>400",400,4,1,0,,ineligible
"0,1043,10281,16914>7775",7775,3,1,0,,ineligible
"0,1043,10281>16914",16914,2,1,0,,ineligible
"0,1043,10462,12151,7803,20340,5082>4659",4659,6,1,0,,ineligible
"0,1043,10462,12151,7803,20340>5082",5082,5,1,0,,ineligible
"0,1043,10462,12151,7803>20340",20340,4,1,0,,ineligible
"0,1043,10462,12151>7803",7803,3,1,0,,ineligible
"0,1043,10462,1558,20215,509,6677>4659",4659,6,1,0,,ineligible
"0,1043,10462,1558,20215,509>6677",6677,5,1,0,,ineligible
"0,1043,10462,1558,20215>509",509,4,1,0,,ineligible
"0,1043,10462,1558>20215",20215,3,1,0,,ineligible
"0,1043,10462,17425,6541,12160,4659>1525",1525,6,1,0,,ineligible
"0,1043,10462,17425,6541,12160>4659",4659,5,1,0,,ineligible
"0,1043,10462,17425,6541>12160",12160,4,1,0,,ineligible
"0,1043,10462,17425>6541",6541,3,1,0,,ineligible
"0,1043,10462,21246,4659,4201,6677>13039",13039,6,1,0,,ineligible
"0,1043,10462,21246,4659,4201>6677",6677,5,1,0,,ineligible
"0,1043,10462,21246,4659>4201",4201,4,1,0,,ineligible
"0,1043,10462,21246>4659",4659,3,1,0,,ineligible
"0,1043,10462,4201,4327,10111,4659>9715",9715,6,1,0,,ineligible
"0,1043,10462,4201,4327,10111>4659",4659,5,1,0,,ineligible
"0,1043,10462,4201,4327>10111",10111,4,1,0,,ineligible
"0,1043,10462,4201>4327",4327,3,1,0,,ineligible
"0,1043,10462,4659,13840,6677,1969>2546",2546,6,1,0,,ineligible
"0,1043,10462,4659,13840,6677>1969",1969,5,1,0,,ineligible
"0,1043,10462,4659,13840>6677",6677,4,1,0,,ineligible
"0,1043,10462,4659,28560,3648,5871>3239",3239,6,1,0,,ineligible
"0,1043,10462,4659,28560,3648>5871",5871,5,1,0,,ineligible
"0,1043,10462,4659,28560>3648",3648,4,1,0,,ineligible
"0,1043,10462,4659,3298,6831,1436>7518",7518,6,1,0,,ineligible
"0,1043,10462,4659,3298,6831>1436",1436,5,1,0,,ineligible
"0,1043,10462,4659,3298>6831",6831,4,1,0,,ineligible
"0,1043,10462,4659>13840",13840,3,1,0,,ineligible
"0,1043,10462,4659>28560",28560,3,1,0,,ineligible
"0,1043,10462,4659>3298",3298,3,1,0,,ineligible
"0,1043,10462,790,6823,4659,6677>3876",3876,6,1,0,,ineligible
"0,1043,10462,790,6823,4659>6677",6677,5,1,0,,ineligible
"0,1043,10462,790,6823>4659",4659,4,1,0,,ineligible
"0,1043,10462,790>6823",6823,3,1,0,,ineligible
"0,1043,10462>12151",12151,2,1,0,,ineligible
"0,1043,10462>1558",1558,2,1,0,,ineligible
"0,1043,10462>17425",17425,2,1,0,,ineligible
"0,1043,10462>21246",21246,2,1,0,,ineligible
"0,1043,10462>4201",4201,2,1,0,,ineligible
"0,1043,10462>4659",4659,2,3,1,,control
"0,1043,10462>790",790,2,1,0,,ineligible
"0,1043,1065,4494,5467,355,1231>1020",1020,6,1,0,,ineligible
"0,1043,1065,4494,5467,355>1231",1231,5,1,0,,ineligible
"0,1043,1065,4494,5467>355",355,4,1,0,,ineligible
"0,1043,1065,4494>5467",5467,3,1,0,,ineligible
"0,1043,1065>4494",4494,2,1,0,,ineligible
"0,1043,10763,17899,11501,112,4831>26126",26126,6,1,0,,ineligible
"0,1043,10763,17899,11501,112>4831",4831,5,1,0,,ineligible
"0,1043,10763,17899,11501>112",112,4,1,0,,ineligible
"0,1043,10763,17899>11501",11501,3,1,0,,ineligible
"0,1043,10763>17899",17899,2,1,0,,ineligible
"0,1043,10786,11831,6606,1871,8999>3596",3596,6,1,0,,ineligible
"0,1043,10786,11831,6606,1871>8999",8999,5,1,0,,ineligible
"0,1043,10786,11831,6606>1871",1871,4,1,0,,ineligible
"0,1043,10786,11831>6606",6606,3,1,0,,ineligible
"0,1043,10786,16056,1337,9641,3946>6606",6606,6,1,0,,ineligible
"0,1043,10786,16056,1337,9641>3946",3946,5,1,0,,ineligible
"0,1043,10786,16056,1337>9641",9641,4,1,0,,ineligible
"0,1043,10786,16056>1337",1337,3,1,0,,ineligible
"0,1043,10786>11831",11831,2,1,0,,ineligible
"0,1043,10786>16056",16056,2,1,0,,ineligible
"0,1043,10813,11259,7304,7999,5511>5041",5041,6,1,0,,ineligible
"0,1043,10813,11259,7304,7999>5511",5511,5,1,0,,ineligible
"0,1043,10813,11259,7304>7999",7999,4,1,0,,ineligible
"0,1043,10813,11259>7304",7304,3,1,0,,ineligible
"0,1043,10813,7999,5511,11259,7304>5041",5041,6,1,0,,ineligible
"0,1043,10813,7999,5511,11259>7304",7304,5,1,0,,ineligible
"0,1043,10813,7999,5511>11259",11259,4,1,0,,ineligible
"0,1043,10813,7999>5511",5511,3,1,0,,ineligible
"0,1043,10813>11259",11259,2,1,0,,ineligible
"0,1043,10813>7999",7999,2,1,0,,ineligible
"0,1043,10850,21878,18448,23407,16097>1789",1789,6,1,0,,ineligible
"0,1043,10850,21878,18448,23407>16097",16097,5,1,0,,ineligible
"0,1043,10850,21878,18448>23407",23407,4,1,0,,ineligible
"0,1043,10850,21878>18448",18448,3,1,0,,ineligible
"0,1043,10850,28733,21878,23407,6860>16097",16097,6,1,0,,ineligible
"0,1043,10850,28733,21878,23407>6860",6860,5,1,0,,ineligible
"0,1043,10850,28733,21878>23407",23407,4,1,0,,ineligible
"0,1043,10850,28733>21878",21878,3,1,0,,ineligible
"0,1043,10850>21878",21878,2,1,0,,ineligible
"0,1043,10850>28733",28733,2,1,0,,ineligible
"0,1043,1126,21185,2031,2328,986>1905",1905,6,1,0,,ineligible
"0,1043,1126,21185,2031,2328>986",986,5,1,0,,ineligible
"0,1043,1126,21185,2031>2328",2328,4,1,0,,ineligible
"0,1043,1126,21185>2031",2031,3,1,0,,ineligible
"0,1043,1126>21185",21185,2,1,0,,ineligible
"0,1043,11290,24787,12411,14098,28857>1448",1448,6,1,0,,ineligible
"0,1043,11290,24787,12411,14098>28857",28857,5,1,0,,ineligible
"0,1043,11290,24787,12411>14098",14098,4,1,0,,ineligible
"0,1043,11290,24787>12411",12411,3,1,0,,ineligible
"0,1043,11290>24787",24787,2,1,0,,ineligible
"0,1043,11457,17712,249,2724,3040>447",447,6,1,0,,ineligible
"0,1043,11457,17712,249,2724>3040",3040,5,1,0,,ineligible
"0,1043,11457,17712,249>2724",2724,4,1,0,,ineligible
"0,1043,11457,17712>249",249,3,1,0,,ineligible
"0,1043,11457,4671,5566,1498,6958>564",564,6,1,0,,ineligible
"0,1043,11457,4671,5566,1498>6958",6958,5,1,0,,ineligible
"0,1043,11457,4671,5566>1498",1498,4,1,0,,ineligible
"0,1043,11457,4671>5566",5566,3,1,0,,ineligible
"0,1043,11457>17712",17712,2,1,0,,ineligible
"0,1043,11457>4671",4671,2,1,0,,ineligible
"0,1043,11709,5470,2093,14732,9148>21237",21237,6,1,0,,ineligible
"0,1043,11709,5470,2093,14732>9148",9148,5,1,0,,ineligible
"0,1043,11709,5470,2093>14732",14732,4,1,0,,ineligible
"0,1043,11709,5470>2093",2093,3,1,0,,ineligible
"0,1043,11709>5470",5470,2,1,0,,ineligible
"0,1043,12057,1618,4371,11525,15184>13996",13996,6,1,0,,ineligible
"0,1043,12057,1618,4371,11525>15184",15184,5,1,0,,ineligible
"0,1043,12057,1618,4371>11525",11525,4,1,0,,ineligible
"0,1043,12057,1618>4371",4371,3,1,0,,ineligible
"0,1043,12057>1618",1618,2,1,0,,ineligible
"0,1043,12065,1564,630,2110,26175>4590",4590,6,1,0,,ineligible
"0,1043,12065,1564,630,2110>26175",26175,5,1,0,,ineligible
"0,1043,12065,1564,630>2110",2110,4,1,0,,ineligible
"0,1043,12065,1564>630",630,3,1,0,,ineligible
"0,1043,12065,2110,31990,630,19513>2769",2769,6,1,0,,ineligible
"0,1043,12065,2110,31990,630>19513",19513,5,1,0,,ineligible
"0,1043,12065,2110,31990>630",630,4,1,0,,ineligible
"0,1043,12065,2110>31990",31990,3,1,0,,ineligible
"0,1043,12065,4371,630,230,2110>5400",5400,6,1,0,,ineligible
"0,1043,12065,4371,630,230>2110",2110,5,1,0,,ineligible
"0,1043,12065,4371,630>230",230,4,1,0,,ineligible
"0,1043,12065,4371>630",630,3,1,0,,ineligible
"0,1043,12065>1564",1564,2,1,0,,ineligible
"0,1043,12065>2110",2110,2,1,0,,ineligible
"0,1043,12065>4371",4371,2,1,0,,ineligible
"0,1043,12211,29870,920,12494,19836>9417",9417,6,1,0,,ineligible
"0,1043,12211,29870,920,12494>19836",19836,5,1,0,,ineligible
"0,1043,12211,29870,920>12494",12494,4,1,0,,ineligible
"0,1043,12211,29870>920",920,3,1,0,,ineligible
"0,1043,12211,3741,9361,3380,18858>2932",2932,6,1,0,,ineligible
"0,1043,12211,3741,9361,3380>18858",18858,5,1,0,,ineligible
"0,1043,12211,3741,9361>3380",3380,4,1,0,,ineligible
"0,1043,12211,3741>9361",9361,3,1,0,,ineligible
"0,1043,12211>29870",29870,2,1,0,,ineligible
"0,1043,12211>3741",3741,2,1,0,,ineligible
"0,1043,12775,8953,1304,6860,31581>197",197,6,1,0,,ineligible
"0,1043,12775,8953,1304,6860>31581",31581,5,1,0,,ineligible
"0,1043,12775,8953,1304>6860",6860,4,1,0,,ineligible
"0,1043,12775,8953>1304",1304,3,1,0,,ineligible
"0,1043,12775>8953",8953,2,1,0,,ineligible
"0,1043,12815,17719,6784,6606,3912>11292",11292,6,1,0,,ineligible
"0,1043,12815,17719,6784,6606>3912",3912,5,1,0,,ineligible
"0,1043,12815,17719,6784>6606",6606,4,1,0,,ineligible
"0,1043,12815,17719>6784",6784,3,1,0,,ineligible
"0,1043,12815>17719",17719,2,1,0,,ineligible
"0,1043,12829,21501,348,2982,64>3368",3368,6,1,0,,ineligible
"0,1043,12829,21501,348,2982>64",64,5,1,0,,ineligible
"0,1043,12829,21501,348>2982",2982,4,1,0,,ineligible
"0,1043,12829,21501>348",348,3,1,0,,ineligible
