sample_key,user_id,target_group,depth,gold_token,edge_id,legal_child_count,branch_bin,descendant_items,same_token_node_count,semantic_distance,cohort,gold_margin
A1002UBC6V258U:3:B001W30D2O,A1002UBC6V258U,head,0,14527,0>14527,30,9+,388,1,,control,-0.8503265380859375
A1002UBC6V258U:3:B001W30D2O,A1002UBC6V258U,head,1,3822,"0,14527>3822",19,9+,55,1,,control,4.070766448974609
A1002UBC6V258U:3:B001W30D2O,A1002UBC6V258U,head,2,3422,"0,14527,3822>3422",49,9+,2,0,,ineligible,4.823444366455078
A1002UBC6V258U:3:B001W30D2O,A1002UBC6V258U,head,3,7692,"0,14527,3822,3422>7692",2,2,1,0,,ineligible,10.73155403137207
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,head,0,3203,0>3203,30,9+,353,1,,control,0.8191032409667969
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,head,1,15721,"0,3203>15721",28,9+,9,2,0.007780551910400391,control,3.345977783203125
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,head,2,20527,"0,3203,15721>20527",8,5-8,1,0,,ineligible,0.28489112854003906
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,0,2948,0>2948,30,9+,297,1,,control,2.3757858276367188
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,1,1312,"0,2948>1312",27,9+,63,1,,control,1.4516487121582031
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,2,12593,"0,2948,1312>12593",49,9+,1,0,,ineligible,8.212318420410156
A105S56ODHGJEK:1:B001446E4W,A105S56ODHGJEK,head,0,467,0>467,30,9+,1159,1,,control,1.3413429260253906
A105S56ODHGJEK:1:B001446E4W,A105S56ODHGJEK,head,1,3186,"0,467>3186",24,9+,14,1,,control,-0.4464874267578125
A105S56ODHGJEK:1:B001446E4W,A105S56ODHGJEK,head,2,6686,"0,467,3186>6686",11,9+,4,1,,control,6.346452713012695
A105S56ODHGJEK:1:B001446E4W,A105S56ODHGJEK,head,4,1575,"0,467,3186,6686,1208>1575",2,2,3,1,,control,18.845844268798828
A105S56ODHGJEK:1:B001446E4W,A105S56ODHGJEK,head,5,632,"0,467,3186,6686,1208,1575>632",3,3-4,1,0,,ineligible,6.580238342285156
A108UJC8MQ0REU:3:B005XUI71G,A108UJC8MQ0REU,head,0,2244,0>2244,30,9+,345,1,,control,-1.3146171569824219
A108UJC8MQ0REU:3:B005XUI71G,A108UJC8MQ0REU,head,1,21242,"0,2244>21242",29,9+,4,2,0.0081864595413208,control,-1.6868171691894531
A108UJC8MQ0REU:3:B005XUI71G,A108UJC8MQ0REU,head,2,3197,"0,2244,21242>3197",3,3-4,2,0,,ineligible,4.513790130615234
A108UJC8MQ0REU:3:B005XUI71G,A108UJC8MQ0REU,head,4,17766,"0,2244,21242,3197,16780>17766",2,2,1,0,,ineligible,3.6767044067382812
A10CGTF3GZ2V65:9:B0043BYOO0,A10CGTF3GZ2V65,head,0,5364,0>5364,30,9+,319,1,,control,-1.15789794921875
A10CGTF3GZ2V65:9:B0043BYOO0,A10CGTF3GZ2V65,head,1,29072,"0,5364>29072",25,9+,24,1,,control,-0.5554924011230469
A10CGTF3GZ2V65:9:B0043BYOO0,A10CGTF3GZ2V65,head,2,23835,"0,5364,29072>23835",18,9+,3,1,,control,-0.4588947296142578
A10CGTF3GZ2V65:9:B0043BYOO0,A10CGTF3GZ2V65,head,3,2267,"0,5364,29072,23835>2267",3,3-4,1,0,,ineligible,3.138580322265625
A10MZ1W1M8LIBJ:1:B00386099K,A10MZ1W1M8LIBJ,head,0,14527,0>14527,30,9+,388,1,,control,2.4630165100097656
A10MZ1W1M8LIBJ:1:B00386099K,A10MZ1W1M8LIBJ,head,1,5236,"0,14527>5236",19,9+,51,1,,control,0.16641616821289062
A10MZ1W1M8LIBJ:1:B00386099K,A10MZ1W1M8LIBJ,head,2,12397,"0,14527,5236>12397",37,9+,1,0,,ineligible,5.070035934448242
A10QFJFUFGYRF8:1:B0089RPUHO,A10QFJFUFGYRF8,head,0,14527,0>14527,30,9+,388,1,,control,-0.7504425048828125
A10QFJFUFGYRF8:1:B0089RPUHO,A10QFJFUFGYRF8,head,1,5612,"0,14527>5612",19,9+,51,1,,control,-2.3428268432617188
A10QFJFUFGYRF8:1:B0089RPUHO,A10QFJFUFGYRF8,head,2,7022,"0,14527,5612>7022",35,9+,7,2,0.012134432792663574,control,-1.5236930847167969
A10QFJFUFGYRF8:1:B0089RPUHO,A10QFJFUFGYRF8,head,3,20901,"0,14527,5612,7022>20901",7,5-8,1,0,,ineligible,-0.8667736053466797
A10YHH9ONC9I5Q:3:1616611715,A10YHH9ONC9I5Q,head,0,467,0>467,30,9+,1159,1,,control,1.2978935241699219
A10YHH9ONC9I5Q:3:1616611715,A10YHH9ONC9I5Q,head,1,17996,"0,467>17996",24,9+,15,1,,control,-3.3306655883789062
A10YHH9ONC9I5Q:3:1616611715,A10YHH9ONC9I5Q,head,2,13133,"0,467,17996>13133",11,9+,2,0,,ineligible,1.9401893615722656
A10YHH9ONC9I5Q:3:1616611715,A10YHH9ONC9I5Q,head,3,4519,"0,467,17996,13133>4519",2,2,1,0,,ineligible,4.339486122131348
A10ZOXRR0QMZ9Z:1:B001EB9F3C,A10ZOXRR0QMZ9Z,head,0,25636,0>25636,30,9+,259,1,,control,-2.099987030029297
A10ZOXRR0QMZ9Z:1:B001EB9F3C,A10ZOXRR0QMZ9Z,head,1,2100,"0,25636>2100",27,9+,11,1,,control,0.3541221618652344
A10ZOXRR0QMZ9Z:1:B001EB9F3C,A10ZOXRR0QMZ9Z,head,2,3184,"0,25636,2100>3184",7,5-8,1,0,,ineligible,-0.1729755401611328
A113YFEZBA50IM:6:B006WAJM1A,A113YFEZBA50IM,head,0,11604,0>11604,30,9+,220,1,,control,4.347087860107422
A113YFEZBA50IM:6:B006WAJM1A,A113YFEZBA50IM,head,1,2482,"0,11604>2482",29,9+,9,1,,control,-1.2327919006347656
A113YFEZBA50IM:6:B006WAJM1A,A113YFEZBA50IM,head,2,699,"0,11604,2482>699",9,9+,1,0,,ineligible,2.5506057739257812
A115CQQ4JLAVB0:4:B0032O6TTW,A115CQQ4JLAVB0,tail,0,21677,0>21677,30,9+,202,1,,control,1.2107124328613281
A115CQQ4JLAVB0:4:B0032O6TTW,A115CQQ4JLAVB0,tail,1,14580,"0,21677>14580",25,9+,8,2,0.012032032012939453,control,-1.5666732788085938
A115CQQ4JLAVB0:4:B0032O6TTW,A115CQQ4JLAVB0,tail,2,15722,"0,21677,14580>15722",5,5-8,4,1,,control,3.559422492980957
A115CQQ4JLAVB0:4:B0032O6TTW,A115CQQ4JLAVB0,tail,3,9735,"0,21677,14580,15722>9735",2,2,1,0,,ineligible,4.560184478759766
A117PQAH6ZLJ97:2:B000LT1D56,A117PQAH6ZLJ97,head,0,1871,0>1871,30,9+,482,1,,control,-0.6386756896972656
A117PQAH6ZLJ97:2:B000LT1D56,A117PQAH6ZLJ97,head,1,1394,"0,1871>1394",29,9+,19,2,0.0027943849563598633,control,-2.8899688720703125
A117PQAH6ZLJ97:2:B000LT1D56,A117PQAH6ZLJ97,head,2,17056,"0,1871,1394>17056",14,9+,1,0,,ineligible,1.1469030380249023
A11DBQ7424WD7W:3:B001W30D2O,A11DBQ7424WD7W,head,0,14527,0>14527,30,9+,388,1,,control,1.0500297546386719
A11DBQ7424WD7W:3:B001W30D2O,A11DBQ7424WD7W,head,1,3822,"0,14527>3822",19,9+,55,1,,control,1.7613029479980469
A11DBQ7424WD7W:3:B001W30D2O,A11DBQ7424WD7W,head,2,3422,"0,14527,3822>3422",49,9+,2,0,,ineligible,1.6387901306152344
A11DBQ7424WD7W:3:B001W30D2O,A11DBQ7424WD7W,head,3,7692,"0,14527,3822,3422>7692",2,2,1,0,,ineligible,4.979632377624512
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,0,14295,0>14295,30,9+,759,1,,control,2.1244735717773438
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,1,384,"0,14295>384",44,9+,10,1,,control,-0.3722114562988281
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,2,18283,"0,14295,384>18283",8,5-8,3,1,,control,4.881885528564453
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,3,10488,"0,14295,384,18283>10488",2,2,2,0,,ineligible,19.706281661987305
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,4,6330,"0,14295,384,18283,10488>6330",2,2,1,0,,ineligible,8.369657516479492
A11OTLEDSW8ZXD:4:B006ROJJE6,A11OTLEDSW8ZXD,head,0,9062,0>9062,30,9+,203,1,,control,-0.7302093505859375
A11OTLEDSW8ZXD:4:B006ROJJE6,A11OTLEDSW8ZXD,head,1,1501,"0,9062>1501",26,9+,17,1,,control,-0.4681968688964844
A11OTLEDSW8ZXD:4:B006ROJJE6,A11OTLEDSW8ZXD,head,2,9079,"0,9062,1501>9079",14,9+,3,2,0.026671528816223145,control,5.420942306518555
A11OTLEDSW8ZXD:4:B006ROJJE6,A11OTLEDSW8ZXD,head,5,632,"0,9062,1501,9079,25226,7328>632",3,3-4,1,0,,ineligible,-0.5659952163696289
