edge_id,token,depth,descendant_items,same_token_node_count,semantic_distance,cohort
"0,1041,1123,13514,12925>900",900,4,1,0,,ineligible
"0,1041,1123,13514>12925",12925,3,1,0,,ineligible
"0,1041,1123,13863,6585>3035",3035,4,1,0,,ineligible
"0,1041,1123,13863>6585",6585,3,1,0,,ineligible
"0,1041,1123,27375,5902>24754",24754,4,1,0,,ineligible
"0,1041,1123,27375>5902",5902,3,1,0,,ineligible
"0,1041,1123,28368,27375>7274",7274,4,1,0,,ineligible
"0,1041,1123,28368>27375",27375,3,1,0,,ineligible
"0,1041,1123,6336,28548,10183>536",536,5,1,0,,ineligible
"0,1041,1123,6336,28548,10183>632",632,5,1,0,,ineligible
"0,1041,1123,6336,28548>10183",10183,4,2,0,,ineligible
"0,1041,1123,6336>28548",28548,3,2,0,,ineligible
"0,1041,1123>13514",13514,2,1,0,,ineligible
"0,1041,1123>13863",13863,2,1,0,,ineligible
"0,1041,1123>27375",27375,2,1,0,,ineligible
"0,1041,1123>28368",28368,2,1,0,,ineligible
"0,1041,1123>6336",6336,2,2,0,,ineligible
"0,1041,14580,13631,13720>2461",2461,4,1,0,,ineligible
"0,1041,14580,13631,19400>2461",2461,4,1,0,,ineligible
"0,1041,14580,13631,2461,13720>536",536,5,1,0,,ineligible
"0,1041,14580,13631,2461,13720>632",632,5,1,0,,ineligible
"0,1041,14580,13631,2461>13720",13720,4,2,0,,ineligible
"0,1041,14580,13631,6290,924>536",536,5,1,0,,ineligible
"0,1041,14580,13631,6290,924>632",632,5,1,0,,ineligible
"0,1041,14580,13631,6290>924",924,4,2,0,,ineligible
"0,1041,14580,13631>13720",13720,3,1,0,,ineligible
"0,1041,14580,13631>19400",19400,3,1,0,,ineligible
"0,1041,14580,13631>2461",2461,3,2,0,,ineligible
"0,1041,14580,13631>6290",6290,3,2,0,,ineligible
"0,1041,14580,2565,2729>4698",4698,4,1,0,,ineligible
"0,1041,14580,2565>2729",2729,3,1,0,,ineligible
"0,1041,14580,3997,2565>2729",2729,4,1,0,,ineligible
"0,1041,14580,3997>2565",2565,3,1,0,,ineligible
"0,1041,14580,8240,4203>8514",8514,4,1,0,,ineligible
"0,1041,14580,8240>4203",4203,3,1,0,,ineligible
"0,1041,14580>13631",13631,2,6,1,,control
"0,1041,14580>2565",2565,2,1,0,,ineligible
"0,1041,14580>3997",3997,2,1,0,,ineligible
"0,1041,14580>8240",8240,2,1,0,,ineligible
"0,1041,14741,12593,10203,3131>536",536,5,1,0,,ineligible
"0,1041,14741,12593,10203,3131>632",632,5,1,0,,ineligible
"0,1041,14741,12593,10203>3131",3131,4,2,0,,ineligible
"0,1041,14741,12593>10203",10203,3,2,0,,ineligible
"0,1041,14741,13288,4748>27366",27366,4,1,0,,ineligible
"0,1041,14741,13288>4748",4748,3,1,0,,ineligible
"0,1041,14741,2366,17396>2812",2812,4,1,0,,ineligible
"0,1041,14741,2366>17396",17396,3,1,0,,ineligible
"0,1041,14741,30322,17086>7524",7524,4,1,0,,ineligible
"0,1041,14741,30322,225>8637",8637,4,1,0,,ineligible
"0,1041,14741,30322>17086",17086,3,1,0,,ineligible
"0,1041,14741,30322>225",225,3,1,0,,ineligible
"0,1041,14741,3313,7310>3005",3005,4,1,0,,ineligible
"0,1041,14741,3313>7310",7310,3,1,0,,ineligible
"0,1041,14741,4748,2153>649",649,4,1,0,,ineligible
"0,1041,14741,4748>2153",2153,3,1,0,,ineligible
"0,1041,14741,4987,18612>22445",22445,4,1,0,,ineligible
"0,1041,14741,4987>18612",18612,3,1,0,,ineligible
"0,1041,14741>12593",12593,2,2,0,,ineligible
"0,1041,14741>13288",13288,2,1,0,,ineligible
"0,1041,14741>2366",2366,2,1,0,,ineligible
"0,1041,14741>30322",30322,2,2,0,,ineligible
"0,1041,14741>3313",3313,2,1,0,,ineligible
"0,1041,14741>4748",4748,2,1,0,,ineligible
"0,1041,14741>4987",4987,2,1,0,,ineligible
"0,1041,15886,10838,11325>3856",3856,4,1,0,,ineligible
