set_id,depth,current_token,assigned_token,descendant_items,current_own_weight,assigned_own_weight,current_margin,assigned_margin
5feceb66ffc86f38,0,387,387,234,0.11280080954854656,0.11280080954854656,0.09844885125738463,0.09844885125738463
5feceb66ffc86f38,0,467,1476,1159,0.09376204923217893,0.06507591438588985,0.024657150839304254,0.05395354507356794
5feceb66ffc86f38,0,740,740,1209,0.10019754592479525,0.10019754592479525,-0.016304391738922244,-0.016304391738922244
5feceb66ffc86f38,0,1041,1041,628,0.12726953141497307,0.12726953141497307,0.013460403758527736,0.013460403758527736
5feceb66ffc86f38,0,1191,1191,33,0.17996199154128192,0.17996199154128192,0.1695413804383756,0.1695413804383756
5feceb66ffc86f38,0,1871,1871,482,0.08026256578249967,0.08026256578249967,0.04685125449948825,0.04685125449948825
5feceb66ffc86f38,0,2100,10,1270,0.030140859086183015,0.1408857096607572,-0.033088329189646354,-0.013531943179172307
5feceb66ffc86f38,0,2244,2244,345,0.08404253572311647,0.08404253572311647,0.03280486288826019,0.03280486288826019
5feceb66ffc86f38,0,2341,2341,490,0.09996606841552347,0.09996606841552347,0.09551475608769112,0.09551475608769112
5feceb66ffc86f38,0,2412,2412,354,0.14949439597891404,0.14949439597891404,0.14208031518156447,0.14208031518156447
5feceb66ffc86f38,0,2948,2948,297,0.09389320508549612,0.09389320508549612,0.05555943725495752,0.05555943725495752
5feceb66ffc86f38,0,3127,3127,700,0.13437492651899027,0.13437492651899027,0.08016023852754256,0.08016023852754256
5feceb66ffc86f38,0,3186,19121,268,0.13862236112693033,0.14075566808544093,0.10186302997598884,0.11321264002389472
5feceb66ffc86f38,0,3203,3203,353,0.10977829824784158,0.10977829824784158,0.02119774486928966,0.02119774486928966
5feceb66ffc86f38,0,4183,4183,157,0.10027193344253386,0.10027193344253386,0.08350251227572741,0.08350251227572741
5feceb66ffc86f38,0,5364,5364,319,0.10413365599637754,0.10413365599637754,0.09547898402382655,0.09547898402382655
5feceb66ffc86f38,0,9062,9062,203,0.4216148608336615,0.4216148608336615,0.3101709986264102,0.3101709986264102
5feceb66ffc86f38,0,11109,5449,320,0.06975390318720938,0.06669881704634018,-0.01279143329847636,0.03259868062683924
5feceb66ffc86f38,0,11604,11604,220,0.24122722370715652,0.24122722370715652,0.23198011772452634,0.23198011772452634
5feceb66ffc86f38,0,12603,12603,78,0.35353133995421204,0.35353133995421204,0.3530290869797643,0.3530290869797643
5feceb66ffc86f38,0,14295,14295,759,0.22932587245181038,0.22932587245181038,0.04864681540183621,0.04864681540183621
5feceb66ffc86f38,0,14351,14351,196,0.14194651059364521,0.14194651059364521,0.13981102047292363,0.13981102047292363
5feceb66ffc86f38,0,14527,14527,388,0.21137769071201018,0.21137769071201018,0.20906123036789045,0.20906123036789045
5feceb66ffc86f38,0,16352,52,180,0.19011218556038026,0.2624052192010019,0.18757750455497166,0.21699824908132098
5feceb66ffc86f38,0,17582,17582,408,0.14267626695954078,0.14267626695954078,0.11368928640695904,0.11368928640695904
5feceb66ffc86f38,0,19819,19819,109,0.24700770539434386,0.24700770539434386,0.2465129633897706,0.2465129633897706
5feceb66ffc86f38,0,19903,19903,192,0.16033063769645345,0.16033063769645345,0.15990465368297904,0.15990465368297904
5feceb66ffc86f38,0,21677,21677,202,0.11828509648511336,0.11828509648511336,0.11454989258286781,0.11454989258286781
5feceb66ffc86f38,0,25636,25636,259,0.09976101338715859,0.09976101338715859,0.09468490818565538,0.09468490818565538
5feceb66ffc86f38,0,26190,26190,112,0.26748567462019224,0.26748567462019224,0.25768212774476285,0.25768212774476285
37dfe8663b4bdd9a,1,303,10,161,0.193558441850615,0.16154726314791804,-0.07487649359759335,-0.021297240358811476
37dfe8663b4bdd9a,1,1394,1394,44,0.17445826067004347,0.17445826067004347,0.17445826067004347,0.17445826067004347
37dfe8663b4bdd9a,1,1483,1483,12,0.2312163691863391,0.2312163691863391,0.22716280685769447,0.22716280685769447
37dfe8663b4bdd9a,1,2000,2000,9,0.3317086325116375,0.3317086325116375,0.3317086325116375,0.3317086325116375
37dfe8663b4bdd9a,1,2005,2005,22,0.15222301275156688,0.15222301275156688,0.06885614972726362,0.06885614972726362
37dfe8663b4bdd9a,1,2738,2738,64,0.22398164434806064,0.22398164434806064,0.08908193895817498,0.08908193895817498
37dfe8663b4bdd9a,1,2774,2774,31,0.31057826709469183,0.31057826709469183,0.29872898425688227,0.29872898425688227
37dfe8663b4bdd9a,1,2917,2917,52,0.3986962042409569,0.3986962042409569,0.3110159915399831,0.3110159915399831
37dfe8663b4bdd9a,1,4223,4223,49,0.2624098604799371,0.2624098604799371,0.25063509212803703,0.25063509212803703
37dfe8663b4bdd9a,1,4595,4595,26,0.2595086093275162,0.2595086093275162,0.24494468245905127,0.24494468245905127
37dfe8663b4bdd9a,1,7171,7171,18,0.3704359886659127,0.3704359886659127,0.36600646925928504,0.36600646925928504
37dfe8663b4bdd9a,1,10386,10386,9,0.37304883684267054,0.37304883684267054,0.37304883684267054,0.37304883684267054
37dfe8663b4bdd9a,1,12522,12522,6,0.47422201785700213,0.47422201785700213,0.46090949361915157,0.46090949361915157
37dfe8663b4bdd9a,1,14095,14095,34,0.34393850112415625,0.34393850112415625,0.08990632112898472,0.08990632112898472
37dfe8663b4bdd9a,1,18179,4554,8,0.27614205815548537,0.338448072162454,0.26320195357956994,0.3364621898141584
37dfe8663b4bdd9a,1,18458,10159,39,0.07637758096285262,0.0663488365520424,-0.03548070233756763,0.05154287430884982
37dfe8663b4bdd9a,1,21622,21622,25,0.10348070756600354,0.10348070756600354,0.08368072449373239,0.08368072449373239
37dfe8663b4bdd9a,1,22215,22215,53,0.31499227867646484,0.31499227867646484,0.31499227867646484,0.31499227867646484
37dfe8663b4bdd9a,1,23216,23216,5,0.3595876406969016,0.3595876406969016,0.3595876406969016,0.3595876406969016
37dfe8663b4bdd9a,1,24078,24078,8,0.39592983053614056,0.39592983053614056,0.39592983053614056,0.39592983053614056
37dfe8663b4bdd9a,1,26141,26141,25,0.49906063964143366,0.49906063964143366,0.47067361041841677,0.47067361041841677
28746209e19a3cfe,2,108,108,1,0.5806256126872558,0.5806256126872558,0.5806256126872558,0.5806256126872558
28746209e19a3cfe,2,142,142,2,0.30752031225515475,0.30752031225515475,0.30752031225515475,0.30752031225515475
28746209e19a3cfe,2,1712,29209,2,0.3470393354652137,0.1927390967374,0.037715977886251584,0.1927390967374
28746209e19a3cfe,2,2296,2296,1,0.30677287608637877,0.30677287608637877,0.30677287608637877,0.30677287608637877
28746209e19a3cfe,2,2951,2951,1,0.36901882575030914,0.36901882575030914,0.36901882575030914,0.36901882575030914
28746209e19a3cfe,2,3143,3143,3,0.5507162394175433,0.5507162394175433,0.5507162394175433,0.5507162394175433
28746209e19a3cfe,2,4907,4907,2,0.4079313247649573,0.4079313247649573,0.4079313247649573,0.4079313247649573
28746209e19a3cfe,2,6090,2436,1,0.4541616669483721,0.5083378038727694,0.14549724203109565,0.23195024003385778
28746209e19a3cfe,2,6103,6103,1,0.4396410031141475,0.4396410031141475,0.4396410031141475,0.4396410031141475
28746209e19a3cfe,2,6812,5723,1,0.1824195488477416,0.19038321313338025,0.1824195488477416,0.19038321313338025
28746209e19a3cfe,2,7284,7284,1,0.35857025404894943,0.35857025404894943,0.35857025404894943,0.35857025404894943
28746209e19a3cfe,2,8205,8205,1,0.2726414492374362,0.2726414492374362,0.2726414492374362,0.2726414492374362
28746209e19a3cfe,2,8782,1207,1,0.34294705861759023,0.40255533399155896,0.23777556661218952,0.40255533399155896
28746209e19a3cfe,2,8818,8818,1,0.35343448429613045,0.35343448429613045,0.35343448429613045,0.35343448429613045
28746209e19a3cfe,2,10003,10003,3,0.3748861548461212,0.3748861548461212,0.3748861548461212,0.3748861548461212
28746209e19a3cfe,2,10657,10657,1,0.34095321158873043,0.34095321158873043,0.34095321158873043,0.34095321158873043
28746209e19a3cfe,2,10754,10754,2,0.3035883747540008,0.3035883747540008,0.16074790612169906,0.16074790612169906
28746209e19a3cfe,2,14853,14853,1,0.4060850576839098,0.4060850576839098,0.4060850576839098,0.4060850576839098
28746209e19a3cfe,2,17132,17132,3,0.4231417436980379,0.4231417436980379,-0.03897880148598881,-0.03897880148598881
28746209e19a3cfe,2,17815,17815,6,0.34868402449993197,0.34868402449993197,0.34868402449993197,0.34868402449993197
28746209e19a3cfe,2,18233,18233,1,0.39892585966771044,0.39892585966771044,0.29652789047198547,0.29652789047198547
28746209e19a3cfe,2,28042,21820,1,0.3383453113384196,0.47666978502066576,0.3383453113384196,0.38099958371984777
28746209e19a3cfe,2,29669,31294,1,0.2866758747571114,0.35989502125605155,0.2866758747571114,0.35989502125605155
28746209e19a3cfe,2,29777,29777,1,0.3880896947559982,0.3880896947559982,0.3880896947559982,0.3880896947559982
a934f1a8321f30cc,3,1712,2704,1,0.30492989796856546,0.20615484891421393,0.0549630448171082,0.20615484891421393
a934f1a8321f30cc,3,12917,12917,1,0.4091268712051476,0.4091268712051476,0.4091268712051476,0.4091268712051476
f81932c1070494a8,1,953,953,8,0.22808587359915247,0.22808587359915247,0.21065627454129585,0.21065627454129585
f81932c1070494a8,1,1026,1026,31,0.2793456970686383,0.2793456970686383,0.13257566300730128,0.13257566300730128
f81932c1070494a8,1,1463,1463,22,0.33592172522600555,0.33592172522600555,0.16296236235390524,0.16296236235390524
f81932c1070494a8,1,1490,1490,6,0.33689340795672074,0.33689340795672074,0.3356164726120634,0.3356164726120634
f81932c1070494a8,1,1999,1999,4,0.3212420896312603,0.3212420896312603,0.28847093728578516,0.28847093728578516
f81932c1070494a8,1,2160,2160,27,0.24007330532159665,0.24007330532159665,0.17224372477332978,0.17224372477332978
f81932c1070494a8,1,2754,2754,90,0.22200851068543717,0.22200851068543717,0.02272216141945041,0.02272216141945041
f81932c1070494a8,1,3368,3905,5,0.17792285617512146,0.17954749294502959,0.14564222602916188,0.17098191058865872
f81932c1070494a8,1,3481,3481,4,0.31602926920363994,0.31602926920363994,0.31602926920363994,0.31602926920363994
f81932c1070494a8,1,6029,6029,25,0.25907243459905915,0.25907243459905915,0.05182638580904081,0.05182638580904081
f81932c1070494a8,1,7325,7325,4,0.25309601197967313,0.25309601197967313,0.2490073150898242,0.2490073150898242
f81932c1070494a8,1,7340,7340,11,0.1979711536719844,0.1979711536719844,0.1716536381926927,0.1716536381926927
f81932c1070494a8,1,7429,7429,19,0.1647782708512942,0.1647782708512942,0.12787807742631108,0.12787807742631108
f81932c1070494a8,1,9288,9288,5,0.3962807057155254,0.3962807057155254,0.39017417503322793,0.39017417503322793
f81932c1070494a8,1,9502,9502,8,0.23290475761711055,0.23290475761711055,0.23290475761711055,0.23290475761711055
f81932c1070494a8,1,11991,11991,3,0.35417499614128445,0.35417499614128445,0.29943431954645766,0.29943431954645766
f81932c1070494a8,1,12948,12948,5,0.4232596434908315,0.4232596434908315,0.4187302253596079,0.4187302253596079
f81932c1070494a8,1,14053,1751,6,0.14375725945016632,0.09839798813563552,0.007377958288691644,0.062074572583790906
f81932c1070494a8,1,14421,14421,65,0.21526465352335186,0.21526465352335186,0.02458147532147123,0.02458147532147123
f81932c1070494a8,1,23585,23585,6,0.38983975035038676,0.38983975035038676,0.3674772141121069,0.3674772141121069
f81de39c797d035b,2,399,399,1,0.3918093233310703,0.3918093233310703,0.06214308380101141,0.06214308380101141
f81de39c797d035b,2,659,659,1,0.36275225385451804,0.36275225385451804,0.12098727473320495,0.12098727473320495
f81de39c797d035b,2,969,969,1,0.3872797012214246,0.3872797012214246,0.08759563357600259,0.08759563357600259
f81de39c797d035b,2,1026,11989,1,0.24399801410876149,0.14911858908079773,0.0038049282897619774,0.14911858908079773
f81de39c797d035b,2,1130,1130,1,0.3080038304945188,0.3080038304945188,0.3080038304945188,0.3080038304945188
f81de39c797d035b,2,1549,1549,1,0.27623596716260057,0.27623596716260057,0.27623596716260057,0.27623596716260057
f81de39c797d035b,2,1817,1817,1,0.32990484422840344,0.32990484422840344,0.20965152072497023,0.20965152072497023
f81de39c797d035b,2,1948,2239,1,0.36324432583914823,0.22915162106330916,-0.04133179902648232,0.2081630484886874
f81de39c797d035b,2,2029,2029,2,0.3744349081205593,0.3744349081205593,0.35282380005795877,0.35282380005795877
f81de39c797d035b,2,2191,2191,1,0.255003854473212,0.255003854473212,0.14596748060425604,0.14596748060425604
f81de39c797d035b,2,2210,2210,1,0.23784557224283465,0.23784557224283465,0.1185398467307585,0.1185398467307585
f81de39c797d035b,2,2494,2494,1,0.4048485353741215,0.4048485353741215,0.4048485353741215,0.4048485353741215
f81de39c797d035b,2,3136,17124,1,0.3490059288113118,0.295078707299931,0.0744542429706061,0.1458219049485301
f81de39c797d035b,2,3208,2110,1,0.4182796355192492,0.4182796355192492,0.3938697936508686,0.3938697936508686
f81de39c797d035b,2,3225,3225,2,0.42182821221739497,0.42182821221739497,0.42182821221739497,0.42182821221739497
f81de39c797d035b,2,3368,3368,1,0.3017980730656231,0.3017980730656231,0.0088860692755251,0.0088860692755251
f81de39c797d035b,2,3466,3466,1,0.4257235145533256,0.4257235145533256,0.2842536737704718,0.2842536737704718
f81de39c797d035b,2,3591,3591,1,0.29986886065013396,0.29986886065013396,0.29986886065013396,0.29986886065013396
f81de39c797d035b,2,3800,3800,1,0.2743816570317055,0.2743816570317055,0.2743816570317055,0.2743816570317055
f81de39c797d035b,2,3832,3832,1,0.4072210949638453,0.4072210949638453,0.4072210949638453,0.4072210949638453
f81de39c797d035b,2,4002,4002,1,0.2949061752825047,0.2949061752825047,0.2479267150221512,0.2479267150221512
f81de39c797d035b,2,4059,4059,1,0.5485890352073758,0.5485890352073758,0.5485890352073758,0.5485890352073758
f81de39c797d035b,2,4571,2806,1,0.3811595185153315,0.3282946920222047,0.24685479666874438,0.3282946920222047
f81de39c797d035b,2,4716,4716,1,0.5168506217766315,0.5168506217766315,0.40578020815256366,0.40578020815256366
f81de39c797d035b,2,5040,5040,1,0.3990694507893645,0.3990694507893645,0.057445234014178115,0.057445234014178115
f81de39c797d035b,2,5317,5317,1,0.4082744241146992,0.4082744241146992,0.27332491232332534,0.27332491232332534
f81de39c797d035b,2,5529,5529,1,0.30362330117739195,0.30362330117739195,0.30362330117739195,0.30362330117739195
f81de39c797d035b,2,5748,5748,2,0.4361964757179427,0.4361964757179427,0.3168620146188704,0.3168620146188704
f81de39c797d035b,2,6035,4153,1,0.18600366881916397,0.3031635227274956,0.041264085887387864,0.25429685971904165
f81de39c797d035b,2,6244,2754,1,0.2063635788825172,0.4223989878911228,0.112516160491439,-0.042585719153176826
f81de39c797d035b,2,6425,6425,1,0.22032775126453089,0.22032775126453089,0.22032775126453089,0.22032775126453089
f81de39c797d035b,2,6724,6724,1,0.40404993207951195,0.40404993207951195,0.21375435159941097,0.21375435159941097
f81de39c797d035b,2,7429,7429,1,0.30570408912494285,0.30570408912494285,0.30570408912494285,0.30570408912494285
f81de39c797d035b,2,7512,2725,1,0.24107189893468592,0.2466972979079142,-0.06817781293299466,0.2466972979079142
f81de39c797d035b,2,7620,7620,2,0.28448480751218697,0.28448480751218697,0.1763825993234358,0.1763825993234358
f81de39c797d035b,2,7656,7656,1,0.2877104709950517,0.2877104709950517,0.2877104709950517,0.2877104709950517
f81de39c797d035b,2,8019,8019,6,0.35834605399322234,0.35834605399322234,0.3180967364943218,0.3180967364943218
f81de39c797d035b,2,8416,3164,1,0.26427745799378005,0.29298158324019524,0.1041619399738363,0.194122289601401
f81de39c797d035b,2,8757,8757,1,0.41047119422852846,0.41047119422852846,0.41047119422852846,0.41047119422852846
f81de39c797d035b,2,8944,8944,1,0.4326910649899467,0.4326910649899467,0.4326910649899467,0.4326910649899467
f81de39c797d035b,2,9203,9203,3,0.4101529525302042,0.4101529525302042,0.4101529525302042,0.4101529525302042
f81de39c797d035b,2,9288,9288,1,0.5495877614067768,0.5495877614067768,0.5495877614067768,0.5495877614067768
f81de39c797d035b,2,9360,9360,1,0.3536442542763169,0.3536442542763169,0.3536442542763169,0.3536442542763169
f81de39c797d035b,2,9672,1472,1,0.3155671614275051,0.3249851123142744,0.3155671614275051,0.3249851123142744
f81de39c797d035b,2,9818,9818,1,0.42133748715855196,0.42133748715855196,0.42133748715855196,0.42133748715855196
f81de39c797d035b,2,10333,11113,1,0.38722773281098904,0.3691616119655203,0.2396006808459957,0.26360698121084003
f81de39c797d035b,2,11144,11144,1,0.6422690746299716,0.6422690746299716,0.6422690746299716,0.6422690746299716
f81de39c797d035b,2,11916,11916,1,0.37435888908672127,0.37435888908672127,0.2591226845292275,0.2591226845292275
f81de39c797d035b,2,12292,12292,3,0.5967576112790879,0.5967576112790879,0.4532617491943871,0.4532617491943871
f81de39c797d035b,2,12415,12415,1,0.5282801236512232,0.5282801236512232,0.5282801236512232,0.5282801236512232
f81de39c797d035b,2,12478,12478,2,0.2850431359679286,0.2850431359679286,0.13401400893420662,0.13401400893420662
f81de39c797d035b,2,12578,12578,1,0.28534745317201804,0.28534745317201804,0.28534745317201804,0.28534745317201804
f81de39c797d035b,2,13480,7293,1,0.2061430562263783,0.2640082395897779,0.2061430562263783,0.16319335340126556
f81de39c797d035b,2,13688,13688,1,0.4646364977833172,0.4646364977833172,0.4646364977833172,0.4646364977833172
f81de39c797d035b,2,14228,14228,1,0.3926478887686066,0.3926478887686066,0.3926478887686066,0.3926478887686066
f81de39c797d035b,2,14421,14421,1,0.3404765515765334,0.3404765515765334,-0.0009621197030174056,-0.0009621197030174056
f81de39c797d035b,2,14526,14526,1,0.4391395893210929,0.4391395893210929,0.4391395893210929,0.4391395893210929
f81de39c797d035b,2,14592,14592,1,0.2985613477938238,0.2985613477938238,0.2985613477938238,0.2985613477938238
f81de39c797d035b,2,16606,16606,1,0.18231291184336332,0.18231291184336332,0.18231291184336332,0.18231291184336332
f81de39c797d035b,2,17275,13985,1,0.18181831183804995,0.2584904772773324,0.18181831183804995,0.14038478283189748
f81de39c797d035b,2,18140,18140,1,0.3745348350716477,0.3745348350716477,0.04902472290054394,0.04902472290054394
f81de39c797d035b,2,18598,18598,1,0.3723661729395073,0.3723661729395073,0.3723661729395073,0.3723661729395073
f81de39c797d035b,2,19484,19484,1,0.54379751541601,0.54379751541601,0.4266576769119926,0.4266576769119926
f81de39c797d035b,2,20103,20103,1,0.2497345499892548,0.2497345499892548,0.2497345499892548,0.2497345499892548
f81de39c797d035b,2,20706,20706,1,0.3653719223828966,0.3653719223828966,0.31250893866443435,0.31250893866443435
f81de39c797d035b,2,22703,22703,2,0.4750752419417304,0.4750752419417304,0.4750752419417304,0.4750752419417304
f81de39c797d035b,2,23594,12317,1,0.1796935897603685,0.1796935897603685,0.1796935897603685,0.1796935897603685
f81de39c797d035b,2,24609,24609,3,0.3572117134873815,0.3572117134873815,0.08018881817879742,0.08018881817879742
f81de39c797d035b,2,25245,3322,2,0.20820251211349694,0.3802295677359935,0.002395717504539957,0.004375175985735558
f81de39c797d035b,2,26019,26019,1,0.4533672279730476,0.4533672279730476,0.4533672279730476,0.4533672279730476
f81de39c797d035b,2,28376,28376,1,0.41430531731264375,0.41430531731264375,0.41430531731264375,0.41430531731264375
f81de39c797d035b,2,28994,28994,1,0.17295595743596717,0.17295595743596717,0.17295595743596717,0.17295595743596717
991682d782149cf4,1,317,317,26,0.07539357129453145,0.07539357129453145,0.06170862572420635,0.06170862572420635
991682d782149cf4,1,579,579,6,0.22867299157821985,0.22867299157821985,0.21771127304439977,0.21771127304439977
991682d782149cf4,1,895,3,195,0.14669997919753539,0.11205195383978411,-0.1545627152119193,-0.03662594976907976
991682d782149cf4,1,1448,1448,45,0.14935047757047992,0.14935047757047992,0.07770977583872123,0.07770977583872123
991682d782149cf4,1,1476,6,556,0.08369858225761807,0.09551328192546192,-0.020434235123028346,-0.0165605303419675
991682d782149cf4,1,1712,1712,22,0.30506807527576457,0.30506807527576457,0.3017963102389467,0.3017963102389467
991682d782149cf4,1,2190,6398,7,0.13319445892506793,0.1518654410416566,0.026718708165310523,0.14288374103094387
991682d782149cf4,1,2634,2634,7,0.2514039398517132,0.2514039398517132,0.2509978946497031,0.2509978946497031
991682d782149cf4,1,2951,691,38,0.14038388204076413,0.14162082997630482,0.13671671676777125,0.13738032836546288
991682d782149cf4,1,3108,3108,8,0.2635032471410577,0.2635032471410577,0.262115101641372,0.262115101641372
991682d782149cf4,1,3186,3186,14,0.15869091596420976,0.15869091596420976,0.15519816261080374,0.15519816261080374
991682d782149cf4,1,3392,3392,15,0.14309738811921405,0.14309738811921405,0.11697857227164615,0.11697857227164615
991682d782149cf4,1,4142,4142,16,0.23645381308451396,0.23645381308451396,0.23183381774598644,0.23183381774598644
991682d782149cf4,1,8150,8150,33,0.10888288334962688,0.10888288334962688,0.09619932816543457,0.09619932816543457
991682d782149cf4,1,12082,12082,14,0.10526744835327365,0.10526744835327365,0.09778057022699534,0.09778057022699534
991682d782149cf4,1,13802,13802,5,0.39733411206660696,0.39733411206660696,0.3827151250796573,0.3827151250796573
991682d782149cf4,1,13844,13844,21,0.30220538510181805,0.30220538510181805,0.20869472151529614,0.20869472151529614
991682d782149cf4,1,14733,895,8,0.2290051354634767,0.3012626944094547,0.22560091431870366,0.1545627152119193
991682d782149cf4,1,17996,17996,15,0.14680787884898364,0.14680787884898364,0.13881597471945273,0.13881597471945273
991682d782149cf4,1,20225,20225,35,0.3189895953745919,0.3189895953745919,0.08769285326227325,0.08769285326227325
991682d782149cf4,1,20480,20480,16,0.2928766570778514,0.2928766570778514,0.27362644160767347,0.27362644160767347
991682d782149cf4,1,23507,23507,30,0.25344304284984587,0.25344304284984587,0.25344304284984587,0.25344304284984587
991682d782149cf4,1,24320,24320,14,0.3479972716425432,0.3479972716425432,0.3479972716425432,0.3479972716425432
991682d782149cf4,1,27733,27733,13,0.3625689744933663,0.3625689744933663,0.3625689744933663,0.3625689744933663
7698eb27faa27492,2,847,540,1,0.2766113704080435,0.3746416545429071,0.2766113704080435,0.26326719777694013
7698eb27faa27492,2,1154,895,1,0.31883547900084563,0.2763827065389908,0.185896837834373,0.2763827065389908
7698eb27faa27492,2,1420,1420,1,0.3360244528843872,0.3360244528843872,0.3360244528843872,0.3360244528843872
7698eb27faa27492,2,2429,2429,1,0.38843542089195976,0.38843542089195976,0.3309139088309211,0.3309139088309211
7698eb27faa27492,2,3170,2801,2,0.21561306256020996,0.1937347781116862,0.041114960517648014,0.07201988330567734
7698eb27faa27492,2,3887,1782,1,0.26609405330941566,0.3091148541163724,0.26609405330941566,0.3091148541163724
7698eb27faa27492,2,3961,3961,1,0.6112638318820549,0.6112638318820549,0.6112638318820549,0.6112638318820549
