pair_index,near_left,near_right,near_lcp,near_collaborative_cosine,near_frequency_bins,far_left,far_right,far_lcp,far_collaborative_cosine,far_frequency_bins,near_score_correlation,far_score_correlation,correlation_excess
0,B0018ZMU04,B0018ZRTZA,5,0.0,1|3,B000N8CN4U,B004799QZA,0,0.0,1|3,0.9811935601324229,0.47527431748612764,0.5059192426462953
1,B001KYPZRS,B002L6PWZO,2,0.0,1|3,B001G7OCSM,B004CG0XIW,0,0.0,1|3,0.9762497554758992,0.36687725477022143,0.6093725007056778
2,B003VMXYLG,B004NMTMUK,2,0.0,2|3,B00074XC68,B00365DABC,0,0.0,2|3,0.9687129910866454,0.5041905859075143,0.4645224051791311
3,B004TSF95U,B007O7AZ3O,2,0.0,2|3,B000VEN3RW,B005WTLB9S,0,0.0,2|3,0.9503068077085304,0.19407465880644464,0.7562321489020858
4,B001ECQ4TY,B0041ERPPE,2,0.0,1|1,B001BR97A0,B008VSJFQ8,0,0.0,1|1,0.9098481119138454,0.5622508407464482,0.34759727116739725
5,B002QAV560,B004A8LFJI,2,0.0,2|2,B000142P12,B0033WSTXM,0,0.0,2|2,0.9060181101039849,0.602977168416167,0.3030409416878179
6,B001AO0WCG,B002CMLS50,3,0.0,2|4,B001P92FMG,B004YBW5T0,0,0.0,2|4,0.9658677620476677,0.36722171150567,0.5986460505419977
7,B003VMMMUK,B004NMYM96,2,0.0,1|1,B0015H0TS0,B0023AV2UM,0,0.0,1|1,0.9543909333085844,0.3826163079902672,0.5717746253183171
8,B000X81832,B004MBJKRC,2,0.0,1|2,B000S7ZT6U,B0075GXW0W,0,0.0,1|2,0.771208923172717,0.29672696380944097,0.4744819593632761
9,B003I6MLN2,B004Y9JURC,2,0.0,2|3,B004TSF95U,B00JL2TURM,0,0.0,2|3,0.9545663195909538,0.2873310830221953,0.6672352365687586
10,B003VMTZ8C,B004NMYM96,2,0.0,1|2,B0006N29AU,B00A4DSLK4,0,0.0,1|2,0.9404309809618987,-0.13345052223499254,1.0738815031968914
11,B004NMVP82,B0057UPOJ0,2,0.0,1|1,B004O752PI,B00AEIVIGS,0,0.0,1|1,0.9562293714189671,0.29846043432810504,0.6577689370908621
