pair_index,near_left,near_right,near_lcp,near_collaborative_cosine,near_frequency_bins,far_left,far_right,far_lcp,far_collaborative_cosine,far_frequency_bins,near_score_correlation,far_score_correlation,correlation_excess
0,B000EMRVB0,B00B5OOSL2,2,0.0,1|2,B004SPZXVE,B007RDFNEG,0,0.0,1|2,0.22715954393402366,0.12694459636854133,0.10021494756548233
1,B00006654A,B002MUALIM,2,0.0,1|2,B000IXS4SY,B004EMQF4U,0,0.0,1|2,0.4008135683140039,0.07244110516620851,0.3283724631477954
2,1929780699,B00H4OKN84,2,0.0,1|2,B00009KX0J,B007NLO6CW,0,0.0,1|2,-0.21043320270378585,0.4267073152350979,-0.6371405179388838
3,B00005UNAV,B00006654A,2,0.0,1|3,B001Q3KU9Q,B006V13Z54,0,0.0,1|3,0.5222070563365215,0.061114918918777336,0.4610921374177442
4,B001LPAMHO,B005YXFW2O,2,0.0,1|1,B001113U1I,B002M78DRQ,0,0.0,1|1,0.5064854159389123,0.7367895511566163,-0.230304135217704
5,B000BYNTYY,B000REP3E2,2,0.0,2|2,B000GKW73C,B000J3ZVMK,0,0.0,2|2,0.664082169363836,0.40136035644517626,0.26272181291865976
6,B000FQBCGK,B000GKXY66,2,0.0,3|3,B0000AP6LD,B00416LP4E,0,0.0,3|3,0.795322485628079,0.32267766883859267,0.4726448167894863
7,B0007UO42S,B00859GJL2,3,0.0,2|3,B001H07J0Q,B001Q3KU9Q,0,0.0,2|3,0.3904527640475206,0.4374631485553557,-0.04701038450783507
8,B000OEUUG6,B007IXD0M2,2,0.0,1|3,B003K16ZQO,B006IGJ1MS,0,0.0,1|3,0.8234231698828239,0.4277552370307843,0.39566793285203966
9,B005JDFUOE,B00CNNPPV6,2,0.0,2|3,B000AS2AL4,B001NQHN7S,0,0.0,2|3,-0.1695027806004502,0.7143746783191878,-0.883877458919638
10,B000EOEAW6,B000GKW6RE,2,0.0,1|1,B00C6PVVNM,B00ECWSL0I,0,0.0,1|1,0.8644591276307074,-0.07365625993404654,0.938115387564754
11,B00001ZX17,B00AZZFT6A,2,0.0,1|2,B00001R3OL,B004YEFPVW,0,0.0,1|2,0.3584827586491197,0.7423744308037724,-0.3838916721546527
12,B00421AGOS,B00CNNPPV6,2,0.0,3|3,B0009F4YR6,B002YIRKBS,0,0.0,3|3,0.20875461749817892,0.5410553626971238,-0.3323007451989449
13,0981924840,B001QKYLDU,2,0.0,1|2,B00004R8LX,B005LORAZS,0,0.0,1|2,0.5462408571336447,0.3279657753977409,0.21827508173590376
14,B000FQBG7U,B000LBW38K,2,0.0,1|1,B000Q4DTB2,B00840LAK2,0,0.0,1|1,0.808425440861917,0.6247763085556444,0.18364913230627267
15,1929780109,B00000IWD0,2,0.0,1|1,1886978034,B0074NVDNE,0,0.0,1|1,0.7200453802723062,0.4691086027494551,0.25093677752285115
16,B000809NNC,B0024H7OF6,2,0.0,3|3,B000ZZV22U,B0043BYOO0,0,0.0,3|3,0.7729216413540145,0.5535306037826176,0.21939103757139689
17,B0009ICKCO,B000J2GZNU,2,0.0,2|2,B0007LYKX0,B00CMNX2IA,0,0.0,2|2,0.5488881621669865,-0.004800022759588509,0.553688184926575
18,1589944348,B008GRI010,2,0.0,1|1,B0030G7J9G,B003A0GTN4,0,0.0,1|1,0.7342144670632693,0.2042792927021552,0.5299351743611141
19,B00000IZW2,B000EMRVB0,2,0.0,1|1,B000BGT6CG,B00BP48U6Q,0,0.0,1|1,0.5761080882922793,0.7171205747070433,-0.14101248641476394
20,B000063KC8,B00421AGP2,2,0.0,3|3,B00421AGP2,B004P9591C,0,0.0,3|3,0.5921760518379026,0.4253211605265405,0.16685489131136205
